,Open,High,Low,Close,Volume
2015-05-06 16:00:00-04:00,19.25,19.5,15.51,16.0,8301713
2015-05-07 16:00:00-04:00,15.75,17.25,15.75,17.23,1766623
2015-05-08 16:00:00-04:00,17.25,17.69,16.59,17.18,884123
2015-05-11 16:00:00-04:00,17.47,17.47,16.86,17.0,240549
2015-05-12 16:00:00-04:00,17.0,17.048,16.75,16.88,338293
2015-05-13 16:00:00-04:00,16.85,17.015,16.84,16.94,342297
2015-05-14 16:00:00-04:00,17.08,17.08,16.85,16.93,373213
2015-05-15 16:00:00-04:00,17.01,17.09,16.8,16.85,610222
2015-05-18 16:00:00-04:00,16.88,17.15,16.6,16.61,318472
2015-05-19 16:00:00-04:00,16.5,16.66,15.91,15.98,288371
2015-05-20 16:00:00-04:00,15.9,16.23,14.0,15.2,604987
2015-05-21 16:00:00-04:00,15.69,15.69,15.0,15.08,64138
2015-05-22 16:00:00-04:00,14.84,15.71,14.84,15.6,78605
2015-05-26 16:00:00-04:00,15.58,15.75,15.06,15.23,126758
2015-05-27 16:00:00-04:00,15.2,15.67,14.79,15.62,146469
2015-05-28 16:00:00-04:00,15.31,15.6,15.0,15.33,283375
2015-05-29 16:00:00-04:00,15.62,15.62,15.15,15.43,355166
2015-06-01 16:00:00-04:00,16.1,16.1,13.75,14.82,607498
2015-06-02 16:00:00-04:00,14.5,15.0499,14.4,14.81,415373
2015-06-03 16:00:00-04:00,14.7,15.16,14.6525,15.13,242996
2015-06-04 16:00:00-04:00,15.0,15.25,14.9003,15.1,234198
2015-06-05 16:00:00-04:00,15.45,15.45,15.05,15.34,153258
2015-06-08 16:00:00-04:00,15.4,16.33,15.15,16.1,297518
2015-06-09 16:00:00-04:00,16.97,17.056,16.06,16.43,187811
2015-06-10 16:00:00-04:00,16.4,17.4,16.35,17.03,263254
2015-06-11 16:00:00-04:00,17.0,17.56,17.0,17.41,249820
2015-06-12 16:00:00-04:00,17.64,19.49,17.5,19.29,320280
2015-06-15 16:00:00-04:00,19.27,20.4153,19.0,19.8,425898
2015-06-16 16:00:00-04:00,20.25,21.57,20.051,21.12,304858
2015-06-17 16:00:00-04:00,21.32,21.3499,19.6543,20.02,752933
2015-06-18 16:00:00-04:00,19.98,21.0,19.8101,19.95,420768
2015-06-19 16:00:00-04:00,20.0,20.3399,19.8,19.85,173953
2015-06-22 16:00:00-04:00,20.0,20.5799,19.95,20.31,132982
2015-06-23 16:00:00-04:00,20.34,20.34,19.58,19.69,250685
2015-06-24 16:00:00-04:00,19.74,19.94,19.0,19.28,168140
2015-06-25 16:00:00-04:00,19.43,19.77,17.7823,17.89,95836
2015-06-26 16:00:00-04:00,17.89,18.54,17.72,18.5,539712
2015-06-29 16:00:00-04:00,18.26,18.6099,17.98,18.02,228764
