,Open,High,Low,Close,Volume
2014-04-10 16:00:00-04:00,16.85,17.24,14.0,14.01,2408605
2014-04-11 16:00:00-04:00,13.74,13.904,12.02,13.0,197173
2014-04-14 16:00:00-04:00,12.96,13.89,12.71,13.6,36478
2014-04-15 16:00:00-04:00,14.44,14.44,13.1,13.39,40509
2014-04-16 16:00:00-04:00,13.4,13.4701,13.03,13.2,32300
2014-04-17 16:00:00-04:00,13.14,13.44,12.9,13.01,24370
2014-04-21 16:00:00-04:00,13.61,14.25,13.0,14.14,9762
2014-04-22 16:00:00-04:00,14.7,15.4,13.9,15.25,42825
2014-04-23 16:00:00-04:00,15.11,15.35,14.42,15.01,8867
2014-04-24 16:00:00-04:00,15.0,16.26,15.0,15.98,55037
2014-04-25 16:00:00-04:00,15.39,15.96,14.5,15.69,60278
2014-04-28 16:00:00-04:00,16.04,16.31,15.56,15.94,33074
2014-04-29 16:00:00-04:00,15.94,16.76,15.908,16.0,79967
2014-04-30 16:00:00-04:00,16.0,19.11,16.0,18.45,148347
2014-05-01 16:00:00-04:00,18.69,21.6299,18.45,20.07,164241
2014-05-02 16:00:00-04:00,20.06,20.6,19.62,20.01,111095
2014-05-05 16:00:00-04:00,20.0,20.1,18.5,20.0,139348
2014-05-06 16:00:00-04:00,20.0,20.47,19.51,20.0,89655
2014-05-07 16:00:00-04:00,20.38,20.38,19.46,19.96,30902
2014-05-08 16:00:00-04:00,19.52,19.93,15.77,19.37,218943
2014-05-09 16:00:00-04:00,19.25,19.8599,18.582,19.23,57225
2014-05-12 16:00:00-04:00,19.36,20.49,18.765,19.15,39175
2014-05-13 16:00:00-04:00,19.03,19.6,18.56,19.5,24699
2014-05-14 16:00:00-04:00,18.51,19.52,18.16,19.37,36598
2014-05-15 16:00:00-04:00,19.284,19.33,17.51,18.95,36907
2014-05-16 16:00:00-04:00,18.45,19.61,18.45,18.76,17704
2014-05-19 16:00:00-04:00,18.7,18.988,18.0001,18.26,37590
2014-05-20 16:00:00-04:00,17.9,19.69,17.2,18.88,85991
2014-05-21 16:00:00-04:00,19.39,19.71,18.25,18.82,72974
2014-05-22 16:00:00-04:00,18.4,19.2815,18.37,18.76,60683
2014-05-23 16:00:00-04:00,18.53,19.08,18.3531,18.49,28825
2014-05-27 16:00:00-04:00,18.42,18.6,17.69,18.5,103085
2014-05-28 16:00:00-04:00,18.44,18.73,18.015,18.16,64968
2014-05-29 16:00:00-04:00,18.29,18.45,17.5319,18.06,26263
2014-05-30 16:00:00-04:00,18.13,18.45,17.805,17.85,25549
2014-06-02 16:00:00-04:00,18.0,18.12,17.76,17.87,9333
2014-06-03 16:00:00-04:00,18.0,18.15,17.81,17.97,12377
2014-06-04 16:00:00-04:00,18.14,18.14,17.52,17.57,17105
2014-06-05 16:00:00-04:00,17.5,18.55,17.5,18.29,24344
2014-06-06 16:00:00-04:00,18.47,19.18,18.33,18.83,35437
2014-06-09 16:00:00-04:00,18.94,19.74,18.86,19.35,112705
2014-06-10 16:00:00-04:00,19.44,19.5,19.1,19.47,22862
2014-06-11 16:00:00-04:00,19.53,19.9299,19.3,19.32,21164
2014-06-12 16:00:00-04:00,19.27,20.11,19.2699,19.65,32233
2014-06-13 16:00:00-04:00,19.3,19.301,18.3301,18.72,18727
2014-06-16 16:00:00-04:00,18.81,19.38,18.5001,18.87,17596
2014-06-17 16:00:00-04:00,19.38,19.5,18.77,19.5,13307
2014-06-18 16:00:00-04:00,19.5,20.08,19.44,19.59,21306
2014-06-19 16:00:00-04:00,19.46,19.69,19.1,19.48,42040
2014-06-20 16:00:00-04:00,19.3,21.0,18.8905,19.21,149906
2014-06-23 16:00:00-04:00,19.37,19.75,19.21,19.31,41001
2014-06-24 16:00:00-04:00,19.36,19.64,18.95,19.42,25019
2014-06-25 16:00:00-04:00,19.375,19.75,19.18,19.41,23495
2014-06-26 16:00:00-04:00,19.37,19.69,18.0601,18.65,44173
2014-06-27 16:00:00-04:00,18.49,19.06,17.71,17.71,419472
2014-06-30 16:00:00-04:00,17.9,18.8,17.65,18.28,59574
2014-07-01 16:00:00-04:00,18.24,18.63,18.08,18.46,64913
2014-07-02 16:00:00-04:00,18.52,19.1,17.97,18.36,72316
2014-07-03 16:00:00-04:00,18.43,18.43,17.6,17.97,50801
2014-07-07 16:00:00-04:00,18.13,18.9,17.01,17.3,88187
2014-07-08 16:00:00-04:00,18.04,18.49,16.51,17.02,116030
2014-07-09 16:00:00-04:00,17.01,17.38,16.16,16.69,135531
2014-07-10 16:00:00-04:00,16.39,16.65,16.0,16.08,90559
2014-07-11 16:00:00-04:00,16.09,16.9,16.02,16.72,31669
2014-07-14 16:00:00-04:00,16.46,16.67,16.09,16.2,43118
2014-07-15 16:00:00-04:00,16.13,17.6,16.13,17.34,138431
2014-07-16 16:00:00-04:00,16.38,17.27,16.38,16.87,84070
2014-07-17 16:00:00-04:00,16.55,17.9499,16.55,16.78,75706
2014-07-18 16:00:00-04:00,16.83,17.92,16.58,17.52,80453
2014-07-21 16:00:00-04:00,17.0,17.22,16.0401,16.5,131531
2014-07-22 16:00:00-04:00,16.68,17.3,16.39,16.66,143247
2014-07-23 16:00:00-04:00,16.69,17.5,16.55,16.77,79681
2014-07-24 16:00:00-04:00,16.69,16.97,16.51,16.92,70995
2014-07-25 16:00:00-04:00,16.77,16.89,16.06,16.65,104718
2014-07-28 16:00:00-04:00,16.93,16.93,16.21,16.21,64397
2014-07-29 16:00:00-04:00,16.44,16.78,15.8,16.09,51829
2014-07-30 16:00:00-04:00,16.13,16.758,15.59,16.07,67303
2014-07-31 16:00:00-04:00,15.9,16.12,15.42,15.91,56198
2014-08-01 16:00:00-04:00,15.99,16.42,15.5401,16.09,30891
2014-08-04 16:00:00-04:00,16.25,16.9281,15.6,16.02,62968
2014-08-05 16:00:00-04:00,15.92,16.3,15.83,16.09,67904
2014-08-06 16:00:00-04:00,15.99,16.33,15.85,16.19,40130
2014-08-07 16:00:00-04:00,16.892,16.892,15.57,15.71,15676
2014-08-08 16:00:00-04:00,15.82,15.82,14.74,15.57,14773
2014-08-11 16:00:00-04:00,15.59,16.33,15.46,16.11,58260
2014-08-12 16:00:00-04:00,16.05,16.6099,15.85,16.49,40260
2014-08-13 16:00:00-04:00,16.6,16.96,16.23,16.79,32375
2014-08-14 16:00:00-04:00,16.77,16.97,16.35,16.8,29249
2014-08-15 16:00:00-04:00,17.02,17.67,16.52,17.45,50744
2014-08-18 16:00:00-04:00,17.64,18.15,17.35,17.59,25471
2014-08-19 16:00:00-04:00,17.23,18.52,17.23,17.96,20365
2014-08-20 16:00:00-04:00,17.81,18.53,17.145,17.93,15632
2014-08-21 16:00:00-04:00,18.08,18.74,17.46,18.37,30014
2014-08-22 16:00:00-04:00,18.45,18.45,17.627,17.83,15866
2014-08-25 16:00:00-04:00,17.91,18.03,17.51,17.77,10530
2014-08-26 16:00:00-04:00,17.7,18.29,17.2,18.2,51628
2014-08-27 16:00:00-04:00,17.64,18.3,17.64,18.19,23563
2014-08-28 16:00:00-04:00,18.08,18.11,17.66,17.99,9603
2014-08-29 16:00:00-04:00,17.8,18.75,17.8,18.74,39007
2014-09-02 16:00:00-04:00,18.65,18.75,18.0,18.4,26398
2014-09-03 16:00:00-04:00,18.03,18.68,17.42,17.89,20139
2014-09-04 16:00:00-04:00,17.85,18.44,17.2,17.35,9867
2014-09-05 16:00:00-04:00,17.4,18.0,17.0,17.91,48344
2014-09-08 16:00:00-04:00,17.95,18.18,17.63,17.99,25741
2014-09-09 16:00:00-04:00,18.0,18.0,17.55,17.83,71244
2014-09-10 16:00:00-04:00,17.73,17.88,17.63,17.86,20341
2014-09-11 16:00:00-04:00,17.75,18.26,17.54,17.99,14570
2014-09-12 16:00:00-04:00,18.05,18.29,17.75,18.12,14736
2014-09-15 16:00:00-04:00,18.18,18.45,17.51,17.55,39356
2014-09-16 16:00:00-04:00,17.67,18.24,17.55,18.06,32738
2014-09-17 16:00:00-04:00,18.15,18.49,17.8001,17.88,22645
2014-09-18 16:00:00-04:00,17.62,17.97,17.62,17.76,17515
2014-09-19 16:00:00-04:00,17.73,17.78,17.5,17.7,15713
2014-09-22 16:00:00-04:00,17.51,17.86,16.85,16.85,34410
2014-09-23 16:00:00-04:00,16.45,16.78,16.12,16.29,30081
2014-09-24 16:00:00-04:00,16.33,16.93,16.33,16.9,13774
2014-09-25 16:00:00-04:00,17.04,17.24,16.91,17.02,8553
2014-09-26 16:00:00-04:00,17.13,17.2,16.75,16.94,3670
2014-09-29 16:00:00-04:00,16.91,17.27,16.69,17.24,13228
2014-09-30 16:00:00-04:00,17.21,18.65,16.755,18.62,67027
2014-10-01 16:00:00-04:00,18.5,20.31,18.4,19.98,82311
2014-10-02 16:00:00-04:00,19.83,20.59,18.98,20.0,46982
2014-10-03 16:00:00-04:00,20.09,20.7,19.25,19.38,35377
2014-10-06 16:00:00-04:00,19.5,19.5,17.95,18.05,36148
2014-10-07 16:00:00-04:00,16.15,16.48,13.83,14.32,1197294
2014-10-08 16:00:00-04:00,14.75,15.18,14.25,15.06,364048
2014-10-09 16:00:00-04:00,14.92,14.92,14.0,14.6,75251
2014-10-10 16:00:00-04:00,14.64,14.75,13.8,14.51,59863
2014-10-13 16:00:00-04:00,14.66,15.1,14.05,14.96,87900
2014-10-14 16:00:00-04:00,15.03,15.15,13.94,14.13,73256
2014-10-15 16:00:00-04:00,14.0,14.64,13.91,14.07,35582
2014-10-16 16:00:00-04:00,13.72,14.5699,13.72,14.42,31344
2014-10-17 16:00:00-04:00,14.7,14.73,14.5,14.54,43797
2014-10-20 16:00:00-04:00,14.61,14.9099,13.92,14.32,46090
2014-10-21 16:00:00-04:00,13.95,14.6,13.95,14.33,38074
2014-10-22 16:00:00-04:00,14.33,14.5881,14.1,14.25,27333
2014-10-23 16:00:00-04:00,14.49,14.91,14.3,14.615,60180
2014-10-24 16:00:00-04:00,14.59,14.75,14.37,14.73,56192
2014-10-27 16:00:00-04:00,14.7,15.53,14.48,15.28,118479
2014-10-28 16:00:00-04:00,15.23,15.52,15.11,15.52,58932
2014-10-29 16:00:00-04:00,15.44,16.77,15.44,16.36,72989
2014-10-30 16:00:00-04:00,16.46,16.66,15.5,15.87,54020
2014-10-31 16:00:00-04:00,16.21,16.505,15.14,15.23,53146
