,Open,High,Low,Close,Volume
2017-06-15 16:00:00-04:00,8.1,8.1,6.53,7.25,86108
2017-06-16 16:00:00-04:00,7.8,9.83,7.2295,9.6,291841
2017-06-19 16:00:00-04:00,10.0,11.66,9.5,10.1123,220092
2017-06-20 16:00:00-04:00,10.05,10.7,9.6001,10.25,46196
2017-06-21 16:00:00-04:00,10.25,10.5,10.0,10.5,104702
2017-06-22 16:00:00-04:00,10.65,10.65,10.0201,10.56,92832
2017-06-23 16:00:00-04:00,10.57,10.7,10.11,10.61,23586
2017-06-26 16:00:00-04:00,10.63,10.7,10.4278,10.7,23458
2017-06-27 16:00:00-04:00,10.75,10.77,10.6,10.77,18026
2017-06-28 16:00:00-04:00,10.8,14.5,10.8,14.5,239852
2017-06-29 16:00:00-04:00,17.3,17.3,14.65,15.69,304203
2017-06-30 16:00:00-04:00,16.0,16.3864,15.69,16.05,135039
2017-07-03 13:00:00-04:00,15.65,17.499,15.65,16.5,122451
2017-07-05 16:00:00-04:00,17.05,17.05,15.37,17.01,175181
2017-07-06 16:00:00-04:00,17.38,17.45,15.89,17.1,115210
2017-07-07 16:00:00-04:00,16.68,17.15,16.5,16.85,34952
2017-07-10 16:00:00-04:00,17.0,17.1027,16.39,17.0995,35585
2017-07-11 16:00:00-04:00,17.12,17.18,16.7401,17.116,86667
2017-07-12 16:00:00-04:00,17.19,18.31,14.61,17.15,219480
2017-07-13 16:00:00-04:00,17.4,17.4,15.2001,15.38,87132
2017-07-14 16:00:00-04:00,16.0,16.12,14.59,15.12,56456
2017-07-17 16:00:00-04:00,15.01,15.0192,12.5,12.75,187606
2017-07-18 16:00:00-04:00,12.75,12.85,12.15,12.41,106257
2017-07-19 16:00:00-04:00,12.25,12.25,10.4158,10.51,65577
2017-07-20 16:00:00-04:00,10.04,10.155,8.7,9.2,74775
2017-07-21 16:00:00-04:00,9.1,9.2799,8.75,8.8,103462
2017-07-24 16:00:00-04:00,8.73,9.874,8.25,8.8001,80829
2017-07-25 16:00:00-04:00,8.74,9.3999,8.71,8.86,116985
2017-07-26 16:00:00-04:00,8.4,10.6495,8.4,10.5,215980
2017-07-27 16:00:00-04:00,10.65,10.65,9.95,10.03,52282
2017-07-28 16:00:00-04:00,9.8,10.03,9.4,9.7,40775
2017-07-31 16:00:00-04:00,9.47,10.0875,8.6,8.99,33046
2017-08-01 16:00:00-04:00,8.8,8.9657,8.25,8.3,103464
2017-08-02 16:00:00-04:00,8.42,8.42,6.5,6.75,93024
2017-08-03 16:00:00-04:00,6.69,7.16,6.11,6.51,129102
2017-08-04 16:00:00-04:00,6.5,6.73,6.38,6.39,23982
2017-08-07 16:00:00-04:00,7.19,7.19,6.3874,6.49,29887
2017-08-08 16:00:00-04:00,6.79,8.2719,6.5756,7.7,176098
2017-08-09 16:00:00-04:00,8.25,8.39,7.53,8.2,45258
2017-08-10 16:00:00-04:00,8.4,10.49,8.0,10.49,145965
2017-08-11 16:00:00-04:00,10.459,10.55,8.73,10.55,84744
2017-08-14 16:00:00-04:00,10.55,11.86,10.0802,11.5,109715
2017-08-15 16:00:00-04:00,11.45,12.608,11.3,12.0,178471
2017-08-16 16:00:00-04:00,12.5,12.98,12.0125,12.86,124909
2017-08-17 16:00:00-04:00,12.86,13.58,12.169,13.09,203224
2017-08-18 16:00:00-04:00,12.86,13.44,12.0192,13.11,123410
2017-08-21 16:00:00-04:00,13.15,13.46,12.5,13.2,119160
2017-08-22 16:00:00-04:00,12.31,13.24,12.02,13.2,142417
2017-08-23 16:00:00-04:00,13.22,13.25,12.43,12.69,103426
2017-08-24 16:00:00-04:00,12.7,13.0,12.271,12.87,79010
2017-08-25 16:00:00-04:00,12.85,12.99,12.12,12.83,78777
2017-08-28 16:00:00-04:00,12.83,13.16,12.59,13.05,66005
2017-08-29 16:00:00-04:00,12.9,13.28,12.76,13.05,84567
2017-08-30 16:00:00-04:00,12.64,13.57,12.64,13.22,189526
2017-08-31 16:00:00-04:00,13.24,13.24,11.14,11.74,156693
2017-09-01 16:00:00-04:00,11.75,12.0,10.9499,11.95,60172
2017-09-05 16:00:00-04:00,11.88,12.2,11.26,11.9,317892
2017-09-06 16:00:00-04:00,12.0,13.05,11.6013,12.995,261145
2017-09-07 16:00:00-04:00,12.52,13.81,11.7025,13.35,231316
2017-09-08 16:00:00-04:00,13.22,13.4,12.65,12.86,234557
2017-09-11 16:00:00-04:00,13.31,13.31,11.74,11.76,255040
2017-09-12 16:00:00-04:00,11.6,11.855,11.16,11.41,177081
2017-09-13 16:00:00-04:00,11.24,11.2581,9.6,10.12,341628
2017-09-14 16:00:00-04:00,10.08,10.08,7.81,8.01,522853
2017-09-15 16:00:00-04:00,7.93,7.95,6.89,7.0,778291
2017-09-18 16:00:00-04:00,7.1,7.98,6.89,6.96,352314
2017-09-19 16:00:00-04:00,6.96,7.18,6.51,6.75,184507
2017-09-20 16:00:00-04:00,6.67,7.53,6.67,7.19,751788
2017-09-21 16:00:00-04:00,7.27,8.3339,7.27,7.88,742009
2017-09-22 16:00:00-04:00,8.0,8.48,7.9,8.18,599343
2017-09-25 16:00:00-04:00,8.21,8.2999,6.54,7.15,642632
