,Open,High,Low,Close,Volume
1992-01-14 16:00:00-05:00,0.0,18.0,16.5,17.25,268050
1992-01-15 16:00:00-05:00,0.0,19.0,17.0,19.0,192150
1992-01-16 16:00:00-05:00,0.0,19.0,17.0,18.0,84600
1992-01-17 16:00:00-05:00,0.0,18.0,17.25,17.25,14500
1992-01-20 16:00:00-05:00,0.0,18.0,17.25,17.25,30650
1992-01-21 16:00:00-05:00,0.0,17.75,16.5,16.5,48100
1992-01-22 16:00:00-05:00,0.0,17.5,16.5,17.25,36300
1992-01-23 16:00:00-05:00,0.0,17.25,16.5,17.0,34950
1992-01-24 16:00:00-05:00,0.0,17.25,16.75,17.25,31950
1992-01-27 16:00:00-05:00,0.0,17.25,16.5,17.0,66550
1992-01-28 16:00:00-05:00,0.0,17.25,16.75,17.0,24850
1992-01-29 16:00:00-05:00,0.0,17.25,16.75,17.0,43300
1992-01-30 16:00:00-05:00,0.0,17.25,16.75,17.25,65850
1992-01-31 16:00:00-05:00,0.0,17.75,16.75,17.5,28550
1992-02-03 16:00:00-05:00,0.0,17.75,16.75,17.75,43600
1992-02-04 16:00:00-05:00,0.0,18.0,16.5,18.0,34000
1992-02-05 16:00:00-05:00,0.0,18.5,17.0,18.25,39500
1992-02-06 16:00:00-05:00,0.0,20.5,18.0,19.5,98050
1992-02-07 16:00:00-05:00,0.0,21.5,19.75,20.5,59700
1992-02-10 16:00:00-05:00,0.0,22.25,20.25,22.25,88200
1992-02-11 16:00:00-05:00,0.0,25.0,21.25,23.5,414650
1992-02-12 16:00:00-05:00,0.0,25.0,23.5,23.5,90700
1992-02-13 16:00:00-05:00,0.0,24.5,23.0,23.75,39150
1992-02-14 16:00:00-05:00,0.0,24.0,22.5,24.0,16250
1992-02-18 16:00:00-05:00,0.0,24.0,22.5,23.5,14750
1992-02-19 16:00:00-05:00,0.0,23.5,21.0,22.0,26800
1992-02-20 16:00:00-05:00,0.0,23.0,21.0,23.0,14900
1992-02-21 16:00:00-05:00,0.0,23.0,21.5,23.0,33350
1992-02-24 16:00:00-05:00,0.0,23.0,22.0,22.0,5450
1992-02-25 16:00:00-05:00,0.0,23.0,22.0,22.0,8650
1992-02-26 16:00:00-05:00,0.0,23.0,22.0,23.0,24550
1992-02-27 16:00:00-05:00,0.0,23.0,22.0,22.5,23900
1992-02-28 16:00:00-05:00,0.0,23.5,22.0,23.5,73000
1992-03-02 16:00:00-05:00,0.0,23.5,22.5,22.5,5750
1992-03-03 16:00:00-05:00,0.0,23.5,22.5,22.5,3450
1992-03-04 16:00:00-05:00,0.0,23.5,22.5,23.5,47850
1992-03-05 16:00:00-05:00,0.0,23.5,22.5,23.5,4000
1992-03-06 16:00:00-05:00,0.0,23.5,22.5,23.0,5450
1992-03-09 16:00:00-05:00,0.0,23.5,22.5,23.5,9900
1992-03-10 16:00:00-05:00,0.0,23.5,22.5,22.5,9550
1992-03-11 16:00:00-05:00,0.0,23.5,22.0,22.5,13350
1992-03-12 16:00:00-05:00,0.0,23.0,22.0,23.0,3100
1992-03-13 16:00:00-05:00,0.0,23.0,22.0,22.0,3250
1992-03-16 16:00:00-05:00,0.0,23.0,22.0,23.0,1950
1992-03-17 16:00:00-05:00,0.0,23.0,22.0,22.0,4000
1992-03-18 16:00:00-05:00,0.0,22.5,22.0,22.0,3050
1992-03-19 16:00:00-05:00,0.0,22.5,22.0,22.5,1700
1992-03-20 16:00:00-05:00,0.0,22.5,22.0,22.0,4800
1992-03-23 16:00:00-05:00,0.0,22.5,21.0,21.0,3850
1992-03-24 16:00:00-05:00,0.0,22.0,21.0,21.0,29150
1992-03-25 16:00:00-05:00,0.0,22.0,21.0,21.0,4500
1992-03-26 16:00:00-05:00,0.0,22.0,21.0,21.5,3550
1992-03-27 16:00:00-05:00,0.0,21.5,20.0,20.0,16250
1992-03-30 16:00:00-05:00,0.0,20.75,20.0,20.25,31750
1992-03-31 16:00:00-05:00,0.0,21.5,20.0,21.5,27000
1992-04-01 16:00:00-05:00,0.0,21.5,20.0,21.5,3750
1992-04-02 16:00:00-05:00,0.0,21.5,20.0,20.0,1500
1992-04-03 16:00:00-05:00,0.0,21.5,20.0,20.0,1600
1992-04-06 16:00:00-04:00,0.0,21.5,20.0,20.0,2850
1992-04-07 16:00:00-04:00,0.0,21.5,20.0,20.0,4350
1992-04-08 16:00:00-04:00,0.0,21.5,19.0,20.5,8450
1992-04-09 16:00:00-04:00,0.0,20.5,18.0,18.0,20000
1992-04-10 16:00:00-04:00,0.0,19.0,17.25,17.5,212750
1992-04-13 16:00:00-04:00,0.0,19.0,17.5,19.0,1900
1992-04-14 16:00:00-04:00,0.0,19.0,17.5,18.5,2050
1992-04-15 16:00:00-04:00,0.0,19.0,17.5,17.5,1900
1992-04-16 16:00:00-04:00,0.0,19.0,17.5,17.5,8450
1992-04-20 16:00:00-04:00,0.0,19.0,16.0,16.5,26800
1992-04-21 16:00:00-04:00,0.0,17.0,16.0,16.0,63750
1992-04-22 16:00:00-04:00,0.0,17.0,16.0,17.0,36300
1992-04-23 16:00:00-04:00,0.0,17.0,17.0,17.0,1350
1992-04-24 16:00:00-04:00,0.0,17.0,16.0,16.75,73650
1992-04-27 16:00:00-04:00,0.0,17.0,16.0,17.0,7450
1992-04-28 16:00:00-04:00,0.0,17.0,16.25,17.0,3150
1992-04-29 16:00:00-04:00,0.0,17.0,17.0,17.0,300
1992-04-30 16:00:00-04:00,0.0,17.0,16.5,16.5,9650
1992-05-01 16:00:00-04:00,0.0,17.0,16.0,17.0,2200
1992-05-04 16:00:00-04:00,0.0,16.75,16.0,16.75,12700
1992-05-05 16:00:00-04:00,0.0,18.5,16.5,18.5,9500
1992-05-06 16:00:00-04:00,0.0,19.0,17.0,19.0,20250
1992-05-07 16:00:00-04:00,0.0,17.5,17.5,17.5,750
1992-05-08 16:00:00-04:00,0.0,19.0,17.5,18.0,1650
1992-05-11 16:00:00-04:00,0.0,19.0,18.0,19.0,4200
1992-05-12 16:00:00-04:00,0.0,19.0,18.0,19.0,1450
1992-05-13 16:00:00-04:00,0.0,18.0,18.0,18.0,150
1992-05-14 16:00:00-04:00,0.0,19.0,18.0,18.0,8450
1992-05-15 16:00:00-04:00,0.0,19.0,18.0,19.0,6000
