,Open,High,Low,Close,Volume
2014-03-11 16:00:00-04:00,20.01,20.01,19.69,19.69,1300
2014-03-12 16:00:00-04:00,19.72,19.83,19.72,19.83,1170
2014-03-13 16:00:00-04:00,20.19,20.19,19.4399,19.52,8716
2014-03-14 16:00:00-04:00,19.6,19.61,19.5245,19.5245,1093638
2014-03-17 16:00:00-04:00,19.77,19.77,19.67,19.67,8238
2014-03-18 16:00:00-04:00,19.66,19.87,19.61,19.83,41833
2014-03-19 16:00:00-04:00,20.03,20.03,19.7,19.8,73256
2014-03-20 16:00:00-04:00,19.9,19.9,19.7802,19.83,45420
2014-03-21 16:00:00-04:00,19.96,20.05,19.85,19.89,16856
2014-03-24 16:00:00-04:00,20.1,20.11,19.57,19.68,60503
2014-03-25 16:00:00-04:00,19.84,19.86,19.6755,19.73,5089
2014-03-26 16:00:00-04:00,19.91,19.91,19.4,19.41,38605
2014-03-27 16:00:00-04:00,19.31,19.37,19.15,19.21,21999
2014-03-28 16:00:00-04:00,19.44,19.5,19.23,19.26,37577
2014-03-31 16:00:00-04:00,19.48,19.67,19.4728,19.61,10497
2014-04-01 16:00:00-04:00,19.6599,19.82,19.6503,19.8,13828
2014-04-02 16:00:00-04:00,19.86,19.95,19.8321,19.94,27834
2014-04-03 16:00:00-04:00,19.87,19.9,19.73,19.82,47441
2014-04-04 16:00:00-04:00,20.01,20.01,19.3695,19.41,31013
2014-04-07 16:00:00-04:00,19.51,19.51,18.902,18.9775,17160
2014-04-08 16:00:00-04:00,19.13,19.2578,19.05,19.17,13001
2014-04-09 16:00:00-04:00,19.41,19.45,19.2,19.45,39372
2014-04-10 16:00:00-04:00,19.43,19.45,18.9644,19.05,67267
2014-04-11 16:00:00-04:00,19.18,19.18,18.8401,18.89,107472
2014-04-14 16:00:00-04:00,19.25,19.25,18.75,18.89,12429
2014-04-15 16:00:00-04:00,19.05,19.09,18.57,18.93,50985
2014-04-16 16:00:00-04:00,19.16,19.16,18.97,19.13,15157
2014-04-17 16:00:00-04:00,19.19,19.37,19.14,19.33,77544
2014-04-21 16:00:00-04:00,19.365,19.37,19.25,19.3566,9081
2014-04-22 16:00:00-04:00,19.4,19.63,19.4,19.59,7383
2014-04-23 16:00:00-04:00,19.72,19.72,19.46,19.5,19146
2014-04-24 16:00:00-04:00,19.5999,19.5999,19.41,19.518,21568
2014-04-25 16:00:00-04:00,19.31,19.3499,19.15,19.2,19755
2014-04-28 16:00:00-04:00,19.284,19.3,18.88,19.11,27943
2014-04-29 16:00:00-04:00,19.28,19.33,19.0168,19.0587,48270
2014-04-30 16:00:00-04:00,19.04,19.178,19.01,19.17,8800
2014-05-01 16:00:00-04:00,19.35,19.35,18.86,18.9972,134447
2014-05-02 16:00:00-04:00,19.22,19.25,19.11,19.11,21667
2014-05-05 16:00:00-04:00,18.865,18.97,18.865,18.97,11198
2014-05-06 16:00:00-04:00,18.9,18.9299,18.67,18.72,22215
2014-05-07 16:00:00-04:00,18.85,18.85,18.5588,18.7194,21809
2014-05-08 16:00:00-04:00,18.7,18.77,18.35,18.43,20637
2014-05-09 16:00:00-04:00,18.55,18.64,18.31,18.64,43863
2014-05-12 16:00:00-04:00,18.77,19.17,18.77,19.15,48018
2014-05-13 16:00:00-04:00,19.1599,19.19,18.96,18.99,45730
2014-05-14 16:00:00-04:00,18.81,18.81,18.54,18.58,30346
2014-05-15 16:00:00-04:00,19.06,19.06,18.17,18.4,25416
2014-05-16 16:00:00-04:00,18.63,18.63,18.23,18.52,30378
2014-05-19 16:00:00-04:00,18.5,18.75,18.5,18.75,23894
2014-05-20 16:00:00-04:00,18.71,18.85,18.34,18.4301,22690
2014-05-21 16:00:00-04:00,18.47,18.51,18.34,18.49,10528
2014-05-22 16:00:00-04:00,18.61,18.62,18.44,18.55,34785
2014-05-23 16:00:00-04:00,18.55,18.81,18.55,18.805,10219
2014-05-27 16:00:00-04:00,19.01,19.25,19.01,19.14,23589
2014-05-28 16:00:00-04:00,19.27,19.27,19.0,19.07,41237
2014-05-29 16:00:00-04:00,19.05,19.08,18.92,18.98,16087
2014-05-30 16:00:00-04:00,19.03,19.06,18.88,18.92,89137
2014-06-02 16:00:00-04:00,18.64,18.8196,18.62,18.75,6596
2014-06-03 16:00:00-04:00,18.81,19.21,18.6,18.6699,5210
2014-06-04 16:00:00-04:00,18.62,18.6928,18.56,18.59,22622
2014-06-05 16:00:00-04:00,18.7374,19.08,18.7216,19.08,18017
2014-06-06 16:00:00-04:00,19.33,19.4,19.25,19.4,46309
2014-06-09 16:00:00-04:00,19.33,19.62,19.33,19.62,15075
2014-06-10 16:00:00-04:00,19.69,19.69,19.49,19.56,29806
2014-06-11 16:00:00-04:00,19.6,19.6,19.29,19.33,7697
2014-06-12 16:00:00-04:00,19.18,19.24,19.03,19.07,22677
2014-06-13 16:00:00-04:00,19.12,19.16,18.99,19.02,18008
2014-06-16 16:00:00-04:00,18.88,19.01,18.87,19.0,10381
2014-06-17 16:00:00-04:00,19.02,19.21,18.9005,19.116,16354
2014-06-18 16:00:00-04:00,19.19,19.2357,19.04,19.2357,9329
2014-06-19 16:00:00-04:00,19.1801,19.32,19.1801,19.32,12493
2014-06-20 16:00:00-04:00,19.3983,19.3999,19.3124,19.36,20313
2014-06-23 16:00:00-04:00,19.52,19.52,19.21,19.27,21708
2014-06-24 16:00:00-04:00,19.36,19.42,19.118,19.118,12754
2014-06-25 16:00:00-04:00,19.04,19.21,19.02,19.2,8706
2014-06-26 16:00:00-04:00,19.41,19.41,19.14,19.17,12305
2014-06-27 16:00:00-04:00,19.28,19.33,19.28,19.32,6730
2014-06-30 16:00:00-04:00,19.28,19.42,19.28,19.41,20851
2014-07-01 16:00:00-04:00,19.6,19.7,19.6,19.6,11373
2014-07-02 16:00:00-04:00,19.73,19.73,19.56,19.58,16510
2014-07-03 16:00:00-04:00,19.6,19.81,19.6,19.769,10981
2014-07-07 16:00:00-04:00,19.87,19.87,19.36,19.36,12875
2014-07-08 16:00:00-04:00,19.2,19.28,19.12,19.24,33738
2014-07-09 16:00:00-04:00,19.2701,19.31,19.12,19.12,29825
2014-07-10 16:00:00-04:00,18.8399,18.9168,18.81,18.85,8025
2014-07-11 16:00:00-04:00,18.79,18.8099,18.7699,18.77,3058
2014-07-14 16:00:00-04:00,18.98,18.99,18.92,18.92,6883
2014-07-15 16:00:00-04:00,19.1,19.1,18.7299,18.78,10175
2014-07-16 16:00:00-04:00,19.02,19.02,18.7201,18.7201,81254
2014-07-17 16:00:00-04:00,18.7799,18.7799,18.396,18.48,43268
2014-07-18 16:00:00-04:00,18.48,18.7,18.48,18.69,17322
2014-07-21 16:00:00-04:00,18.5,18.59,18.46,18.57,11254
2014-07-22 16:00:00-04:00,18.6645,18.8023,18.66,18.75,23606
2014-07-23 16:00:00-04:00,18.75,18.8399,18.67,18.68,10775
2014-07-24 16:00:00-04:00,18.78,18.78,18.59,18.6,4903
2014-07-25 16:00:00-04:00,18.42,18.5,18.39,18.42,12055
2014-07-28 16:00:00-04:00,18.25,18.28,18.13,18.19,24109
2014-07-29 16:00:00-04:00,18.3106,18.3106,18.14,18.1546,19701
2014-07-30 16:00:00-04:00,18.18,18.2199,18.13,18.2099,15409
2014-07-31 16:00:00-04:00,18.21,18.22,17.6901,17.73,29033
2014-08-01 16:00:00-04:00,17.9,17.9,17.5201,17.64,163825
2014-08-04 16:00:00-04:00,17.99,18.08,17.77,18.08,16085
2014-08-05 16:00:00-04:00,17.92,18.28,17.92,18.115,6491
2014-08-06 16:00:00-04:00,18.12,18.31,18.02,18.23,13506
2014-08-07 16:00:00-04:00,18.38,18.38,18.09,18.17,239024
2014-08-08 16:00:00-04:00,18.31,18.4399,18.1601,18.42,81078
2014-08-11 16:00:00-04:00,18.5,18.8109,18.5,18.68,11952
