,Open,High,Low,Close,Volume
2017-06-29 16:00:00-04:00,13.75,14.0,10.37,10.8,2168766
2017-06-30 16:00:00-04:00,10.75,11.48,10.73,11.15,243555
2017-07-03 13:00:00-04:00,11.95,12.65,11.51,12.6,251310
2017-07-05 16:00:00-04:00,12.53,12.8,12.0,12.31,200524
2017-07-06 16:00:00-04:00,12.33,13.3,12.0875,13.3,125444
2017-07-07 16:00:00-04:00,13.45,14.3167,13.35,13.8,151718
2017-07-10 16:00:00-04:00,13.77,14.235,13.27,13.45,97167
2017-07-11 16:00:00-04:00,13.6,13.68,13.21,13.68,43420
2017-07-12 16:00:00-04:00,13.63,13.725,13.21,13.43,34745
2017-07-13 16:00:00-04:00,13.4,13.49,13.21,13.43,34207
2017-07-14 16:00:00-04:00,13.48,13.59,12.5288,13.59,45765
2017-07-17 16:00:00-04:00,13.64,13.7,12.67,12.95,94173
2017-07-18 16:00:00-04:00,12.56,13.36,12.5198,13.0,49943
2017-07-19 16:00:00-04:00,13.0,13.08,12.7,13.0,42526
2017-07-20 16:00:00-04:00,13.0,13.17,12.5487,12.92,39315
2017-07-21 16:00:00-04:00,12.75,13.0,12.62,12.78,35468
2017-07-24 16:00:00-04:00,13.0,13.23,12.5,12.6,194875
2017-07-25 16:00:00-04:00,12.62,13.13,12.62,13.0,51028
2017-07-26 16:00:00-04:00,13.2,13.2,12.6,12.91,73487
2017-07-27 16:00:00-04:00,12.92,13.76,12.81,13.11,51780
2017-07-28 16:00:00-04:00,13.23,13.2397,12.8,13.19,19064
2017-07-31 16:00:00-04:00,13.3,14.0,12.8,12.8,77557
2017-08-01 16:00:00-04:00,12.86,13.414,12.02,12.48,71674
2017-08-02 16:00:00-04:00,12.36,12.752,12.0,12.73,49129
2017-08-03 16:00:00-04:00,12.63,12.874,12.0,12.16,55099
2017-08-04 16:00:00-04:00,12.1,12.1956,11.199,12.14,85840
2017-08-07 16:00:00-04:00,11.94,12.5,11.354,12.16,63424
2017-08-08 16:00:00-04:00,12.859,12.8609,12.05,12.29,25698
2017-08-09 16:00:00-04:00,12.13,12.98,11.5725,12.98,26293
2017-08-10 16:00:00-04:00,12.88,12.88,11.83,12.58,46965
2017-08-11 16:00:00-04:00,12.48,12.48,11.91,12.25,7877
2017-08-14 16:00:00-04:00,12.23,12.7761,12.1226,12.56,8776
2017-08-15 16:00:00-04:00,12.34,12.3428,12.001,12.11,5652
2017-08-16 16:00:00-04:00,12.2,12.3,12.0,12.21,26635
2017-08-17 16:00:00-04:00,12.11,12.355,11.8,11.89,30495
2017-08-18 16:00:00-04:00,11.78,12.88,11.5173,12.2,21268
2017-08-21 16:00:00-04:00,12.22,12.34,11.69,12.0,21599
2017-08-22 16:00:00-04:00,11.98,12.245,11.4382,12.19,13859
2017-08-23 16:00:00-04:00,11.7047,12.29,11.7047,11.98,35398
2017-08-24 16:00:00-04:00,11.4482,12.15,11.43,12.15,18847
2017-08-25 16:00:00-04:00,11.93,12.344,11.42,11.42,33312
2017-08-28 16:00:00-04:00,11.42,12.4895,11.42,12.0,15584
2017-08-29 16:00:00-04:00,11.5829,12.1429,11.5829,12.0,7964
2017-08-30 16:00:00-04:00,11.46,12.32,11.3367,12.0,19490
2017-08-31 16:00:00-04:00,12.0,12.22,11.66,11.66,37709
2017-09-01 16:00:00-04:00,11.61,12.3301,11.61,11.8,17467
2017-09-05 16:00:00-04:00,12.18,12.7,11.8706,12.15,74333
2017-09-06 16:00:00-04:00,12.26,13.0,12.25,12.82,131986
2017-09-07 16:00:00-04:00,12.9,14.1497,12.83,14.06,275650
2017-09-08 16:00:00-04:00,13.95,14.6564,13.77,14.0,95649
2017-09-11 16:00:00-04:00,13.9,14.5364,12.08,12.38,76923
2017-09-12 16:00:00-04:00,12.49,13.5,12.49,13.42,52133
2017-09-13 16:00:00-04:00,13.22,13.41,11.78,11.83,116964
2017-09-14 16:00:00-04:00,11.83,12.68,11.1,11.64,84137
2017-09-15 16:00:00-04:00,11.54,12.7,11.42,11.42,432715
