,Open,High,Low,Close,Volume
2017-06-20 16:00:00-04:00,10.1,10.12,10.06,10.07,868454
2017-06-21 16:00:00-04:00,10.06,10.0902,10.06,10.08,197352
2017-06-22 16:00:00-04:00,10.07,10.08,10.07,10.08,139740
2017-06-23 16:00:00-04:00,10.07,10.08,10.06,10.06,130546
2017-06-26 16:00:00-04:00,10.07,10.12,10.07,10.1,46211
2017-06-27 16:00:00-04:00,10.12,10.1508,10.11,10.1508,288211
2017-06-28 16:00:00-04:00,10.2,10.2,10.15,10.18,162050
2017-06-29 16:00:00-04:00,10.15,10.2,10.15,10.2,273280
2017-06-30 16:00:00-04:00,10.2,10.2,10.2,10.2,1680
2017-07-03 13:00:00-04:00,10.16,10.2,10.15,10.2,530
2017-07-05 16:00:00-04:00,10.17,10.28,10.17,10.2,14117
2017-07-06 16:00:00-04:00,10.1,10.2,10.1,10.18,17050
2017-07-07 16:00:00-04:00,10.19,10.19,10.18,10.18,430
2017-07-10 16:00:00-04:00,0.0,0.0,0.0,10.18,0
2017-07-11 16:00:00-04:00,10.16,10.19,10.16,10.19,2185
2017-07-12 16:00:00-04:00,10.16,10.2299,10.15,10.17,27208
2017-07-13 16:00:00-04:00,10.2,10.2,10.18,10.18,5300
2017-07-14 16:00:00-04:00,10.19,10.19,10.17,10.17,400
2017-07-17 16:00:00-04:00,10.16,10.2,10.15,10.19,21456
2017-07-18 16:00:00-04:00,10.18,10.29,10.07,10.25,161284
2017-07-19 16:00:00-04:00,10.3,10.36,10.28,10.36,91025
2017-07-20 16:00:00-04:00,10.35,10.36,10.31,10.34,16000
2017-07-21 16:00:00-04:00,10.35,10.38,10.29,10.36,115599
2017-07-24 16:00:00-04:00,10.36,10.36,10.35,10.36,4200
2017-07-25 16:00:00-04:00,10.38,10.38,10.34,10.3556,14700
2017-07-26 16:00:00-04:00,10.37,10.37,10.37,10.37,105
2017-07-27 16:00:00-04:00,10.36,10.36,10.36,10.36,200000
2017-07-28 16:00:00-04:00,10.27,10.38,10.27,10.38,7645
2017-07-31 16:00:00-04:00,10.35,10.38,10.35,10.38,17000
2017-08-01 16:00:00-04:00,0.0,0.0,0.0,10.38,0
2017-08-02 16:00:00-04:00,10.35,10.35,10.35,10.35,200
2017-08-03 16:00:00-04:00,0.0,0.0,0.0,10.35,0
2017-08-04 16:00:00-04:00,0.0,0.0,0.0,10.35,0
2017-08-07 16:00:00-04:00,10.236,10.3,10.236,10.3,607
2017-08-08 16:00:00-04:00,10.3299,10.3299,10.3299,10.3299,100
2017-08-09 16:00:00-04:00,0.0,0.0,0.0,10.3299,0
2017-08-10 16:00:00-04:00,0.0,0.0,0.0,10.3299,0
2017-08-11 16:00:00-04:00,0.0,0.0,0.0,10.3299,0
2017-08-14 16:00:00-04:00,10.32,10.32,10.32,10.32,35000
2017-08-15 16:00:00-04:00,0.0,0.0,0.0,10.32,0
2017-08-16 16:00:00-04:00,10.2901,10.2901,10.2001,10.2001,1300
