,Open,High,Low,Close,Volume
2005-08-05 16:00:00-04:00,6.6,15.12,6.0,12.25,226811230
2005-08-08 16:00:00-04:00,13.78,15.4,11.52,11.55,155075950
2005-08-09 16:00:00-04:00,12.05,12.53,9.57,9.61,86799720
2005-08-10 16:00:00-04:00,10.1,10.35,8.83,9.18,49807970
2005-08-11 16:00:00-04:00,9.1,10.0,9.1,9.8,73274030
2005-08-12 16:00:00-04:00,9.8,9.98,9.46,9.5,29979860
2005-08-15 16:00:00-04:00,9.68,9.8,9.25,9.3,19298100
2005-08-16 16:00:00-04:00,9.39,9.56,9.08,9.15,18640970
2005-08-17 16:00:00-04:00,9.28,9.3,8.51,8.58,20179060
2005-08-18 16:00:00-04:00,8.82,8.84,8.16,8.25,22398120
2005-08-19 16:00:00-04:00,8.21,8.49,7.94,7.96,18310570
2005-08-22 16:00:00-04:00,7.9,8.03,7.21,7.27,25435320
2005-08-23 16:00:00-04:00,7.17,8.2,7.15,8.2,68817980
2005-08-24 16:00:00-04:00,7.8,8.5,7.5,7.8,87807440
2005-08-25 16:00:00-04:00,8.02,8.14,7.8,7.9,27195490
2005-08-26 16:00:00-04:00,7.92,8.18,7.83,7.89,24840690
2005-08-29 16:00:00-04:00,7.88,8.06,7.76,7.86,13466740
2005-08-30 16:00:00-04:00,8.14,8.42,8.06,8.1,38317560
2005-08-31 16:00:00-04:00,8.18,8.26,8.05,8.1,10973110
2005-09-01 16:00:00-04:00,8.12,8.2,7.85,7.89,10744070
2005-09-02 16:00:00-04:00,8.01,8.02,7.65,7.8,7321090
2005-09-06 16:00:00-04:00,7.9,7.94,7.7,7.78,7127290
2005-09-07 16:00:00-04:00,7.83,8.37,7.73,8.26,40419350
2005-09-08 16:00:00-04:00,8.2,8.45,8.16,8.35,25088380
2005-09-09 16:00:00-04:00,8.4,9.78,8.35,9.63,59110830
2005-09-12 16:00:00-04:00,10.03,11.53,9.98,11.22,181807450
2005-09-13 16:00:00-04:00,11.39,12.25,10.85,11.36,161284770
2005-09-14 16:00:00-04:00,8.72,9.42,8.1,8.13,166734570
