,Open,High,Low,Close,Volume
2005-06-22 16:00:00-04:00,16.52,16.75,14.9,15.44,8498048
2005-06-23 16:00:00-04:00,15.42,15.6,15.15,15.45,1060413
2005-06-24 16:00:00-04:00,15.65,15.65,15.15,15.35,398179
2005-06-27 16:00:00-04:00,15.55,15.55,15.01,15.2,221037
2005-06-28 16:00:00-04:00,15.2,15.99,15.2,15.99,521729
2005-06-29 16:00:00-04:00,16.0,16.08,15.8,16.03,230276
2005-06-30 16:00:00-04:00,16.0,16.25,15.9,16.2,479394
2005-07-01 16:00:00-04:00,16.3,16.4,16.144,16.24,147943
2005-07-05 16:00:00-04:00,16.25,16.25,16.0,16.05,336430
2005-07-06 16:00:00-04:00,16.04,16.05,15.75,15.81,135299
2005-07-07 16:00:00-04:00,15.7,16.0,15.6,16.0,251426
2005-07-08 16:00:00-04:00,16.04,16.2,15.9,16.2,106207
2005-07-11 16:00:00-04:00,16.32,16.99,16.0,16.25,414109
2005-07-12 16:00:00-04:00,16.15,16.49,16.08,16.34,390189
2005-07-13 16:00:00-04:00,16.27,16.8,16.25,16.316,245167
2005-07-14 16:00:00-04:00,16.4,16.5,16.1,16.19,173097
2005-07-15 16:00:00-04:00,16.2,16.35,16.05,16.23,220725
2005-07-18 16:00:00-04:00,16.19,16.4,16.16,16.31,359200
2005-07-19 16:00:00-04:00,16.4,16.5,16.2,16.26,985785
2005-07-20 16:00:00-04:00,16.2,16.75,16.2,16.6099,271775
2005-07-21 16:00:00-04:00,16.62,16.9,16.48,16.53,199162
2005-07-22 16:00:00-04:00,16.65,16.7,16.22,16.6,220303
2005-07-25 16:00:00-04:00,16.64,16.93,16.5,16.61,217727
2005-07-26 16:00:00-04:00,17.2,18.41,16.9,17.9,1347156
2005-07-27 16:00:00-04:00,18.41,18.99,17.59,18.85,1203397
2005-07-28 16:00:00-04:00,20.94,21.0,19.8,20.18,1152771
2005-07-29 16:00:00-04:00,20.18,20.6,19.26,20.0,287267
2005-08-01 16:00:00-04:00,20.0,20.08,19.31,19.84,219907
2005-08-02 16:00:00-04:00,20.5,20.52,19.54,19.77,415568
2005-08-03 16:00:00-04:00,19.75,19.95,19.01,19.57,208932
2005-08-04 16:00:00-04:00,18.82,20.0,18.48,19.82,242602
2005-08-05 16:00:00-04:00,19.84,19.84,19.25,19.62,185082
2005-08-08 16:00:00-04:00,19.47,19.95,17.59,18.54,208625
2005-08-09 16:00:00-04:00,18.45,19.45,17.64,18.99,165343
2005-08-10 16:00:00-04:00,19.0,19.5,18.45,19.08,90281
2005-08-11 16:00:00-04:00,18.94,19.15,18.27,18.9,62943
2005-08-12 16:00:00-04:00,18.11,18.75,18.06,18.47,65514
2005-08-15 16:00:00-04:00,18.38,19.32,18.26,19.18,139642
2005-08-16 16:00:00-04:00,19.45,19.51,18.56,19.198,133751
2005-08-17 16:00:00-04:00,19.15,19.6,18.59,18.91,92612
2005-08-18 16:00:00-04:00,18.98,19.8,18.98,19.46,73390
2005-08-19 16:00:00-04:00,19.27,19.53,19.11,19.45,70062
2005-08-22 16:00:00-04:00,19.38,19.5,19.238,19.36,274788
2005-08-23 16:00:00-04:00,19.25,19.4,18.5,19.27,101497
2005-08-24 16:00:00-04:00,19.48,19.835,19.15,19.33,97286
2005-08-25 16:00:00-04:00,19.33,19.54,18.53,18.86,59945
2005-08-26 16:00:00-04:00,18.96,18.96,18.05,18.24,108552
2005-08-29 16:00:00-04:00,18.66,19.48,18.58,18.88,277190
2005-08-30 16:00:00-04:00,18.88,19.23,18.75,18.79,85207
2005-08-31 16:00:00-04:00,18.83,20.75,18.55,20.3,825186
2005-09-01 16:00:00-04:00,20.75,21.839,20.5,21.56,648022
2005-09-02 16:00:00-04:00,21.75,22.7,21.61,22.0,348035
2005-09-06 16:00:00-04:00,22.4,22.43,21.16,22.35,204689
2005-09-07 16:00:00-04:00,22.03,22.4,21.5,21.57,198472
2005-09-08 16:00:00-04:00,21.39,21.91,20.12,21.04,179695
2005-09-09 16:00:00-04:00,20.9,21.89,20.9,21.28,90927
2005-09-12 16:00:00-04:00,21.89,22.0,19.77,20.7,184859
2005-09-13 16:00:00-04:00,20.51,20.8,20.04,20.53,99512
2005-09-14 16:00:00-04:00,20.53,21.2,20.1,20.9,82375
2005-09-15 16:00:00-04:00,21.0,21.87,20.33,21.68,127973
2005-09-16 16:00:00-04:00,21.94,21.95,21.06,21.83,85523
2005-09-19 16:00:00-04:00,21.56,22.5,21.5,22.15,110882
2005-09-20 16:00:00-04:00,22.21,22.21,21.7,21.82,81895
2005-09-21 16:00:00-04:00,21.5,22.35,20.8,21.46,92661
