,Open,High,Low,Close,Volume
2003-01-02 16:00:00-05:00,0.12,0.12,0.12,0.12,0
2003-01-03 16:00:00-05:00,0.13,0.15,0.12,0.15,9900
2003-01-06 16:00:00-05:00,0.15,0.15,0.12,0.12,4200
2003-01-07 16:00:00-05:00,0.15,0.16,0.133,0.133,33100
2003-01-08 16:00:00-05:00,0.11,0.11,0.11,0.11,0
2003-01-09 16:00:00-05:00,0.15,0.15,0.15,0.15,4300
2003-01-10 16:00:00-05:00,0.12,0.12,0.12,0.12,2200
2003-01-13 16:00:00-05:00,0.15,0.15,0.12,0.12,600
2003-01-14 16:00:00-05:00,0.12,0.14,0.12,0.14,6100
2003-01-15 16:00:00-05:00,0.12,0.12,0.12,0.12,0
2003-01-16 16:00:00-05:00,0.12,0.12,0.12,0.12,5000
2003-01-17 16:00:00-05:00,0.12,0.12,0.12,0.12,0
2003-01-21 16:00:00-05:00,0.12,0.12,0.12,0.12,100
2003-01-22 16:00:00-05:00,0.13,0.14,0.13,0.14,7400
2003-01-23 16:00:00-05:00,0.13,0.13,0.13,0.13,0
2003-01-24 16:00:00-05:00,0.13,0.13,0.13,0.13,300
2003-01-27 16:00:00-05:00,0.13,0.13,0.13,0.13,9800
2003-01-28 16:00:00-05:00,0.13,0.13,0.13,0.13,4200
2003-01-29 16:00:00-05:00,0.13,0.13,0.13,0.13,1400
2003-01-30 16:00:00-05:00,0.13,0.13,0.13,0.13,3100
2003-01-31 16:00:00-05:00,0.13,0.14,0.13,0.14,29300
2003-02-03 16:00:00-05:00,0.13,0.13,0.13,0.13,500
2003-02-04 16:00:00-05:00,0.13,0.13,0.13,0.13,5000
2003-02-05 16:00:00-05:00,0.12,0.12,0.12,0.12,0
2003-02-06 16:00:00-05:00,0.14,0.14,0.13,0.14,38800
2003-02-07 16:00:00-05:00,0.12,0.14,0.12,0.14,32000
2003-02-10 16:00:00-05:00,0.11,0.11,0.11,0.11,0
2003-02-11 16:00:00-05:00,0.11,0.11,0.11,0.11,0
2003-02-12 16:00:00-05:00,0.11,0.11,0.11,0.11,200
2003-02-13 16:00:00-05:00,0.11,0.11,0.11,0.11,0
2003-02-14 16:00:00-05:00,0.11,0.11,0.11,0.11,1000
2003-02-18 16:00:00-05:00,0.11,0.11,0.11,0.11,0
2003-02-19 16:00:00-05:00,0.11,0.11,0.11,0.11,700
2003-02-20 16:00:00-05:00,0.11,0.11,0.11,0.11,0
2003-02-21 16:00:00-05:00,0.11,0.17,0.11,0.17,1100
2003-02-24 16:00:00-05:00,0.11,0.12,0.11,0.12,4500
2003-02-25 16:00:00-05:00,0.11,0.11,0.11,0.11,400
2003-02-26 16:00:00-05:00,0.11,0.11,0.11,0.11,0
2003-02-27 16:00:00-05:00,0.11,0.11,0.11,0.11,3000
2003-02-28 16:00:00-05:00,0.11,0.11,0.11,0.11,100
2003-03-03 16:00:00-05:00,0.11,0.11,0.11,0.11,5200
2003-03-04 16:00:00-05:00,0.11,0.13,0.11,0.11,16000
2003-03-05 16:00:00-05:00,0.115,0.115,0.115,0.115,400
2003-03-06 16:00:00-05:00,0.13,0.15,0.13,0.15,19800
2003-03-07 16:00:00-05:00,0.13,0.13,0.13,0.13,0
2003-03-10 16:00:00-05:00,0.145,0.145,0.145,0.145,10000
2003-03-11 16:00:00-05:00,0.115,0.115,0.115,0.115,2100
2003-03-12 16:00:00-05:00,0.115,0.115,0.115,0.115,200
2003-03-13 16:00:00-05:00,0.115,0.115,0.115,0.115,0
2003-03-14 16:00:00-05:00,0.115,0.115,0.115,0.115,3000
2003-03-17 16:00:00-05:00,0.115,0.115,0.115,0.115,800
2003-03-18 16:00:00-05:00,0.115,0.115,0.115,0.115,0
2003-03-19 16:00:00-05:00,0.14,0.14,0.14,0.14,600
2003-03-20 16:00:00-05:00,0.14,0.14,0.12,0.14,20800
2003-03-21 16:00:00-05:00,0.12,0.12,0.12,0.12,200
2003-03-24 16:00:00-05:00,0.16,0.16,0.13,0.13,7500
2003-03-25 16:00:00-05:00,0.12,0.12,0.12,0.12,800
2003-03-26 16:00:00-05:00,0.115,0.12,0.115,0.12,6700
2003-03-27 16:00:00-05:00,0.115,0.115,0.115,0.115,300
2003-03-28 16:00:00-05:00,0.115,0.115,0.115,0.115,0
2003-03-31 16:00:00-05:00,0.115,0.115,0.115,0.115,400
2003-04-01 16:00:00-05:00,0.115,0.12,0.115,0.12,800
2003-04-02 16:00:00-05:00,0.12,0.12,0.12,0.12,0
2003-04-03 16:00:00-05:00,0.12,0.18,0.12,0.16,91800
2003-04-04 16:00:00-05:00,0.13,0.17,0.13,0.17,3200
2003-04-07 16:00:00-04:00,0.13,0.17,0.13,0.17,1900
2003-04-08 16:00:00-04:00,0.11,0.17,0.11,0.17,300
2003-04-09 16:00:00-04:00,0.11,0.17,0.11,0.17,2300
2003-04-10 16:00:00-04:00,0.17,0.17,0.11,0.11,2200
2003-04-11 16:00:00-04:00,0.11,0.11,0.11,0.11,300
2003-04-14 16:00:00-04:00,0.11,0.11,0.11,0.11,1100
2003-04-15 16:00:00-04:00,0.17,0.19,0.15,0.17,122900
2003-04-16 16:00:00-04:00,0.13,0.18,0.13,0.18,16500
2003-04-17 16:00:00-04:00,0.13,0.13,0.13,0.13,0
2003-04-21 16:00:00-04:00,0.18,0.18,0.13,0.13,3700
2003-04-22 16:00:00-04:00,0.13,0.215,0.13,0.21,146100
