,Open,High,Low,Close,Volume
2012-02-24 16:00:00-05:00,16.0,17.16,15.67,16.51,8617152
2012-02-27 16:00:00-05:00,16.75,17.0,16.0,16.84,885901
2012-02-28 16:00:00-05:00,16.89,17.06,16.14,16.75,367779
2012-02-29 16:00:00-05:00,16.8,16.9,16.25,16.6,190347
2012-03-01 16:00:00-05:00,16.48,17.02,16.38,16.87,269894
2012-03-02 16:00:00-05:00,17.0,17.39,16.71,16.72,411023
2012-03-05 16:00:00-05:00,17.07,17.07,15.36,15.84,440275
2012-03-06 16:00:00-05:00,15.51,15.75,15.175,15.49,239678
2012-03-07 16:00:00-05:00,15.69,15.69,15.22,15.37,141574
2012-03-08 16:00:00-05:00,15.26,15.57,15.25,15.43,793131
2012-03-09 16:00:00-05:00,15.45,15.859,15.25,15.71,241411
2012-03-12 16:00:00-04:00,15.26,16.65,15.1,16.57,185550
2012-03-13 16:00:00-04:00,16.58,18.199,16.51,17.98,338106
2012-03-14 16:00:00-04:00,17.98,18.25,17.548,18.14,156915
2012-03-15 16:00:00-04:00,18.26,19.19,18.26,18.5,305741
2012-03-16 16:00:00-04:00,18.57,18.8,18.28,18.44,275821
2012-03-19 16:00:00-04:00,18.4,18.72,18.0,18.4,141460
2012-03-20 16:00:00-04:00,18.17,18.49,17.97,18.0,105226
2012-03-21 16:00:00-04:00,18.09,18.5,18.0,18.23,137571
2012-03-22 16:00:00-04:00,18.01,18.44,18.01,18.11,51375
2012-03-23 16:00:00-04:00,18.2,18.25,18.0,18.09,33530
2012-03-26 16:00:00-04:00,18.34,18.74,18.0,18.6,195504
2012-03-27 16:00:00-04:00,18.7,20.4,18.52,19.73,259670
2012-03-28 16:00:00-04:00,19.87,20.48,19.64,19.77,311079
2012-03-29 16:00:00-04:00,19.69,20.0,19.145,19.59,263878
2012-03-30 16:00:00-04:00,19.77,20.0,19.2535,19.87,1455297
2012-04-02 16:00:00-04:00,19.85,19.88,19.33,19.4,151094
2012-04-03 16:00:00-04:00,19.46,19.73,19.21,19.27,102311
2012-04-04 16:00:00-04:00,19.3,19.57,18.5,18.67,689345
2012-04-05 16:00:00-04:00,18.28,18.69,18.0,18.1,378425
2012-04-09 16:00:00-04:00,18.0,18.75,17.71,18.08,449772
2012-04-10 16:00:00-04:00,18.03,18.81,17.57,17.64,305891
2012-04-11 16:00:00-04:00,17.77,19.03,17.42,18.25,269583
2012-04-12 16:00:00-04:00,18.34,19.25,18.34,19.04,120753
2012-04-13 16:00:00-04:00,19.02,19.125,18.53,18.96,95949
2012-04-16 16:00:00-04:00,18.99,19.66,18.7,19.15,144409
2012-04-17 16:00:00-04:00,19.42,20.48,18.87,20.3,280435
2012-04-18 16:00:00-04:00,20.24,21.1,19.31,20.14,326315
2012-04-19 16:00:00-04:00,20.25,20.34,19.79,19.84,199844
2012-04-20 16:00:00-04:00,20.24,20.24,19.84,20.02,110476
2012-04-23 16:00:00-04:00,19.79,20.15,19.02,19.75,93467
2012-04-24 16:00:00-04:00,19.81,20.06,19.6106,19.67,157563
2012-04-25 16:00:00-04:00,20.03,20.03,19.16,19.61,100201
2012-04-26 16:00:00-04:00,19.65,19.8,19.34,19.68,99765
2012-04-27 16:00:00-04:00,19.88,20.5499,19.6616,20.0,180085
2012-04-30 16:00:00-04:00,20.0,20.0,18.93,19.81,202954
2012-05-01 16:00:00-04:00,19.7,19.98,19.05,19.18,130311
2012-05-02 16:00:00-04:00,19.06,19.39,18.71,19.22,59361
2012-05-03 16:00:00-04:00,19.27,19.51,18.29,18.52,116116
2012-05-04 16:00:00-04:00,18.39,19.16,18.06,18.93,204358
2012-05-07 16:00:00-04:00,18.91,19.03,18.57,18.64,115811
2012-05-08 16:00:00-04:00,18.51,18.74,17.65,17.71,204677
2012-05-09 16:00:00-04:00,17.65,18.02,17.01,17.29,244678
2012-05-10 16:00:00-04:00,17.43,17.89,17.13,17.65,112438
2012-05-11 16:00:00-04:00,17.53,17.53,16.8498,16.85,179018
2012-05-14 16:00:00-04:00,16.67,16.97,16.34,16.39,123319
2012-05-15 16:00:00-04:00,16.36,16.66,15.5,16.16,292476
2012-05-16 16:00:00-04:00,16.15,16.5999,15.96,15.99,114984
2012-05-17 16:00:00-04:00,16.07,16.92,16.02,16.03,162778
2012-05-18 16:00:00-04:00,16.05,16.23,14.91,15.1,270619
