,Open,High,Low,Close,Volume
2016-05-18 16:00:00-04:00,224.91,228.29,222.5,227.41,4351218
2016-05-19 16:00:00-04:00,225.8,230.49,225.73,227.57,4235498
2016-05-20 16:00:00-04:00,227.46,233.6999,227.16,233.11,5519289
2016-05-23 16:00:00-04:00,232.2,233.19,223.61,225.0,6527842
2016-05-24 16:00:00-04:00,224.21,229.0,223.09,228.38,3480836
2016-05-25 16:00:00-04:00,227.46,229.37,224.05,225.6,3951694
2016-05-26 16:00:00-04:00,222.89,226.19,218.46,219.04,3267560
2016-05-27 16:00:00-04:00,217.01,222.02,217.01,219.97,2797201
2016-05-31 16:00:00-04:00,220.06,220.98,216.1,218.94,3566156
2016-06-01 16:00:00-04:00,222.5,227.51,220.1,227.5,3176483
2016-06-02 16:00:00-04:00,225.77,228.715,225.19,227.82,2996768
2016-06-03 16:00:00-04:00,227.41,227.81,224.12,224.95,1493535
2016-06-06 16:00:00-04:00,224.92,225.95,221.15,221.68,2636418
2016-06-07 16:00:00-04:00,221.31,223.41,220.52,220.8,1914920
2016-06-08 16:00:00-04:00,218.13,223.16,218.04,223.08,2846450
2016-06-09 16:00:00-04:00,222.19,223.23,221.09,222.97,1689848
2016-06-10 16:00:00-04:00,220.26,224.24,218.72,223.53,2184306
2016-06-13 16:00:00-04:00,223.42,226.35,223.04,223.28,2818816
2016-06-14 16:00:00-04:00,228.94,228.94,220.4982,222.24,3866259
2016-06-15 16:00:00-04:00,221.85,223.78,220.28,221.19,1720612
2016-06-16 16:00:00-04:00,222.73,222.825,220.1475,221.48,1781485
2016-06-17 16:00:00-04:00,221.63,223.025,219.47,221.05,7134953
2016-06-20 16:00:00-04:00,224.45,225.17,221.0,221.12,1508979
2016-06-21 16:00:00-04:00,220.35,223.0,220.08,222.81,1655166
2016-06-22 16:00:00-04:00,222.46,224.01,220.62,222.39,1905428
2016-06-23 16:00:00-04:00,223.28,225.4,221.0473,224.87,1751730
2016-06-24 16:00:00-04:00,219.17,224.23,215.18,216.8,5933546
2016-06-27 16:00:00-04:00,215.23,217.63,214.06,216.28,2699735
2016-06-28 16:00:00-04:00,217.52,220.62,216.09,218.38,1573185
2016-06-29 16:00:00-04:00,220.0,228.185,219.88,227.37,2182982
2016-06-30 16:00:00-04:00,226.92,229.8,225.74,228.64,2151586
2016-07-01 16:00:00-04:00,228.68,232.645,226.8061,232.29,1829679
2016-07-05 16:00:00-04:00,231.67,234.465,230.19,231.77,2492794
2016-07-06 16:00:00-04:00,231.0,232.99,229.01,232.78,1312965
2016-07-07 16:00:00-04:00,232.34,235.2,232.02,234.87,1164075
2016-07-08 16:00:00-04:00,237.06,238.27,235.89,237.17,1615406
2016-07-11 16:00:00-04:00,238.08,240.1,237.08,239.87,1288977
2016-07-12 16:00:00-04:00,239.52,241.48,237.79,238.45,1532742
2016-07-13 16:00:00-04:00,239.86,240.45,237.295,237.43,1215225
2016-07-14 16:00:00-04:00,239.24,239.94,235.94,239.11,941984
2016-07-15 16:00:00-04:00,240.41,240.41,234.21,234.98,1987309
2016-07-18 16:00:00-04:00,235.19,236.26,233.27,234.34,753186
2016-07-19 16:00:00-04:00,234.13,235.0,231.9,232.01,1373029
2016-07-20 16:00:00-04:00,232.91,236.54,227.63,236.19,1987124
2016-07-21 16:00:00-04:00,234.83,240.87,233.7,240.48,1715340
2016-07-22 16:00:00-04:00,241.36,244.44,239.0,243.47,1648868
2016-07-25 16:00:00-04:00,243.35,244.51,240.095,240.69,1027005
2016-07-26 16:00:00-04:00,241.69,242.61,235.21,237.98,1163011
2016-07-27 16:00:00-04:00,239.94,240.29,236.68,237.72,1167575
2016-07-28 16:00:00-04:00,237.07,239.39,237.07,237.8,784170
2016-07-29 16:00:00-04:00,238.55,238.8899,234.77,234.87,1008086
2016-08-01 16:00:00-04:00,235.54,238.96,234.16,236.0,1710351
2016-08-02 16:00:00-04:00,237.51,238.53,235.18,235.79,1330104
2016-08-03 16:00:00-04:00,235.75,237.72,234.79,237.11,949507
2016-08-04 16:00:00-04:00,236.89,238.94,235.9,236.99,902043
2016-08-05 16:00:00-04:00,238.01,238.435,234.41,234.79,917076
2016-08-08 16:00:00-04:00,234.55,239.37,233.0,236.82,1998791
2016-08-09 16:00:00-04:00,237.0,260.39,236.06,255.76,5655748
2016-08-10 16:00:00-04:00,255.77,257.38,253.206,254.07,1996554
2016-08-11 16:00:00-04:00,253.21,258.36,252.5,258.06,1467833
2016-08-12 16:00:00-04:00,256.53,258.8999,255.04,258.62,948296
2016-08-15 16:00:00-04:00,259.49,261.75,259.03,260.51,1144504
2016-08-16 16:00:00-04:00,260.49,261.4299,256.73,257.14,881470
2016-08-17 16:00:00-04:00,256.3,258.9,254.21,257.43,1108672
2016-08-18 16:00:00-04:00,257.35,258.88,253.415,254.83,1700659
2016-08-19 16:00:00-04:00,253.53,253.96,250.75,252.63,2067465
2016-08-22 16:00:00-04:00,253.08,253.08,250.05,252.65,1005575
2016-08-23 16:00:00-04:00,253.44,254.31,250.92,252.24,944817
2016-08-24 16:00:00-04:00,251.6,253.87,249.88,251.74,857303
2016-08-25 16:00:00-04:00,251.79,253.34,251.01,252.07,457884
2016-08-26 16:00:00-04:00,252.73,253.34,249.125,250.93,926490
2016-08-29 16:00:00-04:00,251.69,255.0,251.69,252.31,1035551
2016-08-30 16:00:00-04:00,251.55,256.72,250.9,256.03,1425722
2016-08-31 16:00:00-04:00,255.26,258.35,254.44,257.21,1458459
2016-09-01 16:00:00-04:00,267.0,272.81,264.37,268.82,7872466
2016-09-02 16:00:00-04:00,268.68,272.96,268.68,271.79,3715026
2016-09-06 16:00:00-04:00,279.95,279.95,270.02,274.67,5043837
2016-09-07 16:00:00-04:00,273.42,277.69,272.65,277.56,35466604
2016-09-08 16:00:00-04:00,276.2,276.45,267.38,268.66,5006568
2016-09-09 16:00:00-04:00,266.36,267.49,264.12,264.12,2897723
2016-09-12 16:00:00-04:00,263.76,269.7,263.27,269.31,2537003
2016-09-13 16:00:00-04:00,266.81,268.46,262.57,264.97,1981208
2016-09-14 16:00:00-04:00,262.11,267.91,262.11,266.69,1302323
2016-09-15 16:00:00-04:00,265.93,268.83,264.76,266.27,1692849
2016-09-16 16:00:00-04:00,266.22,266.87,264.16,265.94,2515379
2016-09-19 16:00:00-04:00,266.38,268.09,262.7,262.93,2133111
2016-09-20 16:00:00-04:00,264.21,266.0,261.68,264.56,1968211
2016-09-21 16:00:00-04:00,266.0,274.78,266.0,274.27,2320152
2016-09-22 16:00:00-04:00,276.0,277.62,273.51,276.73,1622160
2016-09-23 16:00:00-04:00,275.65,276.95,274.89,276.08,834596
2016-09-26 16:00:00-04:00,275.02,275.63,272.49,273.82,1295212
2016-09-27 16:00:00-04:00,273.33,277.77,271.31,275.4,1269283
2016-09-28 16:00:00-04:00,275.4,276.61,273.66,276.57,1175549
2016-09-29 16:00:00-04:00,275.26,276.11,269.14,271.83,1793644
2016-09-30 16:00:00-04:00,268.9,272.41,268.9,269.97,1875169
2016-10-03 16:00:00-04:00,269.68,270.99,266.05,268.16,1908940
2016-10-04 16:00:00-04:00,267.38,269.56,265.93,267.41,1745311
2016-10-05 16:00:00-04:00,268.73,269.3,266.19,267.08,1333435
2016-10-06 16:00:00-04:00,267.0,269.46,266.36,268.17,1079571
2016-10-07 16:00:00-04:00,269.04,269.04,266.92,266.97,1373526
2016-10-10 16:00:00-04:00,268.3,268.85,266.24,267.85,2016316
2016-10-11 16:00:00-04:00,262.32,263.82,257.51,257.86,3440485
2016-10-12 16:00:00-04:00,257.91,259.33,256.82,256.89,1702830
2016-10-13 16:00:00-04:00,255.72,257.27,253.38,256.4,1284564
2016-10-14 16:00:00-04:00,257.92,261.325,255.8062,257.59,1112901
2016-10-17 16:00:00-04:00,257.82,260.2,256.98,257.52,823169
2016-10-18 16:00:00-04:00,259.62,261.51,259.51,259.95,1127212
2016-10-19 16:00:00-04:00,260.81,262.92,259.42,260.2,1319252
2016-10-20 16:00:00-04:00,260.5,260.54,257.56,258.12,1518548
2016-10-21 16:00:00-04:00,256.2,257.37,254.08,255.06,2250548
2016-10-24 16:00:00-04:00,257.26,259.78,254.72,259.6,1382017
2016-10-25 16:00:00-04:00,259.99,261.01,256.02,257.06,1680654
2016-10-26 16:00:00-04:00,256.6,257.15,247.0,248.64,2999430
2016-10-27 16:00:00-04:00,249.04,249.88,242.47,244.1,2875805
2016-10-28 16:00:00-04:00,245.02,252.255,245.02,249.25,2041747
2016-10-31 16:00:00-04:00,250.62,251.25,247.386,249.89,1230026
2016-11-01 16:00:00-04:00,250.0,251.27,245.43,249.57,1676428
2016-11-02 16:00:00-04:00,249.36,254.55,248.29,252.91,3472057
2016-11-03 16:00:00-04:00,267.57,269.19,242.64,247.42,4560570
2016-11-04 16:00:00-04:00,241.5,254.43,241.5,250.23,2424186
2016-11-07 16:00:00-05:00,254.73,257.495,252.9,257.16,2372654
2016-11-08 16:00:00-05:00,257.58,263.32,255.37,262.26,1716772
2016-11-09 16:00:00-05:00,259.13,277.98,259.0,269.83,4369703
2016-11-10 16:00:00-05:00,271.2,281.3554,266.58,270.87,5210954
2016-11-11 16:00:00-05:00,269.07,273.79,265.32,272.44,2111928
2016-11-14 16:00:00-05:00,272.29,273.99,263.06,263.14,2474958
2016-11-15 16:00:00-05:00,263.21,267.86,259.95,260.2,2688198
2016-11-16 16:00:00-05:00,260.0,262.64,258.63,261.99,2344420
2016-11-17 16:00:00-05:00,262.2,266.57,261.205,265.48,1335216
2016-11-18 16:00:00-05:00,264.19,266.0,260.0,262.7,1796842
2016-11-21 16:00:00-05:00,263.82,265.71,260.17,264.1,1581799
2016-11-22 16:00:00-05:00,264.94,273.26,264.26,273.02,2800375
2016-11-23 16:00:00-05:00,272.34,273.95,270.65,272.31,1358511
2016-11-25 13:00:00-05:00,273.0,275.929,272.06,275.5,626949
2016-11-28 16:00:00-05:00,275.71,275.82,270.28,270.82,1706953
2016-11-29 16:00:00-05:00,272.14,281.43,271.14,280.49,2657337
2016-11-30 16:00:00-05:00,280.49,281.08,272.02,275.31,2486277
2016-12-01 16:00:00-05:00,273.55,276.0,269.95,272.55,1401249
2016-12-02 16:00:00-05:00,273.04,274.11,265.78,266.67,1751489
2016-12-05 16:00:00-05:00,268.36,273.96,267.01,270.93,1765022
2016-12-06 16:00:00-05:00,272.17,277.09,271.32,276.32,1233270
2016-12-07 16:00:00-05:00,276.44,287.27,275.11,284.25,2007704
2016-12-08 16:00:00-05:00,285.4,285.4,278.61,279.0,1757656
2016-12-09 16:00:00-05:00,279.74,280.49,276.51,278.81,1317208
2016-12-12 16:00:00-05:00,281.04,281.9492,275.98,277.92,1490787
2016-12-13 16:00:00-05:00,279.59,285.1,275.34,283.86,1485439
2016-12-14 16:00:00-05:00,283.9,293.42,281.99,288.26,2460112
2016-12-15 16:00:00-05:00,288.16,293.74,287.99,291.16,1843315
2016-12-16 16:00:00-05:00,292.62,294.66,287.65,288.44,2331965
2016-12-19 16:00:00-05:00,288.96,291.995,287.09,288.91,929906
2016-12-20 16:00:00-05:00,288.46,291.61,288.09,290.38,880081
2016-12-21 16:00:00-05:00,290.63,292.845,288.01,291.24,813057
2016-12-22 16:00:00-05:00,291.03,291.79,287.47,291.02,770329
2016-12-23 16:00:00-05:00,290.73,292.97,288.94,290.43,627474
2016-12-27 16:00:00-05:00,291.55,293.29,290.0,291.8,837165
2016-12-28 16:00:00-05:00,293.01,293.73,290.43,291.12,882580
2016-12-29 16:00:00-05:00,291.02,294.87,290.11,292.19,1030956
