,Open,High,Low,Close,Volume
2014-01-14 16:00:00-05:00,28.5,28.5,28.5,28.5,100
2014-01-15 16:00:00-05:00,26.75,26.75,26.75,26.75,2000
2014-01-17 16:00:00-05:00,28.5,28.5,28.5,28.5,900
2014-01-28 16:00:00-05:00,28.95,28.95,28.95,28.95,100
2014-01-29 16:00:00-05:00,28.0,28.0,28.0,28.0,136
2014-01-30 16:00:00-05:00,28.0,28.0,28.0,28.0,1500
2014-01-31 16:00:00-05:00,27.816,28.0,27.816,28.0,400
2014-02-06 16:00:00-05:00,27.9985,27.9985,27.9985,27.9985,200
2014-02-10 16:00:00-05:00,28.0,29.0,28.0,29.0,2600
2014-02-12 16:00:00-05:00,28.0,28.0,28.0,28.0,500
2014-02-13 16:00:00-05:00,28.0,28.0,28.0,28.0,200
2014-02-14 16:00:00-05:00,28.0,29.0,28.0,29.0,3814
2014-02-18 16:00:00-05:00,28.75,28.75,28.75,28.75,2000
2014-02-19 16:00:00-05:00,29.0,29.0,28.75,28.75,3500
2014-02-21 16:00:00-05:00,28.75,28.75,28.7,28.7,2163
2014-02-27 16:00:00-05:00,28.7,28.7,28.7,28.7,2700
2014-02-28 16:00:00-05:00,28.7,28.7,28.7,28.7,1131
2014-03-03 16:00:00-05:00,29.25,29.25,29.25,29.25,337
2014-03-04 16:00:00-05:00,29.25,29.25,29.25,29.25,3500
2014-03-05 16:00:00-05:00,29.25,29.25,29.0,29.0,1100
2014-03-07 16:00:00-05:00,29.25,29.55,29.25,29.55,7600
2014-03-11 16:00:00-04:00,29.5,29.5,29.5,29.5,2600
2014-03-12 16:00:00-04:00,29.01,29.01,29.01,29.01,1000
2014-03-17 16:00:00-04:00,29.3,29.3,29.3,29.3,800
2014-03-19 16:00:00-04:00,29.3,29.3,29.3,29.3,1750
2014-03-20 16:00:00-04:00,29.3,29.3,29.3,29.3,1000
2014-03-21 16:00:00-04:00,29.3,29.35,29.2999,29.3332,6800
2014-03-24 16:00:00-04:00,29.35,29.5,29.0,29.0,6900
2014-03-25 16:00:00-04:00,29.55,29.55,29.55,29.55,637
2014-03-28 16:00:00-04:00,29.5,29.5,29.5,29.5,100
2014-03-31 16:00:00-04:00,29.55,29.75,29.55,29.75,2000
2014-04-01 16:00:00-04:00,29.5,29.5,29.4999,29.4999,1500
2014-04-02 16:00:00-04:00,29.5,29.5,29.5,29.5,200
2014-04-03 16:00:00-04:00,29.5,29.5,29.5,29.5,200
2014-04-04 16:00:00-04:00,29.5,29.5,29.5,29.5,1000
2014-04-08 16:00:00-04:00,29.35,29.35,28.83,28.83,400
2014-04-10 16:00:00-04:00,29.0,29.0,29.0,29.0,300
2014-04-15 16:00:00-04:00,28.75,28.95,28.75,28.95,3635
2014-04-16 16:00:00-04:00,28.95,28.95,28.95,28.95,700
2014-04-21 16:00:00-04:00,28.95,28.95,28.9499,28.95,1448
2014-04-22 16:00:00-04:00,28.95,28.95,28.95,28.95,100
2014-04-23 16:00:00-04:00,28.95,28.95,28.9499,28.9499,1800
2014-04-24 16:00:00-04:00,28.949,28.95,28.94,28.94,13600
2014-04-25 16:00:00-04:00,28.95,28.95,28.95,28.95,3000
2014-04-28 16:00:00-04:00,29.35,29.35,28.95,28.95,1500
2014-04-29 16:00:00-04:00,28.95,28.95,28.9,28.95,3500
2014-04-30 16:00:00-04:00,28.95,28.95,28.95,28.95,4700
2014-05-01 16:00:00-04:00,28.95,29.35,28.95,29.35,4100
2014-05-02 16:00:00-04:00,29.0,29.0,29.0,29.0,2900
2014-05-05 16:00:00-04:00,29.0,29.0,29.0,29.0,1200
2014-05-06 16:00:00-04:00,29.0,29.0,29.0,29.0,2700
2014-05-07 16:00:00-04:00,29.0,29.0,29.0,29.0,1000
2014-05-08 16:00:00-04:00,29.0,29.0,29.0,29.0,500
2014-05-09 16:00:00-04:00,29.05,29.05,29.0,29.0,2500
2014-05-12 16:00:00-04:00,29.0,29.0,28.9,28.9,3200
2014-05-13 16:00:00-04:00,29.0,29.0,28.7501,29.0,1500
2014-05-14 16:00:00-04:00,28.99,29.0,28.99,29.0,4153
2014-05-16 16:00:00-04:00,28.95,28.95,28.9,28.9,8000
2014-05-19 16:00:00-04:00,28.95,28.95,28.95,28.95,1400
2014-05-20 16:00:00-04:00,28.95,28.95,28.8505,28.95,3100
2014-05-21 16:00:00-04:00,28.95,29.0,28.95,29.0,8150
2014-05-22 16:00:00-04:00,30.0,30.0,30.0,30.0,2500
2014-05-23 16:00:00-04:00,30.0,30.0,30.0,30.0,3200
2014-05-27 16:00:00-04:00,29.9999,30.0,29.9999,29.9999,1806
2014-05-28 16:00:00-04:00,30.0,30.0,29.99,29.99,4650
2014-05-29 16:00:00-04:00,30.0,30.0,30.0,30.0,1500
2014-06-02 16:00:00-04:00,30.0,30.0,29.9999,30.0,2800
2014-06-03 16:00:00-04:00,30.0,30.0,29.9999,30.0,5300
2014-06-09 16:00:00-04:00,30.0,30.0,29.0,29.0,1300
2014-06-10 16:00:00-04:00,30.0,30.0,29.994,30.0,1975
2014-06-12 16:00:00-04:00,29.97,30.0,29.97,29.97,1500
2014-06-13 16:00:00-04:00,30.0,30.0,30.0,30.0,100
2014-06-19 16:00:00-04:00,30.0,30.0,30.0,30.0,700
2014-06-20 16:00:00-04:00,30.0,33.0,30.0,33.0,3000
2014-06-27 16:00:00-04:00,32.9,32.9,32.9,32.9,300
2014-07-07 16:00:00-04:00,30.0001,30.0001,30.0001,30.0001,100
2014-07-08 16:00:00-04:00,32.85,32.85,32.85,32.85,118
2014-07-30 16:00:00-04:00,32.7,32.7,31.0,31.41,7398
2014-08-21 16:00:00-04:00,31.1899,31.1899,30.96,30.96,8955
2014-08-22 16:00:00-04:00,31.15,31.15,31.15,31.15,1100
2014-08-25 16:00:00-04:00,31.15,31.15,31.1499,31.1499,417
2014-08-27 16:00:00-04:00,31.0999,31.0999,31.0999,31.0999,500
2014-08-29 16:00:00-04:00,31.15,31.15,31.1,31.1,1150
2014-09-02 16:00:00-04:00,31.4,31.4,31.4,31.4,100
2014-09-03 16:00:00-04:00,31.41,31.41,31.41,31.41,740
2014-09-08 16:00:00-04:00,31.0,31.0,31.0,31.0,300
2014-09-09 16:00:00-04:00,31.0,31.2,30.9,31.2,1496
2014-09-10 16:00:00-04:00,31.0,31.0,31.0,31.0,1000
2014-09-11 16:00:00-04:00,31.01,32.0,31.01,32.0,1544
2014-09-12 16:00:00-04:00,32.08,32.08,32.08,32.08,200
2014-09-25 16:00:00-04:00,31.25,31.25,31.25,31.25,1100
2014-10-03 16:00:00-04:00,31.99,31.99,31.99,31.99,100
2014-10-10 16:00:00-04:00,33.0,33.0,32.5,32.75,400
2014-10-21 16:00:00-04:00,32.95,32.95,32.075,32.075,500
2014-10-28 16:00:00-04:00,32.04,32.04,32.04,32.04,200
2014-11-14 16:00:00-05:00,31.0,31.0,31.0,31.0,700
2014-12-19 16:00:00-05:00,34.3,34.3,32.5,32.5,400
2014-12-23 16:00:00-05:00,31.76,31.76,30.59,31.0,41450
2014-12-24 16:00:00-05:00,31.0,31.0,31.0,31.0,100
2014-12-29 16:00:00-05:00,32.51,32.51,32.5,32.5,200
2014-12-30 16:00:00-05:00,32.5,32.5,32.5,32.5,300
2014-12-31 16:00:00-05:00,32.9,32.9,32.9,32.9,568
2015-01-02 16:00:00-05:00,32.5,34.0,32.5,33.99,1600
2015-01-05 16:00:00-05:00,32.5,32.5,32.5,32.5,200
2015-01-06 16:00:00-05:00,32.6,32.6,32.6,32.6,200
2015-02-13 16:00:00-05:00,34.5,34.5,34.5,34.5,300
2015-02-20 16:00:00-05:00,35.21,35.21,35.21,35.21,6000
2015-02-23 16:00:00-05:00,35.5,35.5,35.0,35.0,1700
2015-02-24 16:00:00-05:00,35.299,35.3,35.299,35.3,400
2015-02-25 16:00:00-05:00,35.25,35.5,35.25,35.5,500
2015-03-02 16:00:00-05:00,34.61,35.0,34.1,35.0,2303
2015-03-06 16:00:00-05:00,35.0,35.0,34.65,34.65,315
2015-03-17 16:00:00-04:00,35.2999,35.3,35.2999,35.3,1025
2015-03-18 16:00:00-04:00,38.5,38.75,34.25,35.05,1715
2015-03-23 16:00:00-04:00,34.78,35.0,34.45,35.0,1903
2015-03-25 16:00:00-04:00,35.45,35.45,35.45,35.45,100
2015-03-26 16:00:00-04:00,35.5,35.5,35.5,35.5,300
2015-03-27 16:00:00-04:00,35.7,36.1,35.7,36.1,1000
2015-04-02 16:00:00-04:00,35.9,35.979,35.9,35.979,600
2015-04-13 16:00:00-04:00,36.0,36.0,36.0,36.0,600
2015-04-14 16:00:00-04:00,35.5,35.5,35.5,35.5,200
2015-04-16 16:00:00-04:00,38.5,38.5,38.5,38.5,200
2015-04-24 16:00:00-04:00,35.8895,35.8895,35.6,35.6,200
2015-04-28 16:00:00-04:00,35.0,35.0,35.0,35.0,160
2015-04-29 16:00:00-04:00,35.5,35.5,35.5,35.5,200
2015-05-01 16:00:00-04:00,35.83,36.05,35.83,36.0,2300
2015-05-07 16:00:00-04:00,36.0,36.0,36.0,36.0,101
2015-05-08 16:00:00-04:00,36.5,39.1186,36.5,38.9218,1200
2015-05-11 16:00:00-04:00,38.5,38.5,38.5,38.5,400
2015-05-14 16:00:00-04:00,38.2,38.75,38.2,38.75,900
2015-06-01 16:00:00-04:00,36.5,36.5,36.5,36.5,300
2015-06-08 16:00:00-04:00,199999.99,36.5,36.45,36.45,32536
2015-06-10 16:00:00-04:00,36.2,36.2499,36.2,36.2499,700
2015-06-11 16:00:00-04:00,36.2499,36.2499,36.2499,36.2499,500
2015-06-15 16:00:00-04:00,36.25,36.25,36.25,36.25,103
2015-06-16 16:00:00-04:00,35.5,35.5,34.125,34.125,1001
2015-06-17 16:00:00-04:00,36.2,36.2,36.2,36.2,189
2015-06-18 16:00:00-04:00,36.25,36.25,36.25,36.25,449
2015-06-23 16:00:00-04:00,36.25,36.25,36.25,36.25,400
2015-06-30 16:00:00-04:00,35.69,35.69,34.88,34.88,206
2015-07-01 16:00:00-04:00,34.55,35.0,33.5,34.6,3087
2015-07-24 16:00:00-04:00,34.9,34.91,34.9,34.9,4800
2015-07-27 16:00:00-04:00,34.9,34.9,34.89,34.9,5200
2015-07-28 16:00:00-04:00,34.8,34.9,34.8,34.9,4100
2015-07-30 16:00:00-04:00,34.8,34.8,34.78,34.78,706
2015-08-04 16:00:00-04:00,34.9,34.9,34.9,34.9,475
2015-08-05 16:00:00-04:00,34.9,34.9,34.75,34.75,400
2015-08-24 16:00:00-04:00,33.5,33.5,32.84,32.84,1416
2015-08-25 16:00:00-04:00,33.0,33.0,31.79,31.79,1000
2015-08-28 16:00:00-04:00,33.248,33.248,33.2,33.2,353
2015-09-08 16:00:00-04:00,32.2,32.2,32.2,32.2,125
2015-09-10 16:00:00-04:00,33.0,33.24,33.0,33.24,500
2015-09-11 16:00:00-04:00,32.12,32.12,32.12,32.12,1000
2015-09-16 16:00:00-04:00,33.15,33.15,33.0783,33.0783,601
2015-09-22 16:00:00-04:00,33.2,33.2,33.2,33.2,299
2015-09-23 16:00:00-04:00,32.26,32.26,32.26,32.26,100
2015-09-30 16:00:00-04:00,33.2,33.2,33.2,33.2,103
2015-10-07 16:00:00-04:00,33.16,33.16,33.16,33.16,101
2015-10-12 16:00:00-04:00,32.68,32.68,32.68,32.68,200
2015-10-16 16:00:00-04:00,33.45,33.45,33.45,33.45,200
2015-10-23 16:00:00-04:00,32.98,33.0,32.98,33.0,1181
2015-10-30 16:00:00-04:00,33.5,33.5,33.4946,33.4946,620
2015-11-02 16:00:00-05:00,33.5,33.5,33.5,33.5,500
2015-11-03 16:00:00-05:00,36.84,36.84,36.84,36.84,200
2015-11-05 16:00:00-05:00,37.3561,37.3561,37.3561,37.3561,350
2015-11-09 16:00:00-05:00,37.05,37.2,37.0,37.0,763
2015-11-11 16:00:00-05:00,36.5,36.5,36.5,36.5,150
2015-11-16 16:00:00-05:00,37.398,37.4,37.398,37.4,445
2015-12-01 16:00:00-05:00,36.6,36.6,36.6,36.6,500
2015-12-08 16:00:00-05:00,35.95,35.95,35.95,35.95,100
2015-12-09 16:00:00-05:00,36.0,36.25,36.0,36.25,399
2015-12-14 16:00:00-05:00,33.76,33.76,33.72,33.72,1408
2015-12-23 16:00:00-05:00,35.0,35.0,35.0,35.0,305
2015-12-30 16:00:00-05:00,36.25,36.75,36.2499,36.75,2100
2016-01-04 16:00:00-05:00,40.0,40.0,39.99,39.99,1124
