,Open,High,Low,Close,Volume
2017-07-20 16:00:00-04:00,9.5,11.88,9.26,11.25,1406128
2017-07-21 16:00:00-04:00,11.47,11.47,10.55,10.81,207171
2017-07-24 16:00:00-04:00,11.24,11.24,10.25,10.815,112462
2017-07-25 16:00:00-04:00,11.46,11.46,10.2501,10.75,240277
2017-07-26 16:00:00-04:00,10.7,11.1541,10.2634,10.44,45440
2017-07-27 16:00:00-04:00,10.5,10.9732,10.3425,10.69,56396
2017-07-28 16:00:00-04:00,10.67,10.85,10.56,10.75,32663
2017-07-31 16:00:00-04:00,10.8,10.9881,10.61,10.78,38293
2017-08-01 16:00:00-04:00,10.7,11.0,10.5906,10.84,28759
2017-08-02 16:00:00-04:00,10.7,11.28,10.651,11.22,34292
2017-08-03 16:00:00-04:00,11.3,11.3,10.7,10.9,20834
2017-08-04 16:00:00-04:00,10.61,11.25,10.61,11.25,12566
2017-08-07 16:00:00-04:00,11.25,11.25,11.01,11.19,7392
2017-08-08 16:00:00-04:00,11.05,11.15,10.97,11.04,17914
2017-08-09 16:00:00-04:00,11.0,11.172,11.0,11.14,17722
2017-08-10 16:00:00-04:00,11.11,12.565,11.0,12.14,33225
2017-08-11 16:00:00-04:00,12.0,12.1647,11.135,11.82,17977
2017-08-14 16:00:00-04:00,11.7,12.38,11.7,12.25,61413
2017-08-15 16:00:00-04:00,12.58,12.9658,12.33,12.5,43488
2017-08-16 16:00:00-04:00,13.0,13.0,11.78,12.07,39690
2017-08-17 16:00:00-04:00,11.61,12.2,11.49,11.82,75622
2017-08-18 16:00:00-04:00,11.8,12.5,11.8,12.46,19515
2017-08-21 16:00:00-04:00,12.77,13.57,12.151,13.57,50294
2017-08-22 16:00:00-04:00,13.74,15.22,13.51,14.78,77483
2017-08-23 16:00:00-04:00,14.99,16.36,14.99,15.78,132363
2017-08-24 16:00:00-04:00,16.5,16.8,15.18,15.61,76562
2017-08-25 16:00:00-04:00,15.7,15.825,13.41,14.74,55780
2017-08-28 16:00:00-04:00,14.01,16.0,14.01,15.67,48546
2017-08-29 16:00:00-04:00,15.48,16.5,15.19,15.92,54365
2017-08-30 16:00:00-04:00,15.86,16.3,15.06,16.02,53603
2017-08-31 16:00:00-04:00,16.35,16.35,15.17,15.2,73439
2017-09-01 16:00:00-04:00,15.24,17.41,15.01,17.41,86047
2017-09-05 16:00:00-04:00,17.5,19.26,16.81,19.21,197589
2017-09-06 16:00:00-04:00,19.69,20.93,18.7,20.28,226175
2017-09-07 16:00:00-04:00,20.28,22.0,19.7719,22.0,252417
2017-09-08 16:00:00-04:00,22.38,24.75,21.93,23.31,312356
2017-09-11 16:00:00-04:00,23.3,24.71,22.5001,24.04,190349
2017-09-12 16:00:00-04:00,26.0,27.04,23.5,26.0,196834
2017-09-13 16:00:00-04:00,25.53,26.89,25.035,26.39,138523
2017-09-14 16:00:00-04:00,26.8,29.3941,26.5,28.31,231473
2017-09-15 16:00:00-04:00,28.55,29.4549,23.955,24.68,1139008
2017-09-18 16:00:00-04:00,24.64,25.4961,21.0704,21.87,319104
2017-09-19 16:00:00-04:00,21.95,24.6451,21.875,24.3,134885
2017-09-20 16:00:00-04:00,24.3,24.3,23.21,23.94,56943
2017-09-21 16:00:00-04:00,24.02,26.85,23.85,26.67,96721
2017-09-22 16:00:00-04:00,26.46,26.7,25.1112,25.72,57268
2017-09-25 16:00:00-04:00,25.76,26.59,24.4001,26.54,38529
2017-09-26 16:00:00-04:00,26.66,26.8,25.8222,26.47,37730
2017-09-27 16:00:00-04:00,24.54,25.76,23.62,24.64,112732
2017-09-28 16:00:00-04:00,24.61,24.62,23.75,24.38,42596
2017-09-29 16:00:00-04:00,24.74,24.74,24.1,24.49,41094
2017-10-02 16:00:00-04:00,24.75,26.45,24.296,26.4,58981
2017-10-03 16:00:00-04:00,26.55,27.94,25.991,26.79,50317
2017-10-04 16:00:00-04:00,26.5,26.78,24.78,25.83,65261
2017-10-05 16:00:00-04:00,25.97,26.66,25.46,26.49,29151
2017-10-06 16:00:00-04:00,26.67,26.76,25.845,26.44,45356
2017-10-09 16:00:00-04:00,26.36,26.62,25.24,25.97,30042
2017-10-10 16:00:00-04:00,26.25,29.5,25.71,29.09,121762
2017-10-11 16:00:00-04:00,29.11,31.89,28.41,31.48,97532
2017-10-12 16:00:00-04:00,31.5,31.5,28.75,29.08,63738
2017-10-13 16:00:00-04:00,29.0,30.1248,27.57,27.83,40454
2017-10-16 16:00:00-04:00,28.23,28.3,27.5608,27.93,50640
2017-10-17 16:00:00-04:00,27.87,27.9816,27.11,27.28,23189
2017-10-18 16:00:00-04:00,27.28,27.28,25.17,25.37,40140
2017-10-19 16:00:00-04:00,25.08,25.49,24.67,25.16,48995
2017-10-20 16:00:00-04:00,25.33,25.98,25.0004,25.3,38859
2017-10-23 16:00:00-04:00,24.98,25.0,22.9,22.92,55857
2017-10-24 16:00:00-04:00,23.29,24.49,23.0,23.29,68981
2017-10-25 16:00:00-04:00,23.3,24.2399,23.29,23.4,35084
2017-10-26 16:00:00-04:00,23.41,24.0,23.2,23.76,16149
2017-10-27 16:00:00-04:00,24.25,24.25,22.31,22.47,36912
2017-10-30 16:00:00-04:00,22.49,24.56,22.49,23.94,54334
2017-10-31 16:00:00-04:00,24.35,24.35,20.48,20.48,49275
2017-11-01 16:00:00-04:00,20.84,24.06,20.84,23.15,67227
2017-11-02 16:00:00-04:00,23.23,23.23,21.18,21.81,40655
2017-11-03 16:00:00-04:00,21.45,22.76,20.9,22.2,42471
2017-11-06 16:00:00-05:00,22.2,22.25,21.32,21.79,23105
2017-11-07 16:00:00-05:00,21.83,22.45,20.31,20.62,28799
2017-11-08 16:00:00-05:00,20.5,21.49,20.5,21.27,21878
2017-11-09 16:00:00-05:00,21.35,22.0,20.74,21.81,21352
2017-11-10 16:00:00-05:00,21.37,22.149,21.02,21.23,32501
2017-11-13 16:00:00-05:00,21.25,21.25,20.36,21.16,23118
2017-11-14 16:00:00-05:00,20.26,20.71,19.071,19.18,75891
2017-11-15 16:00:00-05:00,19.34,19.6466,17.66,17.94,53519
2017-11-16 16:00:00-05:00,17.94,19.7592,17.94,18.86,40808
2017-11-17 16:00:00-05:00,18.7,19.175,18.2098,18.34,41005
2017-11-20 16:00:00-05:00,18.38,18.86,18.145,18.75,27063
2017-11-21 16:00:00-05:00,18.93,19.4999,18.45,18.72,25488
2017-11-22 16:00:00-05:00,18.97,19.49,18.7,19.46,25133
2017-11-24 13:00:00-05:00,20.0,20.24,19.59,19.9,15981
2017-11-27 16:00:00-05:00,20.05,20.52,19.53,19.75,45504
2017-11-28 16:00:00-05:00,19.43,20.35,19.01,19.8,55752
2017-11-29 16:00:00-05:00,19.69,20.17,19.16,19.83,53183
2017-11-30 16:00:00-05:00,20.03,20.03,18.87,19.14,44004
2017-12-01 16:00:00-05:00,19.0,19.11,18.38,18.73,28883
2017-12-04 16:00:00-05:00,18.58,19.879,17.015,17.13,93186
2017-12-05 16:00:00-05:00,17.18,18.05,17.11,17.9,42372
2017-12-06 16:00:00-05:00,18.13,19.05,17.611,18.97,23891
2017-12-07 16:00:00-05:00,19.17,19.99,18.94,19.85,41888
2017-12-08 16:00:00-05:00,20.0,20.89,19.5,20.5,57351
