,Open,High,Low,Close,Volume
2009-08-11 16:00:00-04:00,17.0,17.75,16.35,16.83,1743273
2009-08-12 16:00:00-04:00,17.22,17.22,16.75,17.0,318883
2009-08-13 16:00:00-04:00,17.47,17.47,16.9,17.045,77988
2009-08-14 16:00:00-04:00,17.0,17.05,16.9,17.01,58111
2009-08-17 16:00:00-04:00,17.0,17.04,16.64,16.8,118926
2009-08-18 16:00:00-04:00,17.13,17.13,16.6,16.75,66129
2009-08-19 16:00:00-04:00,16.68,16.83,16.3,16.75,137643
2009-08-20 16:00:00-04:00,16.95,17.04,16.37,16.62,106427
2009-08-21 16:00:00-04:00,16.8812,17.02,16.63,16.75,166772
2009-08-24 16:00:00-04:00,16.7,16.868,16.61,16.85,46228
2009-08-25 16:00:00-04:00,16.85,16.9499,16.71,16.86,21220
2009-08-26 16:00:00-04:00,16.93,17.0,16.75,16.78,25123
2009-08-27 16:00:00-04:00,16.95,16.95,16.65,16.75,26029
2009-08-28 16:00:00-04:00,16.8,16.9,16.749,16.75,22400
2009-08-31 16:00:00-04:00,16.75,16.81,16.37,16.74,9640
2009-09-01 16:00:00-04:00,16.75,16.86,15.0,16.1,71097
2009-09-02 16:00:00-04:00,16.03,16.2,15.1,15.97,61568
2009-09-03 16:00:00-04:00,15.17,16.64,15.16,16.64,48200
2009-09-04 16:00:00-04:00,16.76,16.76,15.64,16.75,47522
2009-09-08 16:00:00-04:00,16.78,16.78,16.15,16.49,14733
2009-09-09 16:00:00-04:00,16.5,17.0,16.28,16.95,80070
2009-09-10 16:00:00-04:00,16.83,16.93,15.85,16.71,76646
2009-09-11 16:00:00-04:00,16.7,16.7,15.8,15.91,29413
2009-09-14 16:00:00-04:00,15.74,16.17,14.66,15.32,99244
2009-09-15 16:00:00-04:00,15.6367,15.64,14.95,15.08,61436
2009-09-16 16:00:00-04:00,14.9,16.75,14.88,16.5,70762
2009-09-17 16:00:00-04:00,16.6,16.6,15.62,16.58,31824
2009-09-18 16:00:00-04:00,16.01,16.98,16.01,16.98,44064
2009-09-21 16:00:00-04:00,17.05,17.05,16.77,16.99,68447
2009-09-22 16:00:00-04:00,17.24,17.24,15.98,16.72,45443
2009-09-23 16:00:00-04:00,16.91,16.935,16.3,16.34,25669
2009-09-24 16:00:00-04:00,16.31,16.64,15.7,16.35,36185
2009-09-25 16:00:00-04:00,16.31,16.31,15.25,15.25,41645
2009-09-28 16:00:00-04:00,15.74,15.9799,15.2601,15.56,69750
2009-09-29 16:00:00-04:00,15.84,17.02,15.3,16.49,133350
2009-09-30 16:00:00-04:00,16.93,16.93,15.65,16.19,1026075
2009-10-01 16:00:00-04:00,16.0,16.77,15.52,16.09,92135
2009-10-02 16:00:00-04:00,15.88,16.36,15.4,15.49,93750
2009-10-05 16:00:00-04:00,15.75,15.88,15.3,15.32,30757
2009-10-06 16:00:00-04:00,15.47,15.63,15.33,15.53,24790
2009-10-07 16:00:00-04:00,15.45,15.698,15.3,15.5,16671
2009-10-08 16:00:00-04:00,15.57,15.739,15.11,15.41,38127
2009-10-09 16:00:00-04:00,15.42,15.75,15.22,15.36,14732
2009-10-12 16:00:00-04:00,15.36,15.36,14.57,14.72,57609
2009-10-13 16:00:00-04:00,14.75,15.05,14.0,14.88,76799
2009-10-14 16:00:00-04:00,15.02,15.02,14.27,14.33,32488
2009-10-15 16:00:00-04:00,14.25,14.42,13.69,13.8,73515
2009-10-16 16:00:00-04:00,13.76,13.97,12.92,13.4,123979
2009-10-19 16:00:00-04:00,13.53,14.25,13.0,13.76,170464
2009-10-20 16:00:00-04:00,13.35,13.78,13.23,13.75,60043
2009-10-21 16:00:00-04:00,13.62,13.73,13.45,13.6,100496
2009-10-22 16:00:00-04:00,13.55,13.59,13.34,13.43,46714
2009-10-23 16:00:00-04:00,13.44,13.44,13.03,13.03,26434
2009-10-26 16:00:00-04:00,13.0,13.65,13.0,13.55,64583
2009-10-27 16:00:00-04:00,13.76,13.76,13.15,13.18,27689
2009-10-28 16:00:00-04:00,13.11,13.16,11.78,11.95,56752
2009-10-29 16:00:00-04:00,12.08,13.13,11.79,12.04,62005
2009-10-30 16:00:00-04:00,11.91,12.26,11.897,11.9,38058
2009-11-02 16:00:00-05:00,12.5,12.5,11.9,12.22,23990
2009-11-03 16:00:00-05:00,12.18,12.49,11.94,12.48,47249
2009-11-04 16:00:00-05:00,12.49,12.49,12.0,12.06,24258
2009-11-05 16:00:00-05:00,12.2,12.95,12.0,12.58,24477
2009-11-06 16:00:00-05:00,12.63,12.63,12.2,12.42,17670
2009-11-09 16:00:00-05:00,12.52,12.67,12.45,12.51,21281
2009-11-10 16:00:00-05:00,13.96,13.96,13.24,13.42,83763
2009-11-11 16:00:00-05:00,13.39,13.5,13.01,13.45,58860
2009-11-12 16:00:00-05:00,13.43,13.59,13.31,13.38,61967
2009-11-13 16:00:00-05:00,13.44,13.6,13.36,13.53,95126
2009-11-16 16:00:00-05:00,13.55,14.29,13.31,14.26,101470
2009-11-17 16:00:00-05:00,14.09,14.25,14.09,14.25,66441
2009-11-18 16:00:00-05:00,14.25,14.55,14.14,14.53,31096
2009-11-19 16:00:00-05:00,14.48,14.815,14.46,14.62,41641
2009-11-20 16:00:00-05:00,14.62,15.44,14.32,15.44,48409
2009-11-23 16:00:00-05:00,15.49,15.49,14.5,15.15,34256
2009-11-24 16:00:00-05:00,15.21,16.19,15.02,15.7,93171
2009-11-25 16:00:00-05:00,15.82,15.93,15.65,15.65,32567
2009-11-27 13:00:00-05:00,15.25,15.64,14.82,14.98,18456
2009-11-30 16:00:00-05:00,14.94,15.1,14.2,14.35,19788
2009-12-01 16:00:00-05:00,14.52,14.52,13.86,13.94,134939
2009-12-02 16:00:00-05:00,13.91,14.044,13.77,13.89,66836
2009-12-03 16:00:00-05:00,13.9,14.2,13.21,13.22,44842
2009-12-04 16:00:00-05:00,13.54,13.72,13.36,13.72,142882
2009-12-07 16:00:00-05:00,13.72,13.72,13.14,13.41,16588
2009-12-08 16:00:00-05:00,13.4,13.43,13.1115,13.25,7009
2009-12-09 16:00:00-05:00,13.69,13.73,13.32,13.7,13226
2009-12-10 16:00:00-05:00,13.69,14.32,13.37,13.98,49738
2009-12-11 16:00:00-05:00,14.0,14.14,13.545,13.77,25719
2009-12-14 16:00:00-05:00,13.9,14.0,13.75,13.9,12054
2009-12-15 16:00:00-05:00,13.82,14.08,13.66,13.95,64815
2009-12-16 16:00:00-05:00,14.07,14.1,13.89,14.06,12099
2009-12-17 16:00:00-05:00,14.04,14.15,13.72,13.8,16759
2009-12-18 16:00:00-05:00,13.92,13.96,13.53,13.9,84637
2009-12-21 16:00:00-05:00,13.9,14.71,13.9,14.3,45585
2009-12-22 16:00:00-05:00,14.37,14.37,13.9,13.9,17675
2009-12-23 16:00:00-05:00,13.98,14.78,13.98,14.24,15740
2009-12-24 13:00:00-05:00,14.25,14.5,14.14,14.14,2619
2009-12-28 16:00:00-05:00,14.15,14.47,13.81,14.17,13651
2009-12-29 16:00:00-05:00,14.2,14.54,14.14,14.19,24391
2009-12-30 16:00:00-05:00,14.17,14.7,13.8,14.55,19590
2009-12-31 16:00:00-05:00,14.46,14.54,13.555,13.59,18711
2010-01-04 16:00:00-05:00,13.85,14.42,13.85,13.9,32358
2010-01-05 16:00:00-05:00,13.91,14.08,13.49,14.01,51560
