,Open,High,Low,Close,Volume
2015-12-29 16:00:00-05:00,25.33,25.43,25.3,25.43,947
2015-12-30 16:00:00-05:00,25.16,25.16,25.16,25.16,1100
2015-12-31 16:00:00-05:00,24.96,24.99,24.93,24.99,7100
2016-01-04 16:00:00-05:00,24.41,24.41,24.41,24.41,100
2016-01-05 16:00:00-05:00,24.4,24.4,24.4,24.4,100
2016-01-06 16:00:00-05:00,23.96,24.08,23.96,24.0,1867
2016-01-07 16:00:00-05:00,23.74,23.74,23.53,23.53,4400
2016-01-08 16:00:00-05:00,23.55,23.64,23.4445,23.4445,1656
2016-01-11 16:00:00-05:00,23.34,23.34,23.34,23.34,100
2016-01-12 16:00:00-05:00,23.44,23.44,23.44,23.44,214
2016-01-14 16:00:00-05:00,23.0499,23.0499,23.0499,23.0499,300
2016-01-15 16:00:00-05:00,22.64,22.64,22.49,22.49,620
2016-01-19 16:00:00-05:00,22.79,22.88,22.7778,22.7778,3442
2016-01-20 16:00:00-05:00,22.0,22.0,22.0,22.0,200
2016-01-21 16:00:00-05:00,22.5292,22.5292,22.5292,22.5292,115
2016-01-26 16:00:00-05:00,23.2499,23.25,23.2499,23.25,736
2016-01-29 16:00:00-05:00,23.61,23.61,23.61,23.61,100
2016-02-01 16:00:00-05:00,23.61,23.6334,23.6058,23.6334,4135
2016-02-02 16:00:00-05:00,23.26,23.26,23.17,23.17,200
2016-02-05 16:00:00-05:00,23.53,23.53,23.53,23.53,111
2016-02-08 16:00:00-05:00,22.64,22.65,22.64,22.65,895
2016-02-09 16:00:00-05:00,22.43,22.52,22.43,22.52,200
2016-02-11 16:00:00-05:00,22.2,22.2,22.19,22.19,1000
2016-02-24 16:00:00-05:00,22.86,23.11,22.86,23.11,645
2016-03-01 16:00:00-05:00,23.56,23.56,23.56,23.56,100
2016-03-02 16:00:00-05:00,23.79,23.84,23.79,23.84,545
2016-03-04 16:00:00-05:00,24.3525,24.3525,24.3525,24.3525,100
2016-03-08 16:00:00-05:00,24.05,24.05,24.05,24.05,151
2016-03-11 16:00:00-05:00,24.64,24.64,24.62,24.62,200
2016-03-15 16:00:00-04:00,24.5,24.5,24.5,24.5,550
2016-03-24 16:00:00-04:00,24.338,24.338,24.338,24.338,100
2016-03-30 16:00:00-04:00,25.09,25.09,25.0526,25.0526,1385
2016-03-31 16:00:00-04:00,25.03,25.03,25.03,25.03,100
2016-04-01 16:00:00-04:00,24.47,24.47,24.32,24.32,400
2016-04-05 16:00:00-04:00,24.21,24.21,23.99,24.04,500
2016-04-06 16:00:00-04:00,24.15,24.38,24.15,24.38,220
2016-04-12 16:00:00-04:00,24.8499,24.8499,24.8499,24.8499,300
2016-04-19 16:00:00-04:00,25.84,25.84,25.84,25.84,300
2016-04-25 16:00:00-04:00,25.45,25.45,25.3596,25.3596,200
