,Open,High,Low,Close,Volume
2017-07-21 16:00:00-04:00,14.5,15.89,14.5,14.92,125108
2017-07-24 16:00:00-04:00,14.93,17.29,14.93,15.5,4285
2017-07-25 16:00:00-04:00,18.36,18.36,15.5,15.5,5150
2017-07-26 16:00:00-04:00,15.6,15.8479,14.99,15.1484,30308
2017-07-27 16:00:00-04:00,15.2,15.24,15.0,15.07,58723
2017-07-28 16:00:00-04:00,15.04,15.09,15.0,15.045,3820
2017-07-31 16:00:00-04:00,15.09,15.55,15.0601,15.1,25425
2017-08-01 16:00:00-04:00,15.39,15.73,15.25,15.31,2500
2017-08-02 16:00:00-04:00,15.25,15.42,15.0,15.39,21200
2017-08-03 16:00:00-04:00,15.75,17.5,15.39,16.0,11325
2017-08-04 16:00:00-04:00,17.0,17.0,15.85,15.85,11204
2017-08-07 16:00:00-04:00,15.65,15.65,15.65,15.65,305
2017-08-08 16:00:00-04:00,15.76,15.76,15.34,15.42,7300
2017-08-09 16:00:00-04:00,15.85,15.85,15.25,15.85,11025
2017-08-10 16:00:00-04:00,15.85,15.99,15.75,15.75,7831
2017-08-11 16:00:00-04:00,15.6888,15.75,15.5448,15.75,7200
2017-08-14 16:00:00-04:00,15.75,15.75,15.5,15.5,8080
2017-08-15 16:00:00-04:00,15.5,15.76,15.4999,15.7,7116
2017-08-16 16:00:00-04:00,15.75,15.99,15.7375,15.99,11556
2017-08-17 16:00:00-04:00,15.99,16.11,15.75,16.0,12970
2017-08-18 16:00:00-04:00,16.07,16.1,16.0,16.02,3107
2017-08-21 16:00:00-04:00,15.75,16.1,15.7499,16.09,7337
2017-08-22 16:00:00-04:00,16.05,16.05,15.9,15.9,5058
2017-08-23 16:00:00-04:00,15.99,15.99,15.99,15.99,963
2017-08-24 16:00:00-04:00,16.0499,16.05,15.99,16.05,3091
2017-08-25 16:00:00-04:00,16.05,16.16,16.0,16.0,3582
2017-08-28 16:00:00-04:00,16.22,16.25,16.085,16.22,5478
2017-08-29 16:00:00-04:00,16.21,16.21,16.09,16.09,3799
2017-08-30 16:00:00-04:00,16.25,16.25,16.05,16.1,6391
2017-08-31 16:00:00-04:00,16.1387,16.1387,15.85,15.85,1108
2017-09-01 16:00:00-04:00,16.2247,16.2247,16.0,16.0775,4283
2017-09-05 16:00:00-04:00,16.229,16.229,15.9,15.9,15837
2017-09-06 16:00:00-04:00,16.25,16.25,16.2,16.24,5385
2017-09-07 16:00:00-04:00,16.25,16.5,16.195,16.48,5482
2017-09-08 16:00:00-04:00,16.48,16.5,16.294,16.5,8536
2017-09-11 16:00:00-04:00,16.5,17.44,16.5,17.25,6742
2017-09-12 16:00:00-04:00,17.25,17.25,16.7,17.25,4814
2017-09-13 16:00:00-04:00,17.5,19.57,17.35,17.82,10073
2017-09-14 16:00:00-04:00,18.0,18.0,16.8,16.8,8052
2017-09-15 16:00:00-04:00,17.01,17.52,15.54,15.71,24563
2017-09-18 16:00:00-04:00,16.18,17.1174,15.65,15.66,25540
2017-09-19 16:00:00-04:00,15.79,16.2999,15.75,15.75,5871
2017-09-20 16:00:00-04:00,15.8,15.9021,15.79,15.86,2494
2017-09-21 16:00:00-04:00,15.9164,15.9509,15.82,15.9,600
2017-09-22 16:00:00-04:00,15.92,15.92,15.53,15.57,6412
2017-09-25 16:00:00-04:00,15.943,15.943,15.61,15.71,2960
2017-09-26 16:00:00-04:00,15.6689,15.7,15.643,15.7,1140
2017-09-27 16:00:00-04:00,15.99,15.99,15.57,15.86,394
2017-09-28 16:00:00-04:00,15.83,15.8988,15.58,15.89,1529
2017-09-29 16:00:00-04:00,15.9,15.9,15.83,15.83,791
2017-10-02 16:00:00-04:00,15.8604,15.863,15.7422,15.84,1459
2017-10-03 16:00:00-04:00,15.86,15.89,15.85,15.89,2043
2017-10-04 16:00:00-04:00,15.8577,15.8577,15.8,15.85,1989
2017-10-05 16:00:00-04:00,15.85,15.85,15.6104,15.84,1835
2017-10-06 16:00:00-04:00,15.85,15.85,15.85,15.85,231
2017-10-09 16:00:00-04:00,15.85,15.9,15.85,15.9,1236
2017-10-10 16:00:00-04:00,15.752,15.9,15.752,15.9,910
2017-10-11 16:00:00-04:00,15.7999,15.9,15.6413,15.88,3137
2017-10-12 16:00:00-04:00,15.9,16.0,15.84,16.0,2212
2017-10-13 16:00:00-04:00,15.9376,16.0,15.9376,16.0,725
2017-10-16 16:00:00-04:00,16.0,16.49,15.9525,16.49,1597
2017-10-17 16:00:00-04:00,0.0,0.0,0.0,16.49,0
2017-10-18 16:00:00-04:00,0.0,0.0,0.0,16.49,0
2017-10-19 16:00:00-04:00,0.0,0.0,0.0,16.49,0
2017-10-20 16:00:00-04:00,0.0,0.0,0.0,16.49,0
2017-10-23 16:00:00-04:00,16.7199,16.7199,16.7199,16.7199,217
2017-10-24 16:00:00-04:00,15.83,16.74,15.83,16.74,2756
2017-10-25 16:00:00-04:00,16.341,16.62,15.9125,16.62,6014
2017-10-26 16:00:00-04:00,16.56,16.56,16.56,16.56,1084
2017-10-27 16:00:00-04:00,16.6104,16.979,16.608,16.81,2399
2017-10-30 16:00:00-04:00,16.98,16.98,16.5182,16.8135,679
2017-10-31 16:00:00-04:00,17.02,18.0,15.8201,17.802,4079
