,Open,High,Low,Close,Volume
2000-01-03 16:00:00-05:00,13.125,13.25,13.0,13.0,4700
2000-01-04 16:00:00-05:00,13.0,13.0312,13.0,13.0,3400
2000-01-05 16:00:00-05:00,13.125,13.125,13.0,13.0,1200
2000-01-06 16:00:00-05:00,13.0,13.125,13.0,13.125,4100
2000-01-07 16:00:00-05:00,13.0,13.0,13.0,13.0,1300
2000-01-10 16:00:00-05:00,13.0,13.0,13.0,13.0,700
2000-01-11 16:00:00-05:00,13.0,13.0,13.0,13.0,1800
2000-01-12 16:00:00-05:00,13.0,13.0,13.0,13.0,200
2000-01-13 16:00:00-05:00,13.0625,13.0625,13.0625,13.0625,4000
2000-01-14 16:00:00-05:00,13.0625,13.125,13.0625,13.125,7400
2000-01-18 16:00:00-05:00,13.0625,13.0625,13.0625,13.0625,3000
2000-01-19 16:00:00-05:00,13.0625,13.0625,13.0625,13.0625,600
2000-01-20 16:00:00-05:00,13.125,13.125,13.125,13.125,300
2000-01-21 16:00:00-05:00,13.125,13.125,13.125,13.125,7800
2000-01-24 16:00:00-05:00,13.125,13.1875,13.125,13.125,6300
2000-01-25 16:00:00-05:00,13.125,13.125,13.125,13.125,700
2000-01-26 16:00:00-05:00,13.125,13.125,13.125,13.125,9800
2000-01-27 16:00:00-05:00,13.1875,13.1875,13.125,13.125,5100
2000-01-28 16:00:00-05:00,13.125,13.125,12.75,13.125,16300
2000-01-31 16:00:00-05:00,13.125,13.125,13.0625,13.125,9400
2000-02-01 16:00:00-05:00,13.125,13.1875,13.125,13.125,31300
2000-02-02 16:00:00-05:00,13.125,13.1875,13.0625,13.0625,12800
2000-02-03 16:00:00-05:00,13.0625,13.125,12.875,13.125,45500
2000-02-04 16:00:00-05:00,13.0625,13.25,13.0,13.0625,7600
2000-02-07 16:00:00-05:00,13.0625,13.0625,13.0625,13.0625,900
2000-02-08 16:00:00-05:00,13.0,13.0,13.0,13.0,1100
2000-02-09 16:00:00-05:00,13.0,13.0,13.0,13.0,2100
2000-02-10 16:00:00-05:00,13.0,13.0,13.0,13.0,2100
2000-02-11 16:00:00-05:00,13.0,13.0,13.0,13.0,400
2000-02-14 16:00:00-05:00,13.0,13.0,13.0,13.0,700
2000-02-15 16:00:00-05:00,13.125,13.125,13.125,13.125,1000
2000-02-16 16:00:00-05:00,13.0,13.0,13.0,13.0,2800
2000-02-17 16:00:00-05:00,13.0,13.125,13.0,13.0,23200
2000-02-18 16:00:00-05:00,13.0,13.0,13.0,13.0,1000
2000-02-22 16:00:00-05:00,13.0,13.0,13.0,13.0,3600
2000-02-23 16:00:00-05:00,13.0,13.0,13.0,13.0,500
2000-02-24 16:00:00-05:00,13.0,13.0,13.0,13.0,3600
2000-02-25 16:00:00-05:00,13.0,13.0,12.75,12.875,28600
2000-02-28 16:00:00-05:00,12.875,12.875,12.75,12.75,2100
2000-02-29 16:00:00-05:00,12.75,12.75,12.75,12.75,600
2000-03-01 16:00:00-05:00,0.0,0.0,0.0,12.75,0
2000-03-02 16:00:00-05:00,0.0,0.0,0.0,12.75,0
2000-03-03 16:00:00-05:00,0.0,0.0,0.0,12.75,0
2000-03-06 16:00:00-05:00,0.0,0.0,0.0,12.75,0
2000-03-07 16:00:00-05:00,14.5,14.5,14.125,14.125,1500
2000-03-08 16:00:00-05:00,14.0,14.125,13.75,14.125,28800
2000-03-09 16:00:00-05:00,13.75,14.0,13.25,13.25,73500
2000-03-10 16:00:00-05:00,13.625,13.75,13.375,13.625,121500
2000-03-13 16:00:00-05:00,13.5,13.625,13.5,13.5,1200
2000-03-14 16:00:00-05:00,13.625,13.625,13.5,13.625,70800
2000-03-15 16:00:00-05:00,13.75,13.75,13.625,13.75,7400
2000-03-16 16:00:00-05:00,13.6875,14.0,13.625,13.6875,56500
2000-03-17 16:00:00-05:00,14.1875,14.1875,13.8125,14.125,34400
2000-03-20 16:00:00-05:00,13.875,14.25,13.875,14.0,13500
2000-03-21 16:00:00-05:00,14.0,14.125,14.0,14.0625,7300
2000-03-22 16:00:00-05:00,14.0,14.25,14.0,14.0625,1600
2000-03-23 16:00:00-05:00,14.125,14.125,14.0,14.0625,8900
2000-03-24 16:00:00-05:00,14.0625,14.125,14.0625,14.0625,3000
2000-03-27 16:00:00-05:00,14.125,14.125,14.0625,14.0625,2700
2000-03-28 16:00:00-05:00,14.125,14.125,14.0625,14.0625,1600
2000-03-29 16:00:00-05:00,14.0625,14.5,14.0625,14.5,8000
2000-03-30 16:00:00-05:00,14.625,14.625,14.5,14.5,2300
