,Open,High,Low,Close,Volume
2014-02-12 16:00:00-05:00,16.0,16.12,14.52,14.71,1601803
2014-02-13 16:00:00-05:00,15.15,15.47,14.05,14.65,198935
2014-02-14 16:00:00-05:00,14.79,15.4899,14.51,15.06,73460
2014-02-18 16:00:00-05:00,15.15,15.4605,15.015,15.06,43440
2014-02-19 16:00:00-05:00,15.05,15.0946,14.62,14.88,30362
2014-02-20 16:00:00-05:00,14.63,14.99,14.55,14.9,21797
2014-02-21 16:00:00-05:00,15.0,15.48,14.7001,15.43,28344
2014-02-24 16:00:00-05:00,15.66,15.66,14.79,15.2,34005
2014-02-25 16:00:00-05:00,15.26,16.0,15.03,16.0,35481
2014-02-26 16:00:00-05:00,16.0,16.7697,15.99,16.01,69415
2014-02-27 16:00:00-05:00,16.05,16.45,16.05,16.45,81282
2014-02-28 16:00:00-05:00,16.01,19.75,16.01,18.4,105355
2014-03-03 16:00:00-05:00,18.4001,19.24,16.36,17.61,131752
2014-03-04 16:00:00-05:00,17.7,18.8,17.7,18.04,54704
2014-03-05 16:00:00-05:00,18.36,19.85,18.26,19.21,221566
2014-03-06 16:00:00-05:00,19.49,20.85,19.0,19.34,175922
2014-03-07 16:00:00-05:00,20.72,20.72,18.3075,19.26,66727
2014-03-10 16:00:00-04:00,19.27,19.99,18.57,19.22,170854
2014-03-11 16:00:00-04:00,19.4,19.56,18.76,19.29,84741
2014-03-12 16:00:00-04:00,19.25,20.5,19.1201,19.7,77296
2014-03-13 16:00:00-04:00,19.9,20.18,19.304,19.75,87284
2014-03-14 16:00:00-04:00,20.0,20.0,17.51,18.51,89464
2014-03-17 16:00:00-04:00,18.65,18.74,17.7,18.16,34440
2014-03-18 16:00:00-04:00,18.2,19.04,17.96,18.98,56010
2014-03-19 16:00:00-04:00,19.11,20.04,19.11,19.42,74928
2014-03-20 16:00:00-04:00,19.6,19.99,19.29,19.5,33656
2014-03-21 16:00:00-04:00,19.66,19.66,18.21,18.59,82904
2014-03-24 16:00:00-04:00,18.89,19.5,16.41,17.96,80536
2014-03-25 16:00:00-04:00,18.0,18.57,16.46,16.73,88219
2014-03-26 16:00:00-04:00,16.8,16.8,15.7,16.43,104208
2014-03-27 16:00:00-04:00,17.49,17.49,14.55,15.76,144233
2014-03-28 16:00:00-04:00,15.86,17.306,15.535,15.81,345392
2014-03-31 16:00:00-04:00,15.91,16.99,15.01,16.45,674955
2014-04-01 16:00:00-04:00,16.5,17.09,16.001,16.93,102050
2014-04-02 16:00:00-04:00,16.95,17.71,16.83,17.4,44557
2014-04-03 16:00:00-04:00,17.41,18.0,16.755,17.63,72601
2014-04-04 16:00:00-04:00,17.74,18.19,16.8,17.94,46202
2014-04-07 16:00:00-04:00,17.82,18.23,15.45,17.25,40144
2014-04-08 16:00:00-04:00,17.11,17.42,16.87,17.12,37914
2014-04-09 16:00:00-04:00,17.12,17.66,16.82,16.98,39772
2014-04-10 16:00:00-04:00,16.98,17.78,16.07,16.65,108362
2014-04-11 16:00:00-04:00,16.6,16.64,14.891,15.15,68303
2014-04-14 16:00:00-04:00,15.25,16.5599,15.25,16.15,24839
2014-04-15 16:00:00-04:00,16.24,16.3,14.67,15.08,60936
2014-04-16 16:00:00-04:00,15.1,15.1,14.14,14.66,76039
2014-04-17 16:00:00-04:00,14.67,15.04,14.1975,14.53,43424
2014-04-21 16:00:00-04:00,14.7,14.7,14.36,14.49,13439
2014-04-22 16:00:00-04:00,14.46,15.14,14.4,14.75,19778
2014-04-23 16:00:00-04:00,14.68,15.01,13.3675,13.57,54248
2014-04-24 16:00:00-04:00,13.69,13.69,13.0,13.38,26926
2014-04-25 16:00:00-04:00,13.28,13.4,12.9,13.1,28292
2014-04-28 16:00:00-04:00,13.09,15.0,12.51,12.72,34955
2014-04-29 16:00:00-04:00,12.81,13.81,12.51,12.6,26596
2014-04-30 16:00:00-04:00,12.5,12.5,11.45,11.85,38167
2014-05-01 16:00:00-04:00,11.79,11.87,11.06,11.86,27414
2014-05-02 16:00:00-04:00,11.84,12.1196,11.66,11.88,42757
2014-05-05 16:00:00-04:00,11.77,12.866,11.6,12.43,11780
2014-05-06 16:00:00-04:00,12.35,12.55,11.96,12.14,34990
2014-05-07 16:00:00-04:00,12.12,13.43,12.0,12.81,40496
2014-05-08 16:00:00-04:00,12.9,12.9,12.29,12.39,95593
2014-05-09 16:00:00-04:00,12.27,12.93,11.98,12.24,91788
2014-05-12 16:00:00-04:00,12.27,13.4,12.27,12.41,30196
2014-05-13 16:00:00-04:00,12.37,12.63,12.3,12.47,48364
2014-05-14 16:00:00-04:00,12.41,12.75,12.41,12.45,34613
2014-05-15 16:00:00-04:00,12.41,13.02,12.37,12.86,76214
2014-05-16 16:00:00-04:00,12.86,12.86,12.51,12.6,10336
2014-05-19 16:00:00-04:00,13.0,13.0,12.5,12.65,29331
2014-05-20 16:00:00-04:00,12.67,12.78,12.46,12.64,36008
2014-05-21 16:00:00-04:00,12.66,12.797,12.42,12.56,18698
2014-05-22 16:00:00-04:00,12.51,12.8,12.32,12.53,47427
2014-05-23 16:00:00-04:00,12.49,12.85,12.49,12.66,31487
2014-05-27 16:00:00-04:00,12.75,13.06,12.662,12.99,55365
2014-05-28 16:00:00-04:00,12.86,12.88,12.53,12.6,39727
2014-05-29 16:00:00-04:00,12.64,12.64,12.4201,12.54,22540
2014-05-30 16:00:00-04:00,12.72,12.85,12.56,12.74,22889
2014-06-02 16:00:00-04:00,12.83,12.83,12.52,12.63,24701
2014-06-03 16:00:00-04:00,12.645,12.67,12.46,12.54,38423
2014-06-04 16:00:00-04:00,12.55,12.61,12.31,12.58,53188
2014-06-05 16:00:00-04:00,12.58,12.65,12.45,12.48,19639
2014-06-06 16:00:00-04:00,12.48,12.545,12.3601,12.45,17487
2014-06-09 16:00:00-04:00,12.45,12.7,12.34,12.55,16565
2014-06-10 16:00:00-04:00,12.52,12.65,12.52,12.59,11607
2014-06-11 16:00:00-04:00,12.55,12.78,12.52,12.72,14707
2014-06-12 16:00:00-04:00,12.9,12.9,12.61,12.81,19351
2014-06-13 16:00:00-04:00,12.84,12.99,12.7,12.95,15221
2014-06-16 16:00:00-04:00,13.0987,13.23,12.95,13.03,56425
2014-06-17 16:00:00-04:00,13.03,13.07,12.81,12.88,31753
2014-06-18 16:00:00-04:00,13.03,15.14,12.76,14.91,164970
2014-06-19 16:00:00-04:00,14.9,16.55,13.81,14.06,122902
2014-06-20 16:00:00-04:00,14.02,15.99,13.88,13.88,133109
2014-06-23 16:00:00-04:00,13.97,14.5,13.28,14.04,24295
2014-06-24 16:00:00-04:00,12.79,13.77,12.79,13.55,17556
2014-06-25 16:00:00-04:00,13.57,13.57,12.86,13.33,9760
2014-06-26 16:00:00-04:00,13.2,13.54,13.09,13.2,14186
2014-06-27 16:00:00-04:00,13.09,13.9,12.98,13.76,107386
2014-06-30 16:00:00-04:00,13.78,14.192,13.43,13.48,16447
2014-07-01 16:00:00-04:00,13.248,14.29,13.248,14.01,25405
2014-07-02 16:00:00-04:00,14.01,14.39,14.0,14.02,15240
2014-07-03 16:00:00-04:00,14.04,14.575,14.04,14.37,21492
2014-07-07 16:00:00-04:00,14.38,14.38,13.66,13.66,28654
2014-07-08 16:00:00-04:00,13.72,13.83,13.2,13.35,21058
2014-07-09 16:00:00-04:00,13.35,13.35,13.09,13.32,9501
2014-07-10 16:00:00-04:00,13.25,13.525,13.0,13.27,20675
2014-07-11 16:00:00-04:00,13.2,13.63,13.2,13.62,12891
2014-07-14 16:00:00-04:00,13.59,13.95,13.57,13.74,13501
2014-07-15 16:00:00-04:00,13.78,13.91,13.47,13.53,10619
2014-07-16 16:00:00-04:00,13.64,13.96,13.06,13.22,16145
2014-07-17 16:00:00-04:00,13.21,13.46,12.08,12.22,27721
2014-07-18 16:00:00-04:00,12.16,12.62,11.92,12.3,64513
2014-07-21 16:00:00-04:00,12.18,12.5,12.07,12.18,40657
2014-07-22 16:00:00-04:00,12.45,12.59,12.2,12.44,34582
2014-07-23 16:00:00-04:00,12.41,12.69,12.3,12.47,29904
2014-07-24 16:00:00-04:00,13.288,13.288,12.33,12.69,34687
2014-07-25 16:00:00-04:00,12.86,12.9,12.09,12.39,40555
2014-07-28 16:00:00-04:00,12.5,12.75,12.1,12.22,59405
2014-07-29 16:00:00-04:00,12.12,12.902,12.1,12.18,21107
2014-07-30 16:00:00-04:00,12.22,12.41,12.1,12.26,39747
2014-07-31 16:00:00-04:00,12.1,12.428,12.1,12.28,27250
2014-08-01 16:00:00-04:00,12.34,13.23,11.93,12.1,59115
2014-08-04 16:00:00-04:00,12.02,12.1,11.71,12.0,78740
2014-08-05 16:00:00-04:00,11.95,12.81,11.93,12.55,28007
2014-08-06 16:00:00-04:00,12.53,12.97,12.53,12.81,47071
2014-08-07 16:00:00-04:00,12.76,12.77,12.61,12.65,7296
2014-08-08 16:00:00-04:00,12.84,12.98,12.54,12.95,18331
2014-08-11 16:00:00-04:00,13.0,13.175,12.76,12.96,17413
2014-08-12 16:00:00-04:00,13.06,13.06,12.63,12.96,28115
2014-08-13 16:00:00-04:00,13.01,13.425,12.95,13.37,30747
2014-08-14 16:00:00-04:00,13.37,14.5357,13.34,13.94,28431
2014-08-15 16:00:00-04:00,14.09,15.48,13.35,13.54,23058
