,Open,High,Low,Close,Volume
2003-01-02 16:00:00-05:00,24.5,24.5,24.5,24.5,0
2003-01-03 16:00:00-05:00,24.5,24.5,24.5,24.5,0
2003-01-06 16:00:00-05:00,24.5,24.5,24.5,24.5,0
2003-01-07 16:00:00-05:00,25.0,25.0,25.0,25.0,400
2003-01-08 16:00:00-05:00,24.5,24.7,24.5,24.7,6400
2003-01-09 16:00:00-05:00,24.6,24.6,24.6,24.6,1400
2003-01-10 16:00:00-05:00,24.85,24.85,24.5,24.5,700
2003-01-13 16:00:00-05:00,24.5,24.5,24.5,24.5,0
2003-01-14 16:00:00-05:00,24.5,24.5,24.5,24.5,0
2003-01-15 16:00:00-05:00,24.65,24.65,24.65,24.65,500
2003-01-16 16:00:00-05:00,24.5,24.5,24.5,24.5,0
2003-01-17 16:00:00-05:00,25.0,25.0,24.5,24.5,1400
2003-01-21 16:00:00-05:00,24.5,24.5,24.5,24.5,200
2003-01-22 16:00:00-05:00,25.0,25.0,25.0,25.0,1000
2003-01-23 16:00:00-05:00,24.5,24.5,24.5,24.5,0
2003-01-24 16:00:00-05:00,25.0,25.0,25.0,25.0,400
2003-01-27 16:00:00-05:00,24.5,24.5,24.5,24.5,0
2003-01-28 16:00:00-05:00,24.5,24.5,24.5,24.5,0
2003-01-29 16:00:00-05:00,24.5,24.5,24.5,24.5,0
2003-01-30 16:00:00-05:00,24.5,24.5,24.5,24.5,0
2003-01-31 16:00:00-05:00,24.5,24.5,24.5,24.5,0
2003-02-03 16:00:00-05:00,24.5,24.5,24.5,24.5,0
2003-02-04 16:00:00-05:00,24.5,24.5,24.5,24.5,0
2003-02-05 16:00:00-05:00,24.5,24.5,24.5,24.5,400
2003-02-06 16:00:00-05:00,24.5,24.5,24.5,24.5,2300
2003-02-07 16:00:00-05:00,24.6,24.7,24.6,24.7,5400
2003-02-10 16:00:00-05:00,24.6,24.6,24.6,24.6,2000
2003-02-11 16:00:00-05:00,24.75,24.8,24.75,24.8,6500
2003-02-13 16:00:00-05:00,24.5,24.5,24.5,24.5,0
2003-02-14 16:00:00-05:00,24.5,24.5,24.5,24.5,0
2003-02-18 16:00:00-05:00,24.5,24.5,24.5,24.5,0
2003-02-19 16:00:00-05:00,25.25,25.5,25.25,25.5,1100
2003-02-20 16:00:00-05:00,24.5,24.5,24.5,24.5,100
2003-02-21 16:00:00-05:00,24.75,24.75,24.75,24.75,0
2003-02-24 16:00:00-05:00,25.5,25.5,25.5,25.5,400
2003-02-25 16:00:00-05:00,25.0,25.0,25.0,25.0,0
2003-02-26 16:00:00-05:00,25.0,25.0,25.0,25.0,0
2003-02-27 16:00:00-05:00,25.0,25.0,25.0,25.0,0
2003-02-28 16:00:00-05:00,25.0,25.5,25.0,25.5,2200
2003-03-03 16:00:00-05:00,25.05,25.05,25.05,25.05,0
2003-03-04 16:00:00-05:00,25.05,25.05,25.05,25.05,0
2003-03-05 16:00:00-05:00,25.05,25.05,25.05,25.05,0
2003-03-06 16:00:00-05:00,25.05,25.05,25.05,25.05,0
2003-03-07 16:00:00-05:00,25.05,25.05,25.05,25.05,0
2003-03-10 16:00:00-05:00,26.0,26.0,26.0,26.0,200
2003-03-12 16:00:00-05:00,25.05,25.05,25.05,25.05,0
2003-03-13 16:00:00-05:00,25.05,25.05,25.05,25.05,1700
2003-03-14 16:00:00-05:00,25.4,26.0,25.4,26.0,800
2003-03-17 16:00:00-05:00,25.05,25.05,25.05,25.05,700
2003-03-18 16:00:00-05:00,25.05,25.05,25.05,25.05,0
2003-03-19 16:00:00-05:00,25.05,25.05,25.05,25.05,0
2003-03-20 16:00:00-05:00,25.05,25.05,25.05,25.05,0
2003-03-21 16:00:00-05:00,25.1,25.1,25.1,25.1,0
2003-03-24 16:00:00-05:00,25.1,25.1,25.1,25.1,0
2003-03-25 16:00:00-05:00,25.75,25.75,25.75,25.75,100
2003-03-26 16:00:00-05:00,25.1,25.1,25.1,25.1,0
2003-03-27 16:00:00-05:00,25.1,25.1,25.1,25.1,0
2003-03-28 16:00:00-05:00,25.1,25.1,25.1,25.1,0
2003-03-31 16:00:00-05:00,25.1,25.1,25.1,25.1,0
2003-04-01 16:00:00-05:00,25.1,25.1,25.1,25.1,0
2003-04-02 16:00:00-05:00,25.1,25.1,25.1,25.1,0
2003-04-03 16:00:00-05:00,25.1,25.1,25.1,25.1,0
2003-04-04 16:00:00-05:00,25.1,25.1,25.1,25.1,0
2003-04-07 16:00:00-04:00,25.75,25.75,25.7,25.7,900
2003-04-08 16:00:00-04:00,25.1,25.1,25.1,25.1,0
2003-04-09 16:00:00-04:00,25.1,25.1,25.1,25.1,0
2003-04-10 16:00:00-04:00,25.75,25.75,25.75,25.75,1500
2003-04-11 16:00:00-04:00,26.0,26.0,26.0,26.0,400
2003-04-14 16:00:00-04:00,25.1,25.1,25.1,25.1,1000
2003-04-15 16:00:00-04:00,25.1,25.1,25.1,25.1,500
2003-04-16 16:00:00-04:00,25.1,25.1,25.1,25.1,0
2003-04-17 16:00:00-04:00,25.3,25.75,25.3,25.75,700
2003-04-21 16:00:00-04:00,25.15,25.15,25.15,25.15,0
2003-04-22 16:00:00-04:00,25.15,25.15,25.15,25.15,0
2003-04-23 16:00:00-04:00,25.15,25.15,25.15,25.15,0
2003-04-24 16:00:00-04:00,25.15,25.15,25.15,25.15,0
2003-04-25 16:00:00-04:00,25.15,25.15,25.15,25.15,0
2003-04-28 16:00:00-04:00,25.15,25.15,25.15,25.15,0
2003-04-29 16:00:00-04:00,25.15,25.15,25.15,25.15,0
2003-04-30 16:00:00-04:00,25.15,25.15,25.15,25.15,0
2003-05-01 16:00:00-04:00,25.15,25.15,25.15,25.15,600
2003-05-02 16:00:00-04:00,25.15,25.15,25.15,25.15,0
2003-05-05 16:00:00-04:00,25.15,25.25,25.15,25.25,2000
2003-05-06 16:00:00-04:00,25.15,26.0,25.15,25.4,6300
2003-05-07 16:00:00-04:00,26.5,26.5,26.5,26.5,1500
2003-05-08 16:00:00-04:00,25.15,25.15,25.15,25.15,0
2003-05-09 16:00:00-04:00,25.15,25.15,25.15,25.15,500
2003-05-12 16:00:00-04:00,26.0,26.0,26.0,26.0,500
2003-05-13 16:00:00-04:00,25.25,25.25,25.25,25.25,0
2003-05-14 16:00:00-04:00,25.25,25.5,25.25,25.5,4200
2003-05-15 16:00:00-04:00,25.25,25.25,25.25,25.25,0
2003-05-16 16:00:00-04:00,26.0,26.0,26.0,26.0,800
2003-05-19 16:00:00-04:00,25.25,25.25,25.25,25.25,0
2003-05-20 16:00:00-04:00,25.25,25.25,25.25,25.25,0
2003-05-21 16:00:00-04:00,25.25,25.25,25.25,25.25,0
2003-05-22 16:00:00-04:00,25.25,25.25,25.25,25.25,5600
2003-05-23 16:00:00-04:00,25.25,25.25,24.75,25.25,2200
2003-05-28 16:00:00-04:00,24.75,24.75,24.75,24.75,0
2003-05-29 16:00:00-04:00,24.75,24.75,24.75,24.75,0
2003-05-30 16:00:00-04:00,25.4,26.0,25.4,26.0,2700
2003-06-02 16:00:00-04:00,26.0,26.0,26.0,26.0,0
2003-06-03 16:00:00-04:00,26.25,26.25,26.25,26.25,2000
2003-06-04 16:00:00-04:00,26.5,26.75,26.5,26.5,4600
2003-06-05 16:00:00-04:00,26.5,26.5,26.5,26.5,0
2003-06-06 16:00:00-04:00,27.0,26.5,26.5,26.5,500
2003-06-09 16:00:00-04:00,26.75,27.0,26.5,26.5,1300
2003-06-10 16:00:00-04:00,25.84,25.9,25.84,25.9,104800
2003-06-11 16:00:00-04:00,27.0,27.0,27.0,27.0,500
2003-06-12 16:00:00-04:00,26.5,26.5,26.5,26.5,0
2003-06-13 16:00:00-04:00,26.5,26.5,26.5,26.5,0
2003-06-16 16:00:00-04:00,26.5,26.5,26.5,26.5,0
2003-06-17 16:00:00-04:00,26.5,26.5,26.5,26.5,0
2003-06-18 16:00:00-04:00,26.5,26.5,26.5,26.5,0
2003-06-19 16:00:00-04:00,26.5,26.5,26.5,26.5,0
2003-06-20 16:00:00-04:00,26.5,26.5,26.5,26.5,0
2003-06-23 16:00:00-04:00,26.5,26.5,26.5,26.5,0
2003-06-24 16:00:00-04:00,26.5,26.5,26.0,26.5,4300
2003-06-25 16:00:00-04:00,26.25,26.25,26.25,26.25,0
2003-06-26 16:00:00-04:00,27.5,27.5,27.5,27.5,500
2003-06-27 16:00:00-04:00,26.25,26.25,26.25,26.25,0
2003-06-30 16:00:00-04:00,26.25,26.25,26.25,26.25,0
2003-07-01 16:00:00-04:00,26.31,26.31,26.31,26.31,1700
2003-07-02 16:00:00-04:00,26.25,26.25,26.25,26.25,0
2003-07-03 16:00:00-04:00,26.25,26.25,26.25,26.25,0
2003-07-07 16:00:00-04:00,26.25,26.25,26.25,26.25,0
2003-07-08 16:00:00-04:00,26.25,26.25,26.25,26.25,0
2003-07-09 16:00:00-04:00,26.25,26.25,26.25,26.25,0
2003-07-10 16:00:00-04:00,26.25,26.25,26.25,26.25,0
2003-07-11 16:00:00-04:00,26.25,26.25,26.25,26.25,0
2003-07-14 16:00:00-04:00,26.25,26.25,26.25,26.25,500
2003-07-15 16:00:00-04:00,26.25,26.25,26.25,26.25,0
2003-07-16 16:00:00-04:00,27.99,28.0,27.1,28.0,15300
2003-07-17 16:00:00-04:00,27.0,27.0,27.0,27.0,0
2003-07-18 16:00:00-04:00,26.25,26.25,26.25,26.25,0
2003-07-21 16:00:00-04:00,26.25,26.25,26.25,26.25,0
2003-07-22 16:00:00-04:00,26.5,26.5,26.5,26.5,100
2003-07-23 16:00:00-04:00,26.26,26.26,26.26,26.26,200
2003-07-24 16:00:00-04:00,26.3,26.3,26.3,26.3,200
2003-07-25 16:00:00-04:00,26.3,26.3,26.3,26.3,0
2003-07-28 16:00:00-04:00,27.75,27.75,27.25,27.25,600
2003-07-29 16:00:00-04:00,26.6,26.6,26.6,26.6,0
2003-07-30 16:00:00-04:00,26.6,26.6,26.6,26.6,0
2003-07-31 16:00:00-04:00,27.9,27.9,27.25,27.25,800
2003-08-01 16:00:00-04:00,26.6,26.6,26.6,26.6,0
2003-08-04 16:00:00-04:00,26.6,26.6,26.6,26.6,0
2003-08-05 16:00:00-04:00,26.6,26.6,26.6,26.6,0
2003-08-06 16:00:00-04:00,26.6,26.6,26.6,26.6,0
2003-08-07 16:00:00-04:00,26.6,26.6,26.6,26.6,500
2003-08-08 16:00:00-04:00,26.6,26.6,26.6,26.6,0
