,Open,High,Low,Close,Volume
2003-01-02 16:00:00-05:00,0.0,13.99,13.34,13.52,12100
2003-01-03 16:00:00-05:00,0.0,13.74,13.271,13.489,21000
2003-01-06 16:00:00-05:00,0.0,13.49,12.83,12.92,10100
2003-01-07 16:00:00-05:00,0.0,12.979,12.44,12.8,19800
2003-01-08 16:00:00-05:00,0.0,12.87,12.35,12.87,10500
2003-01-09 16:00:00-05:00,0.0,12.91,12.6,12.78,6100
2003-01-10 16:00:00-05:00,0.0,12.91,12.38,12.75,8490
2003-01-13 16:00:00-05:00,0.0,12.85,12.6,12.61,3400
2003-01-14 16:00:00-05:00,0.0,12.67,12.43,12.59,11500
2003-01-15 16:00:00-05:00,0.0,12.5,12.02,12.25,9200
2003-01-16 16:00:00-05:00,0.0,12.05,11.13,11.64,27900
2003-01-17 16:00:00-05:00,0.0,11.39,10.99,11.2,36100
2003-01-21 16:00:00-05:00,0.0,12.4,11.479,11.83,42210
2003-01-22 16:00:00-05:00,0.0,11.85,11.39,11.739,3200
2003-01-23 16:00:00-05:00,0.0,11.88,11.05,11.499,21600
2003-01-24 16:00:00-05:00,0.0,11.86,10.41,10.89,50400
2003-01-27 16:00:00-05:00,0.0,10.9,9.75,10.25,25800
2003-01-28 16:00:00-05:00,0.0,10.67,9.65,10.63,39298
2003-01-29 16:00:00-05:00,0.0,10.55,10.05,10.51,10100
2003-01-30 16:00:00-05:00,0.0,10.57,10.06,10.4,6900
2003-01-31 16:00:00-05:00,0.0,11.05,10.06,10.48,20198
2003-02-03 16:00:00-05:00,0.0,10.75,10.2,10.2,19684
2003-02-04 16:00:00-05:00,0.0,10.19,9.709,9.81,10400
2003-02-05 16:00:00-05:00,0.0,9.92,9.05,9.18,15000
2003-02-06 16:00:00-05:00,0.0,9.4,9.19,9.4,5505
2003-02-07 16:00:00-05:00,0.0,9.85,9.44,9.55,5100
2003-02-10 16:00:00-05:00,0.0,9.51,9.12,9.34,15900
2003-02-11 16:00:00-05:00,0.0,9.44,9.151,9.44,1600
2003-02-12 16:00:00-05:00,0.0,9.71,9.0,9.35,29700
2003-02-13 16:00:00-05:00,0.0,10.18,9.35,9.721,17800
2003-02-14 16:00:00-05:00,0.0,9.951,9.4,9.801,8400
2003-02-18 16:00:00-05:00,0.0,9.939,9.66,9.74,7700
2003-02-19 16:00:00-05:00,0.0,9.9,9.81,9.9,600
2003-02-20 16:00:00-05:00,0.0,9.88,9.68,9.79,2800
2003-02-21 16:00:00-05:00,0.0,10.109,9.74,10.109,1900
2003-02-24 16:00:00-05:00,0.0,9.91,9.61,9.73,9600
2003-02-25 16:00:00-05:00,0.0,9.95,9.66,9.84,3700
2003-02-26 16:00:00-05:00,0.0,9.99,9.69,9.889,7400
