,Open,High,Low,Close,Volume
2017-10-27 16:00:00-04:00,26.25,27.0,24.68,25.5,5879848
2017-10-30 16:00:00-04:00,25.6,25.6,24.0601,25.0,572941
2017-10-31 16:00:00-04:00,24.9,26.25,24.45,25.85,560708
2017-11-01 16:00:00-04:00,25.81,26.4,25.573,25.87,241048
2017-11-02 16:00:00-04:00,25.95,26.1992,24.75,24.79,89077
2017-11-03 16:00:00-04:00,24.67,25.5,24.67,25.0,177988
2017-11-06 16:00:00-05:00,25.0,25.2,24.94,25.13,32921
2017-11-07 16:00:00-05:00,25.29,25.45,24.78,25.07,58803
2017-11-08 16:00:00-05:00,25.22,25.29,24.78,25.07,102428
2017-11-09 16:00:00-05:00,25.0,25.0,24.01,24.47,122618
2017-11-10 16:00:00-05:00,24.54,25.14,24.2,25.12,127698
2017-11-13 16:00:00-05:00,25.0,25.8,24.59,24.91,119603
2017-11-14 16:00:00-05:00,24.86,25.4,24.53,25.11,44523
2017-11-15 16:00:00-05:00,25.0,25.39,24.85,24.99,27781
2017-11-16 16:00:00-05:00,24.31,26.0,24.31,25.51,70401
2017-11-17 16:00:00-05:00,25.27,25.7189,24.4217,25.55,41297
2017-11-20 16:00:00-05:00,25.62,26.98,25.278,26.94,230597
2017-11-21 16:00:00-05:00,26.94,27.99,26.94,27.33,185033
2017-11-22 16:00:00-05:00,27.97,28.87,27.775,28.49,137992
2017-11-24 13:00:00-05:00,29.11,29.53,28.01,28.66,92767
2017-11-27 16:00:00-05:00,29.24,29.24,26.9,26.91,106973
2017-11-28 16:00:00-05:00,27.1,27.37,24.16,24.35,328055
2017-11-29 16:00:00-05:00,24.2,24.9099,22.02,22.41,480387
2017-11-30 16:00:00-05:00,22.77,24.54,22.51,24.12,225535
2017-12-01 16:00:00-05:00,24.32,25.0,23.54,24.48,91232
2017-12-04 16:00:00-05:00,24.74,24.97,22.57,22.6,117019
2017-12-05 16:00:00-05:00,22.69,23.1329,21.9,21.92,110171
2017-12-06 16:00:00-05:00,21.84,23.25,21.56,22.89,116507
2017-12-07 16:00:00-05:00,23.0,23.95,22.27,22.97,214236
2017-12-08 16:00:00-05:00,25.05,28.0,24.45,27.65,423176
