,Open,High,Low,Close,Volume
2014-01-07 16:00:00-05:00,20.05,20.05,20.05,20.05,250
2014-01-08 16:00:00-05:00,19.984,19.984,19.984,19.984,200
2014-01-10 16:00:00-05:00,20.0199,20.02,20.0199,20.02,5575
2014-01-15 16:00:00-05:00,20.02,20.05,20.02,20.0499,968
2014-01-17 16:00:00-05:00,20.09,20.09,20.01,20.01,1055
2014-01-21 16:00:00-05:00,20.0,20.0,19.97,19.97,2117
2014-01-22 16:00:00-05:00,20.0699,20.0699,20.05,20.05,500
2014-01-27 16:00:00-05:00,19.426,19.48,19.426,19.48,1282
2014-01-29 16:00:00-05:00,19.38,19.4182,19.38,19.4,50408
2014-02-03 16:00:00-05:00,19.29,19.29,19.29,19.29,1002
2014-02-06 16:00:00-05:00,19.15,19.15,19.15,19.15,5100
2014-02-10 16:00:00-05:00,19.3399,19.3799,19.3399,19.3799,661
2014-02-12 16:00:00-05:00,19.5099,19.51,19.4999,19.4999,836
2014-02-18 16:00:00-05:00,19.67,19.67,19.67,19.67,1003
2014-02-19 16:00:00-05:00,19.65,19.65,19.6,19.6,950
2014-02-20 16:00:00-05:00,19.7185,19.7185,19.7185,19.7185,1000
2014-02-21 16:00:00-05:00,19.66,19.66,19.64,19.64,1989
2014-02-24 16:00:00-05:00,19.68,19.68,19.68,19.68,457
2014-02-25 16:00:00-05:00,19.65,19.67,19.6395,19.67,5624
2014-02-26 16:00:00-05:00,19.68,19.68,19.68,19.68,558
2014-02-27 16:00:00-05:00,19.7,19.7,19.7,19.7,320
2014-03-03 16:00:00-05:00,19.72,19.72,19.61,19.69,11430
2014-03-04 16:00:00-05:00,19.92,19.92,19.9,19.92,1823
2014-03-05 16:00:00-05:00,19.873,19.88,19.873,19.88,609
2014-03-06 16:00:00-05:00,19.8999,19.9099,19.8999,19.9099,676
2014-03-07 16:00:00-05:00,19.8799,19.8799,19.8799,19.8799,432
2014-03-11 16:00:00-04:00,19.8399,19.8399,19.8399,19.8399,300
2014-03-13 16:00:00-04:00,19.78,19.78,19.73,19.73,1007
2014-03-17 16:00:00-04:00,19.86,19.86,19.75,19.84,700
2014-03-21 16:00:00-04:00,19.9299,19.9299,19.9299,19.9299,6000
