,Open,High,Low,Close,Volume
2016-09-21 16:00:00-04:00,20.14,20.14,20.14,20.14,500
2016-09-27 16:00:00-04:00,20.27,20.27,20.27,20.27,501
2016-09-29 16:00:00-04:00,20.32,20.32,20.32,20.32,500
2016-10-05 16:00:00-04:00,20.9075,20.9075,20.89,20.89,700
2016-10-06 16:00:00-04:00,21.0,21.0,20.88,20.88,1352
2016-10-11 16:00:00-04:00,20.32,20.32,20.1525,20.2,4421
2016-10-13 16:00:00-04:00,20.0,20.0,19.96,19.96,3482
2016-10-14 16:00:00-04:00,20.09,20.09,20.09,20.09,2500
2016-10-17 16:00:00-04:00,20.06,20.06,19.94,19.94,5349
2016-10-18 16:00:00-04:00,20.21,20.21,20.21,20.21,5000
2016-10-19 16:00:00-04:00,20.07,20.07,20.07,20.07,200
2016-10-20 16:00:00-04:00,20.1498,20.1498,20.1498,20.1498,100
2016-10-25 16:00:00-04:00,20.46,20.46,20.46,20.46,100
2016-10-26 16:00:00-04:00,20.38,20.4317,20.37,20.4317,10229
2016-10-27 16:00:00-04:00,20.29,20.35,19.95,19.96,5105
2016-10-28 16:00:00-04:00,20.12,20.21,20.0902,20.12,39893
2016-10-31 16:00:00-04:00,20.04,20.04,20.02,20.02,18822
2016-11-01 16:00:00-04:00,19.85,19.9338,19.65,19.8954,15781
2016-11-02 16:00:00-04:00,19.99,19.99,19.74,19.74,11583
2016-11-03 16:00:00-04:00,19.83,19.87,19.6904,19.735,84753
2016-11-04 16:00:00-04:00,19.76,19.86,19.72,19.72,14903
2016-11-07 16:00:00-05:00,20.0,20.26,19.99,20.26,8017
2016-11-08 16:00:00-05:00,20.23,20.49,20.18,20.43,21340
2016-11-09 16:00:00-05:00,20.43,20.52,19.92,20.49,17057
2016-11-10 16:00:00-05:00,21.54,21.54,19.98,20.155,106306
2016-11-11 16:00:00-05:00,20.1,20.52,20.09,20.52,2909
2016-11-14 16:00:00-05:00,20.67,20.69,20.52,20.5628,2354
2016-11-15 16:00:00-05:00,20.69,20.9794,20.66,20.9794,11854
2016-11-16 16:00:00-05:00,21.05,21.16,20.93,20.9701,25870
2016-11-17 16:00:00-05:00,21.33,21.44,21.22,21.35,5990
2016-11-18 16:00:00-05:00,21.88,21.88,21.3,21.4722,14475
2016-11-21 16:00:00-05:00,21.73,21.78,21.556,21.556,4165
2016-11-22 16:00:00-05:00,21.86,22.01,21.75,21.79,15429
2016-11-23 16:00:00-05:00,22.256,22.256,21.9284,22.02,3027
2016-11-25 13:00:00-05:00,22.02,22.08,22.02,22.08,2535
2016-11-28 16:00:00-05:00,22.0468,22.0799,22.0468,22.06,760
2016-11-29 16:00:00-05:00,21.93,22.0001,21.88,21.88,3874
2016-11-30 16:00:00-05:00,21.87,21.91,21.77,21.77,2020
2016-12-01 16:00:00-05:00,21.5286,21.5286,20.5199,20.54,1991
2016-12-02 16:00:00-05:00,20.75,20.82,20.75,20.82,881
2016-12-05 16:00:00-05:00,21.15,21.16,21.1401,21.1401,746
2016-12-06 16:00:00-05:00,21.46,21.56,21.33,21.5499,2037
2016-12-07 16:00:00-05:00,21.661,22.0287,21.66,22.0287,1524
2016-12-08 16:00:00-05:00,22.3,22.56,22.2047,22.5299,4403
2016-12-09 16:00:00-05:00,22.3876,22.4871,22.0731,22.4871,5160
2016-12-12 16:00:00-05:00,22.22,22.42,21.8528,22.3401,4888
2016-12-13 16:00:00-05:00,22.63,22.74,22.5401,22.72,13326
2016-12-14 16:00:00-05:00,22.6801,22.6801,22.5901,22.6,2238
2016-12-15 16:00:00-05:00,23.1,23.2399,23.04,23.06,11819
2016-12-16 16:00:00-05:00,23.44,23.44,22.8,22.84,28644
2016-12-19 16:00:00-05:00,23.1534,23.19,23.06,23.11,5329
2016-12-20 16:00:00-05:00,23.2401,23.28,23.2245,23.2354,3757
2016-12-21 16:00:00-05:00,23.3,23.36,23.26,23.28,5023
2016-12-22 16:00:00-05:00,23.4999,23.4999,23.3244,23.33,1565
2016-12-23 16:00:00-05:00,23.33,23.35,23.3,23.3,1440
2016-12-27 16:00:00-05:00,23.83,23.83,23.5901,23.69,12682
2016-12-28 16:00:00-05:00,23.63,23.63,23.355,23.355,9836
2016-12-29 16:00:00-05:00,23.1917,23.1917,23.1501,23.1501,781
2016-12-30 16:00:00-05:00,23.22,23.22,23.03,23.03,1770
2017-01-03 16:00:00-05:00,23.16,23.16,22.8899,22.9751,38828
2017-01-04 16:00:00-05:00,23.0601,23.1357,23.0501,23.0792,11639
2017-01-05 16:00:00-05:00,23.5599,23.5599,22.9099,22.9242,1604
2017-01-06 16:00:00-05:00,22.9999,22.9999,22.9578,22.9578,880
2017-01-09 16:00:00-05:00,23.2424,23.2424,23.1944,23.1944,3311
2017-01-10 16:00:00-05:00,23.2452,23.26,23.2452,23.2513,1251
2017-01-11 16:00:00-05:00,23.35,23.46,23.3499,23.3499,14806
2017-01-12 16:00:00-05:00,23.24,23.24,22.9807,23.21,625
2017-01-13 16:00:00-05:00,22.9,23.53,22.9,23.48,14122
2017-01-17 16:00:00-05:00,23.0922,23.0922,23.07,23.07,398
2017-01-18 16:00:00-05:00,23.2199,23.39,23.1912,23.3,2710
2017-01-19 16:00:00-05:00,23.43,23.45,23.1464,23.1483,15355
2017-01-20 16:00:00-05:00,23.4608,23.5499,23.36,23.39,4968
2017-01-23 16:00:00-05:00,23.17,23.29,23.17,23.28,785
2017-01-24 16:00:00-05:00,23.52,23.7765,23.52,23.77,1264
2017-01-25 16:00:00-05:00,24.45,24.45,23.9792,24.11,37589
2017-01-26 16:00:00-05:00,24.49,24.49,23.8681,23.9144,6974
2017-01-27 16:00:00-05:00,24.13,24.26,24.13,24.25,27932
2017-01-30 16:00:00-05:00,24.34,24.34,23.88,24.08,3296
2017-01-31 16:00:00-05:00,23.96,23.96,23.64,23.79,5716
2017-02-01 16:00:00-05:00,24.12,24.12,23.83,24.06,13383
2017-02-02 16:00:00-05:00,23.96,24.07,23.92,23.98,4582
2017-02-03 16:00:00-05:00,24.1,24.16,24.1,24.16,5714
2017-02-06 16:00:00-05:00,24.15,24.15,24.0783,24.12,1745
2017-02-07 16:00:00-05:00,24.26,24.32,24.1,24.2,6378
2017-02-08 16:00:00-05:00,24.35,24.36,24.18,24.2565,4174
2017-02-09 16:00:00-05:00,24.26,24.32,24.17,24.17,5793
2017-02-10 16:00:00-05:00,24.18,24.32,24.05,24.25,5269
2017-02-13 16:00:00-05:00,24.5855,24.5855,24.3547,24.37,5687
2017-02-14 16:00:00-05:00,24.3,24.36,24.176,24.36,4206
2017-02-15 16:00:00-05:00,24.42,24.59,24.36,24.56,4136
2017-02-16 16:00:00-05:00,24.56,24.56,24.31,24.397,6394
2017-02-17 16:00:00-05:00,23.93,24.57,23.93,24.5436,6967
2017-02-21 16:00:00-05:00,24.85,24.91,24.79,24.9092,1724
2017-02-22 16:00:00-05:00,24.94,24.94,24.8172,24.8172,6374
2017-02-23 16:00:00-05:00,25.01,25.01,24.13,24.32,10410
2017-02-24 16:00:00-05:00,24.0,24.23,24.0,24.23,7221
2017-02-27 16:00:00-05:00,24.21,24.48,24.18,24.48,4845
2017-02-28 16:00:00-05:00,24.55,24.55,24.1,24.1,11700
2017-03-01 16:00:00-05:00,24.3365,24.54,24.3365,24.54,1604
2017-03-02 16:00:00-05:00,24.45,24.51,24.288,24.288,7928
2017-03-03 16:00:00-05:00,24.3,24.3,24.2229,24.2229,2462
2017-03-06 16:00:00-05:00,24.115,24.3699,24.055,24.33,4230
2017-03-07 16:00:00-05:00,24.28,24.42,24.26,24.3371,4056
2017-03-08 16:00:00-05:00,24.47,24.5,24.29,24.29,73186
2017-03-09 16:00:00-05:00,24.28,24.38,24.22,24.33,2406
2017-03-10 16:00:00-05:00,24.58,24.64,24.4864,24.51,17620
2017-03-13 16:00:00-04:00,24.45,24.64,24.45,24.59,2971
2017-03-14 16:00:00-04:00,24.5,24.59,24.38,24.59,3913
2017-03-15 16:00:00-04:00,24.55,24.8,24.55,24.8,2705
2017-03-16 16:00:00-04:00,24.8,24.87,24.7895,24.7895,2434
2017-03-17 16:00:00-04:00,24.81,24.92,24.8056,24.92,6731
2017-03-20 16:00:00-04:00,25.1,25.1,25.03,25.03,701
2017-03-21 16:00:00-04:00,24.508,24.53,24.3501,24.351,5227
2017-03-22 16:00:00-04:00,24.42,24.62,24.42,24.61,3297
2017-03-23 16:00:00-04:00,24.73,24.73,24.5332,24.601,3413
2017-03-24 16:00:00-04:00,24.91,25.0,24.7,24.8899,4237
2017-03-27 16:00:00-04:00,24.63,24.9,24.3501,24.89,7603
2017-03-28 16:00:00-04:00,24.86,24.99,24.84,24.98,3889
2017-03-29 16:00:00-04:00,24.86,24.86,24.8083,24.83,83752
2017-03-30 16:00:00-04:00,24.96,25.03,24.91,25.03,7872
2017-03-31 16:00:00-04:00,25.0,25.1866,25.0,25.1866,1897
2017-04-03 16:00:00-04:00,25.68,25.68,24.73,24.88,21736
2017-04-04 16:00:00-04:00,24.91,24.94,24.7652,24.81,828
2017-04-05 16:00:00-04:00,24.77,25.0,24.59,24.59,2568
2017-04-06 16:00:00-04:00,24.4,24.69,24.4,24.67,1658
2017-04-07 16:00:00-04:00,24.8,24.92,24.73,24.83,5785
2017-04-10 16:00:00-04:00,24.85,24.88,24.6,24.64,4103
2017-04-11 16:00:00-04:00,24.53,24.54,24.09,24.39,20187
2017-04-12 16:00:00-04:00,24.4399,24.4399,24.0,24.0,4947
2017-04-13 16:00:00-04:00,24.22,24.31,23.89,23.9316,6836
2017-04-17 16:00:00-04:00,24.03,24.03,23.87,23.985,1364
2017-04-18 16:00:00-04:00,23.9,24.1538,23.9,24.1538,5748
2017-04-19 16:00:00-04:00,24.43,24.64,24.26,24.545,27978
