,Open,High,Low,Close,Volume
2006-01-26 16:00:00-05:00,25.25,25.3,24.9,25.3,5000
2006-01-27 16:00:00-05:00,25.3,25.3,25.25,25.3,5200
2006-01-30 16:00:00-05:00,25.15,25.3,25.25,25.25,4785
2006-01-31 16:00:00-05:00,25.25,25.25,25.25,25.25,800
2006-02-01 16:00:00-05:00,25.3,25.3,25.3,25.3,600
2006-02-02 16:00:00-05:00,25.5,25.5,25.5,25.5,300
2006-02-03 16:00:00-05:00,25.4,25.5,25.4,25.5,1725
2006-02-06 16:00:00-05:00,0.0,0.0,0.0,25.5,0
2006-02-07 16:00:00-05:00,25.35,26.25,25.35,25.85,4400
2006-02-08 16:00:00-05:00,25.5,25.88,25.35,25.88,3490
2006-02-09 16:00:00-05:00,25.88,26.0,25.88,26.0,800
2006-02-10 16:00:00-05:00,25.95,26.25,25.95,26.25,1900
2006-02-13 16:00:00-05:00,26.15,26.15,26.15,26.15,300
2006-02-14 16:00:00-05:00,25.85,25.85,25.75,25.75,500
2006-02-15 16:00:00-05:00,0.0,0.0,0.0,25.75,0
2006-02-16 16:00:00-05:00,0.0,0.0,0.0,25.75,0
2006-02-17 16:00:00-05:00,0.0,0.0,0.0,25.75,0
2006-02-21 16:00:00-05:00,26.0,26.5,25.75,25.75,2845
2006-02-22 16:00:00-05:00,0.0,0.0,0.0,25.75,0
2006-02-23 16:00:00-05:00,26.5,26.5,26.5,26.5,600
2006-02-24 16:00:00-05:00,0.0,0.0,0.0,26.5,0
2006-02-27 16:00:00-05:00,26.49,26.49,26.49,26.49,100
2006-02-28 16:00:00-05:00,0.0,0.0,0.0,26.49,0
2006-03-01 16:00:00-05:00,26.0,26.0,26.0,26.0,2200
2006-03-02 16:00:00-05:00,25.8,25.8,25.8,25.8,1000
2006-03-03 16:00:00-05:00,25.8,25.8,25.8,25.8,1000
2006-03-06 16:00:00-05:00,26.49,26.49,26.49,26.49,1000
2006-03-07 16:00:00-05:00,0.0,0.0,0.0,26.49,0
2006-03-08 16:00:00-05:00,25.9,25.9,25.9,25.9,400
2006-03-09 16:00:00-05:00,25.82,26.1,25.75,26.08,3902
2006-03-10 16:00:00-05:00,26.1,26.1,26.1,26.1,1000
2006-03-13 16:00:00-05:00,25.9,25.9,25.9,25.9,1000
2006-03-14 16:00:00-05:00,0.0,0.0,0.0,25.9,0
2006-03-15 16:00:00-05:00,26.24,26.24,26.24,26.24,400
2006-03-16 16:00:00-05:00,26.49,26.49,26.47,26.47,1750
2006-03-17 16:00:00-05:00,0.0,0.0,0.0,26.47,0
2006-03-20 16:00:00-05:00,0.0,0.0,0.0,26.47,0
2006-03-21 16:00:00-05:00,25.81,26.42,25.81,26.42,1220
2006-03-22 16:00:00-05:00,26.4,26.4,25.85,25.85,1100
2006-03-23 16:00:00-05:00,25.85,25.85,25.8,25.8,1399
2006-03-24 16:00:00-05:00,0.0,0.0,0.0,25.8,0
2006-03-27 16:00:00-05:00,25.81,25.81,25.81,25.81,600
2006-03-28 16:00:00-05:00,25.81,26.38,25.75,26.38,1525
2006-03-29 16:00:00-05:00,0.0,0.0,0.0,26.38,0
2006-03-30 16:00:00-05:00,25.65,25.65,25.65,25.65,801
2006-03-31 16:00:00-05:00,25.68,26.07,25.6,26.07,9551
2006-04-03 16:00:00-04:00,26.04,26.04,25.99,25.99,2065
2006-04-04 16:00:00-04:00,26.04,26.04,26.04,26.04,400
2006-04-05 16:00:00-04:00,26.04,26.04,26.04,26.04,500
2006-04-06 16:00:00-04:00,26.04,26.04,26.04,26.04,450
2006-04-07 16:00:00-04:00,26.04,26.04,26.04,26.04,645
2006-04-10 16:00:00-04:00,25.6,25.6,25.6,25.6,700
2006-04-11 16:00:00-04:00,0.0,0.0,0.0,25.6,0
2006-04-12 16:00:00-04:00,0.0,0.0,0.0,25.6,0
2006-04-13 16:00:00-04:00,25.26,25.26,25.26,25.26,260
2006-04-17 16:00:00-04:00,26.03,26.03,26.03,26.03,158
2006-04-18 16:00:00-04:00,26.05,26.05,26.05,26.05,500
2006-04-19 16:00:00-04:00,0.0,0.0,0.0,26.05,0
2006-04-20 16:00:00-04:00,25.5,25.5,25.5,25.5,300
2006-04-21 16:00:00-04:00,0.0,0.0,0.0,25.5,0
2006-04-24 16:00:00-04:00,0.0,0.0,0.0,25.5,0
2006-04-25 16:00:00-04:00,25.5,25.5,25.25,25.25,4500
2006-04-26 16:00:00-04:00,26.0,26.0,25.99,25.99,1100
2006-04-27 16:00:00-04:00,25.5,26.0,25.4,25.4,2200
2006-04-28 16:00:00-04:00,25.41,25.41,25.01,25.3,1600
2006-05-01 16:00:00-04:00,0.0,0.0,0.0,25.3,0
2006-05-02 16:00:00-04:00,25.3,25.3,25.3,25.3,500
2006-05-03 16:00:00-04:00,25.15,25.15,25.15,25.15,600
2006-05-04 16:00:00-04:00,25.59,25.59,25.19,25.19,5650
2006-05-05 16:00:00-04:00,25.54,25.54,25.0,25.54,2059
2006-05-08 16:00:00-04:00,25.48,25.48,25.11,25.48,3375
2006-05-09 16:00:00-04:00,25.48,25.48,25.48,25.48,1000
2006-05-10 16:00:00-04:00,25.48,25.48,25.48,25.48,200
2006-05-11 16:00:00-04:00,0.0,0.0,0.0,25.48,0
2006-05-12 16:00:00-04:00,25.11,25.43,25.11,25.43,3001
2006-05-15 16:00:00-04:00,0.0,0.0,0.0,25.43,0
2006-05-16 16:00:00-04:00,25.44,25.44,25.0,25.0,2200
2006-05-17 16:00:00-04:00,25.0,25.0,24.51,25.0,1548
2006-05-18 16:00:00-04:00,0.0,0.0,0.0,25.0,0
2006-05-19 16:00:00-04:00,25.46,25.46,25.46,25.46,1600
2006-05-22 16:00:00-04:00,25.45,25.45,25.45,25.45,1000
2006-05-23 16:00:00-04:00,25.45,25.45,25.45,25.45,385
2006-05-24 16:00:00-04:00,0.0,0.0,0.0,25.45,0
2006-05-25 16:00:00-04:00,25.34,25.34,25.34,25.34,900
2006-05-26 16:00:00-04:00,25.1,25.1,25.1,25.1,1000
2006-05-30 16:00:00-04:00,0.0,0.0,0.0,25.1,0
2006-05-31 16:00:00-04:00,23.0,25.2,21.0,25.0,4180
2006-06-01 16:00:00-04:00,24.9,24.9,24.9,24.9,1500
2006-06-02 16:00:00-04:00,0.0,0.0,0.0,24.9,0
2006-06-05 16:00:00-04:00,0.0,0.0,0.0,24.9,0
2006-06-06 16:00:00-04:00,0.0,0.0,0.0,24.9,0
2006-06-07 16:00:00-04:00,25.25,25.25,25.25,25.25,1225
2006-06-08 16:00:00-04:00,25.25,25.43,25.25,25.43,2800
2006-06-09 16:00:00-04:00,25.45,26.43,25.45,26.43,2000
2006-06-12 16:00:00-04:00,0.0,0.0,0.0,26.43,0
2006-06-13 16:00:00-04:00,25.25,25.25,25.0,25.0,1200
2006-06-14 16:00:00-04:00,24.9501,25.1,24.95,25.1,1000
2006-06-15 16:00:00-04:00,25.0,25.05,24.56,24.56,5604
2006-06-16 16:00:00-04:00,24.79,25.07,24.79,25.07,600
2006-06-19 16:00:00-04:00,25.07,25.07,25.07,25.07,500
2006-06-20 16:00:00-04:00,24.99,25.0,24.83,24.83,2200
2006-06-21 16:00:00-04:00,25.0,25.6,24.9,25.6,1600
2006-06-22 16:00:00-04:00,25.5,25.5,25.0,25.0,790
2006-06-23 16:00:00-04:00,25.0,25.0,25.0,25.0,1400
2006-06-26 16:00:00-04:00,24.9,25.0,24.9,25.0,1500
2006-06-27 16:00:00-04:00,24.8999,24.9,24.17,24.2,2100
2006-06-28 16:00:00-04:00,24.52,24.75,24.21,24.45,3504
2006-06-29 16:00:00-04:00,24.25,24.74,24.1,24.74,9519
2006-06-30 16:00:00-04:00,24.63,24.74,24.63,24.63,2301
2006-07-03 16:00:00-04:00,24.75,24.75,24.75,24.75,1080
2006-07-05 16:00:00-04:00,25.0,25.0,25.0,25.0,300
2006-07-06 16:00:00-04:00,25.0,25.0,25.0,25.0,486
2006-07-07 16:00:00-04:00,25.19,25.65,25.19,25.65,1000
2006-07-10 16:00:00-04:00,0.0,0.0,0.0,25.65,0
2006-07-11 16:00:00-04:00,0.0,0.0,0.0,25.65,0
2006-07-12 16:00:00-04:00,25.0,25.0,25.0,25.0,100
2006-07-13 16:00:00-04:00,25.0,25.29,25.0,25.17,1320
2006-07-14 16:00:00-04:00,25.29,25.29,25.0,25.0,900
2006-07-17 16:00:00-04:00,0.0,0.0,0.0,25.0,0
2006-07-18 16:00:00-04:00,25.5,25.5,25.5,25.5,500
2006-07-19 16:00:00-04:00,25.2,25.2,25.2,25.2,500
2006-07-20 16:00:00-04:00,25.01,25.01,25.01,25.01,500
2006-07-21 16:00:00-04:00,0.0,0.0,0.0,25.01,0
2006-07-24 16:00:00-04:00,0.0,0.0,0.0,25.01,0
2006-07-25 16:00:00-04:00,25.01,25.01,25.01,25.01,100
2006-07-26 16:00:00-04:00,0.0,0.0,0.0,25.01,0
2006-07-27 16:00:00-04:00,25.88,26.39,25.01,25.01,2800
2006-07-28 16:00:00-04:00,0.0,0.0,0.0,25.01,0
2006-07-31 16:00:00-04:00,0.0,0.0,0.0,25.01,0
2006-08-01 16:00:00-04:00,25.05,25.05,25.05,25.05,400
2006-08-02 16:00:00-04:00,25.05,25.05,25.05,25.05,1002
2006-08-03 16:00:00-04:00,25.02,25.1,25.02,25.1,1700
2006-08-04 16:00:00-04:00,25.01,25.04,25.01,25.02,3300
2006-08-07 16:00:00-04:00,25.33,25.35,25.288,25.288,500
2006-08-08 16:00:00-04:00,25.35,25.35,25.05,25.05,800
2006-08-09 16:00:00-04:00,25.05,25.05,25.05,25.05,2147
2006-08-10 16:00:00-04:00,25.05,25.06,25.05,25.06,600
2006-08-11 16:00:00-04:00,25.06,25.77,25.06,25.77,1400
2006-08-14 16:00:00-04:00,25.25,25.25,25.25,25.25,1000
2006-08-15 16:00:00-04:00,25.3,25.3,25.3,25.3,1000
2006-08-16 16:00:00-04:00,25.3,25.77,25.3,25.77,1400
2006-08-17 16:00:00-04:00,25.5,25.5,25.5,25.5,710
2006-08-18 16:00:00-04:00,0.0,0.0,0.0,25.5,0
2006-08-21 16:00:00-04:00,25.33,25.33,25.3,25.3,1400
2006-08-22 16:00:00-04:00,0.0,0.0,0.0,25.3,0
2006-08-23 16:00:00-04:00,0.0,0.0,0.0,25.3,0
2006-08-24 16:00:00-04:00,25.3,25.3,25.3,25.3,1246
2006-08-25 16:00:00-04:00,0.0,0.0,0.0,25.3,0
2006-08-28 16:00:00-04:00,25.5,25.5,25.5,25.5,870
2006-08-29 16:00:00-04:00,25.5,25.5,25.5,25.5,5700
2006-08-30 16:00:00-04:00,25.72,25.72,25.72,25.72,900
2006-08-31 16:00:00-04:00,25.72,25.72,25.54,25.54,1280
2006-09-01 16:00:00-04:00,0.0,0.0,0.0,25.54,0
2006-09-05 16:00:00-04:00,25.72,25.72,25.72,25.72,1100
2006-09-06 16:00:00-04:00,25.72,25.72,25.72,25.72,200
2006-09-07 16:00:00-04:00,25.72,25.72,25.72,25.72,1340
2006-09-08 16:00:00-04:00,25.72,25.75,25.72,25.75,1200
2006-09-11 16:00:00-04:00,0.0,0.0,0.0,25.75,0
2006-09-12 16:00:00-04:00,25.75,25.75,25.75,25.75,1000
2006-09-13 16:00:00-04:00,25.58,25.58,25.25,25.55,4102
2006-09-14 16:00:00-04:00,0.0,0.0,0.0,25.55,0
2006-09-15 16:00:00-04:00,25.55,25.55,25.55,25.55,190
2006-09-18 16:00:00-04:00,0.0,0.0,0.0,25.55,0
2006-09-19 16:00:00-04:00,25.69,25.69,25.68,25.69,1041
2006-09-20 16:00:00-04:00,25.55,25.55,25.55,25.55,3402
2006-09-21 16:00:00-04:00,26.48,26.48,25.51,25.51,550
2006-09-22 16:00:00-04:00,25.55,25.55,25.52,25.52,1300
2006-09-25 16:00:00-04:00,26.55,26.55,26.55,26.55,1000
2006-09-26 16:00:00-04:00,25.52,25.52,25.52,25.52,200
2006-09-27 16:00:00-04:00,0.0,0.0,0.0,25.52,0
2006-09-28 16:00:00-04:00,25.52,25.52,25.32,25.32,2900
2006-09-29 16:00:00-04:00,0.0,0.0,0.0,25.32,0
2006-10-02 16:00:00-04:00,25.5,25.5,25.5,25.5,2000
2006-10-03 16:00:00-04:00,0.0,0.0,0.0,25.5,0
2006-10-04 16:00:00-04:00,25.45,25.45,25.45,25.45,1100
2006-10-05 16:00:00-04:00,25.74,25.75,25.74,25.75,833
2006-10-06 16:00:00-04:00,0.0,0.0,0.0,25.75,0
2006-10-09 16:00:00-04:00,25.427,25.427,25.427,25.427,1000
2006-10-10 16:00:00-04:00,25.75,25.75,25.75,25.75,560
2006-10-11 16:00:00-04:00,25.8,25.8,25.75,25.75,652
2006-10-12 16:00:00-04:00,25.8,25.8,25.8,25.8,200
2006-10-13 16:00:00-04:00,0.0,0.0,0.0,25.8,0
2006-10-16 16:00:00-04:00,26.0,26.0,25.5,25.5,1906
2006-10-17 16:00:00-04:00,26.0,26.0,25.5,25.5,1697
2006-10-18 16:00:00-04:00,25.5,25.51,25.5,25.51,4906
