,Open,High,Low,Close,Volume
1994-03-29 16:00:00-05:00,0.0,14.25,12.0,12.25,895600
1994-03-30 16:00:00-05:00,0.0,12.25,11.25,12.0,131500
1994-03-31 16:00:00-05:00,0.0,12.0,11.5,12.0,53000
1994-04-04 16:00:00-04:00,0.0,12.0,11.25,11.75,55900
1994-04-05 16:00:00-04:00,0.0,12.0,11.375,11.8125,41700
1994-04-06 16:00:00-04:00,0.0,12.0,11.375,11.625,61600
1994-04-07 16:00:00-04:00,0.0,12.5,11.75,12.2656,18100
1994-04-08 16:00:00-04:00,0.0,12.5,12.0,12.25,45700
1994-04-11 16:00:00-04:00,0.0,12.75,12.0,12.25,48300
1994-04-12 16:00:00-04:00,0.0,13.125,12.4375,13.0,22600
1994-04-13 16:00:00-04:00,0.0,13.125,12.25,12.25,53200
1994-04-14 16:00:00-04:00,0.0,13.0,12.0,13.0,19600
1994-04-15 16:00:00-04:00,0.0,13.0,12.25,13.0,15300
1994-04-18 16:00:00-04:00,0.0,12.75,12.25,12.25,12600
1994-04-19 16:00:00-04:00,0.0,12.5,12.0,12.0,22000
1994-04-20 16:00:00-04:00,0.0,12.75,12.0,12.0,61400
1994-04-21 16:00:00-04:00,0.0,12.875,12.0,12.75,31600
1994-04-22 16:00:00-04:00,0.0,13.0,12.5,12.625,43100
1994-04-25 16:00:00-04:00,0.0,13.0,12.5,12.875,13100
1994-04-26 16:00:00-04:00,0.0,13.25,12.5,12.75,16000
1994-04-28 16:00:00-04:00,0.0,13.25,12.75,13.0,24800
1994-04-29 16:00:00-04:00,0.0,13.0,12.75,13.0,24400
1994-05-02 16:00:00-04:00,0.0,12.75,12.5,12.75,23800
1994-05-03 16:00:00-04:00,0.0,12.75,12.5,12.75,16000
1994-05-04 16:00:00-04:00,0.0,12.75,12.5,12.75,11300
1994-05-05 16:00:00-04:00,0.0,12.75,12.5,12.5,9100
1994-05-06 16:00:00-04:00,0.0,12.75,12.5,12.625,25900
1994-05-09 16:00:00-04:00,0.0,12.75,12.5,12.75,19600
1994-05-10 16:00:00-04:00,0.0,12.75,12.5,12.75,22200
1994-05-11 16:00:00-04:00,0.0,12.75,12.5,12.75,14700
1994-05-12 16:00:00-04:00,0.0,12.75,12.5,12.5,6500
1994-05-13 16:00:00-04:00,0.0,12.625,12.5,12.5,4100
1994-05-16 16:00:00-04:00,0.0,13.0,12.5,13.0,5900
1994-05-17 16:00:00-04:00,0.0,13.0,12.5,12.5,3500
1994-05-18 16:00:00-04:00,0.0,13.0,12.5,13.0,12400
1994-05-19 16:00:00-04:00,0.0,13.0,12.5,12.625,13500
1994-05-20 16:00:00-04:00,0.0,13.25,12.5,12.75,35400
1994-05-23 16:00:00-04:00,0.0,13.5,12.5,13.5,18800
1994-05-24 16:00:00-04:00,0.0,13.5,13.0,13.5,10600
1994-05-25 16:00:00-04:00,0.0,13.75,13.0,13.75,15900
1994-05-26 16:00:00-04:00,0.0,15.0,13.25,14.25,75200
1994-05-27 16:00:00-04:00,0.0,14.25,13.75,14.0,9600
1994-05-31 16:00:00-04:00,0.0,14.25,13.75,14.25,29000
1994-06-01 16:00:00-04:00,0.0,14.25,13.75,14.25,10900
1994-06-02 16:00:00-04:00,0.0,14.5,13.75,14.5,27700
1994-06-03 16:00:00-04:00,0.0,14.5,13.75,13.75,22600
1994-06-06 16:00:00-04:00,0.0,14.75,13.75,14.25,31400
1994-06-07 16:00:00-04:00,0.0,14.5,13.75,14.25,9900
1994-06-08 16:00:00-04:00,0.0,14.25,13.75,14.25,5100
1994-06-09 16:00:00-04:00,0.0,14.25,13.75,14.25,4900
1994-06-10 16:00:00-04:00,0.0,14.5,13.75,14.25,8100
1994-06-13 16:00:00-04:00,0.0,14.5,13.75,13.75,9100
1994-06-14 16:00:00-04:00,0.0,14.5,13.75,14.5,6900
1994-06-15 16:00:00-04:00,0.0,14.5,13.0,14.0,27700
1994-06-16 16:00:00-04:00,0.0,13.75,13.25,13.25,2300
1994-06-17 16:00:00-04:00,0.0,13.75,13.25,13.25,9100
1994-06-20 16:00:00-04:00,0.0,13.75,13.25,13.25,2700
1994-06-21 16:00:00-04:00,0.0,13.75,13.0,13.75,4500
1994-06-22 16:00:00-04:00,0.0,14.0,13.0,13.5,20800
1994-06-23 16:00:00-04:00,0.0,14.0,13.0,13.0,8600
1994-06-24 16:00:00-04:00,0.0,14.0,13.0,14.0,1600
1994-06-27 16:00:00-04:00,0.0,14.0,14.0,14.0,200
1994-06-28 16:00:00-04:00,0.0,14.0,13.0,13.0,4100
1994-06-29 16:00:00-04:00,0.0,14.0,13.0,14.0,1100
1994-06-30 16:00:00-04:00,0.0,14.0,13.0,13.0,20400
1994-07-01 16:00:00-04:00,0.0,14.0,13.0,13.0,1800
1994-07-05 16:00:00-04:00,0.0,13.75,13.0,13.0,2300
1994-07-06 16:00:00-04:00,0.0,14.0,13.0,13.75,2000
1994-07-07 16:00:00-04:00,0.0,14.25,13.5,14.0,18000
1994-07-08 16:00:00-04:00,0.0,14.0,13.5,13.5,28500
1994-07-11 16:00:00-04:00,0.0,14.0,13.5,13.5,5000
1994-07-12 16:00:00-04:00,0.0,14.0,13.25,14.0,2600
1994-07-13 16:00:00-04:00,0.0,14.0,13.25,14.0,3600
1994-07-14 16:00:00-04:00,0.0,14.0,13.25,13.25,3700
1994-07-15 16:00:00-04:00,0.0,14.0,13.25,14.0,3900
1994-07-18 16:00:00-04:00,0.0,14.0,13.25,13.25,1200
1994-07-19 16:00:00-04:00,0.0,14.0,13.25,13.75,7000
1994-07-20 16:00:00-04:00,0.0,14.0,13.25,13.25,2700
1994-07-21 16:00:00-04:00,0.0,14.0,13.25,13.75,2200
1994-07-22 16:00:00-04:00,0.0,13.75,13.25,13.25,7300
1994-07-25 16:00:00-04:00,0.0,13.75,13.25,13.25,7300
1994-07-26 16:00:00-04:00,0.0,13.75,13.25,13.25,10800
1994-07-27 16:00:00-04:00,0.0,13.75,13.25,13.25,1600
1994-07-28 16:00:00-04:00,0.0,13.25,13.25,13.25,2500
1994-07-29 16:00:00-04:00,0.0,13.5,13.0,13.0,27000
1994-08-01 16:00:00-04:00,0.0,13.5,13.0,13.5,5300
1994-08-02 16:00:00-04:00,0.0,13.5,13.0,13.0,4000
1994-08-03 16:00:00-04:00,0.0,13.5,13.0,13.0,8100
1994-08-04 16:00:00-04:00,0.0,13.5,13.0,13.0,4700
1994-08-05 16:00:00-04:00,0.0,13.375,13.0,13.0,4700
1994-08-08 16:00:00-04:00,0.0,13.5,13.0,13.0,14500
1994-08-09 16:00:00-04:00,0.0,13.5,13.0,13.5,4600
1994-08-10 16:00:00-04:00,0.0,13.5,13.0,13.5,4000
1994-08-11 16:00:00-04:00,0.0,13.5,13.0,13.0,3900
1994-08-12 16:00:00-04:00,0.0,13.5,13.0,13.5,4400
1994-08-15 16:00:00-04:00,0.0,13.5,13.0,13.0,1000
1994-08-16 16:00:00-04:00,0.0,13.25,13.0,13.0,3300
1994-08-17 16:00:00-04:00,0.0,13.25,13.0,13.25,17600
1994-08-18 16:00:00-04:00,0.0,13.25,13.0,13.0,13900
1994-08-19 16:00:00-04:00,0.0,13.125,13.0,13.125,17300
1994-08-22 16:00:00-04:00,0.0,13.25,13.0,13.0,1800
1994-08-23 16:00:00-04:00,0.0,13.25,13.0,13.25,19700
1994-08-24 16:00:00-04:00,0.0,13.5,13.0,13.5,4300
1994-08-25 16:00:00-04:00,0.0,13.5,13.0,13.0,13600
1994-08-26 16:00:00-04:00,0.0,13.5,13.0,13.0,5300
1994-08-29 16:00:00-04:00,0.0,13.5,13.0,13.0,11700
1994-08-30 16:00:00-04:00,0.0,13.75,13.0,13.0,7600
1994-08-31 16:00:00-04:00,0.0,13.75,13.0,13.5,52500
1994-09-01 16:00:00-04:00,0.0,13.75,13.0,13.75,44900
1994-09-02 16:00:00-04:00,0.0,14.0,13.0,13.5,36500
1994-09-06 16:00:00-04:00,0.0,14.25,13.75,14.25,19200
1994-09-07 16:00:00-04:00,0.0,14.5,13.75,14.25,10100
1994-09-08 16:00:00-04:00,0.0,14.5,13.75,14.5,6500
1994-09-09 16:00:00-04:00,0.0,14.25,14.0,14.0,3600
1994-09-12 16:00:00-04:00,0.0,14.25,13.75,13.75,22700
1994-09-13 16:00:00-04:00,0.0,14.25,13.75,13.75,4000
1994-09-14 16:00:00-04:00,0.0,14.25,13.75,13.75,1400
1994-09-15 16:00:00-04:00,0.0,14.25,13.75,13.875,6400
1994-09-16 16:00:00-04:00,0.0,14.25,13.75,13.75,5000
1994-09-19 16:00:00-04:00,0.0,15.0,14.25,14.75,120600
1994-09-20 16:00:00-04:00,0.0,14.75,13.75,14.25,63400
1994-09-21 16:00:00-04:00,0.0,14.5,13.5,14.0,39400
1994-09-22 16:00:00-04:00,0.0,14.25,13.75,14.0,8200
1994-09-23 16:00:00-04:00,0.0,14.0,13.25,13.25,7800
1994-09-26 16:00:00-04:00,0.0,14.0,13.75,14.0,3800
1994-09-27 16:00:00-04:00,0.0,14.0,13.25,13.375,8000
1994-09-28 16:00:00-04:00,0.0,14.0,13.375,14.0,1500
1994-09-29 16:00:00-04:00,0.0,14.0,13.375,14.0,3100
1994-09-30 16:00:00-04:00,0.0,14.0,13.5,13.875,6000
1994-10-03 16:00:00-04:00,0.0,14.0,13.5,14.0,1900
1994-10-04 16:00:00-04:00,0.0,14.0,13.25,13.75,24200
1994-10-05 16:00:00-04:00,0.0,14.0,13.375,13.875,36100
1994-10-06 16:00:00-04:00,0.0,14.0,13.5,14.0,24200
1994-10-07 16:00:00-04:00,0.0,14.25,13.5,13.75,46500
1994-10-10 16:00:00-04:00,0.0,14.0,13.5,14.0,36300
1994-10-11 16:00:00-04:00,0.0,14.25,13.5,13.75,47700
1994-10-12 16:00:00-04:00,0.0,14.0,13.5,14.0,38300
1994-10-13 16:00:00-04:00,0.0,15.0,13.5,14.5,125100
1994-10-14 16:00:00-04:00,0.0,15.0,14.25,15.0,67500
1994-10-17 16:00:00-04:00,0.0,15.25,13.5,14.0,111000
1994-10-18 16:00:00-04:00,0.0,14.0,13.5,13.75,48100
1994-10-19 16:00:00-04:00,0.0,13.75,13.25,13.25,38200
1994-10-20 16:00:00-04:00,0.0,13.5,13.25,13.375,37300
1994-10-21 16:00:00-04:00,0.0,13.25,12.75,13.25,57000
1994-10-24 16:00:00-04:00,0.0,13.25,13.0,13.0,15500
1994-10-25 16:00:00-04:00,0.0,13.25,12.5,13.25,9300
1994-10-26 16:00:00-04:00,0.0,13.5,13.0,13.0,14600
1994-10-27 16:00:00-04:00,0.0,13.5,13.0,13.0,16700
1994-10-28 16:00:00-04:00,0.0,14.25,13.25,13.75,22000
1994-10-31 16:00:00-05:00,0.0,14.0,13.5,14.0,32900
1994-11-01 16:00:00-05:00,0.0,14.0,13.5,14.0,7100
1994-11-02 16:00:00-05:00,0.0,14.0,13.5,13.75,4400
1994-11-03 16:00:00-05:00,0.0,14.0,13.5,14.0,7900
1994-11-04 16:00:00-05:00,0.0,14.0,13.5,13.75,13200
1994-11-07 16:00:00-05:00,0.0,14.0,13.5,14.0,24500
1994-11-08 16:00:00-05:00,0.0,14.0,13.5,13.5625,16400
1994-11-09 16:00:00-05:00,0.0,14.0,13.5,14.0,19900
1994-11-10 16:00:00-05:00,0.0,14.0,13.5,13.5,25300
1994-11-11 16:00:00-05:00,0.0,13.75,13.25,13.25,25000
1994-11-14 16:00:00-05:00,0.0,13.75,13.25,13.25,22400
1994-11-15 16:00:00-05:00,0.0,13.75,13.25,13.5,15700
1994-11-16 16:00:00-05:00,0.0,13.5,13.25,13.5,14400
1994-11-17 16:00:00-05:00,0.0,13.5,13.0,13.5,46500
1994-11-18 16:00:00-05:00,0.0,13.5,13.25,13.25,7400
1994-11-21 16:00:00-05:00,0.0,13.5,13.25,13.25,4500
1994-11-22 16:00:00-05:00,0.0,13.5,13.25,13.25,6500
1994-11-23 16:00:00-05:00,0.0,13.25,12.75,12.75,8600
1994-11-25 16:00:00-05:00,0.0,13.25,12.75,13.25,4300
1994-11-28 16:00:00-05:00,0.0,13.25,12.75,13.0,23400
1994-11-29 16:00:00-05:00,0.0,13.0,12.75,13.0,6200
1994-11-30 16:00:00-05:00,0.0,13.0,12.625,12.75,12100
1994-12-01 16:00:00-05:00,0.0,12.75,11.25,11.25,33500
1994-12-02 16:00:00-05:00,0.0,12.0,11.25,11.5,23300
1994-12-05 16:00:00-05:00,0.0,11.75,10.0,10.5,40500
1994-12-06 16:00:00-05:00,0.0,10.5,9.75,10.5,13200
1994-12-07 16:00:00-05:00,0.0,10.5,9.75,10.0,14200
1994-12-08 16:00:00-05:00,0.0,10.0,9.75,9.75,16900
1994-12-09 16:00:00-05:00,0.0,10.0,9.75,9.875,7400
1994-12-12 16:00:00-05:00,0.0,10.0,9.75,9.75,4600
1994-12-13 16:00:00-05:00,0.0,10.0,9.75,10.0,6300
1994-12-14 16:00:00-05:00,0.0,10.0,10.0,10.0,5100
1994-12-15 16:00:00-05:00,0.0,10.0,9.75,10.0,5900
1994-12-16 16:00:00-05:00,0.0,10.0,9.75,10.0,10400
1994-12-19 16:00:00-05:00,0.0,10.0,9.75,9.75,7700
1994-12-20 16:00:00-05:00,0.0,10.0,9.75,9.75,9800
1994-12-21 16:00:00-05:00,0.0,10.0,9.75,10.0,4100
1994-12-22 16:00:00-05:00,0.0,10.0,9.75,9.75,15900
1994-12-23 16:00:00-05:00,0.0,10.0,9.75,10.0,1200
1994-12-27 16:00:00-05:00,0.0,10.0,9.75,9.875,9500
1994-12-28 16:00:00-05:00,0.0,10.0,9.75,9.75,5000
1994-12-29 16:00:00-05:00,0.0,10.0,9.5,9.5,24300
1994-12-30 16:00:00-05:00,0.0,9.75,9.0,9.0,42300
1995-01-03 16:00:00-05:00,0.0,9.75,9.0,9.75,3100
