,Open,High,Low,Close,Volume
1987-12-14 16:00:00-05:00,0.0,4.1364,4.0899,4.0899,26799
1987-12-15 16:00:00-05:00,0.0,4.1364,4.0899,4.0899,212802
1987-12-16 16:00:00-05:00,0.0,4.1364,4.0899,4.0899,180400
1987-12-17 16:00:00-05:00,0.0,4.1921,4.0899,4.1643,171501
1987-12-18 16:00:00-05:00,0.0,4.2478,4.1364,4.2478,49599
1987-12-21 16:00:00-05:00,0.0,4.2478,4.1921,4.2199,79899
1987-12-22 16:00:00-05:00,0.0,4.2478,4.1921,4.2478,76999
1987-12-23 16:00:00-05:00,0.0,4.3222,4.2478,4.2943,159701
1987-12-24 16:00:00-05:00,0.0,4.2943,4.1921,4.2478,49599
1987-12-28 16:00:00-05:00,0.0,4.2478,4.0899,4.1364,336201
1987-12-29 16:00:00-05:00,0.0,4.1364,4.034,4.034,102002
1987-12-30 16:00:00-05:00,0.0,4.2478,4.034,4.034,224900
1987-12-31 16:00:00-05:00,0.0,4.1364,3.9875,3.9875,371499
1988-01-04 16:00:00-05:00,0.0,1.2183,1.1878,1.2017,711006
1988-01-05 16:00:00-05:00,0.0,1.2654,1.2017,1.2488,925181
1988-01-06 16:00:00-05:00,0.0,1.2654,1.2183,1.2322,492803
1988-01-07 16:00:00-05:00,0.0,1.2654,1.2322,1.2654,460241
1988-01-08 16:00:00-05:00,0.0,1.2654,1.2488,1.2488,509924
1988-01-11 16:00:00-05:00,0.0,1.2654,1.2322,1.2654,647895
1988-01-12 16:00:00-05:00,0.0,1.2654,1.2322,1.2322,345768
1988-01-13 16:00:00-05:00,0.0,1.2266,1.2183,1.2183,149049
1988-01-14 16:00:00-05:00,0.0,1.2322,1.2183,1.2322,338718
1988-01-15 16:00:00-05:00,0.0,1.2654,1.2322,1.2322,538458
1988-01-18 16:00:00-05:00,0.0,1.2488,1.2322,1.2322,54047
1988-01-19 16:00:00-05:00,0.0,1.2654,1.2322,1.2654,115815
1988-01-20 16:00:00-05:00,0.0,1.2488,1.2322,1.2322,102388
1988-01-21 16:00:00-05:00,0.0,1.2488,1.2322,1.2322,131258
1988-01-22 16:00:00-05:00,0.0,1.2488,1.2322,1.2322,111787
1988-01-25 16:00:00-05:00,0.0,1.2792,1.2322,1.2654,1059124
1988-01-26 16:00:00-05:00,0.0,1.2958,1.2654,1.2875,206789
1988-01-27 16:00:00-05:00,0.0,1.3263,1.2958,1.3097,232638
1988-01-28 16:00:00-05:00,0.0,1.3263,1.2958,1.3263,781838
1988-01-29 16:00:00-05:00,0.0,1.3568,1.3263,1.3568,1622088
1988-02-01 16:00:00-05:00,0.0,1.3872,1.3429,1.3568,539129
1988-02-02 16:00:00-05:00,0.0,1.3734,1.3429,1.3429,471654
1988-02-03 16:00:00-05:00,0.0,1.3734,1.3429,1.3568,284335
1988-02-04 16:00:00-05:00,0.0,1.3568,1.3429,1.3568,1135999
1988-02-05 16:00:00-05:00,0.0,1.3734,1.3429,1.3568,250094
1988-02-08 16:00:00-05:00,0.0,1.3872,1.3429,1.3429,155428
1988-02-09 16:00:00-05:00,0.0,1.3734,1.3429,1.3734,103730
