,Open,High,Low,Close,Volume
2017-10-09 16:00:00-04:00,9.75,9.85,9.75,9.8,516881
2017-10-10 16:00:00-04:00,9.85,9.85,9.8204,9.83,44707
2017-10-11 16:00:00-04:00,9.85,10.01,9.85,9.87,28720
2017-10-12 16:00:00-04:00,9.84,9.89,9.84,9.87,185800
2017-10-13 16:00:00-04:00,9.84,9.95,9.8106,9.84,206086
2017-10-16 16:00:00-04:00,9.8304,9.8304,9.78,9.83,14701
2017-10-17 16:00:00-04:00,9.83,9.83,9.83,9.83,2047
2017-10-18 16:00:00-04:00,0.0,0.0,0.0,9.83,0
2017-10-19 16:00:00-04:00,9.83,9.86,9.82,9.84,4741
2017-10-20 16:00:00-04:00,9.84,9.85,9.83,9.8499,4739
2017-10-23 16:00:00-04:00,9.8459,9.85,9.83,9.8372,2303
2017-10-24 16:00:00-04:00,0.0,0.0,0.0,9.8372,0
2017-10-25 16:00:00-04:00,9.82,9.85,9.8,9.85,418412
2017-10-26 16:00:00-04:00,9.84,9.84,9.84,9.84,25001
2017-10-27 16:00:00-04:00,9.8499,9.8499,9.8499,9.8499,538
2017-10-30 16:00:00-04:00,0.0,0.0,0.0,9.8499,0
2017-10-31 16:00:00-04:00,9.85,9.8538,9.83,9.8538,3950
2017-11-01 16:00:00-04:00,9.85,9.85,9.85,9.85,450
2017-11-02 16:00:00-04:00,9.82,9.82,9.82,9.82,200
2017-11-03 16:00:00-04:00,0.0,0.0,0.0,9.82,0
2017-11-06 16:00:00-05:00,9.77,10.52,9.77,9.88,2175
2017-11-07 16:00:00-05:00,9.9,9.9,9.86,9.89,5400
2017-11-08 16:00:00-05:00,9.84,9.88,9.84,9.88,1200
2017-11-09 16:00:00-05:00,0.0,0.0,0.0,9.88,0
2017-11-10 16:00:00-05:00,0.0,0.0,0.0,9.88,0
2017-11-13 16:00:00-05:00,9.84,9.9,9.84,9.9,2800
2017-11-14 16:00:00-05:00,9.86,9.92,9.85,9.85,301534
2017-11-15 16:00:00-05:00,0.0,0.0,0.0,9.85,0
2017-11-16 16:00:00-05:00,9.89,9.89,9.89,9.89,2200
2017-11-17 16:00:00-05:00,9.85,9.93,9.85,9.93,201209
2017-11-20 16:00:00-05:00,9.85,9.85,9.84,9.85,29097
2017-11-21 16:00:00-05:00,9.91,9.95,9.86,9.86,2600
2017-11-22 16:00:00-05:00,9.93,10.1628,9.785,9.85,15059
2017-11-24 13:00:00-05:00,0.0,0.0,0.0,9.85,0
2017-11-27 16:00:00-05:00,11.11,11.11,9.82,9.9799,2200
2017-11-28 16:00:00-05:00,9.89,9.93,9.89,9.93,281
2017-11-29 16:00:00-05:00,9.8,9.93,9.8,9.93,5900
2017-11-30 16:00:00-05:00,0.0,0.0,0.0,9.93,0
2017-12-01 16:00:00-05:00,9.9,9.9025,9.86,9.9025,10980
2017-12-04 16:00:00-05:00,9.8801,9.8801,9.88,9.88,600
2017-12-05 16:00:00-05:00,0.0,0.0,0.0,9.88,0
2017-12-06 16:00:00-05:00,0.0,0.0,0.0,9.88,0
2017-12-07 16:00:00-05:00,0.0,0.0,0.0,9.88,0
2017-12-08 16:00:00-05:00,0.0,0.0,0.0,9.88,0
