,Open,High,Low,Close,Volume
2007-01-11 16:00:00-05:00,100.0,100.0,99.92,99.92,1100
2007-01-12 16:00:00-05:00,99.86,99.93,99.85,99.93,1400
2007-01-16 16:00:00-05:00,99.83,99.83,99.83,99.83,600
2007-01-17 16:00:00-05:00,99.94,99.94,99.81,99.82,700
2007-01-18 16:00:00-05:00,99.84,99.91,99.84,99.91,6200
2007-01-19 16:00:00-05:00,99.86,99.86,99.78,99.8,2000
2007-01-22 16:00:00-05:00,99.9,99.9,99.85,99.85,1200
2007-01-23 16:00:00-05:00,99.71,99.75,99.71,99.71,1200
2007-01-24 16:00:00-05:00,99.75,99.75,99.75,99.75,1300
2007-01-25 16:00:00-05:00,99.66,99.66,99.55,99.55,2100
2007-01-26 16:00:00-05:00,99.53,99.56,99.48,99.56,1200
2007-01-29 16:00:00-05:00,99.6,99.61,99.5,99.53,3100
2007-01-30 16:00:00-05:00,99.61,99.61,99.58,99.58,400
2007-01-31 16:00:00-05:00,99.67,99.84,99.67,99.84,3600
2007-02-01 16:00:00-05:00,99.74,99.74,99.52,99.53,1600
2007-02-02 16:00:00-05:00,99.6,99.66,99.55,99.58,6800
2007-02-05 16:00:00-05:00,99.71,99.71,99.71,99.71,7100
2007-02-06 16:00:00-05:00,99.67,99.88,99.67,99.88,6600
2007-02-07 16:00:00-05:00,99.95,99.99,99.94,99.99,2200
2007-02-08 16:00:00-05:00,99.97,100.03,99.95,100.03,7500
2007-02-09 16:00:00-05:00,99.81,99.81,99.81,99.81,2000
2007-02-12 16:00:00-05:00,99.8,99.86,99.71,99.73,5000
2007-02-13 16:00:00-05:00,99.8,99.8,99.69,99.69,1900
2007-02-14 16:00:00-05:00,99.89,100.13,99.89,100.12,16600
2007-02-15 16:00:00-05:00,100.24,100.3,100.22,100.27,9900
2007-02-16 16:00:00-05:00,100.28,100.29,100.26,100.28,16300
2007-02-20 16:00:00-05:00,100.28,100.32,100.24,100.27,5400
2007-02-21 16:00:00-05:00,100.3,100.36,100.3,100.36,1900
2007-02-22 16:00:00-05:00,100.21,100.21,100.21,100.21,200
2007-02-23 16:00:00-05:00,100.23,100.47,100.23,100.42,13300
2007-02-26 16:00:00-05:00,100.55,100.62,100.54,100.59,1400
2007-02-27 16:00:00-05:00,100.83,101.27,100.83,101.2,12300
2007-02-28 16:00:00-05:00,101.2,101.2,100.97,101.02,126000
2007-03-01 16:00:00-05:00,100.82,100.95,100.68,100.68,47900
2007-03-02 16:00:00-05:00,100.92,100.96,100.839,100.96,13600
2007-03-05 16:00:00-05:00,101.1,101.11,100.96,100.99,8500
2007-03-06 16:00:00-05:00,100.85,101.01,100.8,100.89,10200
2007-03-07 16:00:00-05:00,100.9,101.03,100.9,101.03,4600
2007-03-08 16:00:00-05:00,100.98,101.05,100.967,101.05,3500
2007-03-09 16:00:00-05:00,100.62,100.73,100.62,100.69,8400
2007-03-12 16:00:00-04:00,100.77,100.9,100.77,100.87,8300
2007-03-13 16:00:00-04:00,101.09,101.27,101.05,101.18,25200
2007-03-14 16:00:00-04:00,101.2,101.3,101.14,101.16,5000
2007-03-15 16:00:00-04:00,101.13,101.13,101.05,101.06,20500
2007-03-16 16:00:00-04:00,101.0,101.1,101.0,101.08,9500
2007-03-19 16:00:00-04:00,100.9,100.97,100.89,100.91,2000
2007-03-20 16:00:00-04:00,101.1,101.11,101.06,101.07,10100
2007-03-21 16:00:00-04:00,101.07,101.36,100.99,101.27,28000
2007-03-22 16:00:00-04:00,101.2,101.2,101.05,101.08,4300
2007-03-23 16:00:00-04:00,101.18,101.18,100.98,100.98,17400
2007-03-26 16:00:00-04:00,100.96,101.25,100.96,101.11,8200
2007-03-27 16:00:00-04:00,101.06,101.1,101.03,101.09,31500
2007-03-28 16:00:00-04:00,101.23,101.3,101.12,101.12,2100
2007-03-29 16:00:00-04:00,101.0,101.07,101.0,101.01,7100
2007-03-30 16:00:00-04:00,101.05,101.15,100.84,101.0,27600
2007-04-02 16:00:00-04:00,100.73,100.73,100.54,100.64,18100
2007-04-03 16:00:00-04:00,100.51,100.66,100.51,100.55,8200
2007-04-04 16:00:00-04:00,100.78,100.83,100.59,100.79,19400
2007-04-05 16:00:00-04:00,100.74,100.74,100.55,100.62,3300
2007-04-09 16:00:00-04:00,100.1,100.24,100.1,100.22,6900
2007-04-10 16:00:00-04:00,100.39,100.392,100.331,100.35,5500
2007-04-11 16:00:00-04:00,100.46,100.49,100.28,100.34,4800
2007-04-12 16:00:00-04:00,100.33,100.37,100.3,100.32,3500
2007-04-13 16:00:00-04:00,100.34,100.34,100.13,100.21,15200
2007-04-16 16:00:00-04:00,100.25,100.33,100.23,100.28,3100
2007-04-17 16:00:00-04:00,100.45,100.6,100.45,100.6,2200
2007-04-18 16:00:00-04:00,100.7,100.77,100.7,100.75,6300
2007-04-19 16:00:00-04:00,100.85,100.85,100.65,100.75,2800
2007-04-20 16:00:00-04:00,100.65,100.75,100.65,100.72,3500
2007-04-23 16:00:00-04:00,100.71,100.88,100.71,100.86,1900
2007-04-24 16:00:00-04:00,101.05,101.05,101.02,101.03,1300
2007-04-25 16:00:00-04:00,100.94,101.03,100.91,100.92,7100
2007-04-26 16:00:00-04:00,100.89,100.89,100.76,100.76,6900
2007-04-27 16:00:00-04:00,100.77,100.77,100.7,100.76,1700
2007-04-30 16:00:00-04:00,100.93,101.06,100.92,101.06,8800
2007-05-01 16:00:00-04:00,100.78,100.78,100.55,100.63,6600
2007-05-02 16:00:00-04:00,100.62,100.62,100.53,100.59,28400
2007-05-03 16:00:00-04:00,100.49,100.5,100.39,100.5,12900
2007-05-04 16:00:00-04:00,100.65,100.67,100.6,100.65,64900
2007-05-07 16:00:00-04:00,100.52,100.69,100.52,100.69,1500
2007-05-08 16:00:00-04:00,100.7,100.76,100.68,100.71,8800
