,Open,High,Low,Close,Volume
1991-05-17 16:00:00-04:00,0.0,10.75,10.0,10.0,1291600
1991-05-20 16:00:00-04:00,0.0,10.25,9.0,9.0,251600
1991-05-21 16:00:00-04:00,0.0,9.25,9.0,9.0,281700
1991-05-22 16:00:00-04:00,0.0,9.25,9.0,9.0,54800
1991-05-23 16:00:00-04:00,0.0,9.25,9.0,9.125,81100
1991-05-24 16:00:00-04:00,0.0,9.25,9.0,9.125,22600
1991-05-28 16:00:00-04:00,0.0,9.25,9.125,9.25,18200
1991-05-29 16:00:00-04:00,0.0,10.0,9.25,9.75,50700
1991-05-30 16:00:00-04:00,0.0,10.0,9.75,9.75,15100
1991-05-31 16:00:00-04:00,0.0,10.0,9.5,9.5,24100
1991-06-03 16:00:00-04:00,0.0,10.0,9.0,9.25,61400
1991-06-04 16:00:00-04:00,0.0,9.5,9.25,9.25,21400
1991-06-05 16:00:00-04:00,0.0,9.5,9.25,9.25,7000
1991-06-06 16:00:00-04:00,0.0,9.5,9.25,9.25,7400
1991-06-07 16:00:00-04:00,0.0,9.5,9.25,9.5,27500
1991-06-10 16:00:00-04:00,0.0,9.5,9.25,9.5,10100
1991-06-11 16:00:00-04:00,0.0,9.75,9.25,9.25,15900
1991-06-12 16:00:00-04:00,0.0,11.0,10.0,10.5,179900
1991-06-13 16:00:00-04:00,0.0,10.5,10.0,10.0,67700
1991-06-14 16:00:00-04:00,0.0,10.75,10.0,10.75,106200
1991-06-17 16:00:00-04:00,0.0,10.75,10.25,10.25,25000
1991-06-18 16:00:00-04:00,0.0,10.5,9.75,10.25,65300
1991-06-19 16:00:00-04:00,0.0,10.25,9.75,10.25,50000
1991-06-20 16:00:00-04:00,0.0,10.25,9.75,10.25,17000
1991-06-21 16:00:00-04:00,0.0,10.25,9.75,10.125,42800
1991-06-24 16:00:00-04:00,0.0,10.25,9.75,9.75,4600
1991-06-25 16:00:00-04:00,0.0,10.25,9.75,10.25,23300
1991-06-26 16:00:00-04:00,0.0,10.25,9.75,9.75,4900
1991-06-27 16:00:00-04:00,0.0,10.25,9.75,10.25,2500
1991-06-28 16:00:00-04:00,0.0,10.25,9.75,10.25,56400
1991-07-01 16:00:00-04:00,0.0,10.5,10.0,10.25,17100
1991-07-02 16:00:00-04:00,0.0,10.25,9.5,10.25,15400
1991-07-03 16:00:00-04:00,0.0,10.25,9.75,9.75,7500
1991-07-05 16:00:00-04:00,0.0,10.25,9.75,9.75,1200
1991-07-08 16:00:00-04:00,0.0,10.0,8.75,9.5,101800
1991-07-09 16:00:00-04:00,0.0,9.75,9.25,9.75,13200
1991-07-10 16:00:00-04:00,0.0,10.0,9.5,9.625,18900
1991-07-11 16:00:00-04:00,0.0,10.0,9.5,9.5,9400
1991-07-12 16:00:00-04:00,0.0,10.0,9.5,10.0,1900
1991-07-15 16:00:00-04:00,0.0,10.0,9.25,9.25,30700
1991-07-16 16:00:00-04:00,0.0,10.0,9.5,9.5,16000
1991-07-17 16:00:00-04:00,0.0,10.0,10.0,10.0,3100
1991-07-18 16:00:00-04:00,0.0,10.25,9.625,10.0,7000
1991-07-19 16:00:00-04:00,0.0,14.25,10.0,12.75,761200
1991-07-22 16:00:00-04:00,0.0,13.25,12.5,12.5,276000
1991-07-23 16:00:00-04:00,0.0,13.0,11.5,11.875,98300
1991-07-24 16:00:00-04:00,0.0,12.25,11.5,12.0,10700
1991-07-25 16:00:00-04:00,0.0,12.75,11.5,12.0,129700
1991-07-26 16:00:00-04:00,0.0,12.75,12.0,12.5,89600
1991-07-29 16:00:00-04:00,0.0,13.5,12.25,12.75,95700
1991-07-30 16:00:00-04:00,0.0,13.75,12.75,13.75,184200
1991-07-31 16:00:00-04:00,0.0,14.5,14.0,14.25,299900
1991-08-01 16:00:00-04:00,0.0,15.0,14.25,14.25,86600
1991-08-02 16:00:00-04:00,0.0,14.5,14.25,14.5,76200
1991-08-05 16:00:00-04:00,0.0,15.25,14.25,14.75,79400
1991-08-06 16:00:00-04:00,0.0,15.0,14.5,14.75,95300
1991-08-07 16:00:00-04:00,0.0,15.25,14.75,15.0,73700
1991-08-08 16:00:00-04:00,0.0,15.0,14.75,14.75,75600
1991-08-09 16:00:00-04:00,0.0,15.0,14.75,14.75,21700
1991-08-12 16:00:00-04:00,0.0,15.0,14.75,15.0,8100
1991-08-13 16:00:00-04:00,0.0,15.0,14.25,14.5,57600
1991-08-14 16:00:00-04:00,0.0,14.75,14.5,14.5,28900
1991-08-15 16:00:00-04:00,0.0,15.0,14.5,15.0,72100
1991-08-16 16:00:00-04:00,0.0,15.25,15.0,15.0,113100
1991-08-19 16:00:00-04:00,0.0,14.75,14.0,14.5,52800
1991-08-20 16:00:00-04:00,0.0,15.25,14.5,14.625,49400
1991-08-21 16:00:00-04:00,0.0,15.25,14.75,15.25,42300
1991-08-22 16:00:00-04:00,0.0,15.25,14.75,15.0,63700
1991-08-23 16:00:00-04:00,0.0,15.25,14.75,15.25,60900
1991-08-26 16:00:00-04:00,0.0,15.5,15.0,15.25,81500
1991-08-27 16:00:00-04:00,0.0,17.25,15.5,16.75,148500
1991-08-28 16:00:00-04:00,0.0,18.5,17.0,18.0,248400
1991-08-29 16:00:00-04:00,0.0,18.25,17.0,18.25,71600
1991-08-30 16:00:00-04:00,0.0,18.5,17.75,18.25,71200
1991-09-03 16:00:00-04:00,0.0,18.25,17.75,18.0,60000
1991-09-04 16:00:00-04:00,0.0,18.25,16.5,16.75,53700
1991-09-05 16:00:00-04:00,0.0,17.0,16.75,16.75,12500
1991-09-06 16:00:00-04:00,0.0,17.0,16.75,16.75,17400
1991-09-09 16:00:00-04:00,0.0,17.0,16.75,16.75,15900
1991-09-10 16:00:00-04:00,0.0,17.5,16.75,17.5,30400
1991-09-11 16:00:00-04:00,0.0,17.875,17.25,17.875,52200
1991-09-12 16:00:00-04:00,0.0,18.0,15.75,16.25,176400
1991-09-13 16:00:00-04:00,0.0,18.0,16.625,17.5,99300
1991-09-16 16:00:00-04:00,0.0,17.75,17.25,17.75,45700
1991-09-17 16:00:00-04:00,0.0,17.75,17.25,17.75,4400
1991-09-18 16:00:00-04:00,0.0,17.75,17.25,17.25,13200
1991-09-19 16:00:00-04:00,0.0,17.75,17.25,17.25,33000
1991-09-20 16:00:00-04:00,0.0,18.125,17.5,18.0,39200
1991-09-23 16:00:00-04:00,0.0,17.5,16.0,16.0,186200
1991-09-24 16:00:00-04:00,0.0,16.75,16.25,16.75,2800
1991-09-25 16:00:00-04:00,0.0,17.0,16.25,16.25,10200
1991-09-26 16:00:00-04:00,0.0,16.75,16.25,16.5,12700
1991-09-27 16:00:00-04:00,0.0,16.75,16.25,16.75,100800
1991-09-30 16:00:00-04:00,0.0,16.75,16.25,16.75,20100
1991-10-01 16:00:00-04:00,0.0,16.75,16.25,16.25,85200
1991-10-02 16:00:00-04:00,0.0,16.75,16.25,16.25,45300
1991-10-03 16:00:00-04:00,0.0,17.25,16.5,17.25,25900
1991-10-04 16:00:00-04:00,0.0,17.25,16.5,17.0,7500
1991-10-07 16:00:00-04:00,0.0,17.0,16.25,16.625,18400
1991-10-08 16:00:00-04:00,0.0,17.25,16.5,16.875,164100
1991-10-09 16:00:00-04:00,0.0,17.0,16.75,16.75,16400
1991-10-10 16:00:00-04:00,0.0,17.0,16.75,16.75,11100
1991-10-11 16:00:00-04:00,0.0,17.0,16.25,16.25,40200
1991-10-14 16:00:00-04:00,0.0,17.25,16.375,17.0,67500
1991-10-15 16:00:00-04:00,0.0,17.5,17.0,17.25,31400
1991-10-16 16:00:00-04:00,0.0,17.75,17.0,17.5,150500
1991-10-17 16:00:00-04:00,0.0,17.5,16.75,16.75,27200
1991-10-18 16:00:00-04:00,0.0,17.75,16.75,17.5,102100
1991-10-21 16:00:00-04:00,0.0,18.75,17.25,18.75,91700
1991-10-22 16:00:00-04:00,0.0,20.25,18.25,20.0,127200
1991-10-23 16:00:00-04:00,0.0,21.5,19.75,21.25,296100
1991-10-24 16:00:00-04:00,0.0,21.0,18.25,18.75,235200
1991-10-25 16:00:00-04:00,0.0,18.75,18.25,18.25,90000
1991-10-28 16:00:00-05:00,0.0,19.0,18.5,19.0,34600
1991-10-29 16:00:00-05:00,0.0,19.0,18.5,19.0,23800
1991-10-30 16:00:00-05:00,0.0,19.5,18.5,19.0,58900
1991-10-31 16:00:00-05:00,0.0,20.25,18.75,20.0,90700
1991-11-01 16:00:00-05:00,0.0,21.5,19.75,21.0,70600
