,Open,High,Low,Close,Volume
2000-06-13 16:00:00-04:00,0.0,6.0833,5.9063,6.0209,7628400
2000-06-14 16:00:00-04:00,0.0,6.125,5.9167,6.0,2143200
2000-06-15 16:00:00-04:00,0.0,6.1667,6.0,6.0833,932700
2000-06-16 16:00:00-04:00,0.0,6.1667,6.0,6.0833,174000
2000-06-19 16:00:00-04:00,0.0,6.1667,6.0,6.0,432000
2000-06-20 16:00:00-04:00,0.0,6.5417,5.25,6.25,391500
2000-06-21 16:00:00-04:00,0.0,7.4167,6.4167,7.3333,780600
2000-06-22 16:00:00-04:00,0.0,7.4167,6.3542,6.5833,285900
2000-06-23 16:00:00-04:00,0.0,7.0833,6.6667,6.9167,204900
2000-06-26 16:00:00-04:00,0.0,7.0833,6.5,6.6667,153000
2000-06-27 16:00:00-04:00,0.0,6.9583,6.0,6.3333,203700
2000-06-28 16:00:00-04:00,0.0,6.5833,6.0833,6.4167,276000
2000-06-29 16:00:00-04:00,0.0,6.5833,6.0,6.0,243600
2000-06-30 16:00:00-04:00,0.0,6.4167,6.0833,6.2917,243900
2000-07-03 16:00:00-04:00,0.0,6.5,6.3333,6.4167,48300
2000-07-05 16:00:00-04:00,0.0,6.6667,6.3333,6.6667,196200
2000-07-06 16:00:00-04:00,0.0,6.7083,6.2917,6.5,193500
2000-07-07 16:00:00-04:00,0.0,7.75,6.375,6.8333,1185000
2000-07-10 16:00:00-04:00,0.0,8.8333,6.9583,8.375,934800
2000-07-11 16:00:00-04:00,0.0,9.5,7.9167,8.5,1986600
2000-07-12 16:00:00-04:00,0.0,10.2917,8.4583,10.0,1639500
2000-07-13 16:00:00-04:00,0.0,12.0833,10.75,11.1667,1807800
2000-07-14 16:00:00-04:00,0.0,11.8333,9.9167,10.3333,843600
2000-07-17 16:00:00-04:00,0.0,10.75,10.1667,10.4167,276600
2000-07-18 16:00:00-04:00,0.0,10.625,9.5833,9.6667,198900
2000-07-19 16:00:00-04:00,0.0,9.6667,8.75,9.3333,264000
2000-07-20 16:00:00-04:00,0.0,11.0833,9.0833,10.5833,394800
2000-07-21 16:00:00-04:00,0.0,11.4167,10.4167,11.4167,285900
2000-07-24 16:00:00-04:00,0.0,11.8333,10.7083,11.1667,272100
2000-07-25 16:00:00-04:00,0.0,11.5,10.3333,10.75,143100
2000-07-26 16:00:00-04:00,0.0,11.6667,9.4167,11.5833,293400
2000-07-27 16:00:00-04:00,0.0,12.6667,11.0,11.4167,334800
2000-07-28 16:00:00-04:00,0.0,11.4583,10.3333,10.8333,227400
2000-07-31 16:00:00-04:00,0.0,12.7083,9.9167,12.5833,337200
2000-08-01 16:00:00-04:00,0.0,12.0833,11.5833,11.625,141300
2000-08-02 16:00:00-04:00,0.0,12.125,11.3333,11.375,99300
2000-08-03 16:00:00-04:00,0.0,12.0,11.0,11.7083,73800
2000-08-04 16:00:00-04:00,0.0,12.0417,11.25,11.375,122400
2000-08-07 16:00:00-04:00,0.0,11.5833,10.3333,10.6667,174000
2000-08-08 16:00:00-04:00,0.0,11.1667,10.3333,10.5,49500
2000-08-09 16:00:00-04:00,0.0,10.625,9.6667,9.7917,118500
2000-08-10 16:00:00-04:00,0.0,10.4167,9.75,9.8333,71100
2000-08-11 16:00:00-04:00,0.0,9.8333,8.7917,9.3333,129600
2000-08-14 16:00:00-04:00,0.0,9.7709,9.3333,9.3333,56100
2000-08-15 16:00:00-04:00,0.0,9.3333,8.4167,8.4167,205500
2000-08-16 16:00:00-04:00,0.0,9.4583,8.5,9.125,81300
2000-08-17 16:00:00-04:00,0.0,9.6667,9.0833,9.6667,179100
2000-08-18 16:00:00-04:00,0.0,9.75,9.3333,9.3333,39000
2000-08-21 16:00:00-04:00,0.0,9.2917,8.8333,9.0417,24600
2000-08-22 16:00:00-04:00,0.0,9.0417,8.7083,8.8333,26700
2000-08-23 16:00:00-04:00,0.0,8.75,8.3333,8.7083,63900
2000-08-24 16:00:00-04:00,0.0,8.6667,8.3333,8.5833,64800
2000-08-25 16:00:00-04:00,0.0,10.0833,8.3333,10.0833,141600
2000-08-28 16:00:00-04:00,0.0,10.0833,9.4167,9.5833,61800
2000-08-29 16:00:00-04:00,0.0,10.25,9.4167,9.5833,40200
2000-08-30 16:00:00-04:00,0.0,10.0833,9.6873,10.0,26400
2000-08-31 16:00:00-04:00,0.0,10.1667,9.3333,9.6667,64200
2000-09-01 16:00:00-04:00,0.0,9.9167,9.25,9.25,91800
2000-09-05 16:00:00-04:00,0.0,9.5207,9.0,9.292,116100
2000-09-06 16:00:00-04:00,0.0,9.3333,9.0,9.1667,91500
2000-09-07 16:00:00-04:00,0.0,9.3333,9.0,9.25,27600
2000-09-08 16:00:00-04:00,0.0,9.6253,9.1667,9.3333,78600
2000-09-11 16:00:00-04:00,0.0,9.4587,9.2087,9.4587,50400
2000-09-12 16:00:00-04:00,0.0,9.9587,9.5,9.9587,116700
2000-09-13 16:00:00-04:00,0.0,9.9167,9.3333,9.3753,55500
2000-09-14 16:00:00-04:00,0.0,9.8333,9.3333,9.7087,69000
2000-09-15 16:00:00-04:00,0.0,9.7087,8.8333,9.0,89400
2000-09-18 16:00:00-04:00,0.0,9.3333,8.3333,8.6667,56400
2000-09-19 16:00:00-04:00,0.0,8.6667,8.5,8.5,103200
2000-09-20 16:00:00-04:00,0.0,8.6667,7.75,7.75,129300
2000-09-21 16:00:00-04:00,0.0,8.1667,7.0,7.3333,124800
2000-09-22 16:00:00-04:00,0.0,8.0,7.0833,7.9587,42600
2000-09-25 16:00:00-04:00,0.0,8.9167,7.8333,7.9167,84000
2000-09-26 16:00:00-04:00,0.0,8.0,7.8333,7.9167,20100
2000-09-27 16:00:00-04:00,0.0,8.1667,7.6667,7.75,79500
2000-09-28 16:00:00-04:00,0.0,8.1667,7.8333,7.8333,259500
2000-09-29 16:00:00-04:00,0.0,8.1667,7.6253,7.8333,181200
2000-10-02 16:00:00-04:00,0.0,8.3333,7.75,7.8753,269400
2000-10-03 16:00:00-04:00,0.0,8.3333,7.7087,7.75,114000
2000-10-04 16:00:00-04:00,0.0,7.75,7.3333,7.6667,40200
2000-10-05 16:00:00-04:00,0.0,7.75,7.3753,7.3753,111600
2000-10-06 16:00:00-04:00,0.0,7.6667,6.8753,6.9167,60600
2000-10-09 16:00:00-04:00,0.0,7.1667,6.6667,6.75,144600
2000-10-10 16:00:00-04:00,0.0,6.8333,6.292,6.292,182100
2000-10-11 16:00:00-04:00,0.0,6.6667,6.1253,6.5,36900
2000-10-12 16:00:00-04:00,0.0,6.5833,5.5833,6.5,157200
2000-10-13 16:00:00-04:00,0.0,6.75,6.0,6.3333,47400
2000-10-16 16:00:00-04:00,0.0,6.8333,6.1773,6.8333,218700
2000-10-17 16:00:00-04:00,0.0,7.0833,6.75,7.0,148500
2000-10-18 16:00:00-04:00,0.0,6.6667,6.0833,6.3333,30300
2000-10-19 16:00:00-04:00,0.0,6.656,6.3333,6.3333,19200
2000-10-20 16:00:00-04:00,0.0,6.75,6.3333,6.6667,129000
2000-10-23 16:00:00-04:00,0.0,6.8333,6.6667,6.75,69000
2000-10-24 16:00:00-04:00,0.0,7.1253,6.6667,7.0,48300
2000-10-25 16:00:00-04:00,0.0,7.9167,6.6667,7.75,94800
2000-10-26 16:00:00-04:00,0.0,8.3333,7.5833,8.25,147900
2000-10-27 16:00:00-04:00,0.0,9.25,8.6667,9.1253,225000
2000-10-30 16:00:00-05:00,0.0,10.042,9.1773,9.8333,520200
2000-10-31 16:00:00-05:00,0.0,10.0,8.75,9.0833,65400
2000-11-01 16:00:00-05:00,9.2607,9.5833,8.3333,8.5,32700
2000-11-02 16:00:00-05:00,8.8227,8.8227,7.6667,8.3333,33900
2000-11-03 16:00:00-05:00,8.4587,9.2087,8.4167,9.0833,39300
2000-11-06 16:00:00-05:00,8.75,9.1667,8.5833,8.6667,139800
2000-11-07 16:00:00-05:00,8.9587,8.9587,8.5833,8.6667,43200
2000-11-08 16:00:00-05:00,8.344,8.6667,8.0833,8.4167,18000
2000-11-09 16:00:00-05:00,8.094,9.3333,8.094,9.3333,19200
2000-11-10 16:00:00-05:00,9.1667,9.3333,7.6667,9.25,67800
2000-11-13 16:00:00-05:00,9.3333,9.3333,8.542,8.8333,53700
2000-11-14 16:00:00-05:00,9.0,9.25,8.75,8.9587,34200
2000-11-15 16:00:00-05:00,9.2393,9.2393,8.75,8.8333,43800
2000-11-16 16:00:00-05:00,9.1147,9.3333,8.7087,9.0833,111000
2000-11-17 16:00:00-05:00,9.25,9.3333,8.8333,9.0,103800
2000-11-20 16:00:00-05:00,8.7607,9.0833,8.4167,8.542,18000
2000-11-21 16:00:00-05:00,8.4167,8.8333,7.3333,8.8333,57300
2000-11-22 16:00:00-05:00,8.3753,8.3753,6.8753,7.5833,91500
2000-11-24 16:00:00-05:00,7.75,8.0,6.8333,6.8333,51600
2000-11-27 16:00:00-05:00,7.3333,7.9587,7.1667,7.9587,201300
2000-11-28 16:00:00-05:00,8.0,8.0,7.1667,7.1667,39000
2000-11-29 16:00:00-05:00,7.0833,7.3333,6.6667,7.0,48300
2000-11-30 16:00:00-05:00,7.0,8.25,6.9587,7.8333,105600
2000-12-01 16:00:00-05:00,7.8333,7.9167,7.6667,7.8333,51300
2000-12-04 16:00:00-05:00,7.3753,7.5,7.0833,7.0833,22200
2000-12-05 16:00:00-05:00,7.1667,7.4167,7.0,7.042,67200
2000-12-06 16:00:00-05:00,6.75,7.1667,6.0,6.0,181500
2000-12-07 16:00:00-05:00,5.906,6.1667,5.4167,6.0833,164400
2000-12-08 16:00:00-05:00,6.1667,6.5,5.9587,6.3753,51300
2000-12-11 16:00:00-05:00,4.6667,5.9167,4.3333,5.5833,1028100
2000-12-12 16:00:00-05:00,5.5,5.7087,5.3753,5.7087,1175700
2000-12-13 16:00:00-05:00,5.6667,5.75,5.042,5.042,747600
2000-12-14 16:00:00-05:00,5.292,5.4167,4.8333,5.042,355800
2000-12-15 16:00:00-05:00,5.0,5.0833,4.5,4.75,193800
2000-12-18 16:00:00-05:00,4.8127,4.9167,4.6253,4.7087,611700
2000-12-19 16:00:00-05:00,4.7087,4.7087,3.8753,4.0,551400
2000-12-20 16:00:00-05:00,3.9167,4.0833,3.5833,3.9167,877200
2000-12-21 16:00:00-05:00,3.9167,4.25,3.8333,4.042,846600
2000-12-22 16:00:00-05:00,4.1873,4.3333,4.0833,4.25,255000
2000-12-26 16:00:00-05:00,4.25,4.6667,4.0833,4.1667,458700
2000-12-27 16:00:00-05:00,4.4587,4.75,4.1353,4.3333,190800
2000-12-28 16:00:00-05:00,4.2087,5.3333,4.1667,4.9167,736500
2000-12-29 16:00:00-05:00,5.25,5.8333,5.1667,5.6667,559500
2001-01-02 16:00:00-05:00,5.4167,5.7393,5.3753,5.4373,78300
2001-01-03 16:00:00-05:00,5.6873,5.8333,5.3333,5.8333,180000
2001-01-04 16:00:00-05:00,5.6147,5.7087,4.9373,5.292,123900
2001-01-05 16:00:00-05:00,5.292,5.292,5.0833,5.1667,64200
2001-01-08 16:00:00-05:00,5.2813,5.292,4.9167,5.0,269400
2001-01-09 16:00:00-05:00,5.0,5.2087,4.9167,5.2087,174900
2001-01-10 16:00:00-05:00,5.0833,5.1667,4.0833,4.5,578400
2001-01-11 16:00:00-05:00,4.5,5.5,4.4167,5.4167,590100
2001-01-12 16:00:00-05:00,5.396,5.4167,4.9167,4.9167,196500
2001-01-16 16:00:00-05:00,4.9587,5.3753,4.9587,5.3333,54600
2001-01-17 16:00:00-05:00,5.3647,5.4167,5.25,5.25,544800
2001-01-18 16:00:00-05:00,5.3333,5.75,5.25,5.3333,593400
2001-01-19 16:00:00-05:00,5.4587,5.75,5.3333,5.3753,112800
2001-01-22 16:00:00-05:00,5.3333,5.4167,4.542,4.8333,666300
2001-01-23 16:00:00-05:00,5.146,5.25,4.6667,5.25,551700
2001-01-24 16:00:00-05:00,5.2087,5.4167,5.1667,5.3753,672600
2001-01-25 16:00:00-05:00,5.3647,5.4587,5.25,5.3333,69600
2001-01-26 16:00:00-05:00,5.3753,5.4167,5.1667,5.292,111300
2001-01-29 16:00:00-05:00,5.3753,5.3753,5.0,5.3333,262500
2001-01-30 16:00:00-05:00,5.354,5.6253,5.0833,5.2087,472500
2001-01-31 16:00:00-05:00,5.1873,5.8333,5.1667,5.5833,675900
2001-02-01 16:00:00-05:00,5.4893,5.792,5.1667,5.7393,487500
2001-02-02 16:00:00-05:00,5.6667,5.75,5.1667,5.5833,317400
2001-02-05 16:00:00-05:00,5.4587,5.75,5.3333,5.5833,242700
2001-02-06 16:00:00-05:00,5.7393,5.8333,5.3333,5.75,171000
2001-02-07 16:00:00-05:00,5.6253,5.8333,5.5,5.6253,106800
2001-02-08 16:00:00-05:00,5.5833,6.0833,5.5833,6.042,353700
2001-02-09 16:00:00-05:00,5.792,6.0,4.9167,4.9167,1167000
2001-02-12 16:00:00-05:00,5.146,5.25,4.75,4.9167,463500
2001-02-13 16:00:00-05:00,4.896,5.0,4.5833,4.7393,452700
2001-02-14 16:00:00-05:00,4.6773,5.3333,4.6667,5.3333,391500
2001-02-15 16:00:00-05:00,5.2607,5.6667,5.1667,5.4167,44100
2001-02-16 16:00:00-05:00,5.1667,5.3333,5.0833,5.3333,54600
2001-02-20 16:00:00-05:00,5.3333,5.75,5.25,5.6667,716700
2001-02-21 16:00:00-05:00,5.542,5.9167,5.5,5.792,410100
2001-02-22 16:00:00-05:00,5.7087,5.792,5.6667,5.75,253800
2001-02-23 16:00:00-05:00,5.6667,5.75,5.292,5.3333,91800
2001-02-26 16:00:00-05:00,5.3333,5.542,5.3333,5.3333,18900
2001-02-27 16:00:00-05:00,5.4167,5.4587,4.8333,5.0,68400
2001-02-28 16:00:00-05:00,5.0833,5.0833,4.75,4.8333,97500
2001-03-01 16:00:00-05:00,4.7707,5.3333,4.5,4.8333,226500
2001-03-02 16:00:00-05:00,4.75,4.9167,4.75,4.9167,185100
2001-03-05 16:00:00-05:00,5.0,5.5833,5.0,5.3333,416100
2001-03-06 16:00:00-05:00,5.5727,5.6253,4.8333,5.1667,124800
2001-03-07 16:00:00-05:00,5.25,5.3333,5.1253,5.25,28500
2001-03-08 16:00:00-05:00,5.25,5.3333,5.0,5.1667,26100
2001-03-09 16:00:00-05:00,5.146,5.292,5.0,5.1873,52500
2001-03-12 16:00:00-05:00,5.292,5.292,4.604,4.6253,60600
2001-03-13 16:00:00-05:00,4.5833,4.7087,4.5,4.5,125700
2001-03-14 16:00:00-05:00,4.5313,4.6667,4.4167,4.6667,66900
2001-03-15 16:00:00-05:00,4.75,5.0833,4.5833,5.0,106500
2001-03-16 16:00:00-05:00,4.9167,5.1667,4.8753,5.0,86700
2001-03-19 16:00:00-05:00,5.052,5.052,4.3333,4.9167,44700
2001-03-20 16:00:00-05:00,4.6873,4.9167,4.6667,4.6667,54000
2001-03-21 16:00:00-05:00,4.6667,4.6667,4.25,4.292,81600
2001-03-22 16:00:00-05:00,3.9793,4.0833,3.6667,3.792,204600
2001-03-23 16:00:00-05:00,3.8753,4.0833,3.8753,3.9373,78300
2001-03-26 16:00:00-05:00,4.052,4.292,3.9373,4.0,60600
2001-03-27 16:00:00-05:00,4.1667,4.1667,3.9587,3.9587,50700
2001-03-28 16:00:00-05:00,3.9793,3.9793,3.5833,3.5833,65700
2001-03-29 16:00:00-05:00,3.75,3.75,3.25,3.3333,69000
2001-03-30 16:00:00-05:00,3.25,3.4167,3.25,3.25,44400
2001-04-02 16:00:00-04:00,3.0207,3.1253,2.6873,2.7087,147600
2001-04-03 16:00:00-04:00,2.8333,2.8753,2.0,2.8333,179400
2001-04-04 16:00:00-04:00,2.9167,3.0,2.792,2.9793,33000
2001-04-05 16:00:00-04:00,2.9687,3.2087,2.8333,3.0,84900
2001-04-06 16:00:00-04:00,3.0,3.104,2.8753,2.9167,33300
2001-04-09 16:00:00-04:00,2.874,3.0,2.5,2.6,129000
2001-04-10 16:00:00-04:00,2.66,2.6667,2.3333,2.4,238800
2001-04-11 16:00:00-04:00,2.4333,2.44,2.1473,2.2333,331200
2001-04-12 16:00:00-04:00,2.3973,2.474,2.2733,2.474,109500
2001-04-16 16:00:00-04:00,2.466,2.7007,2.466,2.7007,39000
2001-04-17 16:00:00-04:00,2.7667,3.0,2.746,2.966,308700
2001-04-18 16:00:00-04:00,3.3673,3.4127,3.2007,3.2993,188700
2001-04-19 16:00:00-04:00,3.276,3.4,3.22,3.3867,45300
2001-04-20 16:00:00-04:00,3.4,3.5,3.3593,3.5,33600
2001-04-23 16:00:00-04:00,3.4507,4.0,3.3673,3.9333,112500
2001-04-24 16:00:00-04:00,3.9,4.6327,3.9,4.62,97500
2001-04-25 16:00:00-04:00,4.534,4.534,4.0,4.1327,99900
2001-04-26 16:00:00-04:00,4.2133,4.6927,4.1667,4.406,168600
2001-04-27 16:00:00-04:00,4.6667,4.6667,4.3333,4.3333,118200
2001-04-30 16:00:00-04:00,4.594,4.594,4.1133,4.4,96600
2001-05-01 16:00:00-04:00,4.4867,4.4867,3.7607,4.0,225600
2001-05-02 16:00:00-04:00,4.034,4.1667,3.5667,3.6667,340500
2001-05-03 16:00:00-04:00,4.0193,4.0193,3.6667,3.966,368100
2001-05-04 16:00:00-04:00,3.9933,4.0,3.9,3.9533,58500
2001-05-07 16:00:00-04:00,4.0667,4.5,4.0,4.2993,88800
2001-05-08 16:00:00-04:00,4.5,4.5,4.0,4.1327,137700
2001-05-09 16:00:00-04:00,4.1667,4.1667,3.1927,3.4333,1758000
2001-05-10 16:00:00-04:00,3.8593,3.9333,3.6327,3.78,1668600
2001-05-11 16:00:00-04:00,4.2733,4.3333,3.966,4.026,276000
2001-05-14 16:00:00-04:00,4.0967,4.1327,4.0,4.034,303900
2001-05-15 16:00:00-04:00,4.1667,4.1667,4.0193,4.0667,219300
2001-05-16 16:00:00-04:00,4.0667,4.2133,4.0,4.16,437400
2001-05-17 16:00:00-04:00,4.1833,4.254,4.1533,4.2007,201300
2001-05-18 16:00:00-04:00,4.126,4.2007,4.0,4.16,131700
2001-05-21 16:00:00-04:00,4.1967,4.2133,4.0793,4.18,156300
2001-05-22 16:00:00-04:00,4.1367,4.2133,4.0,4.18,196500
2001-05-23 16:00:00-04:00,4.2073,4.254,4.1667,4.2267,210900
2001-05-24 16:00:00-04:00,4.224,4.254,4.1667,4.1927,173700
2001-05-25 16:00:00-04:00,4.18,4.246,4.1473,4.186,111300
2001-05-29 16:00:00-04:00,4.1927,4.254,4.1,4.2007,157500
2001-05-30 16:00:00-04:00,4.06,4.2667,4.0,4.1067,221400
2001-05-31 16:00:00-04:00,4.1833,4.3333,4.1407,4.2993,286800
2001-06-01 16:00:00-04:00,4.2993,4.6667,4.1,4.6667,265800
2001-06-04 16:00:00-04:00,4.6773,5.6327,4.6327,5.474,2419200
