,Open,High,Low,Close,Volume
2014-07-01 16:00:00-04:00,14.23,14.53,14.1,14.2,795844
2014-07-02 16:00:00-04:00,14.14,14.25,14.05,14.1,79579
2014-07-03 16:00:00-04:00,14.19,14.19,13.69,14.05,46990
2014-07-07 16:00:00-04:00,14.01,14.12,14.0,14.0,306382
2014-07-08 16:00:00-04:00,14.02,14.13,14.0,14.0,30838
2014-07-09 16:00:00-04:00,14.06,14.06,14.0,14.0,11518
2014-07-10 16:00:00-04:00,14.0,14.06,14.0,14.06,113348
2014-07-11 16:00:00-04:00,14.13,14.197,14.03,14.03,2468
2014-07-14 16:00:00-04:00,14.0402,14.199,14.0402,14.05,4815
2014-07-15 16:00:00-04:00,14.0999,14.1,14.05,14.05,4250
2014-07-16 16:00:00-04:00,14.1,14.82,14.0,14.45,10801
2014-07-17 16:00:00-04:00,14.101,14.5,14.101,14.42,15407
2014-07-18 16:00:00-04:00,14.4,14.4,14.17,14.4,1420
2014-07-21 16:00:00-04:00,14.5,14.5,14.01,14.15,773
2014-07-22 16:00:00-04:00,14.03,14.2997,14.03,14.12,3711
2014-07-23 16:00:00-04:00,14.11,14.272,14.1,14.1,5731
2014-07-24 16:00:00-04:00,14.11,14.11,14.11,14.11,1129
2014-07-25 16:00:00-04:00,14.25,14.25,14.11,14.14,10488
2014-07-28 16:00:00-04:00,14.68,14.68,14.0,14.0,13984
2014-07-29 16:00:00-04:00,14.0,14.26,14.0,14.14,4928
2014-07-30 16:00:00-04:00,14.01,14.05,13.98,14.01,7053
2014-07-31 16:00:00-04:00,14.0,14.02,14.0,14.02,1410
2014-08-01 16:00:00-04:00,14.0001,14.089,14.0,14.03,3702
2014-08-04 16:00:00-04:00,14.04,14.04,14.04,14.04,778
2014-08-05 16:00:00-04:00,14.0,14.0999,14.0,14.0,2058
2014-08-06 16:00:00-04:00,14.01,14.01,14.01,14.01,1109
2014-08-07 16:00:00-04:00,14.05,14.05,14.01,14.04,1952
2014-08-08 16:00:00-04:00,14.01,14.01,14.01,14.01,115
2014-08-11 16:00:00-04:00,14.0,14.05,14.0,14.0,11089
2014-08-12 16:00:00-04:00,13.8,14.05,13.8,13.832,1564
2014-08-13 16:00:00-04:00,13.9999,14.0,13.9999,14.0,323
