,Open,High,Low,Close,Volume
1987-12-14 16:00:00-05:00,0.0,7.25,7.25,7.25,100
1987-12-15 16:00:00-05:00,0.0,0.0,0.0,7.25,0
1987-12-16 16:00:00-05:00,0.0,7.75,7.25,7.25,12400
1987-12-17 16:00:00-05:00,0.0,7.5,7.375,7.5,3000
1987-12-18 16:00:00-05:00,0.0,0.0,0.0,7.5,0
1987-12-21 16:00:00-05:00,0.0,7.75,7.375,7.75,200
1987-12-22 16:00:00-05:00,0.0,7.375,7.375,7.375,400
1987-12-23 16:00:00-05:00,0.0,7.375,7.375,7.375,800
1987-12-24 16:00:00-05:00,0.0,7.375,7.375,7.375,2400
1987-12-28 16:00:00-05:00,0.0,7.75,7.375,7.75,12700
1987-12-29 16:00:00-05:00,0.0,8.0,7.5,7.625,7200
1987-12-30 16:00:00-05:00,0.0,7.75,7.75,7.75,5800
1987-12-31 16:00:00-05:00,0.0,0.0,0.0,7.75,0
1988-01-04 16:00:00-05:00,0.0,0.0,0.0,7.75,0
1988-01-05 16:00:00-05:00,0.0,8.0,8.0,8.0,1000
1988-01-06 16:00:00-05:00,0.0,7.75,7.75,7.75,100
1988-01-07 16:00:00-05:00,0.0,8.0,8.0,8.0,300
1988-01-08 16:00:00-05:00,0.0,0.0,0.0,8.0,0
1988-01-11 16:00:00-05:00,0.0,0.0,0.0,8.0,0
1988-01-12 16:00:00-05:00,0.0,0.0,0.0,8.0,0
1988-01-13 16:00:00-05:00,0.0,8.0,8.0,8.0,100
1988-01-14 16:00:00-05:00,0.0,8.0,7.5,8.0,200
1988-01-15 16:00:00-05:00,0.0,0.0,0.0,8.0,0
1988-01-18 16:00:00-05:00,0.0,7.5,7.5,7.5,200
1988-01-19 16:00:00-05:00,0.0,0.0,0.0,7.5,0
1988-01-20 16:00:00-05:00,0.0,0.0,0.0,7.5,0
1988-01-21 16:00:00-05:00,0.0,0.0,0.0,7.5,0
1988-01-22 16:00:00-05:00,0.0,0.0,0.0,7.5,0
1988-01-25 16:00:00-05:00,0.0,0.0,0.0,7.5,0
1988-01-26 16:00:00-05:00,0.0,0.0,0.0,7.5,0
1988-01-27 16:00:00-05:00,0.0,0.0,0.0,7.5,0
1988-01-28 16:00:00-05:00,0.0,0.0,0.0,7.5,0
1988-01-29 16:00:00-05:00,0.0,7.875,7.625,7.875,3300
1988-02-01 16:00:00-05:00,0.0,0.0,0.0,7.875,0
1988-02-02 16:00:00-05:00,0.0,7.75,7.625,7.75,2200
1988-02-03 16:00:00-05:00,0.0,7.875,7.625,7.875,2200
1988-02-04 16:00:00-05:00,0.0,0.0,0.0,7.875,0
1988-02-05 16:00:00-05:00,0.0,7.875,7.875,7.875,200
1988-02-08 16:00:00-05:00,0.0,7.875,7.625,7.875,400
1988-02-09 16:00:00-05:00,0.0,0.0,0.0,7.875,0
1988-02-10 16:00:00-05:00,0.0,0.0,0.0,7.875,0
1988-02-11 16:00:00-05:00,0.0,7.75,7.75,7.75,1300
1988-02-12 16:00:00-05:00,0.0,7.75,7.75,7.75,200
1988-02-16 16:00:00-05:00,0.0,0.0,0.0,7.75,0
