,Open,High,Low,Close,Volume
2014-09-10 16:00:00-04:00,24.98,25.03,24.98,25.03,500
2014-09-11 16:00:00-04:00,25.08,25.08,25.03,25.03,1100
2014-09-12 16:00:00-04:00,25.0499,25.05,25.0499,25.05,601
2014-09-16 16:00:00-04:00,25.1,25.1,25.1,25.1,200
2014-09-17 16:00:00-04:00,25.1,25.1,25.0998,25.0999,1335
2014-09-18 16:00:00-04:00,25.09,25.22,25.02,25.22,1800
2014-09-19 16:00:00-04:00,25.27,25.27,25.21,25.26,1981
2014-09-22 16:00:00-04:00,25.27,25.27,25.27,25.27,700
2014-09-23 16:00:00-04:00,25.28,25.28,25.28,25.28,100
2014-09-24 16:00:00-04:00,25.3,25.3,25.06,25.06,8999
2014-09-25 16:00:00-04:00,25.0001,25.09,25.0001,25.09,4075
2014-09-26 16:00:00-04:00,25.1,25.1,25.0699,25.0699,298
2014-09-29 16:00:00-04:00,25.16,25.16,25.08,25.08,8900
2014-09-30 16:00:00-04:00,25.05,25.05,25.05,25.05,320
2014-10-01 16:00:00-04:00,25.08,25.08,25.08,25.08,1720
2014-10-02 16:00:00-04:00,25.21,25.21,25.1,25.1,2050
2014-10-03 16:00:00-04:00,25.2,25.2,25.15,25.15,2100
2014-10-06 16:00:00-04:00,25.19,25.19,25.19,25.19,2063
2014-10-08 16:00:00-04:00,25.2,25.21,25.1998,25.21,8191
2014-10-09 16:00:00-04:00,25.515,25.515,25.3,25.3,200
2014-10-10 16:00:00-04:00,25.23,25.23,25.14,25.19,10525
2014-10-13 16:00:00-04:00,25.25,25.4,25.25,25.39,2519
2014-10-14 16:00:00-04:00,25.43,25.43,25.2,25.2,20519
2014-10-15 16:00:00-04:00,25.22,25.22,25.2099,25.2099,500
2014-10-16 16:00:00-04:00,25.2,25.24,25.15,25.21,3500
2014-10-17 16:00:00-04:00,24.0,25.18,24.0,25.18,7787
2014-10-20 16:00:00-04:00,25.22,25.22,25.22,25.22,300
2014-10-21 16:00:00-04:00,25.15,25.15,25.01,25.01,900
2014-10-22 16:00:00-04:00,25.1368,25.14,25.0757,25.0757,1110
2014-10-29 16:00:00-04:00,25.117,25.13,25.117,25.13,1538
2014-10-30 16:00:00-04:00,25.1,25.1,25.1,25.1,2000
