,Open,High,Low,Close,Volume
2003-01-02 16:00:00-05:00,0.0,33.5,32.45,33.1,18103
2005-12-22 16:00:00-05:00,4.4999,4.4999,3.8301,3.94,50316
2005-12-23 16:00:00-05:00,4.0,4.0,3.85,3.86,68788
2005-12-27 16:00:00-05:00,3.85,4.0,3.8,3.81,48884
2005-12-28 16:00:00-05:00,3.9,4.14,3.75,3.76,177866
2005-12-29 16:00:00-05:00,3.75,3.85,3.75,3.8,46961
2005-12-30 16:00:00-05:00,3.79,3.84,3.65,3.7,104659
2006-01-03 16:00:00-05:00,3.75,3.77,3.65,3.651,72597
2006-01-04 16:00:00-05:00,3.64,3.69,3.55,3.55,79475
2006-01-05 16:00:00-05:00,3.5,3.53,3.29,3.38,189809
2006-01-06 16:00:00-05:00,3.38,3.55,3.35,3.53,85333
2006-01-09 16:00:00-05:00,3.64,3.97,3.551,3.9499,132102
2006-01-10 16:00:00-05:00,3.74,3.99,3.74,3.977,83252
2006-01-11 16:00:00-05:00,3.99,4.05,3.97,4.03,115816
2006-01-12 16:00:00-05:00,3.96,4.05,3.8701,3.95,83766
2006-01-13 16:00:00-05:00,3.92,4.2,3.85,4.18,87136
2006-01-17 16:00:00-05:00,4.18,4.25,4.0901,4.24,74112
2006-01-18 16:00:00-05:00,4.24,4.35,4.2,4.28,80870
2006-01-19 16:00:00-05:00,4.35,4.5,4.32,4.438,74795
2006-01-20 16:00:00-05:00,4.54,4.54,4.43,4.43,87257
2006-01-23 16:00:00-05:00,4.38,4.4,4.25,4.3,138611
2006-01-24 16:00:00-05:00,4.24,4.35,4.24,4.32,75842
2006-01-25 16:00:00-05:00,4.4,4.45,4.29,4.42,84894
2006-01-26 16:00:00-05:00,4.49,4.49,4.39,4.41,65264
2006-01-27 16:00:00-05:00,4.4,4.41,4.3,4.39,71628
2006-01-30 16:00:00-05:00,4.4,4.4,4.3,4.32,52363
2006-01-31 16:00:00-05:00,4.3,4.35,3.4,4.32,315070
2006-02-01 16:00:00-05:00,4.3,4.39,4.11,4.38,121345
2006-02-02 16:00:00-05:00,4.4,4.4,4.28,4.34,65319
2006-02-03 16:00:00-05:00,4.35,4.4,4.3,4.32,44279
2006-02-06 16:00:00-05:00,4.35,4.46,4.28,4.3,48842
