,Open,High,Low,Close,Volume
2006-10-19 16:00:00-04:00,6.5,6.68,6.06,6.2,2187506
2006-10-20 16:00:00-04:00,6.05,6.5,6.05,6.45,405836
2006-10-23 16:00:00-04:00,6.5,6.5,6.35,6.45,167972
2006-10-24 16:00:00-04:00,6.45,6.45,6.35,6.35,87716
2006-10-25 16:00:00-04:00,6.12,6.25,6.12,6.15,50893
2006-10-26 16:00:00-04:00,6.28,6.28,5.95,6.0,142563
2006-10-27 16:00:00-04:00,6.23,6.23,5.9,6.0,140709
2006-10-30 16:00:00-05:00,6.0,6.19,5.9,6.05,63652
2006-10-31 16:00:00-05:00,6.17,6.17,6.0,6.05,188802
2006-11-01 16:00:00-05:00,6.2,6.2,6.02,6.0808,27759
2006-11-02 16:00:00-05:00,6.2,6.2,6.03,6.05,21967
2006-11-03 16:00:00-05:00,6.05,6.14,6.0,6.1,31789
2006-11-06 16:00:00-05:00,6.06,6.18,6.01,6.05,51680
2006-11-07 16:00:00-05:00,6.05,6.05,6.0,6.03,95878
2006-11-08 16:00:00-05:00,6.15,6.15,6.0,6.03,66142
2006-11-09 16:00:00-05:00,6.0,6.0,5.8,5.85,45302
2006-11-10 16:00:00-05:00,6.07,6.07,5.85,5.9,15037
2006-11-13 16:00:00-05:00,5.85,6.07,5.8,6.07,52900
2006-11-14 16:00:00-05:00,5.96,6.05,5.93,5.99,31598
2006-11-15 16:00:00-05:00,5.95,6.06,5.95,6.0,29564
2006-11-16 16:00:00-05:00,6.0,6.07,6.0,6.05,26941
2006-11-17 16:00:00-05:00,6.03,6.1,6.0,6.03,15086
2006-11-20 16:00:00-05:00,6.03,6.13,6.01,6.06,33721
2006-11-21 16:00:00-05:00,6.05,6.0599,5.7,5.95,39500
2006-11-22 16:00:00-05:00,5.95,6.03,5.95,5.96,40451
2006-11-24 16:00:00-05:00,5.91,5.94,5.73,5.94,2705
2006-11-27 16:00:00-05:00,5.94,5.95,5.9,5.95,44270
2006-11-28 16:00:00-05:00,5.95,6.0,5.71,6.0,48227
2006-11-29 16:00:00-05:00,5.978,5.9899,5.85,5.91,10342
2006-11-30 16:00:00-05:00,5.96,5.96,5.8,5.81,21647
2006-12-01 16:00:00-05:00,5.8,6.08,5.8,6.056,20575
2006-12-04 16:00:00-05:00,5.85,6.36,5.85,6.0,10047
2006-12-05 16:00:00-05:00,6.0,6.01,5.8,6.0,23511
2006-12-06 16:00:00-05:00,5.99,5.99,5.85,5.851,1300
2006-12-07 16:00:00-05:00,5.88,5.88,5.88,5.88,200
2006-12-08 16:00:00-05:00,5.85,5.99,5.82,5.88,14610
2006-12-11 16:00:00-05:00,5.85,6.03,5.63,5.63,49332
2006-12-12 16:00:00-05:00,5.6,5.77,5.1,5.6,16660
2006-12-13 16:00:00-05:00,5.48,5.55,5.4,5.5,14551
2006-12-14 16:00:00-05:00,5.42,6.18,5.4,5.82,64504
2006-12-15 16:00:00-05:00,5.82,6.09,5.81,5.94,10223
2006-12-18 16:00:00-05:00,5.95,6.0,5.8,5.8,16839
2006-12-19 16:00:00-05:00,5.88,5.99,5.8,5.83,5999
2006-12-20 16:00:00-05:00,5.83,6.0,5.6,5.74,14506
2006-12-21 16:00:00-05:00,5.72,5.8,5.6,5.7,33472
2006-12-22 16:00:00-05:00,5.95,6.2,5.95,6.07,52796
2006-12-26 16:00:00-05:00,6.28,6.28,6.0,6.06,6933
2006-12-27 16:00:00-05:00,6.01,6.07,6.0,6.06,5246
2006-12-28 16:00:00-05:00,6.07,6.16,6.01,6.1,26613
2006-12-29 16:00:00-05:00,6.16,6.16,5.83,6.0,33136
2007-01-03 16:00:00-05:00,5.91,6.1,5.91,6.05,46085
2007-01-04 16:00:00-05:00,6.04,6.18,6.03,6.11,10400
2007-01-05 16:00:00-05:00,6.19,6.4,6.19,6.24,7625
2007-01-08 16:00:00-05:00,6.05,6.16,6.0,6.14,11600
2007-01-09 16:00:00-05:00,6.12,6.18,6.01,6.1,3200
2007-01-10 16:00:00-05:00,6.0,6.18,6.0,6.18,80880
2007-01-11 16:00:00-05:00,6.17,6.18,6.1,6.1,8201
2007-01-12 16:00:00-05:00,6.04,6.23,6.04,6.23,1050
2007-01-16 16:00:00-05:00,6.2,6.25,6.2,6.25,7550
2007-01-17 16:00:00-05:00,6.25,6.28,6.2,6.28,4300
2007-01-18 16:00:00-05:00,6.31,6.47,6.2,6.25,9720
2007-01-19 16:00:00-05:00,6.28,6.8,6.28,6.6688,26313
2007-01-22 16:00:00-05:00,6.7,6.79,6.57,6.66,95550
2007-01-23 16:00:00-05:00,6.63,6.7,6.55,6.56,52198
2007-01-24 16:00:00-05:00,6.52,6.52,6.3,6.36,12800
2007-01-25 16:00:00-05:00,6.35,6.36,6.3,6.34,4800
2007-01-26 16:00:00-05:00,6.33,6.5,6.31,6.32,9150
2007-01-29 16:00:00-05:00,6.32,6.44,6.3,6.32,6400
2007-01-30 16:00:00-05:00,6.26,6.36,6.24,6.36,9700
2007-01-31 16:00:00-05:00,6.27,6.32,6.15,6.32,11845
2007-02-01 16:00:00-05:00,6.32,6.55,6.32,6.48,15709
2007-02-02 16:00:00-05:00,6.5,6.5,6.24,6.24,3623
2007-02-05 16:00:00-05:00,6.36,6.6,6.25,6.25,8783
2007-02-06 16:00:00-05:00,6.28,6.5,6.27,6.4,3810
2007-02-07 16:00:00-05:00,6.38,6.4,6.25,6.25,5716
2007-02-08 16:00:00-05:00,6.35,6.36,6.1,6.1,10630
2007-02-09 16:00:00-05:00,6.15,6.195,6.1,6.17,47623
2007-02-12 16:00:00-05:00,6.06,6.07,6.0,6.02,2897
2007-02-13 16:00:00-05:00,5.87,6.06,5.87,6.06,2629
2007-02-14 16:00:00-05:00,6.05,6.13,5.95,6.1,17644
2007-02-15 16:00:00-05:00,6.18,6.5,6.01,6.4,8700
2007-02-16 16:00:00-05:00,6.3,6.3,6.01,6.05,2400
2007-02-20 16:00:00-05:00,6.32,6.36,6.01,6.15,22002
2007-02-21 16:00:00-05:00,6.22,6.36,6.15,6.3,12798
2007-02-22 16:00:00-05:00,6.33,6.332,6.24,6.332,10100
2007-02-23 16:00:00-05:00,6.43,6.5,6.06,6.5,15198
2007-02-26 16:00:00-05:00,6.69,6.71,6.5,6.51,15670
2007-02-27 16:00:00-05:00,6.55,6.59,6.45,6.5,23214
2007-02-28 16:00:00-05:00,6.55,6.65,6.55,6.64,22963
2007-03-01 16:00:00-05:00,6.58,6.69,5.66,6.6,21863
2007-03-02 16:00:00-05:00,6.51,7.2,6.51,6.82,16514
2007-03-05 16:00:00-05:00,6.85,6.85,6.6,6.64,48034
2007-03-06 16:00:00-05:00,6.61,6.8,6.61,6.8,13174
2007-03-07 16:00:00-05:00,6.8,6.8,6.74,6.74,3900
2007-03-08 16:00:00-05:00,6.65,6.65,6.6,6.62,2700
2007-03-09 16:00:00-05:00,6.65,6.65,6.62,6.63,11434
2007-03-12 16:00:00-04:00,6.63,6.94,6.63,6.75,18053
2007-03-13 16:00:00-04:00,6.96,6.96,6.71,6.76,10875
2007-03-14 16:00:00-04:00,6.69,6.69,6.45,6.67,3200
2007-03-15 16:00:00-04:00,6.68,6.68,6.62,6.62,1200
2007-03-16 16:00:00-04:00,6.63,6.67,6.6,6.67,17900
2007-03-19 16:00:00-04:00,6.6347,6.6347,6.6347,6.6347,150
2007-03-20 16:00:00-04:00,6.6,6.61,6.5,6.5,5300
2007-03-21 16:00:00-04:00,6.52,6.52,6.36,6.5,34811
2007-03-22 16:00:00-04:00,6.63,6.86,6.49,6.5,3704
2007-03-23 16:00:00-04:00,6.27,6.39,6.22,6.27,6803
2007-03-26 16:00:00-04:00,6.27,6.27,6.04,6.14,16324
2007-03-27 16:00:00-04:00,6.11,6.15,5.71,6.15,21050
2007-03-28 16:00:00-04:00,5.95,6.05,5.887,5.96,6923
2007-03-29 16:00:00-04:00,5.83,5.9334,5.83,5.88,1200
2007-03-30 16:00:00-04:00,5.88,6.69,5.88,6.38,12302
2007-04-02 16:00:00-04:00,6.359,6.42,6.33,6.385,60472
2007-04-03 16:00:00-04:00,6.4,6.7,6.4,6.4,24364
2007-04-04 16:00:00-04:00,6.65,6.65,6.33,6.44,1000
2007-04-05 16:00:00-04:00,6.47,6.47,6.25,6.3,49900
2007-04-09 16:00:00-04:00,6.2,6.2,6.14,6.2,12370
2007-04-10 16:00:00-04:00,6.19,6.2,6.01,6.11,1900
2007-04-11 16:00:00-04:00,6.0,6.13,5.94,5.94,13601
2007-04-12 16:00:00-04:00,5.94,6.03,5.94,6.0,10100
2007-04-13 16:00:00-04:00,6.02,6.02,5.91,5.92,74590
2007-04-16 16:00:00-04:00,5.95,6.0,5.6,5.95,18939
2007-04-17 16:00:00-04:00,5.9,5.9,5.85,5.9,3500
2007-04-18 16:00:00-04:00,5.87,5.93,5.85,5.88,22300
2007-04-19 16:00:00-04:00,5.87,5.91,5.86,5.88,28000
2007-04-20 16:00:00-04:00,5.86,5.92,5.85,5.86,19147
2007-04-23 16:00:00-04:00,5.86,5.9,5.85,5.85,19300
2007-04-24 16:00:00-04:00,5.85,5.96,5.81,5.81,3300
2007-04-25 16:00:00-04:00,5.73,5.8,5.73,5.76,3780
2007-04-26 16:00:00-04:00,5.79,6.0,5.75,5.75,30950
2007-04-27 16:00:00-04:00,5.8,6.02,5.71,5.71,11058
2007-04-30 16:00:00-04:00,5.85,5.85,5.72,5.78,5642
2007-05-01 16:00:00-04:00,5.71,5.8,5.71,5.71,29188
2007-05-02 16:00:00-04:00,5.71,5.98,5.7,5.74,42413
