,Open,High,Low,Close,Volume
2015-06-26 16:00:00-04:00,28.5,51.4,28.11,51.4,9079590
2015-06-29 16:00:00-04:00,41.95,43.85,35.9,38.0,2083617
2015-06-30 16:00:00-04:00,39.6,42.0,39.5001,41.5,482593
2015-07-01 16:00:00-04:00,42.4,42.8,39.8,39.8,292964
2015-07-02 16:00:00-04:00,39.8,41.15,39.51,40.11,111244
2015-07-06 16:00:00-04:00,40.0,40.5,37.15,40.11,319180
2015-07-07 16:00:00-04:00,40.0,40.9,38.6,39.8,279150
2015-07-08 16:00:00-04:00,39.4,40.9099,38.77,39.97,173121
2015-07-09 16:00:00-04:00,40.04,40.97,39.52,39.84,60755
2015-07-10 16:00:00-04:00,40.0,41.69,40.0,40.9,87291
2015-07-13 16:00:00-04:00,40.8,44.43,40.8,42.29,163322
2015-07-14 16:00:00-04:00,42.0,43.42,42.0,42.17,117048
2015-07-15 16:00:00-04:00,42.25,45.2,42.25,43.74,103411
2015-07-16 16:00:00-04:00,44.0,47.18,43.1832,46.5,192590
2015-07-17 16:00:00-04:00,46.8,51.0,43.0,43.99,375544
2015-07-20 16:00:00-04:00,44.48,45.2782,41.1,42.38,113726
2015-07-21 16:00:00-04:00,41.68,41.7099,37.26,39.16,263713
2015-07-22 16:00:00-04:00,39.45,41.7,39.296,41.07,79502
2015-07-23 16:00:00-04:00,41.56,43.0,41.07,41.1201,60779
2015-07-24 16:00:00-04:00,41.01,41.01,37.51,38.2,113264
2015-07-27 16:00:00-04:00,37.87,37.9999,34.5,35.05,218084
2015-07-28 16:00:00-04:00,35.25,37.05,34.8,36.42,232065
2015-07-29 16:00:00-04:00,36.49,38.0,36.0,37.62,96995
2015-07-30 16:00:00-04:00,38.0,39.45,36.9532,38.03,128808
2015-07-31 16:00:00-04:00,38.02,38.5699,37.59,37.85,161626
2015-08-03 16:00:00-04:00,37.73,40.72,36.82,38.91,130168
2015-08-04 16:00:00-04:00,38.91,41.5,38.36,39.11,49474
2015-08-05 16:00:00-04:00,39.3,41.0,38.51,40.51,72995
2015-08-06 16:00:00-04:00,40.52,41.19,39.54,40.05,121187
2015-08-07 16:00:00-04:00,39.68,40.5,38.0,40.05,78736
2015-08-10 16:00:00-04:00,40.0,40.115,38.83,40.07,133610
2015-08-11 16:00:00-04:00,39.18,41.55,39.18,40.02,143912
2015-08-12 16:00:00-04:00,39.27,39.93,36.53,39.36,113159
2015-08-13 16:00:00-04:00,39.44,40.29,38.68,40.145,101100
2015-08-14 16:00:00-04:00,40.12,40.65,37.97,38.97,151285
2015-08-17 16:00:00-04:00,38.72,39.39,38.2,38.86,47898
2015-08-18 16:00:00-04:00,38.86,39.26,37.61,38.03,154975
2015-08-19 16:00:00-04:00,38.13,40.98,38.0,40.4,165142
2015-08-20 16:00:00-04:00,42.0,44.0,39.0,39.29,581112
2015-08-21 16:00:00-04:00,39.09,40.94,38.103,40.56,217789
2015-08-24 16:00:00-04:00,39.48,40.58,37.28,38.01,195195
2015-08-25 16:00:00-04:00,39.39,39.75,38.01,38.5,106318
2015-08-26 16:00:00-04:00,39.62,39.73,37.03,39.16,187239
2015-08-27 16:00:00-04:00,39.47,41.24,39.22,40.49,138477
2015-08-28 16:00:00-04:00,40.15,41.48,40.08,41.02,58403
2015-08-31 16:00:00-04:00,40.96,42.56,40.94,41.33,126366
2015-09-01 16:00:00-04:00,40.37,41.98,39.88,40.97,115790
2015-09-02 16:00:00-04:00,41.82,42.24,40.751,42.0,111457
2015-09-03 16:00:00-04:00,42.31,43.99,42.01,43.44,206005
2015-09-04 16:00:00-04:00,43.09,44.5,42.9407,44.26,91475
2015-09-08 16:00:00-04:00,44.5,48.98,44.21,48.23,297499
2015-09-09 16:00:00-04:00,49.22,52.0,47.788,49.49,266262
2015-09-10 16:00:00-04:00,49.4,49.49,46.02,47.71,204313
2015-09-11 16:00:00-04:00,47.35,49.304,47.3053,48.66,110023
2015-09-14 16:00:00-04:00,48.97,49.72,46.042,46.88,166226
2015-09-15 16:00:00-04:00,47.11,47.4341,46.08,46.73,70870
2015-09-16 16:00:00-04:00,47.0,48.99,46.92,48.68,156010
2015-09-17 16:00:00-04:00,48.43,49.535,47.162,48.44,199183
2015-09-18 16:00:00-04:00,48.48,49.471,45.0,45.72,641207
2015-09-21 16:00:00-04:00,45.91,46.72,42.775,43.32,198207
2015-09-22 16:00:00-04:00,42.62,42.62,38.02,38.6,437917
2015-09-23 16:00:00-04:00,38.51,40.38,38.0,39.67,319040
2015-09-24 16:00:00-04:00,39.23,39.83,38.57,39.15,127520
2015-09-25 16:00:00-04:00,39.59,39.636,38.0,38.35,296174
2015-09-28 16:00:00-04:00,38.35,38.52,33.66,34.65,859492
2015-09-29 16:00:00-04:00,34.56,34.56,27.0,27.0,871501
2015-09-30 16:00:00-04:00,27.89,29.83,26.945,29.64,1652634
2015-10-01 16:00:00-04:00,29.65,30.02,25.0184,25.83,633413
2015-10-02 16:00:00-04:00,25.5,27.44,25.0,26.15,408641
2015-10-05 16:00:00-04:00,26.84,27.8406,26.6265,27.74,337031
2015-10-06 16:00:00-04:00,27.27,28.7,27.27,28.17,407756
2015-10-07 16:00:00-04:00,28.18,30.46,27.695,29.3,269998
