,Open,High,Low,Close,Volume
2016-06-14 16:00:00-04:00,24.9,24.9,24.24,24.49,14375
2016-06-15 16:00:00-04:00,24.5,24.5,24.45,24.45,650
2016-06-16 16:00:00-04:00,24.5,24.5,24.3576,24.3999,2200
2016-06-17 16:00:00-04:00,24.5,24.5,24.4,24.4,2800
2016-06-20 16:00:00-04:00,24.4,24.55,24.4,24.55,1600
2016-06-21 16:00:00-04:00,24.5,24.65,24.4,24.43,4400
2016-06-22 16:00:00-04:00,24.99,24.99,24.52,24.65,3910
2016-06-23 16:00:00-04:00,24.99,24.99,24.54,24.54,1890
2016-06-24 16:00:00-04:00,24.9899,24.9899,22.22,24.65,2600
2016-06-27 16:00:00-04:00,24.65,24.65,24.2,24.4,2238
2016-06-28 16:00:00-04:00,24.94,24.96,24.5736,24.5736,570
2016-06-29 16:00:00-04:00,24.5,24.5,24.5,24.5,400
2016-06-30 16:00:00-04:00,24.5,24.5,24.5,24.5,100
2016-07-01 16:00:00-04:00,24.406,24.406,24.34,24.34,1400
2016-07-05 16:00:00-04:00,24.34,24.5,22.21,24.3,12570
2016-07-06 16:00:00-04:00,24.1,24.3,24.08,24.3,3858
2016-07-07 16:00:00-04:00,24.3,24.3,23.95,24.1,3280
2016-07-08 16:00:00-04:00,24.15,24.15,24.15,24.15,100
2016-07-11 16:00:00-04:00,24.0303,24.0303,23.76,23.96,3000
2016-07-12 16:00:00-04:00,24.14,24.14,23.5,24.0,2112
2016-07-13 16:00:00-04:00,24.01,24.01,22.95,22.95,2356
2016-07-14 16:00:00-04:00,22.97,24.66,22.95,24.4,11350
2016-07-15 16:00:00-04:00,24.2,24.2481,23.99,23.99,960
2016-07-18 16:00:00-04:00,23.9,24.0,23.4,24.0,2200
2016-07-19 16:00:00-04:00,23.64,23.99,23.3,23.7,2506
2016-07-20 16:00:00-04:00,23.6,23.6,23.31,23.31,3649
2016-07-21 16:00:00-04:00,23.3,23.4999,23.01,23.49,3574
2016-07-22 16:00:00-04:00,23.55,23.55,23.12,23.54,1390
2016-07-25 16:00:00-04:00,23.6,24.05,23.0,23.25,6673
2016-07-26 16:00:00-04:00,23.11,23.2148,23.01,23.03,3549
2016-07-27 16:00:00-04:00,23.0601,23.0601,23.0001,23.0001,298
2016-07-28 16:00:00-04:00,23.25,23.25,23.1999,23.2,1638
2016-07-29 16:00:00-04:00,23.25,23.25,23.02,23.198,2015
2016-08-01 16:00:00-04:00,23.25,24.3,23.25,23.79,8381
2016-08-02 16:00:00-04:00,23.37,23.94,23.2,23.94,7740
2016-08-03 16:00:00-04:00,24.14,24.14,23.9303,23.9303,225
2016-08-04 16:00:00-04:00,23.9,24.23,23.9,23.97,2635
2016-08-08 16:00:00-04:00,24.25,24.25,23.95,24.1,781
2016-08-09 16:00:00-04:00,23.8942,23.8942,23.8942,23.8942,585
2016-08-10 16:00:00-04:00,24.22,24.22,23.85,23.9,3050
2016-08-11 16:00:00-04:00,24.0123,24.0123,23.95,23.95,575
2016-08-12 16:00:00-04:00,23.86,23.86,23.7,23.7,867
2016-08-15 16:00:00-04:00,23.5001,23.5001,23.5,23.5,600
2016-08-17 16:00:00-04:00,24.034,24.034,23.9459,23.9459,1339
2016-08-18 16:00:00-04:00,23.97,24.22,23.92,24.1,1301
2016-08-19 16:00:00-04:00,24.0,24.0,23.9,23.99,1900
2016-08-22 16:00:00-04:00,24.03,24.03,23.98,23.98,2842
2016-08-23 16:00:00-04:00,23.9007,23.952,23.9007,23.952,794
2016-08-24 16:00:00-04:00,23.95,23.95,23.95,23.95,100
2016-08-25 16:00:00-04:00,23.9999,23.9999,23.9999,23.9999,900
2016-08-29 16:00:00-04:00,23.7852,24.03,23.7852,24.03,230
2016-08-30 16:00:00-04:00,23.9917,23.9917,23.9917,23.9917,100
2016-08-31 16:00:00-04:00,23.99,23.99,23.9,23.9,850
2016-09-01 16:00:00-04:00,23.2961,23.97,23.2961,23.97,550
2016-09-02 16:00:00-04:00,23.87,23.9,23.6867,23.9,761
2016-09-06 16:00:00-04:00,23.8,23.8,23.7499,23.7499,430
2016-09-07 16:00:00-04:00,23.5844,23.5844,23.5844,23.5844,275
2016-09-08 16:00:00-04:00,23.84,23.84,23.4116,23.4116,575
2016-09-09 16:00:00-04:00,23.89,23.89,23.89,23.89,217
2016-09-14 16:00:00-04:00,23.9,23.9,23.7351,23.7351,520
2016-09-15 16:00:00-04:00,23.72,23.72,23.72,23.72,650
2016-09-16 16:00:00-04:00,23.805,23.805,23.8,23.8,490
2016-09-19 16:00:00-04:00,23.22,23.58,23.02,23.58,1125
2016-09-20 16:00:00-04:00,23.35,23.35,23.3499,23.3499,800
