,Open,High,Low,Close,Volume
2006-12-07 16:00:00-05:00,11.0,11.2,10.95,10.95,172686
2006-12-08 16:00:00-05:00,11.25,12.29,11.25,12.1,149325
2006-12-11 16:00:00-05:00,11.95,12.25,11.95,12.0,18010
2006-12-12 16:00:00-05:00,12.19,12.2,12.15,12.15,18470
2006-12-13 16:00:00-05:00,12.23,16.12,12.23,13.75,85238
2006-12-14 16:00:00-05:00,13.22,14.15,12.97,12.97,19340
2006-12-15 16:00:00-05:00,12.7,13.3,12.5,12.85,117483
2006-12-18 16:00:00-05:00,13.5,13.622,13.0,13.25,2541
2006-12-19 16:00:00-05:00,12.55,13.14,12.51,13.12,31698
2006-12-20 16:00:00-05:00,13.15,13.95,13.04,13.71,18553
2006-12-21 16:00:00-05:00,13.1,14.0,13.1,14.0,10516
2006-12-22 16:00:00-05:00,13.71,13.81,13.5,13.7845,10810
2006-12-26 16:00:00-05:00,13.75,13.75,13.25,13.25,5701
2006-12-27 16:00:00-05:00,13.3,13.5,13.21,13.22,4622
2006-12-28 16:00:00-05:00,13.26,14.28,13.2,14.28,1894
2006-12-29 16:00:00-05:00,14.18,14.18,13.28,13.28,1206
2007-01-03 16:00:00-05:00,13.781,14.0,13.5,14.0,1399
2007-01-04 16:00:00-05:00,14.0,14.0,13.06,13.06,4900
2007-01-05 16:00:00-05:00,0.0,0.0,0.0,13.06,0
2007-01-08 16:00:00-05:00,13.0,13.25,13.0,13.25,1500
2007-01-09 16:00:00-05:00,13.25,13.25,13.25,13.25,100
2007-01-10 16:00:00-05:00,13.49,13.75,13.41,13.41,1265
2007-01-11 16:00:00-05:00,14.0,14.0,12.9,13.01,2494
2007-01-12 16:00:00-05:00,12.75,13.05,12.75,13.05,1057
2007-01-16 16:00:00-05:00,14.4,14.4,13.03,13.23,58189
2007-01-17 16:00:00-05:00,13.03,13.05,13.0,13.0,2003
2007-01-18 16:00:00-05:00,13.0,13.0,12.79,12.79,1602
2007-01-19 16:00:00-05:00,12.5,12.74,12.3,12.39,4495
2007-01-22 16:00:00-05:00,12.51,12.51,12.02,12.3,63088
2007-01-23 16:00:00-05:00,12.0,12.0,11.76,11.94,5100
