,Open,High,Low,Close,Volume
2007-03-09 16:00:00-05:00,2.0,2.0,2.0,2.0,600
2007-03-12 16:00:00-04:00,1.9,2.0,1.9,2.0,1000
2007-03-13 16:00:00-04:00,1.2,2.0,1.2,2.0,917
2007-03-20 16:00:00-04:00,1.3,2.0,1.3,2.0,452
2007-03-28 16:00:00-04:00,2.0,2.0,2.0,2.0,100
2007-04-03 16:00:00-04:00,2.0,2.0,2.0,2.0,1500
2007-04-04 16:00:00-04:00,1.5,1.5,1.5,1.5,200
2007-04-05 16:00:00-04:00,2.5,2.5,2.5,2.5,100
2007-04-17 16:00:00-04:00,1.5,2.25,1.5,2.25,401
2007-04-18 16:00:00-04:00,2.25,2.25,2.25,2.25,100
2007-05-07 16:00:00-04:00,2.0,2.0,2.0,2.0,1000
2007-05-16 16:00:00-04:00,1.65,1.65,1.65,1.65,1000
2007-05-25 16:00:00-04:00,2.0,2.0,2.0,2.0,200
2007-05-31 16:00:00-04:00,2.0,2.0,2.0,2.0,125
2007-06-01 16:00:00-04:00,1.65,1.65,1.65,1.65,1000
2007-06-05 16:00:00-04:00,1.5,1.5,1.5,1.5,1000
2007-06-06 16:00:00-04:00,1.25,1.25,1.25,1.25,500
2007-06-07 16:00:00-04:00,1.5,1.5,1.25,1.25,600
2007-06-08 16:00:00-04:00,1.5,1.5,1.5,1.5,100
2007-06-25 16:00:00-04:00,1.05,1.05,1.05,1.05,500
2007-06-27 16:00:00-04:00,1.1,1.1,1.1,1.1,100
2007-06-28 16:00:00-04:00,1.25,1.25,1.25,1.25,500
2007-07-02 16:00:00-04:00,1.4,1.4,1.4,1.4,1600
2007-07-06 16:00:00-04:00,1.3,1.3,1.3,1.3,500
2007-07-10 16:00:00-04:00,1.28,1.28,1.28,1.28,500
2007-07-11 16:00:00-04:00,1.28,1.28,1.28,1.28,1000
2007-07-13 16:00:00-04:00,1.35,1.35,1.35,1.35,1000
2007-07-16 16:00:00-04:00,1.3,1.3,1.3,1.3,1500
2007-07-24 16:00:00-04:00,1.1,1.1,1.1,1.1,700
2007-07-25 16:00:00-04:00,1.3,1.3,1.3,1.3,500
2007-07-26 16:00:00-04:00,1.2,1.2,1.2,1.2,500
2007-08-01 16:00:00-04:00,1.25,1.25,1.25,1.25,300
2007-08-02 16:00:00-04:00,1.05,1.05,1.05,1.05,600
2007-08-06 16:00:00-04:00,1.05,1.05,1.05,1.05,600
2007-08-07 16:00:00-04:00,1.05,1.05,1.01,1.01,3700
2007-08-08 16:00:00-04:00,1.01,1.01,1.01,1.01,500
2007-08-09 16:00:00-04:00,0.75,0.75,0.75,0.75,400
2007-08-10 16:00:00-04:00,1.01,1.01,1.01,1.01,1200
2007-08-13 16:00:00-04:00,1.01,1.01,1.01,1.01,1500
2007-08-15 16:00:00-04:00,1.01,1.01,1.01,1.01,2000
2007-08-16 16:00:00-04:00,0.91,0.91,0.91,0.91,598
2007-08-20 16:00:00-04:00,0.91,0.91,0.91,0.91,2500
2007-08-21 16:00:00-04:00,0.85,0.85,0.85,0.85,2500
2007-08-22 16:00:00-04:00,0.9,0.9,0.9,0.9,19800
2007-08-30 16:00:00-04:00,0.9,0.9,0.9,0.9,2000
2007-08-31 16:00:00-04:00,0.82,0.9,0.82,0.9,5500
2007-09-04 16:00:00-04:00,0.99,1.05,0.99,0.99,26145
2007-09-05 16:00:00-04:00,0.8,0.8,0.8,0.8,5000
2007-09-06 16:00:00-04:00,0.75,0.75,0.75,0.75,11500
2007-09-07 16:00:00-04:00,0.7,0.85,0.7,0.85,8206
2007-09-11 16:00:00-04:00,0.85,0.85,0.85,0.85,500
2007-09-20 16:00:00-04:00,1.0,1.0,1.0,1.0,200
2007-09-21 16:00:00-04:00,1.0,1.0,1.0,1.0,500
2007-09-27 16:00:00-04:00,0.7,0.7,0.7,0.7,500
2007-09-28 16:00:00-04:00,0.8,0.8,0.8,0.8,6500
2007-10-01 16:00:00-04:00,0.8,0.9,0.8,0.9,5000
2007-10-03 16:00:00-04:00,0.9,0.9,0.8,0.8,15000
2007-10-05 16:00:00-04:00,0.8,0.8,0.8,0.8,2000
2007-10-26 16:00:00-04:00,0.8,0.8,0.8,0.8,100
2007-11-05 16:00:00-05:00,0.8,0.8,0.8,0.8,200
2007-11-07 16:00:00-05:00,0.9,0.9,0.75,0.9,22998
2007-11-08 16:00:00-05:00,0.8,0.8,0.8,0.8,2000
2007-11-09 16:00:00-05:00,0.8,0.8,0.8,0.8,3880
2007-11-20 16:00:00-05:00,0.8,0.8,0.8,0.8,108
2007-11-21 16:00:00-05:00,0.8,0.8,0.8,0.8,108
2007-12-04 16:00:00-05:00,0.8,0.8,0.8,0.8,2000
2007-12-05 16:00:00-05:00,0.8,0.8,0.8,0.8,2000
2007-12-06 16:00:00-05:00,0.8,0.8,0.8,0.8,2000
2007-12-07 16:00:00-05:00,0.8,0.8,0.8,0.8,2000
2007-12-10 16:00:00-05:00,0.8,0.8,0.8,0.8,4000
2007-12-11 16:00:00-05:00,0.8,0.8,0.8,0.8,2000
2007-12-12 16:00:00-05:00,0.8,0.8,0.8,0.8,4000
2007-12-13 16:00:00-05:00,0.8,0.8,0.8,0.8,4000
2007-12-14 16:00:00-05:00,0.8,0.8,0.8,0.8,4000
2007-12-17 16:00:00-05:00,0.8,0.8,0.8,0.8,4000
2007-12-18 16:00:00-05:00,0.8,0.8,0.8,0.8,6500
2007-12-19 16:00:00-05:00,0.75,0.8,0.75,0.8,1000
2007-12-26 16:00:00-05:00,0.8,0.8,0.8,0.8,1058
2008-01-03 16:00:00-05:00,0.8,0.85,0.8,0.8,96894
2008-01-04 16:00:00-05:00,1.0,1.0,1.0,1.0,500
2008-01-07 16:00:00-05:00,0.8,0.8,0.75,0.75,7500
2008-01-09 16:00:00-05:00,1.01,1.14,1.01,1.01,1625
