,Open,High,Low,Close,Volume
2011-07-26 16:00:00-04:00,0.15,0.15,0.15,0.15,100
2011-09-15 16:00:00-04:00,3.0,3.5,3.0,3.0,4939
2011-09-16 16:00:00-04:00,3.5,3.5,3.5,3.5,1230
2011-09-19 16:00:00-04:00,3.75,3.75,3.75,3.75,3000
2011-09-20 16:00:00-04:00,3.75,3.75,3.75,3.75,1000
2011-09-21 16:00:00-04:00,4.0,4.0,4.0,4.0,5000
2011-09-22 16:00:00-04:00,4.0,4.25,4.0,4.25,6650
2011-09-23 16:00:00-04:00,3.01,4.25,3.01,4.25,700
2011-09-26 16:00:00-04:00,4.25,4.25,4.25,4.25,1100
2011-09-27 16:00:00-04:00,4.25,4.25,4.25,4.25,300
2011-09-28 16:00:00-04:00,3.5,4.25,3.5,4.25,255
2011-09-29 16:00:00-04:00,4.25,4.25,4.25,4.25,500
2011-09-30 16:00:00-04:00,4.25,4.25,4.25,4.25,755
2011-10-03 16:00:00-04:00,4.25,4.25,4.25,4.25,200
2011-10-04 16:00:00-04:00,4.25,4.25,4.25,4.25,200
2011-10-05 16:00:00-04:00,4.25,4.25,4.25,4.25,400
2011-10-06 16:00:00-04:00,4.25,4.25,4.25,4.25,200
2011-10-07 16:00:00-04:00,4.25,4.25,4.25,4.25,300
2011-10-10 16:00:00-04:00,4.25,4.3,4.0,4.3,1100
2011-10-11 16:00:00-04:00,4.3,4.3,4.3,4.3,1600
2011-10-12 16:00:00-04:00,4.3,4.3,4.16,4.3,5400
2011-10-13 16:00:00-04:00,4.2,4.3,4.2,4.2,6700
2011-10-14 16:00:00-04:00,4.2,4.3,4.2,4.3,1800
2011-10-17 16:00:00-04:00,4.3,4.5,4.3,4.5,10700
2011-10-18 16:00:00-04:00,5.0,5.0,3.5,4.6,9780
2011-10-19 16:00:00-04:00,4.65,14.0,4.65,14.0,200
2011-10-21 16:00:00-04:00,4.8,4.8,4.8,4.8,3100
2011-10-24 16:00:00-04:00,4.8,4.8,4.8,4.8,100
2011-10-25 16:00:00-04:00,12.0,12.0,4.8,4.8,1200
2011-10-26 16:00:00-04:00,4.8,4.8,4.8,4.8,200
2011-10-27 16:00:00-04:00,4.7,4.7,4.7,4.7,8400
2011-10-28 16:00:00-04:00,4.7,4.7,4.7,4.7,800
2011-10-31 16:00:00-04:00,4.7,4.7,4.5,4.5,1525
2011-11-01 16:00:00-04:00,4.7,4.7,4.5,4.5,600
2011-11-02 16:00:00-04:00,4.5,4.5,4.5,4.5,400
2011-11-03 16:00:00-04:00,4.5,4.5,4.5,4.5,700
2011-11-04 16:00:00-04:00,4.5,4.5,4.5,4.5,775
2011-11-07 16:00:00-05:00,4.5,4.5,4.5,4.5,300
2011-11-08 16:00:00-05:00,4.5,4.5,4.5,4.5,200
2011-11-09 16:00:00-05:00,4.5,4.5,4.0,4.5,2000
2011-11-10 16:00:00-05:00,4.5,4.5,4.5,4.5,500
2011-11-11 16:00:00-05:00,4.5,4.5,4.5,4.5,500
2011-11-14 16:00:00-05:00,4.5,4.59,4.5,4.59,4600
2011-11-15 16:00:00-05:00,4.59,4.59,4.59,4.59,900
2011-11-16 16:00:00-05:00,4.5,4.51,4.5,4.5,3300
2011-11-18 16:00:00-05:00,4.59,4.59,4.59,4.59,100
2011-11-25 13:00:00-05:00,4.49,4.49,4.2,4.2,11600
2011-11-28 16:00:00-05:00,3.75,3.75,3.75,3.75,500
2011-11-29 16:00:00-05:00,4.0,4.0,4.0,4.0,100
2011-11-30 16:00:00-05:00,4.0,4.2,4.0,4.2,1200
2011-12-01 16:00:00-05:00,4.2,4.49,4.2,4.49,1600
2011-12-02 16:00:00-05:00,4.49,4.49,4.2,4.45,900
2011-12-05 16:00:00-05:00,4.2,4.4,4.2,4.4,700
2011-12-06 16:00:00-05:00,4.4,4.4,4.4,4.4,700
2011-12-07 16:00:00-05:00,4.2,4.45,4.2,4.45,530
2011-12-08 16:00:00-05:00,4.45,4.45,4.45,4.45,100
2011-12-09 16:00:00-05:00,4.45,4.45,4.45,4.45,200
2011-12-14 16:00:00-05:00,4.45,4.45,4.45,4.45,200
2011-12-15 16:00:00-05:00,4.4,4.4,4.4,4.4,260
2011-12-16 16:00:00-05:00,4.4,4.4,4.4,4.4,300
2011-12-22 16:00:00-05:00,4.49,4.49,4.49,4.49,200
2011-12-23 16:00:00-05:00,4.49,4.49,4.49,4.49,100
2011-12-28 16:00:00-05:00,4.49,4.49,4.49,4.49,900
2011-12-29 16:00:00-05:00,4.4,4.4,4.4,4.4,100
2011-12-30 16:00:00-05:00,4.25,4.25,4.25,4.25,2300
2012-01-06 16:00:00-05:00,4.2,4.2,4.2,4.2,2000
2012-01-09 16:00:00-05:00,4.2,4.2,4.0,4.0,2500
2012-01-10 16:00:00-05:00,4.0,4.25,4.0,4.25,3900
2012-01-11 16:00:00-05:00,4.1,4.1,4.1,4.1,700
2012-01-19 16:00:00-05:00,4.0,4.0,4.0,4.0,200
2012-01-23 16:00:00-05:00,4.0,4.0,4.0,4.0,500
2012-01-24 16:00:00-05:00,3.8,3.8,3.8,3.8,100
2012-01-25 16:00:00-05:00,3.8,3.85,3.8,3.85,700
2012-01-26 16:00:00-05:00,3.85,3.85,3.75,3.75,1500
2012-01-27 16:00:00-05:00,3.6,3.6,3.6,3.6,400
2012-01-30 16:00:00-05:00,3.6,3.75,3.6,3.7,1600
2012-02-06 16:00:00-05:00,3.8,3.8,3.55,3.55,2200
2012-02-07 16:00:00-05:00,3.5,3.65,3.5,3.65,2000
2012-02-08 16:00:00-05:00,3.5,3.5,3.5,3.5,115
2012-02-10 16:00:00-05:00,3.49,3.5,3.49,3.5,2000
2012-02-13 16:00:00-05:00,3.49,3.49,3.49,3.49,2050
2012-02-16 16:00:00-05:00,3.3,3.3,3.1,3.1,850
2012-02-17 16:00:00-05:00,3.45,3.45,3.45,3.45,2500
2012-02-22 16:00:00-05:00,3.3,3.3,3.3,3.3,14000
2012-02-23 16:00:00-05:00,3.0,3.25,3.0,3.25,8100
2012-02-24 16:00:00-05:00,3.15,3.2,3.1,3.2,14200
2012-03-01 16:00:00-05:00,3.2,3.2,3.2,3.2,2900
2012-03-02 16:00:00-05:00,3.2,3.2,3.2,3.2,250
2012-03-06 16:00:00-05:00,3.2,3.2,3.2,3.2,150
2012-03-07 16:00:00-05:00,3.2,3.2,3.2,3.2,100
2012-03-08 16:00:00-05:00,3.2,3.2,3.2,3.2,250
2012-03-12 16:00:00-04:00,3.1,3.2,3.1,3.2,36000
2012-03-15 16:00:00-04:00,3.0,3.0,3.0,3.0,10000
2012-03-16 16:00:00-04:00,2.25,2.5,2.25,2.35,1600
2012-03-19 16:00:00-04:00,2.35,2.35,2.35,2.35,326
2012-03-21 16:00:00-04:00,2.0,2.0,2.0,2.0,5000
2012-03-22 16:00:00-04:00,2.0,2.0,1.9,1.9,1760
2012-03-23 16:00:00-04:00,1.85,2.0,1.7,2.0,4620
2012-03-26 16:00:00-04:00,2.0,2.0,1.9,1.9,1700
2012-03-27 16:00:00-04:00,1.9,2.0,1.9,1.9,2680
2012-03-28 16:00:00-04:00,1.9,1.9,1.9,1.9,550
2012-03-29 16:00:00-04:00,0.25,1.9,0.25,1.9,900
2012-03-30 16:00:00-04:00,1.9,1.9,1.6,1.6,575
2012-04-02 16:00:00-04:00,1.25,2.0,1.25,2.0,1340
2012-04-03 16:00:00-04:00,1.97,1.97,1.97,1.97,350
2012-04-04 16:00:00-04:00,1.95,1.95,1.95,1.95,355
2012-04-05 16:00:00-04:00,1.95,1.95,1.95,1.95,600
2012-04-11 16:00:00-04:00,1.8,1.8,1.55,1.7,4700
2012-04-12 16:00:00-04:00,1.68,2.0,1.55,1.55,4078
2012-04-16 16:00:00-04:00,1.9,1.9,1.9,1.9,500
2012-04-18 16:00:00-04:00,1.9,1.9,1.9,1.9,1500
2012-04-20 16:00:00-04:00,1.75,1.75,1.74,1.74,6100
2012-04-23 16:00:00-04:00,1.72,1.72,1.72,1.72,600
2012-04-24 16:00:00-04:00,1.7,1.7,1.7,1.7,400
2012-04-26 16:00:00-04:00,1.65,1.65,1.65,1.65,600
2012-04-27 16:00:00-04:00,1.6,1.6,1.6,1.6,600
2012-04-30 16:00:00-04:00,1.59,2.0,1.59,2.0,5600
2012-05-02 16:00:00-04:00,2.0,2.0,2.0,2.0,2000
2012-05-04 16:00:00-04:00,2.0,2.0,2.0,2.0,350
2012-05-07 16:00:00-04:00,2.0,2.0,2.0,2.0,150
2012-05-10 16:00:00-04:00,2.0,2.0,2.0,2.0,10500
2012-05-11 16:00:00-04:00,2.0,2.15,2.0,2.15,3611
2012-05-14 16:00:00-04:00,2.2,2.2,2.2,2.2,1100
2012-05-15 16:00:00-04:00,2.0,2.0,2.0,2.0,180
2012-05-17 16:00:00-04:00,1.85,1.85,1.85,1.85,6300
2012-05-21 16:00:00-04:00,1.85,1.85,1.85,1.85,645
2012-05-22 16:00:00-04:00,2.0,2.0,2.0,2.0,4900
2012-05-23 16:00:00-04:00,2.0,2.0,2.0,2.0,4000
2012-05-29 16:00:00-04:00,1.95,2.0,1.95,2.0,1700
2012-05-30 16:00:00-04:00,1.01,1.95,1.01,1.95,1100
2012-06-05 16:00:00-04:00,1.95,1.95,1.95,1.95,100
2012-06-15 16:00:00-04:00,1.85,2.0,1.85,2.0,4800
2012-06-18 16:00:00-04:00,1.95,2.2,1.95,2.05,41600
2012-06-19 16:00:00-04:00,2.2,2.45,2.0,2.38,44500
2012-06-20 16:00:00-04:00,2.3,2.45,2.28,2.33,64120
2012-06-21 16:00:00-04:00,2.33,2.43,2.05,2.3,52481
2012-06-22 16:00:00-04:00,2.3,2.5,2.2,2.28,82218
2012-06-25 16:00:00-04:00,2.28,2.42,2.15,2.42,39619
2012-06-26 16:00:00-04:00,2.4,2.4,2.29,2.32,13610
2012-06-27 16:00:00-04:00,2.33,2.75,2.33,2.75,42730
2012-06-28 16:00:00-04:00,2.9,3.0,2.8,3.0,74317
2012-06-29 16:00:00-04:00,3.0,3.29,2.95,3.29,53685
2012-07-02 16:00:00-04:00,3.3,3.4,3.3,3.33,25215
2012-07-03 16:00:00-04:00,3.33,3.33,2.98,3.25,13182
2012-07-05 16:00:00-04:00,3.1,3.45,2.9,3.1,56916
2012-07-06 16:00:00-04:00,3.02,3.3,3.02,3.1,9440
2012-07-09 16:00:00-04:00,3.02,3.1,3.0,3.0,7605
2012-07-10 16:00:00-04:00,3.0,3.0,2.9,2.96,42364
2012-07-11 16:00:00-04:00,2.96,2.96,2.7,2.75,42281
2012-07-12 16:00:00-04:00,2.8,2.8,2.5,2.51,26190
2012-07-13 16:00:00-04:00,2.5,3.1,2.5,3.0,42930
2012-07-16 16:00:00-04:00,3.0,3.19,3.0,3.0,15710
2012-07-17 16:00:00-04:00,3.05,3.05,2.3,2.5,31201
2012-07-18 16:00:00-04:00,2.84,3.0,2.65,2.71,15990
2012-07-19 16:00:00-04:00,2.8,2.8,2.8,2.8,3500
2012-07-20 16:00:00-04:00,2.95,3.0,2.95,2.98,3960
2012-07-23 16:00:00-04:00,2.97,2.97,2.95,2.95,4010
2012-07-24 16:00:00-04:00,2.95,2.96,2.7,2.8,9045
2012-07-25 16:00:00-04:00,2.94,2.94,2.69,2.7,10400
2012-07-26 16:00:00-04:00,2.7,2.7,2.6,2.6,17050
2012-07-27 16:00:00-04:00,2.6,2.75,2.5,2.5,17542
2012-07-30 16:00:00-04:00,2.35,2.75,2.3,2.75,27810
2012-08-01 16:00:00-04:00,2.75,2.75,2.6,2.6,13661
2012-08-02 16:00:00-04:00,2.6,2.6,2.6,2.6,1000
2012-08-03 16:00:00-04:00,2.75,2.75,2.75,2.75,1000
2012-08-07 16:00:00-04:00,2.73,2.75,2.3,2.35,9740
2012-08-08 16:00:00-04:00,2.35,2.5,2.35,2.5,450
2012-08-09 16:00:00-04:00,2.55,2.55,2.55,2.55,100
2012-08-10 16:00:00-04:00,2.75,2.75,2.75,2.75,1400
2012-08-13 16:00:00-04:00,2.6,2.6,2.55,2.55,15500
2012-08-14 16:00:00-04:00,2.59,2.6,2.59,2.6,10700
2012-08-15 16:00:00-04:00,2.7,2.7,2.6,2.6,600
2012-08-16 16:00:00-04:00,2.46,2.6,2.46,2.6,2500
2012-08-17 16:00:00-04:00,2.6,2.6,2.46,2.6,6800
2012-08-20 16:00:00-04:00,2.7,2.7,2.5,2.5,8950
2012-08-21 16:00:00-04:00,2.1,2.5,2.1,2.5,9632
2012-08-23 16:00:00-04:00,2.4,2.5,2.4,2.4,38640
2012-08-24 16:00:00-04:00,2.5,2.5,2.5,2.5,1000
2012-08-28 16:00:00-04:00,2.47,2.5,2.41,2.48,5920
2012-08-29 16:00:00-04:00,2.48,2.5,2.48,2.48,2570
2012-08-30 16:00:00-04:00,2.65,2.74,2.48,2.49,17229
2012-09-04 16:00:00-04:00,2.49,2.49,2.42,2.49,2355
2012-09-05 16:00:00-04:00,2.45,2.49,2.45,2.45,6321
2012-09-06 16:00:00-04:00,2.45,2.45,2.41,2.41,1440
2012-09-07 16:00:00-04:00,2.41,2.41,2.41,2.41,1300
2012-09-12 16:00:00-04:00,2.5,2.6,2.3,2.5,10300
2012-09-13 16:00:00-04:00,2.6,2.6,2.3,2.31,12700
2012-09-14 16:00:00-04:00,2.49,2.55,2.38,2.5,20931
2012-09-18 16:00:00-04:00,2.4,2.4,2.4,2.4,14221
2012-09-19 16:00:00-04:00,2.4,2.4,2.33,2.4,7020
2012-09-20 16:00:00-04:00,2.31,2.31,2.31,2.31,100
2012-09-21 16:00:00-04:00,2.32,2.32,2.32,2.32,500
