,Open,High,Low,Close,Volume
2016-06-09 16:00:00-04:00,25.18,25.18,25.12,25.12,2501
2016-06-10 16:00:00-04:00,25.24,25.2725,25.15,25.15,6245
2016-06-13 16:00:00-04:00,25.14,25.14,25.14,25.14,228
2016-06-14 16:00:00-04:00,25.05,25.07,24.8883,24.8942,4403
2016-06-15 16:00:00-04:00,25.01,25.19,25.01,25.14,1165
2016-06-16 16:00:00-04:00,24.99,25.13,24.99,25.13,3344
2016-06-17 16:00:00-04:00,25.1362,25.23,25.08,25.2199,7540
2016-06-20 16:00:00-04:00,25.34,25.34,25.31,25.31,672
2016-06-21 16:00:00-04:00,25.24,25.24,25.1706,25.24,1064
2016-06-22 16:00:00-04:00,25.18,25.18,25.02,25.02,1230
2016-06-23 16:00:00-04:00,25.21,25.2999,25.18,25.2999,1827
2016-06-24 16:00:00-04:00,25.06,25.2792,24.94,25.0758,2672
2016-06-27 16:00:00-04:00,24.96,25.01,24.7701,24.9935,3023
2016-06-28 16:00:00-04:00,25.2572,25.527,25.25,25.527,3073
2016-06-29 16:00:00-04:00,25.76,25.83,25.76,25.83,560
2016-07-06 16:00:00-04:00,26.165,26.165,26.165,26.165,219
2016-07-07 16:00:00-04:00,25.9348,25.9699,25.9348,25.9699,3602
2016-07-08 16:00:00-04:00,26.2455,26.2455,26.2455,26.2455,3256
2016-07-11 16:00:00-04:00,26.34,26.34,26.249,26.249,496
2016-07-12 16:00:00-04:00,26.4207,26.4207,26.34,26.399,1502
2016-07-13 16:00:00-04:00,26.5,26.5,26.4846,26.4846,1148
2016-07-14 16:00:00-04:00,26.34,26.34,26.34,26.34,387
2016-07-15 16:00:00-04:00,26.2799,26.2961,26.2799,26.29,916
2016-07-18 16:00:00-04:00,26.47,26.59,26.47,26.58,1279
2016-07-19 16:00:00-04:00,26.5604,26.57,26.5502,26.5502,685
2016-07-20 16:00:00-04:00,26.77,26.77,26.7453,26.77,2171
2016-07-21 16:00:00-04:00,26.84,26.84,26.81,26.81,414
2016-07-22 16:00:00-04:00,27.166,27.166,27.166,27.166,185
2016-07-25 16:00:00-04:00,27.15,27.15,27.15,27.15,232
2016-07-26 16:00:00-04:00,27.0293,27.0293,26.93,26.93,287
2016-07-27 16:00:00-04:00,26.88,26.88,26.87,26.8775,930
2016-07-28 16:00:00-04:00,27.1,27.16,27.0801,27.1365,5220
2016-07-29 16:00:00-04:00,27.565,27.57,27.53,27.54,2461
2016-08-01 16:00:00-04:00,27.53,27.53,27.3999,27.53,2253
2016-08-02 16:00:00-04:00,27.26,27.26,27.0197,27.0403,2132
2016-08-03 16:00:00-04:00,27.01,27.01,26.71,26.71,6260
2016-08-04 16:00:00-04:00,26.86,26.86,26.798,26.83,29125
2016-08-05 16:00:00-04:00,26.77,26.77,26.71,26.71,323
2016-08-08 16:00:00-04:00,26.83,26.83,26.7647,26.7647,2235
2016-08-09 16:00:00-04:00,26.85,27.11,26.85,27.0902,2222
2016-08-10 16:00:00-04:00,27.17,27.17,27.17,27.17,115
2016-08-11 16:00:00-04:00,27.24,27.24,26.94,26.94,6335
2016-08-12 16:00:00-04:00,27.2462,27.29,27.2462,27.29,1275
2016-08-15 16:00:00-04:00,27.36,27.36,27.27,27.27,5437
2016-08-16 16:00:00-04:00,27.2,27.2,26.94,26.96,3117
2016-08-17 16:00:00-04:00,26.92,26.9878,26.71,26.9878,2781
2016-08-18 16:00:00-04:00,27.03,27.03,26.95,26.99,798
2016-08-19 16:00:00-04:00,26.9,27.08,26.9,27.08,638
2016-08-22 16:00:00-04:00,26.88,26.88,26.88,26.88,1018
2016-08-23 16:00:00-04:00,27.05,27.05,27.05,27.05,315
2016-08-24 16:00:00-04:00,27.0,27.0,26.939,26.94,1841
2016-08-25 16:00:00-04:00,27.01,27.0599,26.99,26.99,6336
2016-08-26 16:00:00-04:00,27.08,27.08,26.5,26.628,773
2016-08-29 16:00:00-04:00,26.71,26.9576,26.71,26.9399,17079
2016-08-30 16:00:00-04:00,26.93,26.93,26.7702,26.8,1685
2016-08-31 16:00:00-04:00,27.03,27.03,26.7408,26.7408,3426
2016-09-01 16:00:00-04:00,26.6501,26.69,26.6501,26.69,380
2016-09-02 16:00:00-04:00,27.03,27.03,26.9,26.9,920
2016-09-06 16:00:00-04:00,27.07,27.32,26.9962,27.2696,4169
2016-09-07 16:00:00-04:00,27.5,27.5,27.5,27.5,230
2016-09-08 16:00:00-04:00,27.32,27.32,27.32,27.32,1432
2016-09-09 16:00:00-04:00,26.84,26.84,26.25,26.25,1429
2016-09-12 16:00:00-04:00,26.04,26.5,26.04,26.49,1066
2016-09-13 16:00:00-04:00,26.1082,26.1082,25.69,25.81,7799
2016-09-14 16:00:00-04:00,25.9,25.91,25.9,25.91,360
2016-09-15 16:00:00-04:00,25.85,25.85,25.72,25.72,751
2016-09-16 16:00:00-04:00,25.78,25.78,25.78,25.78,1060
2016-09-19 16:00:00-04:00,26.06,26.0899,26.06,26.0899,1160
2016-09-20 16:00:00-04:00,26.17,26.233,26.17,26.17,4891
2016-09-21 16:00:00-04:00,26.0625,26.0625,26.0,26.0,11278
2016-09-22 16:00:00-04:00,26.62,26.8799,26.62,26.8799,938
2016-09-26 16:00:00-04:00,26.75,27.0,26.75,26.96,1628
2016-09-27 16:00:00-04:00,26.925,26.925,26.73,26.74,4006
2016-09-28 16:00:00-04:00,26.94,26.94,26.7692,26.88,4950
2016-09-29 16:00:00-04:00,26.89,26.9499,26.715,26.85,1824
2016-09-30 16:00:00-04:00,26.67,26.67,26.39,26.39,2684
2016-10-03 16:00:00-04:00,26.17,26.17,25.99,25.99,678
2016-10-04 16:00:00-04:00,26.0,26.0,25.62,25.62,2351
2016-10-05 16:00:00-04:00,25.62,25.62,25.26,25.29,1596
2016-10-06 16:00:00-04:00,24.9845,24.9845,24.9845,24.9845,129
2016-10-10 16:00:00-04:00,24.94,25.02,24.89,25.02,527
2016-10-11 16:00:00-04:00,24.848,24.848,24.6126,24.6126,1297
2016-10-12 16:00:00-04:00,24.6612,24.79,24.6612,24.79,2014
2016-10-13 16:00:00-04:00,24.66,24.66,24.66,24.66,236
2016-10-14 16:00:00-04:00,24.9634,24.9634,24.9634,24.9634,230
2016-10-17 16:00:00-04:00,24.86,24.86,24.86,24.86,102
2016-10-18 16:00:00-04:00,25.0799,25.18,25.02,25.1464,2449
2016-10-19 16:00:00-04:00,25.06,25.14,25.06,25.11,587
2016-10-20 16:00:00-04:00,25.1734,25.1734,25.1734,25.1734,602
2016-10-21 16:00:00-04:00,25.13,25.13,25.0185,25.0185,8538
2016-10-25 16:00:00-04:00,25.02,25.07,25.02,25.065,2231
2016-10-26 16:00:00-04:00,24.84,24.84,24.66,24.66,381
2016-10-27 16:00:00-04:00,24.47,24.47,24.3099,24.31,986
2016-10-28 16:00:00-04:00,24.57,24.57,24.26,24.35,10115
2016-10-31 16:00:00-04:00,24.545,24.545,24.4805,24.5399,3354
2016-11-01 16:00:00-04:00,24.27,24.27,23.71,23.71,15923
2016-11-02 16:00:00-04:00,23.53,23.53,23.53,23.53,421
2016-11-03 16:00:00-04:00,23.1554,23.1554,23.1554,23.1554,184
2016-11-04 16:00:00-04:00,23.13,23.2207,23.13,23.2207,995
2016-11-07 16:00:00-05:00,23.513,23.56,23.513,23.56,539
2016-11-08 16:00:00-05:00,23.39,23.39,23.2144,23.3,683
2016-11-09 16:00:00-05:00,22.85,22.9369,22.44,22.7928,3560
2016-11-10 16:00:00-05:00,22.29,22.29,22.26,22.26,431
2016-11-11 16:00:00-05:00,22.32,22.36,22.17,22.2033,5007
2016-11-14 16:00:00-05:00,22.62,22.82,22.62,22.77,1056
2016-11-15 16:00:00-05:00,22.82,22.83,22.64,22.6625,7418
2016-11-16 16:00:00-05:00,22.71,22.71,22.66,22.66,720
2016-11-17 16:00:00-05:00,22.705,22.705,22.52,22.52,2460
2016-11-18 16:00:00-05:00,22.61,22.61,22.4955,22.58,2409
2016-11-21 16:00:00-05:00,22.8286,22.8286,22.58,22.58,5157
2016-11-22 16:00:00-05:00,22.5,22.6758,22.5,22.6758,520
2016-11-23 16:00:00-05:00,22.5338,22.64,22.52,22.64,814
2016-11-25 13:00:00-05:00,22.74,22.75,22.74,22.75,223
2016-11-28 16:00:00-05:00,22.82,22.82,22.7492,22.784,1475
2016-11-30 16:00:00-05:00,22.6,22.674,22.6,22.674,1030
2016-12-01 16:00:00-05:00,22.63,22.63,22.23,22.23,2401
2016-12-02 16:00:00-05:00,22.67,22.71,22.52,22.54,3311
2016-12-05 16:00:00-05:00,22.61,22.67,22.45,22.67,3137
2016-12-06 16:00:00-05:00,22.79,22.79,22.7066,22.79,3545
2016-12-07 16:00:00-05:00,23.1,23.31,23.09,23.31,2203
2016-12-08 16:00:00-05:00,23.37,23.46,23.37,23.43,614
2016-12-09 16:00:00-05:00,23.58,23.58,23.45,23.45,1833
2016-12-12 16:00:00-05:00,23.54,23.63,23.4,23.63,1979
2016-12-13 16:00:00-05:00,23.5,23.59,23.5,23.59,2095
2016-12-14 16:00:00-05:00,23.4601,23.4834,22.96,22.96,629
2016-12-15 16:00:00-05:00,22.79,22.8501,22.49,22.49,12750
2016-12-16 16:00:00-05:00,22.89,23.169,22.89,23.169,741
2016-12-19 16:00:00-05:00,23.47,23.5001,23.47,23.5001,903
2016-12-20 16:00:00-05:00,23.47,23.73,23.47,23.5995,2450
2016-12-21 16:00:00-05:00,23.73,23.73,23.4362,23.4362,925
2016-12-22 16:00:00-05:00,23.2,23.3105,23.2,23.3105,580
2016-12-27 16:00:00-05:00,23.0799,23.1695,23.0799,23.1472,5948
2016-12-28 16:00:00-05:00,23.07,23.07,22.965,22.965,521
2016-12-29 16:00:00-05:00,23.2299,23.2299,23.1964,23.1964,1273
2016-12-30 16:00:00-05:00,23.35,23.4516,23.35,23.4516,14557
2017-01-03 16:00:00-05:00,23.56,23.57,23.1845,23.3296,6507
2017-01-04 16:00:00-05:00,23.5,23.68,23.5,23.6295,1823
2017-01-05 16:00:00-05:00,23.6625,23.9253,23.6625,23.88,2388
2017-01-06 16:00:00-05:00,23.8,23.8,23.786,23.786,1019
