,Open,High,Low,Close,Volume
2007-04-25 16:00:00-04:00,200.0,200.0,177.4,178.4,306461
2007-04-26 16:00:00-04:00,175.5,179.5,160.5,166.8,131696
2007-04-27 16:00:00-04:00,167.4,171.8,155.5,155.5,23125
2007-04-30 16:00:00-04:00,157.5,159.8,142.5,143.4,31346
2007-05-01 16:00:00-04:00,148.4,148.4,138.0,143.0,32442
2007-05-02 16:00:00-04:00,143.7,162.5,143.7,159.2,28951
2007-05-03 16:00:00-04:00,165.0,169.8,160.2,169.8,22542
2007-05-04 16:00:00-04:00,172.5,173.9,170.475,173.42,12653
2007-05-07 16:00:00-04:00,178.0,179.0,172.7,177.0,5731
2007-05-08 16:00:00-04:00,175.4,179.4,172.5,175.5,5218
2007-05-09 16:00:00-04:00,172.5,174.2,165.6,172.5,5778
2007-05-10 16:00:00-04:00,174.5,174.5,169.6,172.5,8926
2007-05-11 16:00:00-04:00,171.0,172.5,169.1,171.9,6612
2007-05-14 16:00:00-04:00,173.4,177.4,171.9,177.4,6890
2007-05-15 16:00:00-04:00,180.0,180.0,172.5,178.5,6377
2007-05-16 16:00:00-04:00,175.0,175.2,170.0,172.8,5947
2007-05-17 16:00:00-04:00,170.0,172.499,165.5,169.7,3226
2007-05-18 16:00:00-04:00,168.6,172.499,166.801,167.5,1996
2007-05-21 16:00:00-04:00,166.4,171.9,165.6,165.8,2240
2007-05-22 16:00:00-04:00,165.2,171.9,165.0,165.0,3014
2007-05-23 16:00:00-04:00,171.6,171.6,164.0,164.0,1972
2007-05-24 16:00:00-04:00,163.0,164.3,153.9,157.0,5043
2007-05-25 16:00:00-04:00,157.5,162.4,157.0,161.5,4834
2007-05-29 16:00:00-04:00,160.0,160.81,151.0,156.9,4504
2007-05-30 16:00:00-04:00,157.5,157.5,152.5,152.5,2903
2007-05-31 16:00:00-04:00,157.6,157.7,147.0,148.3,7346
2007-06-01 16:00:00-04:00,149.0,152.8,149.0,151.8,4592
2007-06-04 16:00:00-04:00,154.5,154.5,151.5,153.1,4641
2007-06-05 16:00:00-04:00,158.3,159.2,153.2,153.6,8330
2007-06-06 16:00:00-04:00,153.6,154.0,146.0,146.6,7979
2007-06-07 16:00:00-04:00,151.4,152.9,149.5,152.1,7468
2007-06-08 16:00:00-04:00,157.9,158.5,151.6,152.4,6569
2007-06-11 16:00:00-04:00,150.8,151.0,149.514,150.5,6566
2007-06-12 16:00:00-04:00,151.8,156.9,149.4,151.2,7701
2007-06-13 16:00:00-04:00,150.2,156.8,150.2,156.4,3720
2007-06-14 16:00:00-04:00,157.2,162.4,156.0,159.1,5718
2007-06-15 16:00:00-04:00,159.5,162.2,158.2,161.1,4712
2007-06-18 16:00:00-04:00,162.0,162.0,157.6,157.7,2387
2007-06-19 16:00:00-04:00,158.0,168.8,156.5,164.2,6460
2007-06-20 16:00:00-04:00,166.0,167.5,157.5,164.4,7066
2007-06-21 16:00:00-04:00,164.5,166.9,158.6,166.4,3834
2007-06-22 16:00:00-04:00,167.7,169.9,157.9,158.5,3115
2007-06-25 16:00:00-04:00,158.8,167.3,151.0,151.4,4166
2007-06-26 16:00:00-04:00,153.4,156.2,150.1,150.6,5429
2007-06-27 16:00:00-04:00,150.1,152.5,148.5,151.0,2948
2007-06-28 16:00:00-04:00,151.5,155.0,148.9,152.0,4418
2007-06-29 16:00:00-04:00,151.9,161.0,151.9,158.31,4348
2007-07-02 16:00:00-04:00,160.0,160.0,154.1,154.1,3074
2007-07-03 16:00:00-04:00,153.8,155.8,151.6,152.5,4232
2007-07-05 16:00:00-04:00,154.3,154.3,150.0,151.2,4770
2007-07-06 16:00:00-04:00,150.0,151.2,148.0,151.0,4543
2007-07-09 16:00:00-04:00,154.4,154.4,150.0,152.0,2440
2007-07-10 16:00:00-04:00,152.0,154.6,146.3,149.7,15393
2007-07-11 16:00:00-04:00,151.5,156.7,151.5,156.4,1574
2007-07-12 16:00:00-04:00,147.0,163.5,147.0,162.2,7850
2007-07-13 16:00:00-04:00,162.6,164.655,152.1,158.0,10951
2007-07-16 16:00:00-04:00,160.0,160.0,157.2,159.2,35924
2007-07-17 16:00:00-04:00,159.9,164.1,159.62,161.0,8103
2007-07-18 16:00:00-04:00,162.1,163.9,158.0,160.0,4504
2007-07-19 16:00:00-04:00,166.2,173.0,160.2,169.1,6202
2007-07-20 16:00:00-04:00,169.5,173.3,163.5,165.7,6403
2007-07-23 16:00:00-04:00,167.1,168.7,160.0,160.1,3581
2007-07-24 16:00:00-04:00,159.3,162.7,153.4,153.5,2355
2007-07-25 16:00:00-04:00,153.2,154.0,149.5,149.6,4970
2007-07-26 16:00:00-04:00,148.5,155.8,135.1,138.7,9522
2007-07-27 16:00:00-04:00,138.5,145.5,137.6,138.9,7324
2007-07-30 16:00:00-04:00,138.5,145.5,138.3,145.3,2284
2007-07-31 16:00:00-04:00,146.8,150.0,145.6,147.5,2425
2007-08-01 16:00:00-04:00,148.7,148.7,135.3,137.0,5590
2007-08-02 16:00:00-04:00,137.0,137.5,133.3,135.5,3243
2007-08-03 16:00:00-04:00,135.7,137.7,133.6,133.6,4912
2007-08-06 16:00:00-04:00,135.7,136.2,116.3,117.4,9378
2007-08-07 16:00:00-04:00,117.5,125.3,117.5,124.9,2179
2007-08-08 16:00:00-04:00,126.0,128.9,120.8,124.7,8948
2007-08-09 16:00:00-04:00,123.6,129.5,120.0,124.5,8277
2007-08-10 16:00:00-04:00,122.7,129.7,119.9,123.59,7508
2007-08-13 16:00:00-04:00,127.4,127.4,121.6,123.5,1604
2007-08-14 16:00:00-04:00,134.0,134.0,123.0,123.9,6759
2007-08-15 16:00:00-04:00,123.9,126.1,120.8,122.26,6949
2007-08-16 16:00:00-04:00,117.9,126.0,107.2,126.0,11307
2007-08-17 16:00:00-04:00,129.3,129.3,119.0,122.3,4124
2007-08-20 16:00:00-04:00,128.0,128.0,119.0,119.0,7381
2007-08-21 16:00:00-04:00,121.3,125.3,120.1,123.7,4021
2007-08-22 16:00:00-04:00,126.0,130.0,124.9,125.1,8820
2007-08-23 16:00:00-04:00,128.7,128.7,122.8,123.0,5590
2007-08-24 16:00:00-04:00,125.0,125.0,121.5,123.1,2960
2007-08-27 16:00:00-04:00,128.2,129.2,122.2,124.6,4292
2007-08-28 16:00:00-04:00,125.0,129.1,124.1,124.2,4208
2007-08-29 16:00:00-04:00,125.2,125.5,121.5,123.5,3140
2007-08-30 16:00:00-04:00,122.2,126.6,122.2,125.0,2360
2007-08-31 16:00:00-04:00,126.6,126.62,124.399,125.0,3445
2007-09-04 16:00:00-04:00,128.1,129.4,124.8,125.8,14600
2007-09-05 16:00:00-04:00,125.6,127.1,124.9,125.5,7788
2007-09-06 16:00:00-04:00,127.3,129.9,125.2,126.7,6916
2007-09-07 16:00:00-04:00,127.9,127.9,124.2,125.2,2941
2007-09-10 16:00:00-04:00,127.5,127.5,119.1,119.49,4960
2007-09-11 16:00:00-04:00,122.5,125.1,120.0,125.1,2325
2007-09-12 16:00:00-04:00,126.0,130.0,123.6,127.1,5906
2007-09-13 16:00:00-04:00,128.1,128.1,121.1,123.97,6615
2007-09-14 16:00:00-04:00,125.0,137.6,123.0,137.2,9083
2007-09-17 16:00:00-04:00,138.3,138.3,129.0,132.7,13190
2007-09-18 16:00:00-04:00,133.0,138.2,125.0,138.2,7512
2007-09-19 16:00:00-04:00,139.4,144.9,137.2,143.8,8354
2007-09-20 16:00:00-04:00,144.9,158.2,144.9,158.2,6390
2007-09-21 16:00:00-04:00,160.0,160.4,152.3,153.6,7298
2007-09-24 16:00:00-04:00,154.4,154.4,146.0,150.3,5842
2007-09-25 16:00:00-04:00,151.6,157.8,145.0,145.0,7164
2007-09-26 16:00:00-04:00,144.9,156.8,144.9,153.0,4960
2007-09-27 16:00:00-04:00,155.7,157.8,151.4,154.2,4719
2007-09-28 16:00:00-04:00,154.7,161.0,154.4,157.2,4861
2007-10-01 16:00:00-04:00,160.0,178.8,159.08,174.21,16794
2007-10-02 16:00:00-04:00,177.1,177.5,162.2,171.7,11360
2007-10-03 16:00:00-04:00,171.0,177.5,165.0,167.3,6385
2007-10-04 16:00:00-04:00,168.1,174.5,165.3,170.801,4567
2007-10-05 16:00:00-04:00,171.2,176.1,171.2,173.2,11118
2007-10-08 16:00:00-04:00,175.4,176.8,166.4,167.0,7157
2007-10-09 16:00:00-04:00,168.2,173.2,165.6,169.8,7498
2007-10-10 16:00:00-04:00,172.1,173.2,168.1,170.4,4542
2007-10-11 16:00:00-04:00,171.7,171.7,154.4,156.6,15053
2007-10-12 16:00:00-04:00,157.6,157.6,151.2,153.6,4252
2007-10-15 16:00:00-04:00,152.1,153.9,150.0,150.2,5002
2007-10-16 16:00:00-04:00,150.0,158.1,150.0,157.5,3199
2007-10-17 16:00:00-04:00,159.1,163.2,156.0,157.8,7608
2007-10-18 16:00:00-04:00,156.3,160.5,151.6,158.8,4510
2007-10-19 16:00:00-04:00,159.4,162.9,150.5,153.9,5940
2007-10-22 16:00:00-04:00,150.8,158.0,150.2,158.0,3136
2007-10-23 16:00:00-04:00,163.7,165.5,158.1,165.0,3968
2007-10-24 16:00:00-04:00,164.8,164.8,161.1,162.8,3511
2007-10-25 16:00:00-04:00,162.6,164.6,161.1,163.0,2650
2007-10-26 16:00:00-04:00,164.6,170.0,162.1,164.8,4575
2007-10-29 16:00:00-04:00,165.6,170.4,162.1,167.9,5156
2007-10-30 16:00:00-04:00,169.9,170.2,166.6,168.3,3999
2007-10-31 16:00:00-04:00,169.5,178.4,167.5,176.3,7571
2007-11-01 16:00:00-04:00,175.9,178.4,164.1,165.9,5670
2007-11-02 16:00:00-04:00,166.4,166.4,156.901,162.2,6718
2007-11-05 16:00:00-05:00,161.0,166.6,158.1,162.3,4050
2007-11-06 16:00:00-05:00,164.5,170.0,164.5,168.6,6763
2007-11-07 16:00:00-05:00,172.3,173.3,162.6,165.0,6870
2007-11-08 16:00:00-05:00,166.3,178.8,165.501,177.0,6486
2007-11-09 16:00:00-05:00,180.0,185.0,177.001,181.7,12275
2007-11-12 16:00:00-05:00,182.5,197.5,177.5,182.56,12427
2007-11-13 16:00:00-05:00,187.9,189.9,173.7,175.9,6809
2007-11-14 16:00:00-05:00,180.0,180.0,162.1,166.0,6073
2007-11-15 16:00:00-05:00,162.2,165.7,155.2,157.6,9341
2007-11-16 16:00:00-05:00,157.2,160.0,155.0,159.8,5359
2007-11-19 16:00:00-05:00,157.0,157.0,152.5,155.8,4331
2007-11-20 16:00:00-05:00,154.9,155.0,132.0,137.4,26533
2007-11-21 16:00:00-05:00,137.8,140.0,125.2,127.7,12829
2007-11-23 16:00:00-05:00,127.9,131.0,125.5,127.8,3838
2007-11-26 16:00:00-05:00,125.0,129.9,125.0,127.7,8298
2007-11-27 16:00:00-05:00,130.4,137.8,127.8,131.4,5219
2007-11-28 16:00:00-05:00,131.7,142.4,131.4,139.9,8191
2007-11-29 16:00:00-05:00,140.5,146.5,140.0,145.1,5563
2007-11-30 16:00:00-05:00,149.4,153.7,140.0,145.1,19961
2007-12-03 16:00:00-05:00,147.3,149.9,133.3,138.4,6369
2007-12-04 16:00:00-05:00,140.7,142.5,137.3,140.1,2168
2007-12-05 16:00:00-05:00,143.5,145.2,134.8,136.3,9706
2007-12-06 16:00:00-05:00,134.6,140.6,127.7,140.0,8868
2007-12-07 16:00:00-05:00,139.9,142.5,132.86,133.6,3613
2007-12-10 16:00:00-05:00,135.0,136.5,130.0,134.732,3026
2007-12-11 16:00:00-05:00,135.0,138.8,130.0,130.0,4641
2007-12-12 16:00:00-05:00,134.9,135.9,123.3,125.0,6036
2007-12-13 16:00:00-05:00,126.1,126.1,121.2,125.0,9230
2007-12-14 16:00:00-05:00,122.6,125.0,121.4,123.5,13328
2007-12-17 16:00:00-05:00,120.8,127.8,120.799,126.0,10912
2007-12-18 16:00:00-05:00,126.2,127.999,119.0,121.7,6507
2007-12-19 16:00:00-05:00,121.0,124.3,119.9,123.8,3998
2007-12-20 16:00:00-05:00,125.0,125.0,120.5,120.6,4352
2007-12-21 16:00:00-05:00,123.8,124.7,115.9,123.2,10176
2007-12-24 16:00:00-05:00,122.5,122.5,118.32,120.0,3116
2007-12-26 16:00:00-05:00,120.0,140.0,118.5,137.8,15223
2007-12-27 16:00:00-05:00,138.1,169.3,138.1,169.0,63215
2007-12-28 16:00:00-05:00,169.5,170.0,157.6,164.0,42523
2007-12-31 16:00:00-05:00,168.4,170.8,159.4,162.3,6294
2008-01-02 16:00:00-05:00,162.3,162.899,155.2,156.4,5825
2008-01-03 16:00:00-05:00,158.6,162.9,157.5,158.4,5878
2008-01-04 16:00:00-05:00,162.0,162.4,138.9,140.0,11725
2008-01-07 16:00:00-05:00,143.6,149.5,131.3,133.3,13747
2008-01-08 16:00:00-05:00,133.1,136.699,130.0,132.8,9918
2008-01-09 16:00:00-05:00,132.0,148.6,127.2,147.2,13802
2008-01-10 16:00:00-05:00,145.0,145.0,134.3,144.3,11141
2008-01-11 16:00:00-05:00,145.8,146.5,136.0,140.2,7793
2008-01-14 16:00:00-05:00,141.8,142.1,134.2,135.0,5252
2008-01-15 16:00:00-05:00,133.1,137.8,127.5,128.0,5822
2008-01-16 16:00:00-05:00,125.5,129.2,119.5,128.0,8344
2008-01-17 16:00:00-05:00,127.8,128.5,118.5,119.4,9502
2008-01-18 16:00:00-05:00,118.9,123.399,116.0,116.7,7067
2008-01-22 16:00:00-05:00,112.7,121.399,100.8,118.3,14506
2008-01-23 16:00:00-05:00,118.1,121.5,109.9,115.0,9249
2008-01-24 16:00:00-05:00,117.5,125.0,106.401,123.1,12139
2008-01-25 16:00:00-05:00,125.0,125.8,113.9,125.2,13109
2008-01-28 16:00:00-05:00,124.4,127.0,121.6,126.001,4792
2008-01-29 16:00:00-05:00,126.0,134.9,125.6,134.06,5919
2008-01-30 16:00:00-05:00,132.7,139.2,132.0,134.6,13973
2008-01-31 16:00:00-05:00,132.4,135.1,129.2,133.6,4745
2008-02-01 16:00:00-05:00,134.8,134.9,130.0,132.9,7142
2008-02-04 16:00:00-05:00,132.5,137.5,130.6,135.3,2819
2008-02-05 16:00:00-05:00,132.9,138.4,129.9,134.3,5697
2008-02-06 16:00:00-05:00,132.9,134.28,127.8,129.1,6427
2008-02-07 16:00:00-05:00,128.0,128.0,120.9,125.5,4268
2008-02-08 16:00:00-05:00,125.7,132.0,123.8,123.9,4488
2008-02-11 16:00:00-05:00,123.6,132.7,122.1,131.8,4066
2008-02-12 16:00:00-05:00,133.0,134.0,126.3,129.4,1888
2008-02-13 16:00:00-05:00,129.8,141.9,128.2,141.4,10170
2008-02-14 16:00:00-05:00,140.1,140.1,131.0,134.7,1597
2008-02-15 16:00:00-05:00,133.3,143.3,126.6,133.6,2918
2008-02-19 16:00:00-05:00,135.3,142.9,133.8,133.9,6630
2008-02-20 16:00:00-05:00,132.5,140.0,132.5,137.4,2655
2008-02-21 16:00:00-05:00,138.7,140.5,131.0,132.3,2589
2008-02-22 16:00:00-05:00,132.0,133.896,129.3,129.3,2154
2008-02-25 16:00:00-05:00,130.8,134.9,130.8,132.5,2115
2008-02-26 16:00:00-05:00,132.5,136.0,131.5,133.6,1491
2008-02-27 16:00:00-05:00,131.8,132.9,128.7,128.9,1236
2008-02-28 16:00:00-05:00,128.7,131.6,128.0,130.2,1712
2008-02-29 16:00:00-05:00,128.0,129.2,122.9,124.8,2761
2008-03-03 16:00:00-05:00,124.3,128.2,121.0,127.3,3531
2008-03-04 16:00:00-05:00,127.2,128.0,121.9,126.3,3476
2008-03-05 16:00:00-05:00,127.4,130.3,122.3,123.186,2831
2008-03-06 16:00:00-05:00,123.0,126.9,122.0,125.5,2622
2008-03-07 16:00:00-05:00,126.668,130.1,120.7,125.0,2557
2008-03-10 16:00:00-04:00,125.9,127.1,111.4,117.1,5515
2008-03-11 16:00:00-04:00,117.4,120.0,115.0,119.8,3334
2008-03-12 16:00:00-04:00,120.2,128.275,118.5,124.6,3514
2008-03-13 16:00:00-04:00,121.5,124.2,117.6,124.2,4927
2008-03-14 16:00:00-04:00,127.5,127.5,118.1,126.0,3628
2008-03-17 16:00:00-04:00,122.8,125.0,110.0,121.7,9718
2008-03-18 16:00:00-04:00,119.8,124.1,110.0,114.3,5490
2008-03-19 16:00:00-04:00,113.2,119.6,113.2,119.5,7962
2008-03-20 16:00:00-04:00,117.2,121.9,115.0,120.5,5031
2008-03-24 16:00:00-04:00,123.4,127.2,120.1,125.7,3285
2008-03-25 16:00:00-04:00,124.4,130.0,123.5,123.8,5845
2008-03-26 16:00:00-04:00,125.5,131.5,122.3,126.3,4218
2008-03-27 16:00:00-04:00,128.4,132.4,125.5,130.0,8075
2008-03-28 16:00:00-04:00,132.3,136.8,126.2,126.2,11504
2008-03-31 16:00:00-04:00,125.3,127.9,121.3,122.2,3332
2008-04-01 16:00:00-04:00,125.0,125.0,119.1,121.9,2872
2008-04-02 16:00:00-04:00,123.8,126.3,118.4,124.4,1767
2008-04-03 16:00:00-04:00,123.3,127.2,123.3,126.1,1640
2008-04-04 16:00:00-04:00,126.4,126.4,120.0,121.0,2469
2008-04-07 16:00:00-04:00,117.7,119.0,113.4,115.6,8657
2008-04-08 16:00:00-04:00,115.0,115.0,114.0,114.3,1827
2008-04-09 16:00:00-04:00,113.3,114.5,110.0,111.5,8563
2008-04-10 16:00:00-04:00,112.8,112.8,111.2,112.0,2636
2008-04-11 16:00:00-04:00,112.0,112.0,109.1,112.0,3612
2008-04-14 16:00:00-04:00,110.1,110.499,108.5,108.5,6948
2008-04-15 16:00:00-04:00,108.0,110.0,105.2,106.8,4748
2008-04-16 16:00:00-04:00,105.0,108.5,105.0,106.0,3078
2008-04-17 16:00:00-04:00,106.9,109.0,104.0,107.0,4877
2008-04-18 16:00:00-04:00,109.6,110.3,105.0,107.9,6726
2008-04-21 16:00:00-04:00,109.0,109.0,105.1,108.4,4756
2008-04-22 16:00:00-04:00,109.6,109.6,103.4,105.2,6321
2008-04-23 16:00:00-04:00,107.6,107.6,102.9,103.1,3741
2008-04-24 16:00:00-04:00,102.9,103.4,98.0,100.0,4693
2008-04-25 16:00:00-04:00,99.2,101.5,97.5,99.0,2781
2008-04-28 16:00:00-04:00,98.0,101.3,96.7,99.88,7163
2008-04-29 16:00:00-04:00,100.5,101.4,97.0,99.7,1289
2008-04-30 16:00:00-04:00,100.0,100.499,97.3,97.3,3011
2008-05-01 16:00:00-04:00,97.0,99.1,91.9,91.9,3770
2008-05-02 16:00:00-04:00,91.1,92.2,90.1,90.5,2704
2008-05-05 16:00:00-04:00,90.5,95.58,87.6,89.4,8726
2008-05-06 16:00:00-04:00,90.3,90.3,85.6,85.9,10415
2008-05-07 16:00:00-04:00,85.6,86.5,82.0,86.0,8831
2008-05-08 16:00:00-04:00,85.2,85.999,81.0,82.3,8124
2008-05-09 16:00:00-04:00,81.5,81.7,79.2,79.5,8800
2008-05-12 16:00:00-04:00,80.0,80.5,78.5,78.7,8029
2008-05-13 16:00:00-04:00,78.2,83.0,78.2,82.4,12422
2008-05-14 16:00:00-04:00,82.5,83.0,79.9,81.7,7606
2008-05-15 16:00:00-04:00,82.4,89.8,82.4,89.499,12002
2008-05-16 16:00:00-04:00,92.5,99.5,90.1,99.4,12220
2008-05-19 16:00:00-04:00,119.7,124.4,112.1,115.6,40422
2008-05-20 16:00:00-04:00,115.6,116.099,105.3,108.3,13800
2008-05-21 16:00:00-04:00,110.4,113.6,103.0,105.1,8743
2008-05-22 16:00:00-04:00,106.9,106.999,95.0,97.8,13002
2008-05-23 16:00:00-04:00,96.9,97.7,92.8,93.4,10387
2008-05-27 16:00:00-04:00,93.2,96.499,92.2,94.2,5880
2008-05-28 16:00:00-04:00,94.0,94.1,89.5,90.8,6012
2008-05-29 16:00:00-04:00,91.9,99.0,91.8,99.0,6543
2008-05-30 16:00:00-04:00,100.0,101.6,91.2,91.2,6698
2008-06-02 16:00:00-04:00,92.1,104.5,91.4,103.4,11799
2008-06-03 16:00:00-04:00,105.2,107.2,100.2,103.7,14212
2008-06-04 16:00:00-04:00,103.7,105.0,98.35,99.7,4165
2008-06-05 16:00:00-04:00,98.4,101.3,95.0,99.8,2660
2008-06-06 16:00:00-04:00,102.7,107.099,97.7,99.1,4532
2008-06-09 16:00:00-04:00,98.7,104.2,97.0,97.5,3310
2008-06-10 16:00:00-04:00,100.5,100.5,96.2,100.4,2043
2008-06-11 16:00:00-04:00,101.1,102.5,99.0,99.9,3437
2008-06-12 16:00:00-04:00,99.5,99.5,95.9,96.4,2521
2008-06-13 16:00:00-04:00,98.0,100.8,97.74,100.4,4200
2008-06-16 16:00:00-04:00,99.8,102.2,98.2,101.5,1990
2008-06-17 16:00:00-04:00,102.5,104.9,101.5,103.9,2793
2008-06-18 16:00:00-04:00,103.2,103.2,101.7,102.4,1122
2008-06-19 16:00:00-04:00,102.9,102.9,99.2,99.8,3318
2008-06-20 16:00:00-04:00,100.9,101.1,95.0,95.2,2743
2008-06-23 16:00:00-04:00,96.3,100.2,96.2,98.0,2715
2008-06-24 16:00:00-04:00,98.4,98.4,93.0,93.6,2958
2008-06-25 16:00:00-04:00,95.0,96.0,90.5,91.0,2927
2008-06-26 16:00:00-04:00,92.0,104.0,91.52,99.9,14862
