,Open,High,Low,Close,Volume
2002-11-12 16:00:00-05:00,7.75,8.75,7.75,8.5,4200
2002-11-13 16:00:00-05:00,8.1,8.1,7.4,7.55,14300
2002-11-14 16:00:00-05:00,7.5,7.5,7.5,7.5,2000
2002-11-15 16:00:00-05:00,7.5,7.7,7.25,7.7,1200
2002-11-18 16:00:00-05:00,7.2,7.2,7.2,7.2,100
2002-11-19 16:00:00-05:00,0.0,0.0,0.0,7.2,0
2002-11-20 16:00:00-05:00,0.0,0.0,0.0,7.2,0
2002-11-21 16:00:00-05:00,0.0,0.0,0.0,7.2,0
2002-11-22 16:00:00-05:00,0.0,0.0,0.0,7.2,0
2002-11-25 16:00:00-05:00,0.0,0.0,0.0,7.2,0
2002-11-26 16:00:00-05:00,0.0,0.0,0.0,7.2,0
2002-11-27 16:00:00-05:00,6.7,6.7,5.8,6.5,3000
2002-11-29 16:00:00-05:00,0.0,0.0,0.0,6.5,0
2002-12-02 16:00:00-05:00,6.05,6.5,5.8,6.5,8200
2002-12-03 16:00:00-05:00,6.24,6.25,6.24,6.25,1700
2002-12-04 16:00:00-05:00,0.0,0.0,0.0,6.25,0
2002-12-05 16:00:00-05:00,6.0,6.0,6.0,6.0,300
2002-12-06 16:00:00-05:00,6.0,6.0,6.0,6.0,400
2002-12-09 16:00:00-05:00,0.0,0.0,0.0,6.0,0
2002-12-10 16:00:00-05:00,5.45,5.499,4.5,4.9,2200
2002-12-11 16:00:00-05:00,4.65,4.65,4.65,4.65,200
2002-12-12 16:00:00-05:00,5.29,5.29,5.29,5.29,1800
2002-12-13 16:00:00-05:00,5.5,5.5,5.5,5.5,300
2002-12-16 16:00:00-05:00,5.75,6.15,5.75,6.15,2500
2002-12-17 16:00:00-05:00,5.77,5.77,5.0,5.0,1200
2002-12-18 16:00:00-05:00,5.34,5.34,5.09,5.21,300
2002-12-19 16:00:00-05:00,5.25,5.25,5.25,5.25,100
2002-12-20 16:00:00-05:00,5.25,5.25,5.25,5.25,800
2002-12-23 16:00:00-05:00,0.0,0.0,0.0,5.25,0
2002-12-24 16:00:00-05:00,0.0,0.0,0.0,5.25,0
2002-12-26 16:00:00-05:00,0.0,0.0,0.0,5.25,0
2002-12-27 16:00:00-05:00,0.0,0.0,0.0,5.25,0
2002-12-30 16:00:00-05:00,0.0,0.0,0.0,5.25,0
2002-12-31 16:00:00-05:00,4.5,4.76,4.4,4.76,900
2003-01-02 16:00:00-05:00,0.0,0.0,0.0,4.76,0
2003-01-03 16:00:00-05:00,0.0,0.0,0.0,4.76,0
2003-01-06 16:00:00-05:00,0.0,0.0,0.0,4.76,0
2003-01-07 16:00:00-05:00,0.0,0.0,0.0,4.76,0
2003-01-08 16:00:00-05:00,0.0,0.0,0.0,4.76,0
2003-01-09 16:00:00-05:00,4.4,5.0,3.75,5.0,7200
2003-01-10 16:00:00-05:00,5.0,5.06,5.0,5.0,4900
2003-01-13 16:00:00-05:00,0.0,0.0,0.0,5.0,0
2003-01-14 16:00:00-05:00,5.0,5.0,5.0,5.0,1000
2003-01-15 16:00:00-05:00,5.0,5.0,5.0,5.0,1200
2003-01-16 16:00:00-05:00,5.0,5.0,5.0,5.0,1400
2003-01-17 16:00:00-05:00,0.0,0.0,0.0,5.0,0
2003-01-21 16:00:00-05:00,0.0,0.0,0.0,5.0,0
2003-01-22 16:00:00-05:00,0.0,0.0,0.0,5.0,0
2003-01-23 16:00:00-05:00,4.98,4.98,4.98,4.98,100
2003-01-24 16:00:00-05:00,4.92,4.92,4.92,4.92,100
2003-01-27 16:00:00-05:00,0.0,0.0,0.0,4.92,0
2003-01-28 16:00:00-05:00,0.0,0.0,0.0,4.92,0
2003-01-29 16:00:00-05:00,4.9,4.9,4.65,4.9,1400
2003-01-30 16:00:00-05:00,4.85,4.85,4.6,4.6,200
2003-01-31 16:00:00-05:00,0.0,0.0,0.0,4.6,0
2003-02-03 16:00:00-05:00,0.0,0.0,0.0,4.6,0
2003-02-04 16:00:00-05:00,4.73,4.96,4.73,4.96,300
2003-02-05 16:00:00-05:00,5.12,5.12,4.1,4.25,2100
2003-02-06 16:00:00-05:00,0.0,0.0,0.0,4.25,0
2003-02-07 16:00:00-05:00,0.0,0.0,0.0,4.25,0
2003-02-10 16:00:00-05:00,0.0,0.0,0.0,4.25,0
2003-02-11 16:00:00-05:00,5.03,5.03,5.03,5.03,100
2003-02-12 16:00:00-05:00,0.0,0.0,0.0,5.03,0
2003-02-13 16:00:00-05:00,0.0,0.0,0.0,5.03,0
2003-02-14 16:00:00-05:00,0.0,0.0,0.0,5.03,0
2003-02-18 16:00:00-05:00,0.0,0.0,0.0,5.03,0
2003-02-19 16:00:00-05:00,0.0,0.0,0.0,5.03,0
2003-02-20 16:00:00-05:00,0.0,0.0,0.0,5.03,0
2003-02-21 16:00:00-05:00,0.0,0.0,0.0,5.03,0
2003-02-24 16:00:00-05:00,0.0,0.0,0.0,5.03,0
2003-02-25 16:00:00-05:00,0.0,0.0,0.0,5.03,0
