,Open,High,Low,Close,Volume
2014-03-13 16:00:00-04:00,116.8,126.88,112.0,112.32,162787
2014-03-14 16:00:00-04:00,113.6,113.68,104.16,107.2,23727
2014-03-17 16:00:00-04:00,106.16,112.0,102.08,107.2,9585
2014-03-18 16:00:00-04:00,107.04,107.2,100.0,103.84,15580
2014-03-19 16:00:00-04:00,102.48,104.4,100.0,100.72,7221
2014-03-20 16:00:00-04:00,100.08,100.72,91.04,92.4,20386
2014-03-21 16:00:00-04:00,94.0,94.8,86.4,86.8,11234
2014-03-24 16:00:00-04:00,86.8,88.0,78.16,79.6,8096
2014-03-25 16:00:00-04:00,80.0,84.7992,77.6,80.4,14741
2014-03-26 16:00:00-04:00,82.8,83.5192,78.8,80.24,5896
2014-03-27 16:00:00-04:00,81.6,82.64,78.0,80.16,10059
2014-03-28 16:00:00-04:00,79.76,82.68,79.12,80.0,9053
2014-03-31 16:00:00-04:00,81.04,81.04,79.6,80.64,2907
2014-04-01 16:00:00-04:00,80.8,84.8,80.7992,83.28,3070
2014-04-02 16:00:00-04:00,85.44,88.0,84.08,85.76,4196
2014-04-03 16:00:00-04:00,85.2,85.28,78.4024,78.8,4537
2014-04-04 16:00:00-04:00,78.8,78.8,68.56,73.28,8058
2014-04-07 16:00:00-04:00,77.6,78.0,65.616,71.2,12808
2014-04-08 16:00:00-04:00,70.64,72.24,68.88,71.52,5386
2014-04-09 16:00:00-04:00,71.2,84.32,70.32,83.2,10720
2014-04-10 16:00:00-04:00,81.76,86.4,72.4008,83.2,11518
2014-04-11 16:00:00-04:00,83.36,84.64,73.76,80.08,2654
2014-04-14 16:00:00-04:00,80.0,81.6,78.4,79.44,2095
2014-04-15 16:00:00-04:00,78.56,80.0,73.44,76.16,2978
2014-04-16 16:00:00-04:00,72.36,76.12,72.36,73.2,1839
2014-04-17 16:00:00-04:00,75.84,76.8,74.08,74.24,986
2014-04-21 16:00:00-04:00,75.28,86.88,75.28,77.6,1752
2014-04-22 16:00:00-04:00,77.04,86.72,77.04,83.12,7681
2014-04-23 16:00:00-04:00,83.2,87.6,81.68,83.28,13552
2014-04-24 16:00:00-04:00,84.8,87.04,78.4,79.6,7824
2014-04-25 16:00:00-04:00,80.112,80.8,77.2,77.2,1145
2014-04-28 16:00:00-04:00,79.76,79.84,74.0,78.8,4166
2014-04-29 16:00:00-04:00,77.76,80.0,73.86,75.52,5406
2014-04-30 16:00:00-04:00,74.96,78.0,73.52,78.0,1772
2014-05-01 16:00:00-04:00,78.56,78.56,76.0,78.4,441
2014-05-02 16:00:00-04:00,78.8,79.6,74.4,79.408,346
2014-05-05 16:00:00-04:00,79.76,82.0,76.2,82.0,1140
2014-05-06 16:00:00-04:00,76.88,79.92,76.88,79.92,177
2014-05-07 16:00:00-04:00,79.92,80.64,79.92,80.32,1271
2014-05-08 16:00:00-04:00,79.92,82.0,76.2408,79.84,1924
2014-05-09 16:00:00-04:00,79.36,79.36,75.2,79.36,1186
2014-05-12 16:00:00-04:00,78.8,78.8,73.28,77.76,2438
2014-05-13 16:00:00-04:00,74.8,81.9192,74.8,80.8,2456
2014-05-14 16:00:00-04:00,79.92,79.92,74.0,76.4,1029
2014-05-15 16:00:00-04:00,76.508,76.508,64.0,70.88,7031
2014-05-16 16:00:00-04:00,72.0,74.0,72.0,73.2,554
2014-05-19 16:00:00-04:00,75.04,75.04,72.08,72.08,306
2014-05-20 16:00:00-04:00,72.88,75.12,71.2,72.0,1704
2014-05-21 16:00:00-04:00,72.0,72.72,71.2,71.2,2113
2014-05-22 16:00:00-04:00,71.92,72.0,64.32,68.88,2217
2014-05-23 16:00:00-04:00,68.0,74.0,68.0,70.8,1993
2014-05-27 16:00:00-04:00,64.0008,72.0,64.0008,71.2,657
2014-05-28 16:00:00-04:00,71.92,76.32,69.68,71.6,6455
2014-05-29 16:00:00-04:00,72.0,76.4,72.0,75.2,1781
2014-05-30 16:00:00-04:00,76.8,78.8,68.88,73.44,1458
2014-06-02 16:00:00-04:00,74.64,74.64,71.84,73.52,930
2014-06-03 16:00:00-04:00,72.48,76.96,70.8,76.96,598
2014-06-04 16:00:00-04:00,76.08,76.08,71.2808,73.76,1466
2014-06-05 16:00:00-04:00,72.72,75.6,72.72,73.84,375
2014-06-06 16:00:00-04:00,74.0,75.04,72.0,72.08,1433
2014-06-09 16:00:00-04:00,75.2,75.2,73.2,74.96,1152
2014-06-10 16:00:00-04:00,75.04,75.2,74.32,75.2,1740
2014-06-11 16:00:00-04:00,72.96,79.92,72.96,79.84,1850
2014-06-12 16:00:00-04:00,81.52,85.76,80.4,85.76,3486
2014-06-13 16:00:00-04:00,87.6,91.2,84.24,89.2,4330
2014-06-16 16:00:00-04:00,87.04,89.8,81.84,85.52,3173
