,Open,High,Low,Close,Volume
2004-11-17 16:00:00-05:00,4.78,4.78,4.78,4.78,30000
2004-11-18 16:00:00-05:00,4.75,4.75,4.75,4.75,5000
2004-11-19 16:00:00-05:00,4.8,4.8,4.8,4.8,5000
2004-11-22 16:00:00-05:00,0.0,0.0,0.0,4.8,0
2004-11-23 16:00:00-05:00,4.75,4.75,4.75,4.75,6400
2004-11-24 16:00:00-05:00,4.77,4.77,4.75,4.77,8500
2004-11-26 16:00:00-05:00,0.0,0.0,0.0,4.77,0
2004-11-29 16:00:00-05:00,0.0,0.0,0.0,4.77,0
2004-11-30 16:00:00-05:00,0.0,0.0,0.0,4.77,0
2004-12-01 16:00:00-05:00,0.0,0.0,0.0,4.77,0
2004-12-02 16:00:00-05:00,0.0,0.0,0.0,4.77,0
2004-12-03 16:00:00-05:00,0.0,0.0,0.0,4.77,0
2004-12-06 16:00:00-05:00,0.0,0.0,0.0,4.77,0
2004-12-07 16:00:00-05:00,0.0,0.0,0.0,4.77,0
2004-12-08 16:00:00-05:00,0.0,0.0,0.0,4.77,0
2004-12-09 16:00:00-05:00,0.0,0.0,0.0,4.77,0
2004-12-10 16:00:00-05:00,4.82,4.82,4.82,4.82,1000
2004-12-13 16:00:00-05:00,4.8,4.8,4.8,4.8,22500
2004-12-14 16:00:00-05:00,4.8,4.8,4.8,4.8,22500
2004-12-15 16:00:00-05:00,4.9,4.9,4.9,4.9,500
2004-12-16 16:00:00-05:00,0.0,0.0,0.0,4.9,0
2004-12-17 16:00:00-05:00,4.85,4.85,4.85,4.85,1500
2004-12-20 16:00:00-05:00,4.85,4.85,4.85,4.85,1000
2004-12-21 16:00:00-05:00,0.0,0.0,0.0,4.85,0
2004-12-22 16:00:00-05:00,4.95,4.95,4.95,4.95,90000
2004-12-23 16:00:00-05:00,0.0,0.0,0.0,4.95,0
2004-12-27 16:00:00-05:00,4.9,4.9,4.9,4.9,5000
2004-12-28 16:00:00-05:00,4.95,5.1,4.95,5.1,23700
2004-12-29 16:00:00-05:00,5.1,5.1,5.1,5.1,4000
