,Open,High,Low,Close,Volume
2009-07-02 16:00:00-04:00,0.15,0.15,0.15,0.15,100
2009-07-06 16:00:00-04:00,0.15,0.15,0.15,0.15,3000
2009-07-07 16:00:00-04:00,0.15,0.15,0.15,0.15,5407
2009-07-08 16:00:00-04:00,0.15,0.15,0.15,0.15,3989
2009-07-09 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-07-10 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-07-13 16:00:00-04:00,0.15,0.15,0.15,0.15,100
2009-07-14 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-07-15 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-07-16 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-07-17 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-07-20 16:00:00-04:00,0.15,0.15,0.15,0.15,500
2009-07-21 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-07-22 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-07-23 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-07-24 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-07-27 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-07-28 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-07-29 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-07-30 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-07-31 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-08-03 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-08-04 16:00:00-04:00,0.15,0.15,0.15,0.15,2230
2009-08-05 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-08-06 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-08-07 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-08-10 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-08-12 16:00:00-04:00,0.15,0.15,0.15,0.15,500
2009-08-13 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-08-14 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-08-17 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-08-18 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-08-19 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-08-20 16:00:00-04:00,0.15,0.15,0.15,0.15,328
2009-08-21 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-08-24 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-08-25 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-08-26 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-08-27 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-08-28 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-08-31 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-09-01 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-09-02 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-09-03 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-09-04 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-09-08 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-09-09 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-09-10 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-09-11 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-09-14 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-09-15 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-09-16 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-09-17 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-09-18 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-09-21 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-09-22 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-09-23 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-09-24 16:00:00-04:00,0.15,0.15,0.15,0.15,1840
2009-09-25 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-09-28 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-09-29 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-09-30 16:00:00-04:00,0.15,0.15,0.15,0.15,500
2009-10-01 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-10-02 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-10-05 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-10-06 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-10-07 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-10-08 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-10-09 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-10-12 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-10-13 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-10-14 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-10-15 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-10-16 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-10-19 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-10-20 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-10-21 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-10-22 16:00:00-04:00,0.15,0.15,0.15,0.15,2381
2009-10-23 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-10-26 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-10-27 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-10-28 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-10-29 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-10-30 16:00:00-04:00,0.0,0.0,0.0,0.15,0
2009-11-02 16:00:00-05:00,0.0,0.0,0.0,0.15,0
2009-11-03 16:00:00-05:00,0.0,0.0,0.0,0.15,0
2009-11-04 16:00:00-05:00,0.0,0.0,0.0,0.15,0
2009-11-05 16:00:00-05:00,0.0,0.0,0.0,0.15,0
2009-11-06 16:00:00-05:00,0.0,0.0,0.0,0.15,0
2009-11-09 16:00:00-05:00,0.0,0.0,0.0,0.15,0
2009-11-10 16:00:00-05:00,0.0,0.0,0.0,0.15,0
