,Open,High,Low,Close,Volume
2014-07-15 16:00:00-04:00,11.66,12.73,11.63,12.03,1086169
2014-07-16 16:00:00-04:00,12.0,12.35,12.0,12.0,110648
2014-07-17 16:00:00-04:00,12.0,12.19,11.9,11.9,81523
2014-07-18 16:00:00-04:00,11.8607,12.05,11.75,11.93,106032
2014-07-21 16:00:00-04:00,11.85,11.965,11.83,11.9,121181
2014-07-22 16:00:00-04:00,11.87,11.95,11.86,11.9001,78665
2014-07-23 16:00:00-04:00,11.95,11.95,11.8998,11.92,65205
2014-07-24 16:00:00-04:00,11.9,11.94,11.85,11.86,48356
2014-07-25 16:00:00-04:00,11.95,11.95,11.86,11.91,74628
2014-07-28 16:00:00-04:00,11.87,11.96,11.87,11.91,22240
2014-07-29 16:00:00-04:00,11.9,11.94,11.9,11.92,27138
2014-07-30 16:00:00-04:00,11.92,11.94,11.915,11.93,16896
2014-07-31 16:00:00-04:00,11.93,11.94,11.9,11.92,36943
2014-08-01 16:00:00-04:00,11.92,11.95,11.9,11.92,16329
2014-08-04 16:00:00-04:00,11.95,11.95,11.9,11.92,31290
2014-08-05 16:00:00-04:00,11.9279,11.9279,11.9,11.9099,26250
2014-08-06 16:00:00-04:00,11.93,11.93,11.85,11.88,35200
2014-08-07 16:00:00-04:00,11.88,11.93,11.88,11.9,6747
2014-08-08 16:00:00-04:00,11.85,11.91,11.85,11.86,2999
2014-08-11 16:00:00-04:00,11.87,11.9,11.87,11.89,53852
2014-08-12 16:00:00-04:00,11.89,11.92,11.88,11.92,23210
2014-08-13 16:00:00-04:00,11.9,11.93,11.899,11.93,12230
2014-08-14 16:00:00-04:00,11.92,11.95,11.86,11.93,38048
2014-08-15 16:00:00-04:00,11.9096,11.9096,11.88,11.882,16735
2014-08-18 16:00:00-04:00,11.8601,11.9,11.86,11.889,14353
2014-08-20 16:00:00-04:00,11.8899,11.9,11.88,11.8818,7527
2014-08-21 16:00:00-04:00,11.9,11.9,11.88,11.8899,6100
2014-08-22 16:00:00-04:00,11.87,11.88,11.86,11.87,25011
2014-08-25 16:00:00-04:00,11.87,11.871,11.87,11.87,5734
2014-08-26 16:00:00-04:00,11.87,11.87,11.81,11.8599,7035
2014-08-27 16:00:00-04:00,11.86,11.87,11.85,11.85,9694
2014-08-28 16:00:00-04:00,11.86,11.9,11.86,11.89,1211
2014-08-29 16:00:00-04:00,11.87,11.88,11.8,11.85,12829
2014-09-02 16:00:00-04:00,11.85,11.8573,11.85,11.85,6628
2014-09-03 16:00:00-04:00,11.8442,11.85,11.8,11.85,6495
2014-09-04 16:00:00-04:00,11.8,11.8,11.79,11.79,2191
2014-09-05 16:00:00-04:00,11.88,11.88,11.83,11.87,7635
2014-09-08 16:00:00-04:00,11.8,11.96,11.8,11.96,18722
2014-09-09 16:00:00-04:00,11.94,11.96,11.9,11.95,24206
2014-09-10 16:00:00-04:00,11.96,12.1,11.96,12.1,20665
2014-09-11 16:00:00-04:00,12.09,12.45,12.09,12.33,20528
2014-09-12 16:00:00-04:00,12.35,12.49,12.33,12.49,6524
2014-09-15 16:00:00-04:00,12.1,12.5,12.0,12.5,13584
2014-09-16 16:00:00-04:00,11.47,12.24,11.47,12.13,7192
2014-09-17 16:00:00-04:00,12.21,12.27,12.02,12.09,8851
2014-09-18 16:00:00-04:00,12.11,12.24,12.0,12.04,6598
2014-09-19 16:00:00-04:00,12.05,12.22,11.5,11.67,77536
2014-09-22 16:00:00-04:00,11.77,12.08,11.76,11.85,36870
2014-09-23 16:00:00-04:00,12.0,12.0,11.9384,11.9384,532
2014-09-26 16:00:00-04:00,11.9001,11.97,11.73,11.82,9956
2014-09-29 16:00:00-04:00,11.81,11.98,11.8,11.87,9129
2014-09-30 16:00:00-04:00,11.85,11.88,11.81,11.85,31192
2014-10-01 16:00:00-04:00,11.85,11.87,11.8,11.81,6204
2014-10-02 16:00:00-04:00,11.81,11.835,11.8,11.8,3510
2014-10-03 16:00:00-04:00,11.72,11.98,11.72,11.98,3996
2014-10-06 16:00:00-04:00,11.85,12.0,11.85,11.97,3801
2014-10-07 16:00:00-04:00,11.86,11.98,11.85,11.93,4400
