,Open,High,Low,Close,Volume
1994-02-09 16:00:00-05:00,0.0,8.25,7.25,8.0,330200
1994-02-10 16:00:00-05:00,0.0,8.0,7.625,7.75,93500
1994-02-11 16:00:00-05:00,0.0,8.0,7.75,7.8125,3700
1994-02-14 16:00:00-05:00,0.0,8.0,7.75,7.875,48600
1994-02-15 16:00:00-05:00,0.0,8.25,7.75,8.25,70200
1994-02-16 16:00:00-05:00,0.0,8.25,7.875,8.0,94500
1994-02-17 16:00:00-05:00,0.0,8.25,7.75,7.75,44200
1994-02-18 16:00:00-05:00,0.0,8.0,7.5,7.5,41000
1994-02-22 16:00:00-05:00,0.0,8.0,7.5,7.5,22400
1994-02-23 16:00:00-05:00,0.0,7.875,7.5,7.5,34800
1994-02-24 16:00:00-05:00,0.0,7.75,7.25,7.75,14300
1994-02-25 16:00:00-05:00,0.0,7.75,7.25,7.25,13400
1994-02-28 16:00:00-05:00,0.0,7.75,7.25,7.25,22900
1994-03-01 16:00:00-05:00,0.0,8.0,7.25,7.75,24300
1994-03-02 16:00:00-05:00,0.0,8.25,7.5,7.875,35100
1994-03-03 16:00:00-05:00,0.0,8.125,7.75,8.0938,45700
1994-03-04 16:00:00-05:00,0.0,8.25,8.0,8.125,36100
1994-03-07 16:00:00-05:00,0.0,8.5,8.0,8.0,19700
1994-03-08 16:00:00-05:00,0.0,8.5,7.875,8.5,113400
1994-03-09 16:00:00-05:00,0.0,8.5,8.0,8.25,45700
1994-03-10 16:00:00-05:00,0.0,8.5,8.25,8.25,13500
1994-03-11 16:00:00-05:00,0.0,8.5,8.25,8.25,36800
1994-03-14 16:00:00-05:00,0.0,8.5,7.75,7.75,22600
1994-03-15 16:00:00-05:00,0.0,8.625,7.75,7.875,21700
1994-03-16 16:00:00-05:00,0.0,8.625,7.875,8.625,71300
1994-03-17 16:00:00-05:00,0.0,8.625,8.0,8.5,54200
1994-03-18 16:00:00-05:00,0.0,8.5,7.75,8.5,40300
1994-03-21 16:00:00-05:00,0.0,8.5,8.5,8.5,300
1994-03-22 16:00:00-05:00,0.0,8.0,7.75,7.8125,50300
1994-03-23 16:00:00-05:00,0.0,8.5,7.75,7.8125,60500
1994-03-24 16:00:00-05:00,0.0,8.25,7.75,7.75,17100
1994-03-25 16:00:00-05:00,0.0,8.25,7.75,8.25,135300
1994-03-28 16:00:00-05:00,0.0,8.25,7.75,7.75,22900
1994-03-29 16:00:00-05:00,0.0,8.0,7.5,7.5,114500
1994-03-30 16:00:00-05:00,0.0,8.0,7.5,8.0,29900
1994-03-31 16:00:00-05:00,0.0,8.0,7.5,7.5,24900
1994-04-04 16:00:00-04:00,0.0,8.0,7.25,7.25,12100
1994-04-05 16:00:00-04:00,0.0,8.0,7.25,7.375,14100
1994-04-06 16:00:00-04:00,0.0,8.0,7.375,7.375,7500
1994-04-07 16:00:00-04:00,0.0,7.875,7.375,7.375,8300
1994-04-08 16:00:00-04:00,0.0,8.0,7.375,7.625,2700
1994-04-11 16:00:00-04:00,0.0,7.375,7.375,7.375,8500
1994-04-12 16:00:00-04:00,0.0,7.5,6.0,6.75,87200
1994-04-13 16:00:00-04:00,0.0,7.0,6.625,6.625,7500
1994-04-14 16:00:00-04:00,0.0,7.125,7.0,7.0,8300
1994-04-15 16:00:00-04:00,0.0,7.25,6.4375,6.75,8500
1994-04-18 16:00:00-04:00,0.0,6.5,6.5,6.5,5800
1994-04-19 16:00:00-04:00,0.0,7.25,6.5,6.625,16400
1994-04-20 16:00:00-04:00,0.0,7.375,6.625,7.375,34200
1994-04-21 16:00:00-04:00,0.0,7.5,6.625,6.875,27000
1994-04-22 16:00:00-04:00,0.0,7.625,6.875,7.25,42600
1994-04-25 16:00:00-04:00,0.0,7.125,7.125,7.125,18300
1994-04-26 16:00:00-04:00,0.0,7.625,7.0,7.625,60900
1994-04-28 16:00:00-04:00,0.0,7.625,7.0,7.0,10400
1994-04-29 16:00:00-04:00,0.0,7.625,7.0,7.5,14200
