,Open,High,Low,Close,Volume
2016-12-08 16:00:00-05:00,25.64,25.64,25.6388,25.6388,1000
2016-12-09 16:00:00-05:00,25.7293,25.7293,25.7293,25.7293,239
2016-12-16 16:00:00-05:00,25.6,25.6,25.6,25.6,144
2017-01-03 16:00:00-05:00,25.7684,25.82,25.7684,25.817,1406
2017-01-05 16:00:00-05:00,26.18,26.18,26.1332,26.1332,251
2017-01-06 16:00:00-05:00,26.12,26.12,26.12,26.12,2600
2017-01-10 16:00:00-05:00,26.02,26.02,25.96,25.96,17394
2017-01-18 16:00:00-05:00,26.021,26.021,26.021,26.021,500
2017-01-19 16:00:00-05:00,26.03,26.03,26.03,26.03,100
2017-01-23 16:00:00-05:00,0.0,0.0,0.0,26.03,0
2017-01-24 16:00:00-05:00,0.0,0.0,0.0,26.03,0
2017-01-25 16:00:00-05:00,0.0,0.0,0.0,26.03,0
2017-01-26 16:00:00-05:00,0.0,0.0,0.0,26.03,0
2017-01-27 16:00:00-05:00,0.0,0.0,0.0,26.03,0
2017-01-30 16:00:00-05:00,25.91,25.91,25.857,25.857,300
2017-01-31 16:00:00-05:00,0.0,0.0,0.0,25.857,0
2017-02-01 16:00:00-05:00,0.0,0.0,0.0,25.857,0
2017-02-02 16:00:00-05:00,0.0,0.0,0.0,25.857,0
2017-02-03 16:00:00-05:00,0.0,0.0,0.0,25.857,0
2017-02-06 16:00:00-05:00,26.12,26.12,26.0707,26.0707,501
2017-02-07 16:00:00-05:00,0.0,0.0,0.0,26.0707,0
2017-02-08 16:00:00-05:00,26.3699,26.3699,26.309,26.309,300
2017-02-09 16:00:00-05:00,0.0,0.0,0.0,26.309,0
2017-02-10 16:00:00-05:00,0.0,0.0,0.0,26.309,0
2017-02-13 16:00:00-05:00,0.0,0.0,0.0,26.309,0
2017-02-14 16:00:00-05:00,0.0,0.0,0.0,26.309,0
2017-02-15 16:00:00-05:00,26.57,26.57,26.57,26.57,100
2017-02-16 16:00:00-05:00,26.5723,26.59,26.5723,26.59,1400
2017-02-17 16:00:00-05:00,0.0,0.0,0.0,26.59,0
2017-02-21 16:00:00-05:00,0.0,0.0,0.0,26.59,0
2017-02-22 16:00:00-05:00,0.0,0.0,0.0,26.59,0
2017-02-23 16:00:00-05:00,26.84,26.84,26.81,26.81,300
2017-02-24 16:00:00-05:00,26.76,26.76,26.76,26.76,700
2017-02-27 16:00:00-05:00,0.0,0.0,0.0,26.76,0
2017-02-28 16:00:00-05:00,0.0,0.0,0.0,26.76,0
2017-03-01 16:00:00-05:00,0.0,0.0,0.0,26.76,0
2017-03-02 16:00:00-05:00,26.74,26.74,26.71,26.71,5016
2017-03-03 16:00:00-05:00,26.72,26.72,26.72,26.72,300
2017-03-06 16:00:00-05:00,0.0,0.0,0.0,26.72,0
2017-03-07 16:00:00-05:00,0.0,0.0,0.0,26.72,0
2017-03-08 16:00:00-05:00,26.71,26.71,26.6705,26.6705,425
2017-03-09 16:00:00-05:00,26.57,26.57,26.5699,26.5699,700
2017-03-10 16:00:00-05:00,26.6761,26.6761,26.6761,26.6761,150
2017-03-13 16:00:00-04:00,0.0,0.0,0.0,26.6761,0
2017-03-14 16:00:00-04:00,26.67,26.67,26.67,26.67,300
2017-03-15 16:00:00-04:00,0.0,0.0,0.0,26.67,0
2017-03-16 16:00:00-04:00,0.0,0.0,0.0,26.67,0
2017-03-17 16:00:00-04:00,27.29,27.29,27.29,27.29,122
2017-03-20 16:00:00-04:00,27.21,27.21,27.1684,27.1684,732
2017-03-21 16:00:00-04:00,0.0,0.0,0.0,27.1684,0
2017-03-22 16:00:00-04:00,27.17,27.17,27.1699,27.1699,440
2017-03-23 16:00:00-04:00,27.2799,27.2799,27.2799,27.2799,300
2017-03-24 16:00:00-04:00,27.3,27.39,27.2999,27.39,3784
2017-03-27 16:00:00-04:00,27.51,27.54,27.4288,27.52,1764
2017-03-28 16:00:00-04:00,27.57,27.57,27.4881,27.4881,1108
2017-03-29 16:00:00-04:00,27.5499,27.5499,27.5499,27.5499,200
2017-03-30 16:00:00-04:00,27.58,27.6884,27.58,27.6884,2333
2017-03-31 16:00:00-04:00,27.43,27.43,27.43,27.43,2619
2017-04-03 16:00:00-04:00,27.385,27.408,27.175,27.2421,10377
2017-04-04 16:00:00-04:00,27.12,27.12,27.12,27.12,528
2017-04-05 16:00:00-04:00,27.4799,27.4799,27.3,27.35,6950
2017-04-06 16:00:00-04:00,27.25,27.33,27.2,27.21,5995
2017-04-07 16:00:00-04:00,27.233,27.2349,27.21,27.225,6963
2017-04-10 16:00:00-04:00,26.92,27.24,26.92,27.24,2001
2017-04-11 16:00:00-04:00,27.27,27.32,27.22,27.29,1100
2017-04-12 16:00:00-04:00,27.2,27.2,27.2,27.2,201
2017-04-13 16:00:00-04:00,27.21,27.27,27.1042,27.1042,820
2017-04-17 16:00:00-04:00,27.33,27.33,27.33,27.33,1813
2017-04-18 16:00:00-04:00,27.1435,27.1435,27.0329,27.0944,11965
2017-04-19 16:00:00-04:00,27.02,27.02,26.9437,26.99,1522
2017-04-20 16:00:00-04:00,27.66,27.66,27.06,27.11,1807
2017-04-21 16:00:00-04:00,27.0,27.01,27.0,27.01,1112
2017-04-24 16:00:00-04:00,27.43,27.43,27.43,27.43,170
2017-04-25 16:00:00-04:00,0.0,0.0,0.0,27.43,0
2017-04-26 16:00:00-04:00,27.3499,27.3499,27.3247,27.3444,940
2017-04-27 16:00:00-04:00,0.0,0.0,0.0,27.3444,0
2017-04-28 16:00:00-04:00,27.2461,27.2461,27.2461,27.2461,310
2017-05-01 16:00:00-04:00,27.3837,27.3837,27.3837,27.3837,360
2017-05-02 16:00:00-04:00,27.46,27.5,27.3903,27.3903,1160
2017-05-03 16:00:00-04:00,27.429,27.429,27.429,27.429,265
2017-05-04 16:00:00-04:00,27.4,27.4,27.4,27.4,184
2017-05-05 16:00:00-04:00,0.0,0.0,0.0,27.4,0
2017-05-08 16:00:00-04:00,27.83,27.83,27.7546,27.7546,435
2017-05-09 16:00:00-04:00,0.0,0.0,0.0,27.7546,0
2017-05-10 16:00:00-04:00,27.67,27.76,27.66,27.715,4899
2017-05-11 16:00:00-04:00,27.3313,27.6199,27.3313,27.6199,1215
2017-05-12 16:00:00-04:00,0.0,0.0,0.0,27.6199,0
2017-05-15 16:00:00-04:00,27.5,27.5,27.5,27.5,1242
2017-05-16 16:00:00-04:00,27.9667,27.9667,27.9667,27.9667,2000
2017-05-17 16:00:00-04:00,0.0,0.0,0.0,27.9667,0
2017-05-18 16:00:00-04:00,0.0,0.0,0.0,27.9667,0
2017-05-19 16:00:00-04:00,27.93,28.0185,27.872,27.872,765
2017-05-22 16:00:00-04:00,27.86,27.86,27.811,27.8405,4125
2017-05-23 16:00:00-04:00,28.29,28.29,28.24,28.24,703
2017-05-24 16:00:00-04:00,0.0,0.0,0.0,28.24,0
2017-05-25 16:00:00-04:00,0.0,0.0,0.0,28.24,0
2017-05-26 16:00:00-04:00,0.0,0.0,0.0,28.24,0
2017-05-30 16:00:00-04:00,28.25,28.25,28.25,28.25,195
2017-05-31 16:00:00-04:00,28.27,28.27,28.27,28.27,414
2017-06-01 16:00:00-04:00,0.0,0.0,0.0,28.27,0
2017-06-02 16:00:00-04:00,0.0,0.0,0.0,28.27,0
2017-06-05 16:00:00-04:00,0.0,0.0,0.0,28.27,0
2017-06-06 16:00:00-04:00,28.49,28.53,28.49,28.5199,861
2017-06-07 16:00:00-04:00,28.3339,28.399,28.3339,28.3339,2414
2017-06-08 16:00:00-04:00,28.2636,28.38,28.2235,28.38,1217
2017-06-09 16:00:00-04:00,0.0,0.0,0.0,28.38,0
