,Open,High,Low,Close,Volume
2007-01-11 16:00:00-05:00,108.7,108.7,108.7,108.7,900
2007-01-12 16:00:00-05:00,108.76,108.76,108.76,108.76,1100
2007-01-16 16:00:00-05:00,108.76,108.76,108.74,108.74,500
2007-01-17 16:00:00-05:00,108.8,108.8,108.8,108.8,8200
2007-01-18 16:00:00-05:00,108.8,108.8,108.76,108.79,23100
2007-01-19 16:00:00-05:00,108.79,108.81,108.77,108.77,13400
2007-01-22 16:00:00-05:00,108.82,108.83,108.8,108.81,3000
2007-01-23 16:00:00-05:00,108.81,108.83,108.81,108.82,2300
2007-01-24 16:00:00-05:00,108.87,108.89,108.87,108.88,4300
2007-01-25 16:00:00-05:00,108.89,108.9,108.86,108.88,31300
2007-01-26 16:00:00-05:00,108.93,108.93,108.87,108.87,94800
2007-01-29 16:00:00-05:00,108.97,108.97,108.95,108.95,19900
2007-01-30 16:00:00-05:00,108.94,108.97,108.93,108.95,5500
2007-01-31 16:00:00-05:00,108.97,109.0,108.96,109.0,2500
2007-02-01 16:00:00-05:00,108.73,108.73,108.68,108.69,11400
2007-02-02 16:00:00-05:00,108.72,108.75,108.71,108.72,35400
2007-02-05 16:00:00-05:00,108.77,108.77,108.72,108.75,8700
2007-02-06 16:00:00-05:00,108.76,108.76,108.73,108.74,10400
2007-02-07 16:00:00-05:00,108.82,108.82,108.75,108.8,8500
2007-02-08 16:00:00-05:00,108.81,108.81,108.79,108.79,4500
2007-02-09 16:00:00-05:00,108.83,108.84,108.74,108.82,25400
2007-02-12 16:00:00-05:00,108.82,108.82,108.81,108.82,8500
2007-02-13 16:00:00-05:00,108.8,108.83,108.8,108.82,1500
2007-02-14 16:00:00-05:00,108.88,108.9,108.88,108.89,24600
2007-02-15 16:00:00-05:00,108.9,108.94,108.86,108.9,32200
2007-02-16 16:00:00-05:00,108.93,108.94,108.89,108.92,25200
2007-02-20 16:00:00-05:00,108.91,108.94,108.91,108.93,15000
2007-02-21 16:00:00-05:00,108.93,108.99,108.87,108.97,73500
2007-02-22 16:00:00-05:00,108.96,108.97,108.96,108.97,3200
2007-02-23 16:00:00-05:00,108.97,109.03,108.97,109.02,8700
2007-02-26 16:00:00-05:00,109.05,109.05,109.01,109.03,268100
2007-02-27 16:00:00-05:00,109.06,109.06,109.02,109.05,16600
2007-02-28 16:00:00-05:00,109.06,109.15,109.06,109.12,296600
2007-03-01 16:00:00-05:00,108.87,108.877,108.8,108.86,32100
2007-03-02 16:00:00-05:00,108.91,108.95,108.87,108.92,24800
2007-03-05 16:00:00-05:00,108.92,108.92,108.88,108.9,31200
2007-03-06 16:00:00-05:00,108.91,108.95,108.871,108.91,11000
2007-03-07 16:00:00-05:00,108.95,108.95,108.93,108.95,17600
2007-03-08 16:00:00-05:00,108.97,108.97,108.94,108.96,18100
2007-03-09 16:00:00-05:00,108.95,108.98,108.91,108.95,52900
2007-03-12 16:00:00-04:00,108.98,108.98,108.94,108.98,10800
2007-03-13 16:00:00-04:00,109.0,109.05,108.98,109.05,126800
2007-03-14 16:00:00-04:00,109.07,109.07,109.03,109.06,22400
2007-03-15 16:00:00-04:00,109.06,109.06,109.02,109.047,16600
2007-03-16 16:00:00-04:00,109.07,109.07,109.04,109.07,14500
2007-03-19 16:00:00-04:00,109.08,109.09,108.9,109.07,108600
2007-03-20 16:00:00-04:00,109.11,109.11,109.08,109.1,4100
2007-03-21 16:00:00-04:00,109.15,109.2,109.11,109.17,140500
2007-03-22 16:00:00-04:00,109.17,109.18,109.13,109.14,28400
2007-03-23 16:00:00-04:00,109.17,109.2,109.15,109.18,572400
2007-03-26 16:00:00-04:00,109.16,109.2,109.15,109.19,10600
2007-03-27 16:00:00-04:00,109.17,109.24,109.17,109.22,394600
2007-03-28 16:00:00-04:00,109.22,109.28,109.22,109.25,20100
2007-03-29 16:00:00-04:00,109.27,109.29,109.26,109.28,22800
2007-03-30 16:00:00-04:00,109.3,109.3,109.23,109.28,202600
2007-04-02 16:00:00-04:00,108.99,109.03,108.91,109.0,23000
2007-04-03 16:00:00-04:00,109.05,109.07,108.98,109.02,25000
2007-04-04 16:00:00-04:00,109.07,109.11,109.058,109.08,20800
2007-04-05 16:00:00-04:00,109.09,109.11,109.05,109.07,16400
2007-04-09 16:00:00-04:00,109.07,109.09,109.05,109.08,34400
2007-04-10 16:00:00-04:00,109.08,109.12,109.08,109.11,18000
2007-04-11 16:00:00-04:00,109.13,109.19,109.13,109.14,11700
2007-04-12 16:00:00-04:00,109.16,109.18,109.15,109.17,31500
2007-04-13 16:00:00-04:00,109.17,109.19,109.151,109.19,52000
2007-04-16 16:00:00-04:00,109.19,109.21,109.16,109.21,40100
2007-04-17 16:00:00-04:00,109.22,109.23,109.19,109.22,20200
2007-04-18 16:00:00-04:00,109.26,109.29,109.26,109.29,31800
2007-04-19 16:00:00-04:00,109.28,109.3,109.27,109.3,78000
2007-04-20 16:00:00-04:00,109.3,109.32,109.25,109.29,70700
2007-04-23 16:00:00-04:00,109.31,109.34,109.31,109.325,21400
2007-04-24 16:00:00-04:00,109.34,109.37,109.32,109.34,15200
2007-04-25 16:00:00-04:00,109.35,109.39,109.33,109.37,42800
2007-04-26 16:00:00-04:00,109.39,109.4,109.34,109.34,844500
2007-04-27 16:00:00-04:00,109.36,109.41,109.36,109.381,16600
2007-04-30 16:00:00-04:00,109.38,109.42,109.38,109.4,11600
2007-05-01 16:00:00-04:00,109.11,109.11,109.05,109.1,55200
2007-05-02 16:00:00-04:00,109.15,109.16,109.09,109.15,116600
2007-05-03 16:00:00-04:00,109.17,109.18,109.11,109.16,56700
2007-05-04 16:00:00-04:00,109.18,109.19,109.14,109.18,15800
2007-05-07 16:00:00-04:00,109.16,109.19,109.16,109.16,8000
2007-05-08 16:00:00-04:00,109.19,109.21,109.19,109.2,8900
2007-05-09 16:00:00-04:00,109.24,109.26,109.22,109.26,48100
2007-05-10 16:00:00-04:00,109.27,109.29,109.24,109.27,42800
2007-05-11 16:00:00-04:00,109.28,109.3,109.27,109.28,11300
2007-05-14 16:00:00-04:00,109.3,109.32,109.27,109.29,18900
2007-05-15 16:00:00-04:00,109.33,109.34,109.28,109.33,206700
2007-05-16 16:00:00-04:00,109.38,109.4,109.36,109.39,14400
2007-05-17 16:00:00-04:00,109.37,109.41,109.36,109.4,16400
2007-05-18 16:00:00-04:00,109.41,109.42,109.35,109.41,37300
2007-05-21 16:00:00-04:00,109.38,109.42,109.38,109.41,30600
2007-05-22 16:00:00-04:00,109.42,109.43,109.4,109.41,6700
2007-05-23 16:00:00-04:00,109.47,109.48,109.46,109.47,21200
2007-05-24 16:00:00-04:00,109.48,109.49,109.46,109.49,4500
2007-05-25 16:00:00-04:00,109.52,109.52,109.47,109.51,38400
2007-05-29 16:00:00-04:00,109.48,109.52,109.48,109.52,13100
2007-05-30 16:00:00-04:00,109.53,109.57,109.53,109.57,9700
2007-05-31 16:00:00-04:00,109.55,109.6,109.55,109.584,15700
2007-06-01 16:00:00-04:00,109.17,109.18,109.15,109.18,16600
2007-06-04 16:00:00-04:00,109.2,109.23,109.18,109.23,63100
2007-06-05 16:00:00-04:00,109.2,109.23,109.18,109.22,20200
2007-06-06 16:00:00-04:00,109.27,109.28,109.23,109.24,128100
2007-06-07 16:00:00-04:00,109.29,109.29,109.24,109.29,29000
2007-06-08 16:00:00-04:00,109.3,109.31,109.26,109.31,28800
2007-06-11 16:00:00-04:00,109.31,109.32,109.27,109.32,11800
2007-06-12 16:00:00-04:00,109.33,109.34,109.28,109.33,85900
2007-06-13 16:00:00-04:00,109.36,109.38,109.31,109.31,291400
2007-06-14 16:00:00-04:00,109.38,109.39,109.34,109.39,40100
2007-06-15 16:00:00-04:00,109.42,109.42,109.37,109.42,75300
2007-06-18 16:00:00-04:00,109.37,109.43,109.37,109.43,38000
2007-06-19 16:00:00-04:00,109.46,109.46,109.44,109.46,21600
2007-06-20 16:00:00-04:00,109.5,109.5,109.46,109.49,40500
2007-06-21 16:00:00-04:00,109.52,109.52,109.48,109.5,76800
2007-06-22 16:00:00-04:00,109.53,109.53,109.5,109.53,43400
2007-06-25 16:00:00-04:00,109.55,109.56,109.51,109.54,54100
2007-06-26 16:00:00-04:00,109.53,109.55,109.53,109.546,64400
2007-06-27 16:00:00-04:00,109.58,109.61,109.58,109.58,294200
