,Open,High,Low,Close,Volume
2016-12-08 16:00:00-05:00,8.25,8.525,8.0,8.16,384411
2016-12-09 16:00:00-05:00,8.05,8.48,8.0,8.0,31254
2016-12-12 16:00:00-05:00,8.3,8.3,8.0,8.0,16552
2016-12-13 16:00:00-05:00,8.0,8.2999,7.44,8.0,51170
2016-12-14 16:00:00-05:00,8.05,8.05,8.0,8.0,168436
2016-12-15 16:00:00-05:00,8.22,8.22,8.0,8.0,53386
2016-12-16 16:00:00-05:00,8.15,8.15,8.0,8.0,2098
2016-12-19 16:00:00-05:00,8.15,8.2,8.005,8.1,14731
2016-12-20 16:00:00-05:00,8.15,8.15,8.0216,8.1379,5197
2016-12-21 16:00:00-05:00,8.08,8.08,8.0,8.04,8820
2016-12-22 16:00:00-05:00,8.0,8.02,8.0,8.0172,24087
2016-12-23 16:00:00-05:00,8.1,8.3,8.04,8.19,58713
2016-12-27 16:00:00-05:00,8.98,8.98,8.11,8.25,44907
2016-12-28 16:00:00-05:00,8.47,8.64,8.0,8.0,92654
2016-12-29 16:00:00-05:00,8.13,8.4,8.06,8.15,72495
2016-12-30 16:00:00-05:00,8.2,8.38,8.07,8.15,21410
2017-01-03 16:00:00-05:00,8.45,8.508,8.02,8.02,78125
2017-01-04 16:00:00-05:00,8.48,8.48,8.16,8.23,21801
2017-01-05 16:00:00-05:00,8.29,8.5,8.18,8.24,24334
2017-01-06 16:00:00-05:00,8.4399,8.4399,8.0,8.16,43193
2017-01-09 16:00:00-05:00,8.05,8.24,7.63,7.83,84762
2017-01-10 16:00:00-05:00,8.21,8.21,7.38,7.89,45508
2017-01-11 16:00:00-05:00,8.01,8.23,7.7,8.1,14219
2017-01-12 16:00:00-05:00,8.2,8.23,8.0097,8.07,39770
2017-01-13 16:00:00-05:00,8.14,9.54,8.055,9.38,33775
2017-01-17 16:00:00-05:00,10.12,10.685,9.4,9.75,48473
2017-01-18 16:00:00-05:00,9.75,10.5753,9.35,9.87,32409
2017-01-19 16:00:00-05:00,9.85,9.85,8.4021,9.4,22060
2017-01-20 16:00:00-05:00,9.25,9.25,8.61,8.815,12227
2017-01-23 16:00:00-05:00,7.8,8.39,7.065,7.5,217873
2017-01-24 16:00:00-05:00,7.94,7.94,7.23,7.38,166124
2017-01-25 16:00:00-05:00,7.78,7.89,7.2101,7.22,50118
2017-01-26 16:00:00-05:00,7.42,7.6747,7.05,7.13,35139
2017-01-27 16:00:00-05:00,7.48,7.8323,7.3,7.49,35853
2017-01-30 16:00:00-05:00,7.4297,7.7922,7.32,7.56,34422
2017-01-31 16:00:00-05:00,7.89,8.1742,7.4862,7.74,23599
2017-02-01 16:00:00-05:00,8.99,8.99,8.02,8.145,14321
2017-02-02 16:00:00-05:00,8.49,8.65,8.23,8.3,43937
2017-02-03 16:00:00-05:00,8.99,8.99,8.47,8.5,17916
2017-02-06 16:00:00-05:00,8.89,8.89,8.45,8.46,35928
2017-02-07 16:00:00-05:00,8.6,8.77,8.5,8.6,12782
2017-02-08 16:00:00-05:00,8.51,8.65,8.5,8.57,12302
2017-02-09 16:00:00-05:00,8.67,8.67,8.45,8.45,19962
2017-02-10 16:00:00-05:00,8.49,8.96,8.49,8.49,13199
2017-02-13 16:00:00-05:00,8.55,8.73,8.35,8.35,6894
2017-02-14 16:00:00-05:00,9.11,9.11,8.0,8.15,17856
2017-02-15 16:00:00-05:00,8.33,8.5,8.15,8.15,17232
2017-02-16 16:00:00-05:00,8.37,8.49,8.0,8.0,10082
2017-02-17 16:00:00-05:00,8.43,8.5,8.06,8.06,11056
2017-02-21 16:00:00-05:00,8.17,8.25,8.1,8.1,20827
2017-02-22 16:00:00-05:00,8.4,8.48,8.11,8.17,9626
2017-02-23 16:00:00-05:00,8.215,8.395,8.08,8.08,7535
2017-02-24 16:00:00-05:00,8.29,8.3999,8.11,8.11,5605
2017-02-27 16:00:00-05:00,8.21,8.25,8.11,8.12,11359
2017-02-28 16:00:00-05:00,8.119,8.3778,8.11,8.11,9203
2017-03-01 16:00:00-05:00,8.19,8.49,8.19,8.39,9512
2017-03-02 16:00:00-05:00,8.28,8.4,8.26,8.26,4302
2017-03-03 16:00:00-05:00,9.0,9.0,8.5,8.5,9444
2017-03-06 16:00:00-05:00,8.51,9.04,8.25,8.87,9277
2017-03-07 16:00:00-05:00,8.99,9.6,8.4,8.56,8188
2017-03-08 16:00:00-05:00,9.5494,9.5494,8.5,8.5,30046
2017-03-09 16:00:00-05:00,8.8,9.117,8.31,8.32,8539
2017-03-10 16:00:00-05:00,8.5,8.61,8.43,8.44,16941
2017-03-13 16:00:00-04:00,8.92,9.2,8.51,8.7,46606
2017-03-14 16:00:00-04:00,8.86,9.36,8.69,9.18,21047
2017-03-15 16:00:00-04:00,9.21,9.44,9.01,9.01,33734
2017-03-16 16:00:00-04:00,9.0729,9.46,8.6,8.86,16455
2017-03-17 16:00:00-04:00,9.05,9.17,8.27,8.3,53556
2017-03-20 16:00:00-04:00,8.4,9.3262,8.24,8.49,37544
2017-03-21 16:00:00-04:00,8.67,8.87,8.25,8.26,37108
2017-03-22 16:00:00-04:00,8.32,8.32,7.48,8.04,26248
2017-03-23 16:00:00-04:00,8.1,8.47,8.01,8.47,8739
2017-03-24 16:00:00-04:00,8.42,8.47,7.866,8.28,26132
2017-03-27 16:00:00-04:00,8.16,8.46,8.16,8.35,4649
2017-03-28 16:00:00-04:00,8.3,8.46,7.93,8.2,21962
2017-03-29 16:00:00-04:00,8.04,8.29,8.04,8.2,2692
2017-03-30 16:00:00-04:00,8.13,8.9074,8.01,8.01,13315
2017-03-31 16:00:00-04:00,8.5,8.5,7.8896,7.91,73263
2017-04-03 16:00:00-04:00,7.85,8.7726,7.85,8.0,30788
2017-04-04 16:00:00-04:00,8.1,8.18,7.98,7.98,9024
2017-04-05 16:00:00-04:00,7.99,8.0406,7.82,7.99,11694
2017-04-06 16:00:00-04:00,7.88,8.0,7.81,7.92,18297
2017-04-07 16:00:00-04:00,7.885,8.06,7.885,7.99,4220
2017-04-10 16:00:00-04:00,8.14,8.4999,7.85,7.85,8063
2017-04-11 16:00:00-04:00,8.13,8.15,7.9313,7.95,3554
2017-04-12 16:00:00-04:00,8.2335,8.2335,7.93,8.08,3450
2017-04-13 16:00:00-04:00,8.0,8.0,7.9,8.0,12485
2017-04-17 16:00:00-04:00,8.2,8.2,8.03,8.05,8169
2017-04-18 16:00:00-04:00,8.18,8.2,7.8784,8.0,18805
2017-04-19 16:00:00-04:00,8.0,8.1,7.7,7.7,7135
2017-04-20 16:00:00-04:00,7.8,8.0,7.57,7.64,21368
2017-04-21 16:00:00-04:00,7.75,7.84,7.52,7.64,7733
2017-04-24 16:00:00-04:00,7.63,7.95,7.49,7.5321,12889
2017-04-25 16:00:00-04:00,7.9999,7.9999,7.66,7.66,1364
2017-04-26 16:00:00-04:00,7.4569,7.5865,7.37,7.37,23096
2017-04-27 16:00:00-04:00,7.46,7.5889,7.29,7.29,33322
2017-04-28 16:00:00-04:00,7.15,7.4,7.0,7.15,23980
2017-05-01 16:00:00-04:00,7.23,7.99,6.98,7.07,14798
2017-05-02 16:00:00-04:00,6.98,7.14,6.82,6.82,27153
2017-05-03 16:00:00-04:00,6.82,6.82,6.4798,6.51,37659
2017-05-04 16:00:00-04:00,6.51,6.58,6.41,6.58,62077
2017-05-05 16:00:00-04:00,6.59,7.4,6.5,7.4,22463
2017-05-08 16:00:00-04:00,7.04,7.3289,6.69,6.78,30788
2017-05-09 16:00:00-04:00,6.75,6.998,6.51,6.64,16344
2017-05-10 16:00:00-04:00,7.24,7.24,6.69,6.98,14969
2017-05-11 16:00:00-04:00,6.98,7.25,6.71,6.89,8480
2017-05-12 16:00:00-04:00,7.25,7.37,6.93,7.37,6069
2017-05-15 16:00:00-04:00,7.38,7.7913,7.33,7.75,21282
2017-05-16 16:00:00-04:00,7.75,7.99,7.75,7.99,11163
2017-05-17 16:00:00-04:00,7.7057,7.7057,7.08,7.08,800
2017-05-18 16:00:00-04:00,7.39,7.961,6.82,6.83,10926
2017-05-19 16:00:00-04:00,7.09,7.174,6.99,6.99,6706
2017-05-22 16:00:00-04:00,7.09,7.15,6.84,7.04,2676
2017-05-23 16:00:00-04:00,6.8613,7.1,6.8613,6.96,5174
2017-05-24 16:00:00-04:00,6.9,7.1,6.9,7.05,8426
2017-05-25 16:00:00-04:00,7.0217,7.0217,6.84,6.84,13953
2017-05-26 16:00:00-04:00,6.84,7.034,6.5,6.51,10937
2017-05-30 16:00:00-04:00,6.79,6.79,6.02,6.02,7180
2017-05-31 16:00:00-04:00,6.23,6.4656,5.86,6.1,21451
2017-06-01 16:00:00-04:00,6.64,6.64,6.05,6.07,13914
2017-06-02 16:00:00-04:00,6.1,6.16,5.51,5.91,28364
2017-06-05 16:00:00-04:00,5.99,6.0,5.0,5.0,30331
2017-06-06 16:00:00-04:00,5.01,5.117,4.85,4.88,13977
2017-06-07 16:00:00-04:00,4.8843,5.5,4.8843,5.5,52658
2017-06-08 16:00:00-04:00,5.75,5.84,5.35,5.61,63377
2017-06-09 16:00:00-04:00,5.9697,5.9697,5.65,5.7,18767
2017-06-12 16:00:00-04:00,5.85,6.49,5.65,6.18,13702
2017-06-13 16:00:00-04:00,6.5,6.5,6.18,6.21,8978
2017-06-14 16:00:00-04:00,6.24,6.24,5.9,5.99,12309
2017-06-15 16:00:00-04:00,5.9,5.925,5.61,5.645,11845
2017-06-16 16:00:00-04:00,5.62,6.25,5.62,6.19,14664
2017-06-19 16:00:00-04:00,6.25,6.25,5.95,5.996,8590
2017-06-20 16:00:00-04:00,6.4,6.4,5.95,6.0,6825
2017-06-21 16:00:00-04:00,6.07,6.07,5.64,5.95,4227
2017-06-22 16:00:00-04:00,6.095,6.25,5.85,6.05,40590
2017-06-23 16:00:00-04:00,6.11,6.34,6.1,6.34,55352
2017-06-26 16:00:00-04:00,6.4,6.4,5.96,6.05,4172
2017-06-27 16:00:00-04:00,6.19,6.2,6.1119,6.1119,2416
2017-06-28 16:00:00-04:00,6.01,6.03,5.85,5.86,3979
2017-06-29 16:00:00-04:00,5.9,6.24,5.8617,5.88,5918
2017-06-30 16:00:00-04:00,5.9,5.96,5.6886,5.7,25489
2017-07-03 13:00:00-04:00,5.96,6.0,5.5975,5.5975,34229
2017-07-05 16:00:00-04:00,5.69,6.1216,5.22,5.22,26448
2017-07-06 16:00:00-04:00,5.17,5.3337,5.11,5.11,5219
2017-07-07 16:00:00-04:00,5.12,5.4,5.04,5.4,30308
2017-07-10 16:00:00-04:00,5.75,5.88,5.37,5.51,39622
2017-07-11 16:00:00-04:00,5.6916,5.6916,5.19,5.33,19653
2017-07-12 16:00:00-04:00,5.35,5.57,5.21,5.37,59528
2017-07-13 16:00:00-04:00,5.3,5.52,5.075,5.075,36233
2017-07-14 16:00:00-04:00,5.33,5.33,5.07,5.12,3727
2017-07-17 16:00:00-04:00,5.15,5.15,4.7429,4.95,31897
2017-07-18 16:00:00-04:00,5.05,5.05,4.3144,4.46,39807
2017-07-19 16:00:00-04:00,4.5,4.5,4.14,4.16,16034
2017-07-20 16:00:00-04:00,4.15,4.28,3.8824,4.15,16585
2017-07-21 16:00:00-04:00,4.24,4.2827,4.0,4.18,31469
2017-07-24 16:00:00-04:00,4.2,4.2,3.5101,3.6538,35235
2017-07-25 16:00:00-04:00,3.56,3.59,2.62,2.8,286104
2017-07-26 16:00:00-04:00,3.07,3.41,2.9442,3.14,155971
2017-07-27 16:00:00-04:00,3.45,3.45,2.95,3.0,142657
2017-07-28 16:00:00-04:00,3.14,3.3557,3.14,3.2299,29387
2017-07-31 16:00:00-04:00,3.35,3.61,3.27,3.43,57907
2017-08-01 16:00:00-04:00,3.55,3.55,3.24,3.31,15501
2017-08-02 16:00:00-04:00,3.45,3.45,3.09,3.09,18090
2017-08-03 16:00:00-04:00,3.08,3.32,3.08,3.1,17482
2017-08-04 16:00:00-04:00,3.11,3.2043,3.1,3.1,30169
2017-08-07 16:00:00-04:00,3.3,3.3,3.06,3.06,45968
2017-08-08 16:00:00-04:00,3.1526,3.1526,3.07,3.13,11893
2017-08-09 16:00:00-04:00,3.07,3.139,2.8,3.08,62599
2017-08-10 16:00:00-04:00,3.01,3.01,2.65,2.74,27128
2017-08-11 16:00:00-04:00,2.6,2.8613,2.48,2.74,60905
2017-08-14 16:00:00-04:00,2.65,2.69,2.48,2.69,37551
2017-08-15 16:00:00-04:00,2.6953,2.76,2.51,2.76,25792
2017-08-16 16:00:00-04:00,2.74,2.8578,2.731,2.84,40791
2017-08-17 16:00:00-04:00,2.84,2.89,2.7,2.78,61300
2017-08-18 16:00:00-04:00,2.8,2.8,2.03,2.54,340960
2017-08-21 16:00:00-04:00,2.58,2.58,2.35,2.46,55660
