,Open,High,Low,Close,Volume
2005-09-27 16:00:00-04:00,255.24,255.24,230.4,234.0,41428
2005-09-28 16:00:00-04:00,236.88,236.88,225.0,225.0,7025
2005-09-29 16:00:00-04:00,229.68,230.4,226.8,226.8,1203
2005-09-30 16:00:00-04:00,241.92,243.0,225.0,240.84,3967
2005-10-03 16:00:00-04:00,243.36,243.36,234.0,241.2,1092
2005-10-04 16:00:00-04:00,244.8,244.8,237.6,243.36,1528
2005-10-05 16:00:00-04:00,246.6,246.6,237.6,237.6,1500
2005-10-06 16:00:00-04:00,252.36,252.36,210.96,230.4,3783
2005-10-07 16:00:00-04:00,214.92,225.72,214.92,225.0,475
2005-10-10 16:00:00-04:00,225.72,232.2,225.0,232.2,533
2005-10-11 16:00:00-04:00,234.0,235.8,225.0,230.04,742
2005-10-12 16:00:00-04:00,225.72,229.68,225.0,225.0,869
2005-10-13 16:00:00-04:00,225.0,232.2,220.32,223.2,361
2005-10-14 16:00:00-04:00,223.2,228.6,223.2,224.64,133
2005-10-17 16:00:00-04:00,235.8,235.8,227.16,227.16,83
2005-10-18 16:00:00-04:00,234.0,235.8,216.0,228.24,636
2005-10-19 16:00:00-04:00,235.08,235.08,214.92,221.4,900
2005-10-20 16:00:00-04:00,228.6,228.6,216.0,220.68,656
2005-10-21 16:00:00-04:00,228.6,228.6,207.36,212.4,672
2005-10-24 16:00:00-04:00,230.4,230.4,210.6,220.68,75
2005-10-25 16:00:00-04:00,224.64,229.68,214.2,219.24,278
2005-10-26 16:00:00-04:00,212.04,221.4,212.04,221.4,444
2005-10-27 16:00:00-04:00,221.4,221.4,216.0,216.0,231
2005-10-28 16:00:00-04:00,220.68,220.68,208.8,216.0,81
2005-10-31 16:00:00-05:00,216.0,216.0,204.84,208.44,547
2005-11-01 16:00:00-05:00,204.84,204.84,176.04,187.2,1347
2005-11-02 16:00:00-05:00,180.36,195.48,177.804,180.0,653
2005-11-03 16:00:00-05:00,188.64,188.64,166.32,168.84,1475
2005-11-04 16:00:00-05:00,179.28,185.04,161.28,173.52,1431
2005-11-07 16:00:00-05:00,184.68,189.0,178.56,185.4,3036
2005-11-08 16:00:00-05:00,210.24,210.24,153.0,186.48,4378
2005-11-09 16:00:00-05:00,190.8,190.8,171.0,172.8,2297
2005-11-10 16:00:00-05:00,183.6,183.6,171.0,174.6,136
2005-11-11 16:00:00-05:00,169.92,187.2,169.056,183.6,486
