,Open,High,Low,Close,Volume
2016-09-21 16:00:00-04:00,24.9,26.3,24.9,25.0,5192
2016-09-22 16:00:00-04:00,25.2,26.4,24.6,25.1,1611
2016-09-23 16:00:00-04:00,26.2,26.8,25.505,25.9,982
2016-09-26 16:00:00-04:00,26.0,26.0,25.0,25.3,884
2016-09-27 16:00:00-04:00,25.1,25.9,24.7,25.0,760
2016-09-28 16:00:00-04:00,24.4,25.7,24.3,24.6,2364
2016-09-29 16:00:00-04:00,24.5,25.0,24.5,24.8,1346
2016-09-30 16:00:00-04:00,24.5,25.395,22.9,23.0,6594
2016-10-03 16:00:00-04:00,23.7,25.9,22.1,22.8,3069
2016-10-04 16:00:00-04:00,22.5,24.0,22.5,24.0,2032
2016-10-05 16:00:00-04:00,23.6,25.2,23.5,23.5,3545
2016-10-06 16:00:00-04:00,23.2,23.2,21.5,21.5,11254
2016-10-07 16:00:00-04:00,21.6,22.3,21.4,21.8,1886
2016-10-10 16:00:00-04:00,21.1,21.601,20.6,20.6,10152
2016-10-11 16:00:00-04:00,20.8,21.81,20.1,20.8,8828
2016-10-12 16:00:00-04:00,20.7,20.789,19.0,20.0,8045
2016-10-13 16:00:00-04:00,19.8,23.9,19.0,21.0,17025
2016-10-14 16:00:00-04:00,21.8,27.8,21.8,24.0,59854
2016-10-17 16:00:00-04:00,24.5,28.5,24.1,27.3,14183
2016-10-18 16:00:00-04:00,26.9,28.496,25.5,26.0,14053
2016-10-19 16:00:00-04:00,25.7,28.0,24.1,25.7,7490
2016-10-20 16:00:00-04:00,25.4,26.5,25.3,25.5,7710
2016-10-21 16:00:00-04:00,25.5,25.9,25.4,25.9,6012
2016-10-24 16:00:00-04:00,26.0,29.393,25.0,26.6,23999
2016-10-25 16:00:00-04:00,27.0,28.5,27.0,27.0,9895
2016-10-26 16:00:00-04:00,27.0,27.5,24.5,24.9,12663
2016-10-27 16:00:00-04:00,25.0,25.9,23.0,23.6,10009
2016-10-28 16:00:00-04:00,24.4,24.4,22.2,23.0,6920
2016-10-31 16:00:00-04:00,23.2,23.2,21.0,21.9,8166
2016-11-01 16:00:00-04:00,21.7,22.0,21.7,21.7,140
2016-11-02 16:00:00-04:00,21.032,24.4,21.032,23.65,916
2016-11-03 16:00:00-04:00,23.8,24.0,21.2,22.1,3985
2016-11-04 16:00:00-04:00,23.0,24.5,22.7,23.2,7944
2016-11-07 16:00:00-05:00,23.0,24.7,22.5,22.5,2939
2016-11-08 16:00:00-05:00,22.9,23.5,22.5,22.9,1809
2016-11-09 16:00:00-05:00,22.6,23.8,22.501,22.7,1037
2016-11-10 16:00:00-05:00,22.9,23.5,22.6,22.6,3243
2016-11-11 16:00:00-05:00,22.9,24.2,16.6,20.3,25329
2016-11-14 16:00:00-05:00,20.2,20.8,18.1,18.4,7204
2016-11-15 16:00:00-05:00,19.0,19.7,18.1,18.1,2543
2016-11-16 16:00:00-05:00,18.9,22.0,18.9,21.1,9041
2016-11-17 16:00:00-05:00,21.2,23.99,21.2,22.4,9497
2016-11-18 16:00:00-05:00,22.6,23.567,22.5,23.4,3250
2016-11-21 16:00:00-05:00,23.4,24.0,20.5,22.65,5818
2016-11-22 16:00:00-05:00,23.2,23.9,22.2,23.0,4651
2016-11-23 16:00:00-05:00,23.2,23.5,20.9,23.0,7093
2016-11-25 13:00:00-05:00,23.0,24.7,23.0,24.7,1594
2016-11-28 16:00:00-05:00,24.1,24.1,22.572,23.0,914
2016-11-29 16:00:00-05:00,23.0,23.0,22.5,23.0,504
2016-11-30 16:00:00-05:00,23.0,23.6,21.2,22.568,2726
2016-12-01 16:00:00-05:00,22.3,22.5,21.1,21.2,492
2016-12-02 16:00:00-05:00,21.84,22.5,21.4,21.4,747
2016-12-05 16:00:00-05:00,21.0,21.668,21.0,21.0,2090
2016-12-06 16:00:00-05:00,20.3,21.3,20.29,20.4,1238
2016-12-07 16:00:00-05:00,20.364,20.364,19.2,19.7,2952
2016-12-08 16:00:00-05:00,19.5,20.741,19.5,19.5,750
2016-12-09 16:00:00-05:00,19.6,20.7,19.5,20.4,556
2016-12-12 16:00:00-05:00,20.4,20.4,19.0,19.3,7237
2016-12-13 16:00:00-05:00,19.6,21.5,19.1,19.1,8430
2016-12-14 16:00:00-05:00,18.8,20.1,18.3,18.5,6757
2016-12-15 16:00:00-05:00,18.6,20.8,18.1,18.1,2990
2016-12-16 16:00:00-05:00,19.062,19.062,17.0,18.4,14248
2016-12-19 16:00:00-05:00,17.9,17.9,16.9,17.0,5069
2016-12-20 16:00:00-05:00,16.9,18.49,16.9,18.0,2866
2016-12-21 16:00:00-05:00,17.126,18.4,17.0,18.4,5367
2016-12-22 16:00:00-05:00,18.0,18.2,17.126,18.0,1197
2016-12-23 16:00:00-05:00,18.0,18.0,17.5,18.0,560
2016-12-27 16:00:00-05:00,18.199,19.0,17.3,18.4,2677
2016-12-28 16:00:00-05:00,18.6,19.0,17.5,18.8,776
2016-12-29 16:00:00-05:00,18.4,19.7,17.4,19.7,5359
2016-12-30 16:00:00-05:00,19.4,20.8,18.9,18.9,11830
2017-01-03 16:00:00-05:00,18.7,19.4,18.0,18.7,1365
2017-01-04 16:00:00-05:00,19.3,19.3,18.9,18.9,2875
2017-01-05 16:00:00-05:00,19.2,19.2,17.6,18.2,5986
2017-01-06 16:00:00-05:00,18.1,18.9,18.1,18.1,1075
2017-01-09 16:00:00-05:00,18.9,19.5,17.7,18.4,7246
2017-01-10 16:00:00-05:00,18.319,18.9,18.319,18.5,666
2017-01-11 16:00:00-05:00,18.4,18.8,17.5,18.0,6265
2017-01-12 16:00:00-05:00,17.8,18.8,17.6,18.1,9409
2017-01-13 16:00:00-05:00,18.1,18.3,16.9,16.9,2295
2017-01-17 16:00:00-05:00,17.2,17.7,16.0,16.0,4393
2017-01-18 16:00:00-05:00,17.0,17.1,16.0,16.3,1677
2017-01-19 16:00:00-05:00,16.6,17.2,15.2,16.9,7793
2017-01-20 16:00:00-05:00,15.844,17.4,15.1,16.46,4814
2017-01-23 16:00:00-05:00,16.4,17.3,15.28,15.28,2374
2017-01-24 16:00:00-05:00,15.2,15.2,14.1,14.6,960
2017-01-25 16:00:00-05:00,14.1,16.579,13.1,13.4,2276
2017-01-26 16:00:00-05:00,13.5,13.9,11.7,13.899,15783
2017-01-27 16:00:00-05:00,13.7,13.7,11.5,12.2,3069
2017-01-30 16:00:00-05:00,12.8,13.7,12.1,12.1,2028
2017-01-31 16:00:00-05:00,12.4,13.5,12.3,12.4,5147
2017-02-01 16:00:00-05:00,12.6,15.1,12.6,13.9,5958
2017-02-02 16:00:00-05:00,15.3,15.3,13.9,14.1,6190
2017-02-03 16:00:00-05:00,15.3,15.3,13.0,13.6,4085
2017-02-06 16:00:00-05:00,13.7,14.2,13.6,13.6,1740
2017-02-07 16:00:00-05:00,13.6,14.2,13.101,13.7,753
2017-02-08 16:00:00-05:00,13.8,13.8,13.0,13.0,260
2017-02-09 16:00:00-05:00,13.1,19.4,12.24,13.9,62002
2017-02-10 16:00:00-05:00,13.5,13.57,12.5,12.8,3810
2017-02-13 16:00:00-05:00,12.87,14.0,12.6,13.0,3998
2017-02-14 16:00:00-05:00,13.3,14.2,13.0,13.3,5059
2017-02-15 16:00:00-05:00,13.9,14.143,13.5,13.8,1829
2017-02-16 16:00:00-05:00,13.8,14.9,13.3,13.3,1616
2017-02-17 16:00:00-05:00,13.5,13.8,13.301,13.4,571
2017-02-21 16:00:00-05:00,13.5,13.5,13.0,13.2,3052
2017-02-22 16:00:00-05:00,13.0,13.5,13.0,13.001,1793
2017-02-23 16:00:00-05:00,13.0,14.5,12.0,12.8,18026
2017-02-24 16:00:00-05:00,12.801,13.2,12.5,12.5,1062
2017-02-27 16:00:00-05:00,12.6,12.6,12.4,12.482,449
2017-02-28 16:00:00-05:00,12.5,12.703,12.5,12.6,541
2017-03-01 16:00:00-05:00,12.1,12.373,11.0,11.7,1280
2017-03-02 16:00:00-05:00,11.4,11.9,11.0,11.1,2102
2017-03-03 16:00:00-05:00,11.6,11.6,11.249,11.249,66
2017-03-06 16:00:00-05:00,11.7,11.7,11.1,11.1,316
2017-03-07 16:00:00-05:00,11.432,11.432,11.0,11.3,203
2017-03-08 16:00:00-05:00,11.3,11.844,11.1,11.7,635
2017-03-09 16:00:00-05:00,11.2,12.0,11.2,11.699,933
2017-03-10 16:00:00-05:00,11.6,11.6,11.2,11.2,805
2017-03-13 16:00:00-04:00,11.2,11.2,11.0,11.001,383
2017-03-14 16:00:00-04:00,13.6,13.6,11.4,12.0,11528
2017-03-15 16:00:00-04:00,12.1,14.0,11.59,13.5,8329
2017-03-16 16:00:00-04:00,13.979,14.7,12.9,13.0,10517
2017-03-17 16:00:00-04:00,13.5,15.0,13.5,14.483,8765
2017-03-20 16:00:00-04:00,14.7,14.7,12.0,12.3,12054
2017-03-21 16:00:00-04:00,12.1,12.2,10.5,11.0,12628
2017-03-22 16:00:00-04:00,11.1,12.0,11.1,11.9,1989
2017-03-23 16:00:00-04:00,11.4,13.94,11.4,12.9,6527
2017-03-24 16:00:00-04:00,12.8,13.4,11.5,12.2,3387
2017-03-27 16:00:00-04:00,12.8,12.8,11.501,12.0,1785
2017-03-28 16:00:00-04:00,11.9,12.2,11.5,11.7,1883
2017-03-29 16:00:00-04:00,11.8,12.5,11.501,11.6,1858
2017-03-30 16:00:00-04:00,11.5,12.4,10.7,11.2,3808
2017-03-31 16:00:00-04:00,11.5,12.3,10.9,11.7,2994
2017-04-03 16:00:00-04:00,11.7,11.9,10.9,11.1,2730
2017-04-04 16:00:00-04:00,11.1,11.5,10.7,11.1,11683
2017-04-05 16:00:00-04:00,11.3,11.4,10.301,10.5,6612
2017-04-06 16:00:00-04:00,10.5,10.5,8.559,9.897,4864
2017-04-07 16:00:00-04:00,9.6,10.8,9.1,10.8,2194
2017-04-10 16:00:00-04:00,10.0,10.0,9.0,9.9,6953
2017-04-11 16:00:00-04:00,9.115,9.6,8.8,9.4,2689
2017-04-12 16:00:00-04:00,9.4,9.4,7.311,7.8,14531
2017-04-13 16:00:00-04:00,7.5,7.9,7.18,7.18,6904
2017-04-17 16:00:00-04:00,6.5,6.5,3.4,5.65,20200
2017-04-18 16:00:00-04:00,5.899,5.899,5.0,5.299,8476
2017-04-19 16:00:00-04:00,5.16,5.39,4.257,5.1,3036
2017-04-20 16:00:00-04:00,4.801,5.31,4.8,5.3,5156
2017-04-21 16:00:00-04:00,5.565,5.565,5.0,5.2,1190
2017-04-24 16:00:00-04:00,6.6,8.5,5.582,8.5,32530
2017-04-25 16:00:00-04:00,8.5,8.5,6.721,7.011,7849
2017-04-26 16:00:00-04:00,7.005,8.699,7.005,8.0,9665
2017-04-27 16:00:00-04:00,8.0,8.192,7.0,7.7,3004
2017-04-28 16:00:00-04:00,7.3,8.0,6.8,7.505,11491
2017-05-01 16:00:00-04:00,7.1,7.989,6.28,6.678,10420
2017-05-02 16:00:00-04:00,6.678,7.4,6.451,6.451,3473
2017-05-03 16:00:00-04:00,7.0,7.0,6.01,6.777,3032
2017-05-04 16:00:00-04:00,6.3,6.68,6.2,6.22,998
2017-05-05 16:00:00-04:00,6.239,6.6,5.7,5.74,3420
2017-05-08 16:00:00-04:00,6.2,6.68,6.0,6.391,1276
2017-05-09 16:00:00-04:00,6.391,6.4,5.6,5.9,2369
2017-05-10 16:00:00-04:00,5.601,6.0,5.0,5.9,5329
2017-05-11 16:00:00-04:00,5.199,5.2,5.0,5.199,2632
2017-05-12 16:00:00-04:00,5.327,5.6,5.2,5.498,185
2017-05-15 16:00:00-04:00,5.2,5.399,4.565,4.8,4464
2017-05-16 16:00:00-04:00,4.5,4.7,4.201,4.3,3430
2017-05-17 16:00:00-04:00,4.2,4.2,4.0,4.0,2352
2017-05-18 16:00:00-04:00,4.0,4.2,4.0,4.13449,277
2017-05-19 16:00:00-04:00,4.02,4.294,4.0,4.0,1048
2017-05-22 16:00:00-04:00,3.9,3.9,2.8,3.874,8500
2017-05-23 16:00:00-04:00,3.0,3.7,3.0,3.314,1584
2017-05-24 16:00:00-04:00,3.18,5.0,3.18,4.6,23825
2017-05-25 16:00:00-04:00,4.83,24.0,4.601,19.3,1179734
2017-05-26 16:00:00-04:00,15.9,18.9,10.9,12.8,475007
2017-05-30 16:00:00-04:00,11.5,12.7,10.1,10.513,72158
2017-05-31 16:00:00-04:00,10.8,18.8,10.498,13.5,653188
2017-06-01 16:00:00-04:00,22.7,23.5,17.2,18.7,1396178
2017-06-02 16:00:00-04:00,17.5,17.7,14.0,15.1,163623
2017-06-05 16:00:00-04:00,15.0,16.0,13.5,14.1,67645
2017-06-06 16:00:00-04:00,13.9,16.3,13.772,14.8,64807
2017-06-07 16:00:00-04:00,16.0,16.0,13.2,13.7,47071
2017-06-08 16:00:00-04:00,13.1,14.2,13.0,13.2,24293
2017-06-09 16:00:00-04:00,13.2,13.2,11.1,11.9,54335
2017-06-12 16:00:00-04:00,10.9,11.52,10.9,10.9,39408
2017-06-13 16:00:00-04:00,10.0,14.5,10.0,11.0,202690
2017-06-14 16:00:00-04:00,10.5,11.4,8.0,8.9,78669
2017-06-15 16:00:00-04:00,8.8,9.276,8.11,8.111,31289
