,Open,High,Low,Close,Volume
2014-05-16 16:00:00-04:00,14.75,22.96,14.75,22.96,419163
2014-05-19 16:00:00-04:00,19.06,22.25,19.06,21.97,5053
2014-05-20 16:00:00-04:00,21.72,21.81,21.49,21.52,4900
2014-06-02 16:00:00-04:00,22.5,22.5,19.17,19.5,106459
2014-06-03 16:00:00-04:00,19.61,26.085,19.45,23.51,1561726
2014-06-04 16:00:00-04:00,24.01,24.45,21.77,24.0,901709
2014-06-05 16:00:00-04:00,24.16,25.0,23.56,24.66,425052
2014-06-06 16:00:00-04:00,25.0,26.48,24.5,26.48,601032
2014-06-09 16:00:00-04:00,26.32,26.92,24.63,26.5,695720
2014-06-10 16:00:00-04:00,25.42,27.49,25.2,26.63,954177
2014-06-11 16:00:00-04:00,27.2,28.2,26.761,27.99,655082
2014-06-12 16:00:00-04:00,27.69,28.48,27.45,28.0,441524
2014-06-13 16:00:00-04:00,27.65,28.44,27.22,28.4,612034
2014-06-16 16:00:00-04:00,28.49,33.43,28.46,32.9,884043
2014-06-17 16:00:00-04:00,32.5,33.25,31.7,32.8,344025
2014-06-18 16:00:00-04:00,32.55,32.55,29.92,30.66,354985
2014-06-19 16:00:00-04:00,30.18,32.64,29.75,32.18,363283
2014-06-20 16:00:00-04:00,32.42,35.0,31.73,34.39,1296125
2014-06-23 16:00:00-04:00,33.16,35.24,33.16,34.87,401742
2014-06-24 16:00:00-04:00,34.55,35.675,34.06,34.37,326133
2014-06-25 16:00:00-04:00,33.94,34.33,33.51,33.97,548625
2014-06-26 16:00:00-04:00,34.17,34.8,33.5001,33.96,288324
2014-06-27 16:00:00-04:00,33.66,34.25,33.66,33.93,2841675
2014-06-30 16:00:00-04:00,33.75,35.0,31.02,31.88,288657
2014-07-01 16:00:00-04:00,31.7,34.07,31.7,33.85,297659
2014-07-02 16:00:00-04:00,33.67,34.05,33.1701,33.84,142248
2014-07-03 16:00:00-04:00,33.86,34.01,32.74,33.99,109760
2014-07-07 16:00:00-04:00,33.78,34.0,33.185,33.69,187286
2014-07-08 16:00:00-04:00,33.78,33.99,32.41,32.66,170597
2014-07-09 16:00:00-04:00,32.65,32.79,32.2974,32.56,306063
2014-07-10 16:00:00-04:00,32.15,32.5,30.25,30.36,278002
2014-07-11 16:00:00-04:00,30.2,32.47,29.76,30.01,470680
2014-07-14 16:00:00-04:00,30.35,31.04,29.55,30.8,324934
2014-07-15 16:00:00-04:00,30.74,31.98,30.0,31.97,142423
2014-07-16 16:00:00-04:00,31.28,32.72,30.87,32.01,151359
2014-07-17 16:00:00-04:00,31.77,32.28,31.47,31.85,392433
2014-07-18 16:00:00-04:00,31.69,32.9,31.69,32.09,247139
2014-07-21 16:00:00-04:00,32.0,32.64,31.6475,32.13,116806
2014-07-22 16:00:00-04:00,32.27,32.98,31.94,32.38,389968
2014-07-23 16:00:00-04:00,32.25,32.56,31.77,31.97,139761
2014-07-24 16:00:00-04:00,31.93,32.14,31.67,31.89,193300
2014-07-25 16:00:00-04:00,31.58,31.99,31.18,31.61,146491
2014-07-28 16:00:00-04:00,31.54,31.61,30.59,30.68,105531
2014-07-29 16:00:00-04:00,30.56,30.95,29.76,29.76,111650
2014-07-30 16:00:00-04:00,29.94,30.2,29.59,29.69,82945
2014-07-31 16:00:00-04:00,29.43,30.06,27.95,28.03,83221
2014-08-01 16:00:00-04:00,28.13,29.295,28.13,28.95,142180
2014-08-04 16:00:00-04:00,29.0,29.47,28.62,28.89,78141
2014-08-05 16:00:00-04:00,28.68,30.38,28.68,29.86,60540
2014-08-06 16:00:00-04:00,29.51,30.02,29.39,29.48,71826
2014-08-07 16:00:00-04:00,29.66,29.95,29.24,29.44,68257
2014-08-08 16:00:00-04:00,29.4,30.0,28.98,29.79,85703
2014-08-11 16:00:00-04:00,29.97,30.0,28.5,28.71,83169
2014-08-12 16:00:00-04:00,28.51,29.48,28.04,28.91,43838
2014-08-13 16:00:00-04:00,29.1,29.98,28.92,29.65,42633
2014-08-14 16:00:00-04:00,28.43,30.0,26.95,27.89,341073
2014-08-15 16:00:00-04:00,29.57,29.57,26.9,27.44,171641
2014-08-18 16:00:00-04:00,27.69,28.55,26.86,27.75,206415
2014-08-19 16:00:00-04:00,27.62,27.75,26.1001,26.86,118550
2014-08-20 16:00:00-04:00,26.85,27.71,26.52,26.98,124313
2014-08-21 16:00:00-04:00,26.83,28.29,26.22,27.85,102139
2014-08-22 16:00:00-04:00,27.98,28.55,27.38,28.35,129516
2014-08-25 16:00:00-04:00,28.56,28.98,28.36,28.87,73887
2014-08-26 16:00:00-04:00,28.95,30.03,28.94,29.35,198752
2014-08-27 16:00:00-04:00,29.52,30.01,29.06,29.18,182671
2014-08-28 16:00:00-04:00,29.02,29.99,28.25,28.64,95000
2014-08-29 16:00:00-04:00,28.82,29.5,28.26,29.365,135067
2014-09-02 16:00:00-04:00,29.52,29.99,28.84,29.05,69185
2014-09-03 16:00:00-04:00,29.19,29.19,28.11,28.56,150889
2014-09-04 16:00:00-04:00,28.54,29.125,27.56,27.72,148746
2014-09-05 16:00:00-04:00,27.55,28.23,26.73,28.02,111678
2014-09-08 16:00:00-04:00,27.93,29.27,27.93,28.75,294813
2014-09-09 16:00:00-04:00,29.5,29.8,27.92,28.4,329029
2014-09-10 16:00:00-04:00,28.36,29.89,27.92,28.0,349694
2014-09-11 16:00:00-04:00,27.8,28.689,27.76,28.0,348587
2014-09-12 16:00:00-04:00,28.0,28.42,26.55,27.0,275696
2014-09-15 16:00:00-04:00,27.1,28.79,25.62,26.38,200852
2014-09-16 16:00:00-04:00,26.28,26.995,25.39,26.33,269708
2014-09-17 16:00:00-04:00,26.25,26.74,26.1,26.18,285657
2014-09-18 16:00:00-04:00,26.87,26.87,26.15,26.55,150356
2014-09-19 16:00:00-04:00,26.66,26.89,25.54,26.33,1319115
2014-09-22 16:00:00-04:00,26.12,26.27,25.63,25.87,90932
