,Open,High,Low,Close,Volume
2015-01-30 16:00:00-05:00,10.0,10.49,9.21,9.4,1279106
2015-02-02 16:00:00-05:00,9.55,9.9,9.4,9.5,70949
2015-02-03 16:00:00-05:00,9.51,9.67,9.25,9.5,51868
2015-02-04 16:00:00-05:00,9.6,9.6,9.25,9.38,35243
2015-02-05 16:00:00-05:00,9.22,9.4,9.15,9.33,53130
2015-02-06 16:00:00-05:00,9.27,9.35,9.027,9.29,38031
2015-02-09 16:00:00-05:00,9.16,9.3,9.1,9.1,13987
2015-02-10 16:00:00-05:00,9.15,9.3,9.08,9.08,28086
2015-02-11 16:00:00-05:00,9.02,9.49,9.02,9.49,22955
2015-02-12 16:00:00-05:00,9.5,9.5,9.27,9.5,22652
2015-02-13 16:00:00-05:00,9.5,9.5,9.271,9.34,18785
2015-02-17 16:00:00-05:00,9.22,9.45,9.22,9.2601,19772
2015-02-18 16:00:00-05:00,9.356,10.2,9.356,10.2,52956
2015-02-19 16:00:00-05:00,10.0,10.25,9.62,9.97,33523
2015-02-20 16:00:00-05:00,9.66,10.25,9.66,10.14,34182
2015-02-23 16:00:00-05:00,10.2,10.2,9.75,10.15,24164
2015-02-24 16:00:00-05:00,10.8,12.84,10.55,12.52,549752
2015-02-25 16:00:00-05:00,12.67,14.6781,12.55,13.4,389042
2015-02-26 16:00:00-05:00,13.54,14.49,12.78,14.47,184441
2015-02-27 16:00:00-05:00,14.89,14.97,13.12,13.43,153978
2015-03-02 16:00:00-05:00,15.0,20.18,14.2501,17.42,868220
2015-03-03 16:00:00-05:00,18.0,21.0,17.6,18.44,574089
2015-03-04 16:00:00-05:00,18.37,18.85,15.2,16.38,332929
2015-03-05 16:00:00-05:00,16.41,18.85,16.41,17.21,104219
2015-03-06 16:00:00-05:00,17.1,17.97,16.75,17.57,106407
2015-03-09 16:00:00-04:00,17.33,18.275,16.7,17.38,64562
2015-03-10 16:00:00-04:00,17.43,17.5,16.01,16.19,128725
2015-03-11 16:00:00-04:00,16.16,16.94,16.0401,16.34,87173
2015-03-12 16:00:00-04:00,16.4,16.55,13.49,14.25,144684
2015-03-13 16:00:00-04:00,14.24,14.3513,13.5,13.75,112698
2015-03-16 16:00:00-04:00,13.73,15.1989,13.6,15.01,165127
2015-03-17 16:00:00-04:00,15.0,16.997,15.0,16.46,117325
2015-03-18 16:00:00-04:00,16.6,17.57,15.3172,16.56,129567
2015-03-19 16:00:00-04:00,16.42,17.15,15.2886,15.6,137530
2015-03-20 16:00:00-04:00,15.58,16.93,14.0,14.2,213606
2015-03-23 16:00:00-04:00,14.06,16.4,14.0,15.72,86947
2015-03-24 16:00:00-04:00,15.71,16.75,14.55,15.32,44499
2015-03-25 16:00:00-04:00,15.29,15.934,13.81,14.62,61535
2015-03-26 16:00:00-04:00,14.21,14.5181,13.95,14.34,34014
2015-03-27 16:00:00-04:00,14.44,14.9899,13.8,14.3,28934
2015-03-30 16:00:00-04:00,14.5,14.99,13.66,14.31,33923
2015-03-31 16:00:00-04:00,14.42,14.94,13.83,14.04,26337
