,Open,High,Low,Close,Volume
2016-09-29 16:00:00-04:00,14.7,16.17,14.0,14.88,3554904
2016-09-30 16:00:00-04:00,15.08,15.08,14.1623,14.32,458417
2016-10-03 16:00:00-04:00,14.05,14.93,14.0,14.93,240771
2016-10-04 16:00:00-04:00,15.23,15.23,14.13,14.5,209514
2016-10-05 16:00:00-04:00,14.47,14.47,13.16,13.45,408845
2016-10-06 16:00:00-04:00,13.26,13.28,12.63,13.08,344993
2016-10-07 16:00:00-04:00,13.0,13.46,12.25,12.48,312729
2016-10-10 16:00:00-04:00,12.6,12.6,11.79,12.36,315807
2016-10-11 16:00:00-04:00,12.4,12.83,12.2999,12.66,138357
2016-10-12 16:00:00-04:00,12.59,13.01,12.15,12.96,160669
2016-10-13 16:00:00-04:00,12.87,13.07,12.2601,12.6,54786
2016-10-14 16:00:00-04:00,12.6,12.86,12.35,12.81,89077
2016-10-17 16:00:00-04:00,12.82,14.0099,12.49,13.91,150424
2016-10-18 16:00:00-04:00,14.11,14.114,13.6,13.93,57615
2016-10-19 16:00:00-04:00,14.21,14.21,13.7,13.77,21045
2016-10-20 16:00:00-04:00,13.69,13.83,13.257,13.83,60864
2016-10-21 16:00:00-04:00,13.724,14.38,13.724,14.23,103638
2016-10-24 16:00:00-04:00,14.1,14.45,13.4,13.4,163848
2016-10-25 16:00:00-04:00,13.05,13.6,13.05,13.41,42466
2016-10-26 16:00:00-04:00,13.31,13.48,13.19,13.24,25376
2016-10-27 16:00:00-04:00,13.19,13.92,12.1605,12.6,77187
2016-10-28 16:00:00-04:00,12.6804,13.03,11.55,11.77,84694
2016-10-31 16:00:00-04:00,11.67,11.88,11.52,11.65,37924
2016-11-01 16:00:00-04:00,11.8,11.8,11.241,11.59,28283
2016-11-02 16:00:00-04:00,11.68,11.75,11.11,11.27,37904
2016-11-03 16:00:00-04:00,11.19,11.37,10.48,10.74,76592
2016-11-04 16:00:00-04:00,10.65,11.09,10.585,10.95,78960
2016-11-07 16:00:00-05:00,11.11,11.3765,10.39,10.8,71040
2016-11-08 16:00:00-05:00,11.034,11.355,10.52,10.99,54910
2016-11-09 16:00:00-05:00,10.98,11.4,10.5,11.37,101166
2016-11-10 16:00:00-05:00,11.8,12.49,11.4,11.84,505603
2016-11-11 16:00:00-05:00,11.79,12.29,11.53,12.0,141065
2016-11-14 16:00:00-05:00,12.29,12.37,11.57,11.81,50246
2016-11-15 16:00:00-05:00,11.81,12.0,11.12,11.5,34637
2016-11-16 16:00:00-05:00,11.48,11.5,10.51,10.85,128217
2016-11-17 16:00:00-05:00,10.85,11.05,10.7,10.79,78193
2016-11-18 16:00:00-05:00,10.7,11.55,10.55,11.04,123626
2016-11-21 16:00:00-05:00,11.17,12.35,10.95,11.91,83832
2016-11-22 16:00:00-05:00,11.75,12.88,11.75,12.54,124286
2016-11-23 16:00:00-05:00,12.58,12.7206,12.02,12.6,15725
2016-11-25 13:00:00-05:00,12.7,12.74,12.2193,12.59,20991
2016-11-28 16:00:00-05:00,12.75,13.46,12.3,13.25,133104
2016-11-29 16:00:00-05:00,13.15,13.95,13.04,13.86,90630
2016-11-30 16:00:00-05:00,13.87,13.95,13.0806,13.88,46721
2016-12-01 16:00:00-05:00,13.86,14.0,12.75,13.0,63195
2016-12-02 16:00:00-05:00,12.91,13.22,11.58,11.85,88365
2016-12-05 16:00:00-05:00,11.86,12.55,11.38,11.77,72411
2016-12-06 16:00:00-05:00,11.75,12.0,11.35,11.65,77724
2016-12-07 16:00:00-05:00,11.62,12.54,11.4221,12.24,54540
2016-12-08 16:00:00-05:00,12.2,12.54,11.9489,12.38,72298
2016-12-09 16:00:00-05:00,12.4,13.07,12.17,13.01,77798
2016-12-12 16:00:00-05:00,12.91,13.88,12.7201,13.3,92636
2016-12-13 16:00:00-05:00,13.32,13.74,12.7,13.29,69750
2016-12-14 16:00:00-05:00,13.32,13.63,12.8,13.63,68329
