,Open,High,Low,Close,Volume
1987-12-14 16:00:00-05:00,0.0,0.5782,0.5547,0.5625,316800
1987-12-15 16:00:00-05:00,0.0,0.5704,0.5625,0.5625,476800
1987-12-16 16:00:00-05:00,0.0,0.5704,0.5469,0.5547,1552000
1987-12-17 16:00:00-05:00,0.0,0.586,0.5625,0.5782,1536000
1987-12-18 16:00:00-05:00,0.0,0.5938,0.5625,0.5938,1916800
1987-12-21 16:00:00-05:00,0.0,0.6641,0.5938,0.625,1475200
1987-12-22 16:00:00-05:00,0.0,0.6407,0.6016,0.6407,908800
1987-12-23 16:00:00-05:00,0.0,0.6641,0.625,0.6641,963200
1987-12-24 16:00:00-05:00,0.0,0.6954,0.6563,0.6875,1452800
1987-12-28 16:00:00-05:00,0.0,0.6875,0.6485,0.6563,1126400
1987-12-29 16:00:00-05:00,0.0,0.6563,0.6172,0.6329,550400
1987-12-30 16:00:00-05:00,0.0,0.6407,0.6172,0.6329,704000
1987-12-31 16:00:00-05:00,0.0,0.6329,0.6094,0.625,435200
1988-01-04 16:00:00-05:00,0.0,0.6797,0.6172,0.6719,1257600
1988-01-05 16:00:00-05:00,0.0,0.711,0.6719,0.6875,1267200
1988-01-06 16:00:00-05:00,0.0,0.6954,0.6563,0.6719,723200
1988-01-07 16:00:00-05:00,0.0,0.6719,0.6563,0.6719,99200
1988-01-08 16:00:00-05:00,0.0,0.6875,0.6641,0.6641,451200
1988-01-11 16:00:00-05:00,0.0,0.6719,0.6563,0.6719,1238400
1988-01-12 16:00:00-05:00,0.0,0.6954,0.6641,0.6954,636800
1988-01-13 16:00:00-05:00,0.0,0.711,0.6797,0.6875,211200
1988-01-14 16:00:00-05:00,0.0,0.7032,0.6875,0.6875,256000
1988-01-15 16:00:00-05:00,0.0,0.7266,0.711,0.711,534400
1988-01-18 16:00:00-05:00,0.0,0.7266,0.7266,0.7266,32000
1988-01-19 16:00:00-05:00,0.0,0.7266,0.7188,0.7188,121600
1988-01-20 16:00:00-05:00,0.0,0.7266,0.7032,0.7188,1187200
1988-01-21 16:00:00-05:00,0.0,0.7266,0.711,0.711,195200
1988-01-22 16:00:00-05:00,0.0,0.7188,0.711,0.7188,80000
1988-01-25 16:00:00-05:00,0.0,0.7344,0.7188,0.7344,563200
1988-01-26 16:00:00-05:00,0.0,0.7579,0.7188,0.7579,1145600
1988-01-27 16:00:00-05:00,0.0,0.7579,0.7422,0.75,326400
1988-01-28 16:00:00-05:00,0.0,0.7579,0.7422,0.7579,691200
1988-01-29 16:00:00-05:00,0.0,0.7735,0.75,0.7657,297600
1988-02-01 16:00:00-05:00,0.0,0.836,0.7735,0.8047,1081600
1988-02-02 16:00:00-05:00,0.0,0.8204,0.8008,0.8047,579200
1988-02-03 16:00:00-05:00,0.0,0.8125,0.8047,0.8125,275200
1988-02-04 16:00:00-05:00,0.0,0.8125,0.8047,0.8047,19200
1988-02-05 16:00:00-05:00,0.0,0.8204,0.8047,0.8125,678400
1988-02-08 16:00:00-05:00,0.0,0.8282,0.8047,0.8047,332800
1988-02-09 16:00:00-05:00,0.0,0.8125,0.8125,0.8125,16000
1988-02-10 16:00:00-05:00,0.0,0.8125,0.8047,0.8047,64000
1988-02-11 16:00:00-05:00,0.0,0.8438,0.8047,0.8204,1075200
1988-02-12 16:00:00-05:00,0.0,0.836,0.8204,0.8204,1276800
