,Open,High,Low,Close,Volume
2014-05-16 16:00:00-04:00,9.7,10.76,9.59,10.06,6569062
2014-05-19 16:00:00-04:00,10.4,10.49,9.5,9.9,888088
2014-05-20 16:00:00-04:00,9.76,9.8499,9.5,9.5,400320
2014-05-21 16:00:00-04:00,9.51,9.7,9.5,9.625,264293
2014-05-22 16:00:00-04:00,9.75,9.75,9.21,9.31,459382
2014-05-23 16:00:00-04:00,9.31,9.3799,9.05,9.22,226693
2014-05-27 16:00:00-04:00,9.65,10.2,9.351,10.2,548236
2014-05-28 16:00:00-04:00,10.53,10.71,10.25,10.44,397089
2014-05-29 16:00:00-04:00,10.88,11.0,10.5,10.56,548659
2014-05-30 16:00:00-04:00,11.5,11.5,10.82,10.96,322241
2014-06-02 16:00:00-04:00,11.05,11.4,11.0,11.25,301299
2014-06-03 16:00:00-04:00,11.87,12.54,11.35,12.22,401655
2014-06-04 16:00:00-04:00,12.19,13.0,11.65,12.08,627910
2014-06-05 16:00:00-04:00,12.41,12.63,11.55,12.01,271139
2014-06-06 16:00:00-04:00,12.23,14.79,12.1001,14.54,773385
2014-06-09 16:00:00-04:00,15.06,15.85,13.05,14.02,1256362
2014-06-10 16:00:00-04:00,14.56,15.12,12.73,13.64,1231130
2014-06-11 16:00:00-04:00,13.86,13.99,13.0601,13.65,362145
2014-06-12 16:00:00-04:00,14.41,14.41,12.35,12.92,603669
2014-06-13 16:00:00-04:00,12.53,13.75,12.53,13.67,437237
2014-06-16 16:00:00-04:00,14.0,14.5,13.3002,13.92,460860
2014-06-17 16:00:00-04:00,13.81,14.08,13.11,13.38,279213
2014-06-18 16:00:00-04:00,13.17,13.707,13.1,13.61,289719
2014-06-19 16:00:00-04:00,13.7,14.0,13.17,13.58,340212
2014-06-20 16:00:00-04:00,13.97,14.3735,13.43,13.49,707850
2014-06-23 16:00:00-04:00,13.52,13.899,13.22,13.29,322876
2014-06-24 16:00:00-04:00,13.36,13.59,12.8,13.08,612323
2014-06-25 16:00:00-04:00,13.35,13.35,12.45,12.85,543855
2014-06-26 16:00:00-04:00,13.0,13.16,12.41,13.14,480767
2014-06-27 16:00:00-04:00,13.05,13.7899,12.94,13.29,1359157
2014-06-30 16:00:00-04:00,13.7,14.95,13.7,14.78,2175380
2014-07-01 16:00:00-04:00,15.03,15.46,14.18,14.5,559416
2014-07-02 16:00:00-04:00,14.6,14.74,14.25,14.51,240890
2014-07-03 16:00:00-04:00,14.51,15.16,14.34,15.04,224558
2014-07-07 16:00:00-04:00,15.15,15.45,14.56,14.63,321134
2014-07-08 16:00:00-04:00,14.63,14.63,13.02,14.3,763539
2014-07-09 16:00:00-04:00,14.35,14.63,13.99,14.39,380943
2014-07-10 16:00:00-04:00,13.99,13.99,13.25,13.45,452522
2014-07-11 16:00:00-04:00,13.37,13.62,13.035,13.27,372460
2014-07-14 16:00:00-04:00,13.37,13.62,13.35,13.4,314792
2014-07-15 16:00:00-04:00,13.44,13.6193,12.71,13.15,344601
2014-07-16 16:00:00-04:00,13.18,13.29,12.56,13.07,400789
2014-07-17 16:00:00-04:00,12.98,13.2,12.33,12.38,451574
2014-07-18 16:00:00-04:00,12.41,12.9599,11.93,12.41,766210
2014-07-21 16:00:00-04:00,12.38,12.5925,12.11,12.51,535565
2014-07-22 16:00:00-04:00,12.6,13.1,12.54,13.0,431373
2014-07-23 16:00:00-04:00,13.07,13.53,12.9476,13.48,335635
2014-07-24 16:00:00-04:00,13.48,13.73,12.81,13.4,300715
2014-07-25 16:00:00-04:00,13.44,13.59,13.0601,13.58,201839
2014-07-28 16:00:00-04:00,13.67,13.9,13.2,13.79,207690
2014-07-29 16:00:00-04:00,13.71,14.12,13.31,13.42,364630
2014-07-30 16:00:00-04:00,13.4,13.965,13.4,13.8,132731
2014-07-31 16:00:00-04:00,13.7,14.0,13.4511,13.57,207913
2014-08-01 16:00:00-04:00,13.5,13.7093,12.8,13.39,207771
2014-08-04 16:00:00-04:00,13.59,13.66,13.191,13.54,97323
2014-08-05 16:00:00-04:00,13.69,14.11,13.4,13.94,247879
