,Open,High,Low,Close,Volume
2010-11-30 16:00:00-05:00,0.0,0.0,0.0,527.3,0
2010-12-03 16:00:00-05:00,0.0,0.0,0.0,457.05,0
2010-12-07 16:00:00-05:00,0.0,0.0,0.0,436.85,0
2010-12-09 16:00:00-05:00,429.45,429.45,429.45,429.45,40
2010-12-10 16:00:00-05:00,414.5,414.5,399.4,399.4,223
2010-12-13 16:00:00-05:00,392.3,392.3,392.3,392.3,40
2010-12-14 16:00:00-05:00,0.0,0.0,0.0,403.1,0
2010-12-16 16:00:00-05:00,0.0,0.0,0.0,402.65,0
2010-12-20 16:00:00-05:00,394.05,394.05,394.05,394.05,20
2010-12-21 16:00:00-05:00,0.0,0.0,0.0,386.2,0
2010-12-23 16:00:00-05:00,0.0,0.0,0.0,400.7,0
2010-12-28 16:00:00-05:00,0.0,0.0,0.0,407.55,0
2010-12-30 16:00:00-05:00,0.0,0.0,0.0,409.1,0
2011-01-04 16:00:00-05:00,402.2,406.7,402.2,406.7,280
2011-01-05 16:00:00-05:00,398.65,398.65,398.65,398.65,20
2011-01-06 16:00:00-05:00,388.75,388.75,388.75,388.75,200
2011-01-07 16:00:00-05:00,386.0,386.0,386.0,386.0,40
2011-01-10 16:00:00-05:00,399.1,399.1,390.0,390.0,40
2011-01-11 16:00:00-05:00,385.3,386.3,385.3,386.3,60
2011-01-12 16:00:00-05:00,0.0,0.0,0.0,369.65,0
2011-01-19 16:00:00-05:00,0.0,0.0,0.0,355.85,0
2011-01-24 16:00:00-05:00,0.0,0.0,0.0,341.3,0
2011-01-28 16:00:00-05:00,310.85,330.05,310.85,326.5,1280
2011-01-31 16:00:00-05:00,323.05,323.05,322.6,322.6,45
2011-02-01 16:00:00-05:00,0.0,0.0,0.0,304.3,0
2011-02-07 16:00:00-05:00,278.6,280.3,277.8,277.845,380
2011-02-08 16:00:00-05:00,274.0,274.0,272.5,272.5,320
2011-02-09 16:00:00-05:00,0.0,0.0,0.0,268.704,0
