,Open,High,Low,Close,Volume
2009-11-24 16:00:00-05:00,60.2816,60.2816,60.13,60.13,500
2009-11-25 16:00:00-05:00,60.0,60.52,60.0,60.52,700
2009-11-27 13:00:00-05:00,60.88,60.88,60.78,60.78,3300
2009-11-30 16:00:00-05:00,60.76,60.76,60.76,60.76,100
2009-12-01 16:00:00-05:00,60.55,60.55,60.34,60.34,4951
2009-12-02 16:00:00-05:00,60.4484,60.5992,60.4484,60.5992,648
2009-12-03 16:00:00-05:00,59.95,59.95,59.85,59.95,250
2009-12-04 16:00:00-05:00,0.0,0.0,0.0,59.95,0
2009-12-07 16:00:00-05:00,0.0,0.0,0.0,59.95,0
2009-12-08 16:00:00-05:00,59.9,59.9,59.51,59.51,1500
2009-12-09 16:00:00-05:00,59.45,59.45,59.39,59.39,598
2009-12-10 16:00:00-05:00,59.1,59.1,59.1,59.1,650
2009-12-11 16:00:00-05:00,58.7,58.7,58.47,58.47,958
2009-12-14 16:00:00-05:00,0.0,0.0,0.0,58.47,0
2009-12-15 16:00:00-05:00,0.0,0.0,0.0,58.47,0
2009-12-16 16:00:00-05:00,0.0,0.0,0.0,58.47,0
2009-12-17 16:00:00-05:00,59.38,59.38,59.38,59.38,400
2009-12-18 16:00:00-05:00,0.0,0.0,0.0,59.38,0
2009-12-21 16:00:00-05:00,58.73,58.73,58.42,58.42,2222
2009-12-22 16:00:00-05:00,57.86,58.07,57.86,58.07,628
2009-12-23 16:00:00-05:00,58.17,58.17,58.17,58.17,1400
2009-12-24 13:00:00-05:00,57.49,57.49,57.35,57.35,1592
2009-12-28 16:00:00-05:00,57.17,57.1758,57.17,57.1758,275
2009-12-29 16:00:00-05:00,0.0,0.0,0.0,57.1758,0
2009-12-30 16:00:00-05:00,57.6099,57.6332,57.6099,57.6332,301
2009-12-31 16:00:00-05:00,57.25,57.36,57.1,57.36,1100
2010-01-04 16:00:00-05:00,0.0,0.0,0.0,57.36,0
2010-01-05 16:00:00-05:00,57.79,57.84,57.79,57.84,900
2010-01-06 16:00:00-05:00,57.39,57.39,57.39,57.39,600
2010-01-07 16:00:00-05:00,57.25,57.25,57.25,57.25,400
2010-01-08 16:00:00-05:00,57.15,57.15,57.15,57.15,200
2010-01-11 16:00:00-05:00,57.27,57.27,57.12,57.14,676
2010-01-12 16:00:00-05:00,57.73,57.73,57.71,57.71,800
2010-01-13 16:00:00-05:00,57.69,57.69,57.37,57.37,1488
2010-01-14 16:00:00-05:00,57.56,57.56,57.56,57.56,185
2010-01-15 16:00:00-05:00,58.39,58.39,58.2881,58.2881,2415
2010-01-19 16:00:00-05:00,58.19,58.24,58.17,58.17,5972
2010-01-20 16:00:00-05:00,58.41,58.54,58.41,58.54,2100
2010-01-21 16:00:00-05:00,58.48,58.81,58.48,58.79,1110
2010-01-22 16:00:00-05:00,58.76,58.91,58.76,58.842,3049
2010-01-25 16:00:00-05:00,58.54,58.67,58.54,58.57,1383
2010-01-26 16:00:00-05:00,58.84,58.84,58.55,58.57,4718
2010-01-27 16:00:00-05:00,58.76,58.76,58.626,58.626,25174
2010-01-28 16:00:00-05:00,58.21,58.45,58.21,58.39,3688
2010-01-29 16:00:00-05:00,58.26,58.71,58.23,58.71,9610
2010-02-01 16:00:00-05:00,58.55,58.55,58.42,58.42,1569
2010-02-02 16:00:00-05:00,58.29,58.4,58.29,58.4,1570
2010-02-03 16:00:00-05:00,58.18,58.18,57.9,57.93,5663
2010-02-04 16:00:00-05:00,57.93,58.54,57.93,58.53,105999
2010-02-05 16:00:00-05:00,58.53,58.89,58.53,58.77,3100
