,Open,High,Low,Close,Volume
1987-12-14 16:00:00-05:00,0.0,3.3125,3.3125,3.3125,3600
1987-12-15 16:00:00-05:00,0.0,3.5,3.5,3.5,5200
1987-12-16 16:00:00-05:00,0.0,3.5,3.3125,3.3438,13600
1987-12-17 16:00:00-05:00,0.0,3.3125,3.3125,3.3125,4000
1987-12-18 16:00:00-05:00,0.0,3.5,3.3125,3.3125,15600
1987-12-21 16:00:00-05:00,0.0,3.3125,3.3125,3.3125,1600
1987-12-22 16:00:00-05:00,0.0,3.5,3.3125,3.4375,27600
1987-12-23 16:00:00-05:00,0.0,3.5,3.3125,3.5,22800
1987-12-24 16:00:00-05:00,0.0,3.625,3.4375,3.4375,11200
1987-12-28 16:00:00-05:00,0.0,3.5,3.4375,3.5,8800
1987-12-29 16:00:00-05:00,0.0,3.4375,3.375,3.375,9200
1987-12-30 16:00:00-05:00,0.0,3.4375,3.375,3.375,8800
1987-12-31 16:00:00-05:00,0.0,3.5,3.375,3.375,6800
1988-01-04 16:00:00-05:00,0.0,4.0625,3.75,4.0625,23600
1988-01-05 16:00:00-05:00,0.0,4.125,3.9375,3.9375,8800
1988-01-06 16:00:00-05:00,0.0,4.125,3.9375,4.125,5200
1988-01-07 16:00:00-05:00,0.0,4.0625,4.0,4.0625,3600
1988-01-08 16:00:00-05:00,0.0,4.0625,3.9375,3.9375,2400
1988-01-11 16:00:00-05:00,0.0,4.0,3.875,3.875,12000
1988-01-12 16:00:00-05:00,0.0,3.875,3.75,3.75,23200
1988-01-13 16:00:00-05:00,0.0,3.9375,3.875,3.9375,1600
1988-01-14 16:00:00-05:00,0.0,3.9375,3.6875,3.6875,22800
1988-01-15 16:00:00-05:00,0.0,3.8125,3.5625,3.7812,52000
1988-01-18 16:00:00-05:00,0.0,3.9375,3.75,3.75,11200
1988-01-19 16:00:00-05:00,0.0,3.9375,3.75,3.9375,7200
1988-01-20 16:00:00-05:00,0.0,3.9375,3.8125,3.8438,4800
1988-01-21 16:00:00-05:00,0.0,3.8125,3.8125,3.8125,2000
1988-01-22 16:00:00-05:00,0.0,3.9375,3.9375,3.9375,4400
1988-01-25 16:00:00-05:00,0.0,3.9375,3.9375,3.9375,800
1988-01-26 16:00:00-05:00,0.0,3.9375,3.9375,3.9375,2000
1988-01-27 16:00:00-05:00,0.0,3.875,3.875,3.875,4000
1988-01-28 16:00:00-05:00,0.0,3.9375,3.875,3.875,4400
1988-01-29 16:00:00-05:00,0.0,3.8438,3.8438,3.8438,4000
1988-02-01 16:00:00-05:00,0.0,3.9375,3.9375,3.9375,10400
