,Open,High,Low,Close,Volume
1987-12-14 16:00:00-05:00,0.0,1.25,1.25,1.25,2000
1987-12-15 16:00:00-05:00,0.0,0.0,0.0,1.25,0
1987-12-16 16:00:00-05:00,0.0,1.275,1.25,1.275,21200
1987-12-17 16:00:00-05:00,0.0,1.325,1.325,1.325,9200
1987-12-18 16:00:00-05:00,0.0,1.3625,1.275,1.325,23200
1987-12-21 16:00:00-05:00,0.0,1.3875,1.35,1.35,31200
1987-12-22 16:00:00-05:00,0.0,1.4,1.3875,1.3875,12000
1987-12-23 16:00:00-05:00,0.0,1.4625,1.45,1.45,11200
1987-12-24 16:00:00-05:00,0.0,1.475,1.475,1.475,1200
1987-12-28 16:00:00-05:00,0.0,1.5625,1.525,1.525,16000
1987-12-29 16:00:00-05:00,0.0,1.625,1.5,1.55,37200
1987-12-30 16:00:00-05:00,0.0,1.6375,1.525,1.55,14000
1987-12-31 16:00:00-05:00,0.0,0.0,0.0,1.55,0
1988-01-04 16:00:00-05:00,0.0,1.65,1.6,1.6,19200
1988-01-05 16:00:00-05:00,0.0,1.675,1.6,1.6,18000
1988-01-06 16:00:00-05:00,0.0,1.7,1.5375,1.5375,58000
1988-01-07 16:00:00-05:00,0.0,1.525,1.525,1.525,5200
1988-01-08 16:00:00-05:00,0.0,0.0,0.0,1.525,0
1988-01-11 16:00:00-05:00,0.0,0.0,0.0,1.525,0
1988-01-12 16:00:00-05:00,0.0,0.0,0.0,1.525,0
1988-01-13 16:00:00-05:00,0.0,0.0,0.0,1.525,0
1988-01-14 16:00:00-05:00,0.0,0.0,0.0,1.525,0
1988-01-15 16:00:00-05:00,0.0,1.475,1.475,1.475,11200
1988-01-18 16:00:00-05:00,0.0,0.0,0.0,1.475,0
1988-01-19 16:00:00-05:00,0.0,0.0,0.0,1.475,0
1988-01-20 16:00:00-05:00,0.0,0.0,0.0,1.475,0
1988-01-21 16:00:00-05:00,0.0,1.425,1.425,1.425,2000
1988-01-22 16:00:00-05:00,0.0,1.425,1.425,1.425,2000
1988-01-25 16:00:00-05:00,0.0,0.0,0.0,1.425,0
1988-01-26 16:00:00-05:00,0.0,0.0,0.0,1.425,0
1988-01-27 16:00:00-05:00,0.0,0.0,0.0,1.425,0
1988-01-28 16:00:00-05:00,0.0,0.0,0.0,1.425,0
1988-01-29 16:00:00-05:00,0.0,0.0,0.0,1.425,0
1988-02-01 16:00:00-05:00,0.0,0.0,0.0,1.425,0
1988-02-02 16:00:00-05:00,0.0,0.0,0.0,1.425,0
1988-02-03 16:00:00-05:00,0.0,1.4375,1.4375,1.4375,15200
1988-02-04 16:00:00-05:00,0.0,0.0,0.0,1.4375,0
1988-02-05 16:00:00-05:00,0.0,0.0,0.0,1.4375,0
1988-02-08 16:00:00-05:00,0.0,1.35,1.35,1.35,8000
1988-02-09 16:00:00-05:00,0.0,0.0,0.0,1.35,0
1988-02-10 16:00:00-05:00,0.0,0.0,0.0,1.35,0
1988-02-11 16:00:00-05:00,0.0,0.0,0.0,1.35,0
1988-02-12 16:00:00-05:00,0.0,0.0,0.0,1.35,0
1988-02-16 16:00:00-05:00,0.0,1.35,1.35,1.35,2000
