,Open,High,Low,Close,Volume
2011-06-21 16:00:00-04:00,2.45,2.45,2.45,2.45,1000
2011-06-22 16:00:00-04:00,2.45,2.6,2.45,2.6,2500
2011-06-23 16:00:00-04:00,2.6,2.6,2.48,2.48,3475
2011-06-24 16:00:00-04:00,2.48,2.48,2.48,2.48,500
2011-06-27 16:00:00-04:00,2.6,2.6,2.56,2.56,2475
2011-06-28 16:00:00-04:00,2.6,2.6,2.6,2.6,500
2011-06-29 16:00:00-04:00,2.6,2.6,2.6,2.6,2000
2011-07-05 16:00:00-04:00,2.59,2.59,2.59,2.59,100
2011-07-15 16:00:00-04:00,2.6,2.6,2.6,2.6,1500
2011-07-21 16:00:00-04:00,2.6,2.6,2.6,2.6,3900
2011-07-22 16:00:00-04:00,2.0,2.5,2.0,2.5,1600
2011-08-10 16:00:00-04:00,2.1,2.1,2.1,2.1,900
2011-08-15 16:00:00-04:00,1.8,1.8,1.8,1.8,1500
2011-08-24 16:00:00-04:00,2.0,2.25,2.0,2.25,1000
2011-08-29 16:00:00-04:00,1.9,2.05,1.9,2.05,2500
2011-08-30 16:00:00-04:00,2.1,2.15,2.1,2.15,1200
2011-08-31 16:00:00-04:00,2.2,2.24,2.2,2.24,1700
2011-09-01 16:00:00-04:00,2.24,2.25,2.24,2.25,1000
2011-09-02 16:00:00-04:00,2.28,2.35,2.28,2.35,2200
2011-09-06 16:00:00-04:00,2.35,2.35,2.35,2.35,200
2011-09-07 16:00:00-04:00,2.35,2.35,2.35,2.35,400
2011-09-08 16:00:00-04:00,2.4,2.4,2.4,2.4,100
2011-09-14 16:00:00-04:00,2.4,2.54,2.4,2.54,3150
2011-09-15 16:00:00-04:00,2.55,2.58,2.55,2.58,1000
2011-09-16 16:00:00-04:00,2.58,2.58,2.58,2.58,600
2011-09-19 16:00:00-04:00,2.55,2.55,2.55,2.55,500
2011-09-22 16:00:00-04:00,2.58,2.58,2.58,2.58,2300
2011-09-23 16:00:00-04:00,2.59,2.59,2.59,2.59,500
2011-09-26 16:00:00-04:00,2.59,2.59,2.5,2.5,600
2011-09-27 16:00:00-04:00,2.2,2.58,1.75,2.58,1200
2011-09-28 16:00:00-04:00,2.58,2.6,2.58,2.6,1000
2011-09-29 16:00:00-04:00,2.59,2.59,2.59,2.59,360
2011-10-04 16:00:00-04:00,2.6,2.6,2.6,2.6,500
